REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,
knitr,42,closed,reopened,2011-12-11 16:25:10,1123.05,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,42,closed,closed,2011-12-11 16:29:31,4.35,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,42,closed,6,2011-12-08 20:43:47,199.45,1,,,"b""b' Sorry I have been using Linux for development"," and did not test it on Windows; should be fixed now Thanks!'""",,,,,,,,,,,,,,,,,,,,,,,
knitr,42,closed,7,2011-12-08 20:43:47,409.93,,1,,"b""b' If this is of any use"," I confirm it is working for me (both remote and local).'""",,,,,,,,,,,,,,,,,,,,,,,
knitr,42,closed,8,2011-12-08 20:43:47,412.28,,,1,"b""b' Yes"," this definitely helps. Thanks for the feedback!'""",,,,,,,,,,,,,,,,,,,,,,,
knitr,42,closed,-,-,-,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,50,closed,opened,2011-12-12 03:01:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,50,closed,title,2011-12-12 03:01:05,00:00,,1,,"b""b' Parse markdown report and save it to R object'""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,50,closed,body,2011-12-12 03:01:05,00:00,1,,,"b'b"" I\'m still a newbie for your package", and I\'m trying to set my mind into place, since I\'ve been working on some kind of templating engine too. Your approach, however is way different (and better) than mine, so sorry if I\'m asking something trivial. AFAICS, are very versatile, and you can _tell_ them to do all kinds of stuff with chunks. Is it possible to parse template in such way, that you can save it\'s contents to R objects e.g. store each  to a list element? P.S.Note that I\'m interested only in markdown format," it\'s OK if it\'s not  compatible.""'",,,,,,,,,,,,,,,,
knitr,50,closed,1,2011-12-12 03:01:05,60.37,,1,,"b""b' 1. Have you read the GFM demo in url 2. What exactly do you want to save in the list?'""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,50,closed,closed,2011-12-12 04:04:19,63.23,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,50,closed,2,2011-12-12 03:01:05,13.03,,1,,"b'b"" 1. Yes", I\'m aware of the GFM demo, and I managed to create reports without a hustle.2. I\'d like to write a hook that parses each chunk (be it an R chunk or GFM paragraph, heading, etc.) and instead of printing out that chunk, I\'d like to save it to a list, so you can have something like this: Long story short, I\'d like to evaluate all chunks, store yielded  paths to a list," and parse that to JSON so I can use it in a webapp.""'",,,,,,,,,,,,,,,
knitr,50,closed,reopened,2011-12-12 04:15:18,10.98,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,50,closed,3,2011-12-12 03:01:05,19.7,,,1,"b""b' Interesting. I did not expect this application", and there is no straightforward way to do this in at the moment. The major difficulty as I can see now is that every result is turned into a character string, and this is due to the package. If you do not care about the plots, it should be easy (there are a few internal functions you can use directly); but if we need to consider plots," things become harder.'""",,,,,,,,,,,,,,,,,,,,
knitr,50,closed,4,2011-12-12 03:01:05,4.52,,,1,"b'b"" What did you mean under _considering_ plots? Of course that I need plots"," as they\'re somewhat an essential part of statistical report. =) Why would it be so problematic to write a handler that saves the plot to a provided path? You can also check if the [plot chunk generates a graph]url  and based on that act differently.""'",,,,,,,,,,,,,,,,,,,,,,,
knitr,50,closed,5,2011-12-12 03:01:05,41.75,,,1,"b""b' The SO post described how the package works. Let me state the situation in this way: we have two choices to evaluate R code 1. use in base R: if we do not preserve plots", it is easy to get all other results from (vectors, matrices, ...), but with plots, we have to do further work like checking if an R expression produces plots;2. use the package as does; the problem is all results become character strings denoting what would have been written to the R console; this does not seem to meet your requirement (turn results into a list); Ahh... As I was writing the reply, I suddenly realized an approach," which makes it easy to implement your idea in  . Now the problem is how are you supposed to get from a chunk that produces both some R objects and plots?'""",,,,,,,,,,,,,,,,,
knitr,50,closed,6,2011-12-12 03:01:05,11.37,1,,,"b'b\' I came up with an easy one: you don\\\'t allow users to shuffle ""ordinary"" R code with code that generates plots! =) I know it\\\'s lame"," but what I had in mind is to ""reserve"" plots for separate kinds of chunks. You already have for that in  / ", but currently I have no idea how to tackle that one too... I\\\'ll put a new question on SO, and see if someone answers.  Here\\\'s [a link]url  to SO rant.\'',,,,,,,,,,,,,,,,,,,,,
knitr,50,closed,7,2011-12-12 03:01:05,892.0,,1,,"b""b' Since you want to use JSON", here is a draft of what you can do:1. use a package like or to convert R objects to JSON representation;2. the JSON expressions in your R code;3. redefine the 8 [output hooks]url  to mark up your output appropriately so that you can parse the output document later; for example, the plot hook should only return the filenames (no or  ) This gives you an output document (instead of an R list)," then you can do some post-processing on the output.'""",,,,,,,,,,,,,,,,,,,,,
knitr,50,closed,8,2011-12-12 03:01:05,23.27,,,1,"b""b' Cool"," thanks! Will report back after I do some tests.'""",,,,,,,,,,,,,,,,,,,,,,,
knitr,50,closed,9,2011-12-12 03:01:05,3.6,,1,,"b""b' I assume this issue was solved somehow"," so closing it now.'""",,,,,,,,,,,,,,,,,,,,,,,
knitr,50,closed,closed,2012-04-01 20:50:41,995.38,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,50,closed,-,-,-,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,81,closed,opened,2012-01-12 23:03:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,81,closed,title,2012-01-12 23:03:27,00:00,,1,,"b""b' Caption control in markdown / suppress figure'""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,81,closed,body,2012-01-12 23:03:27,00:00,,1,,"b'b"" It would be helpful to be able to control the caption that knitr assigns to a plot when using markdown.  Right now it simply gives figures captions (or alt-text", depending on the markdown compiler), of  .  I would think a temporary workaround would be to suppress insertion of a figure, and then manually insert the figure after the chunk, as in  ," however I can\'t find a way to get knitr to generate the figure file but suppress inserting the figure into the compiled markdown file. ""'",,,,,,,,,,,,,,,,,,,
knitr,81,closed,1,2012-01-12 23:03:27,110.52,,1,,"b""b' Here is one way to do it. I will describe the approach I take in  "," but it would be simple to adapt it to  .  '""",,,,,,,,,,,,,,,,,,,,,,,
knitr,81,closed,2,2012-01-12 23:03:27,24.15,,,1,b'b\' Thanks," but this doesn\\\'t work. On the ""options"" page", Yihui writes:So when I write: It generates a file called and compiles as follows  \'',,,,,,,,,,,,,,,,,,,,,,
knitr,81,closed,closed,2012-01-13 01:18:07,134.67,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,81,closed,reopened,2012-01-13 01:34:16,16.15,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
