REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,
finagle,91,closed,11,2012-06-27 16:16:57,533.52,,,1,"b'b"" Hi @mosesn", We are interested in moving forward with finagle-protobuf and we have some bandwidth to make it happen.  One of our biggest motivators is a desire to utilize zipkin for distributed tracing of our finagle protobuf services. I\'ve taken a look at the mux transport and it appears to provide the tracing support we desire.  Is there a simple example, or maybe some tests, that show a simple implementation on top of the mux transport?  Any help would be much appreciated. Thanks,"Patrick""'",,,,,,,,,,,,,,
finagle,91,closed,12,2012-06-27 16:16:57,94.18,,1,,"b""b' Not so much.  Mux is still pretty new in Finagle.  The only currentimplementation is thriftmux.  I agree though that protobuf+mux would be anextremely useful protocol. On Wed", Mar 19, 2014 at 8:40 AM," Patrick Osbornenotifications@:'""",,,,,,,,,,,,,,,
finagle,91,closed,13,2012-06-27 16:16:57,1.38,,1,,"b""b'   is a simple implementation showing how to compose an RPC system on top of Mux.'""",,,,,,,,,,,,,,,,,,
finagle,91,closed,14,2012-06-27 16:16:57,0.2,,1,,"b""b' That being said", you might look at the api docs:url  On Wed, Mar 19, 2014 at 10:14 AM," Brian Degenhardt bmd@ wrote:'""",,,,,,,,,,,,,,
finagle,91,closed,15,2012-06-27 16:16:57,1346.83,,,1,"b'b"" Thanks for the responses.  The mux protocol documentation has been helpful. I\'ve been making a bit of progress sorting out the thriftmux implementation and what a protobuf implementation may look like. I have a question about ClientBuilder and ServerBuilder", are those classes intended only for non-mux implementations?  or am I missing something there. Is there a similar mux mechanism to config the clients and servers? Thanks,"Patrick""'",,,,,,,,,,,,,,,,
finagle,91,closed,16,2012-06-27 16:16:57,153.42,1,,,"b'b"" The builders aren\'t compatible with mux", but we\'re working on making them more general so that should change in the near future. However, a lot of the current builder knobs become meaningless with protocols like mux [1]. Because of this," the new apis were designed to a be a bit more rigid and protocol implementors are expected to provide sensible defaults (ex. [2]).  [1] url [2] url ""'",,,,,,,,,,,,,,,
finagle,91,closed,17,2012-06-27 16:16:57,211.15,,,1,"b""b' Thanks"," the FAQs are very helpful. What about adding a tracer to client  server?  We are in need of distributed tracing and our hoping to use Zipkin in that effort with the new protobuf built on mux. -Patrick'""",,,,,,,,,,,,,,,,,
finagle,91,closed,18,2012-06-27 16:16:57,1153.65,,,1,"b'b"" So what\'s the best option for protobufs  at the moment? Thanks","Justin""'",,,,,,,,,,,,,,,,,
finagle,91,closed,19,2012-06-27 16:16:57,178.18,,,1,"b'b"" Our company has tried to push our version back to Finagle but we got some pushback because it was not built on the mux transport (which wasn\'t complete at the time).  So other than building the functionality yourself", you may need to wait till we get our new version complete and pushed back to the open source community. If you have some experience with protoc plugins for generating Java code that would be very useful to producing a canonical Finagle / Protobuf interface.  See my post on the protobuf google group here: url  Cheers,"Patrick""'",,,,,,,,,,,,,,,,
finagle,91,closed,20,2012-06-27 16:16:57,1302.73,,,1,"b'b"" Hi All", I have built a basic protobuf implementation on the mux transport and it turned out to be fairly easy using thriftmux for some inspiration. I\'m now working on getting the tracing to work with the new implementation.  I have added Tracers to the DefaultClient and DefaultServer created with the mux transporter but the service name and method name aren\'t filled in.  So it looks like I need to call something like:  after the TracingFilter executes and pushes the Tracer and sets up the trace id.  But I\'m not sure how best to insert this call into client and server instances. I\'ve read through much of the thriftmux implementation and I have been unable to find how it is done there.  Is thriftmux recording the service name and method name somehow that I am missing? It does look like in the DefaultServer the \'prepare\' field (ServiceFactory) could be used to record the rpc information.  Is that correct?  Or is there a better place to do that? On the client side, I haven\'t found some sort of hook to use yet.  Is there something in DefaultClient I can use?  or maybe the ClientDispatcher? Thanks for the help,"Patrick.""'",,,,,,,,,,,,,,,
finagle,91,closed,21,2012-06-27 16:16:57,7.12,,1,,"b'b"" I\'m willing to bet that recordRpcname is not called in mux and that\'s a bug.  Lemme look into it some more.""'",,,,,,,,,,,,,,,,,,
finagle,91,closed,22,2012-06-27 16:16:57,13.98,,,1,"b'b"" Thanks for the quick response. My thinking is that the mux transport has no way of knowing what the service name and method name should be.  So that is why I was looking for some sort of hook in the client and server to provide the information. Also on a side note", I\'ve been looking at thriftmux and the fact that the client and server builders aren\'t compatible with mux and I\'m starting to wonder if anyone has used the mux transport in production. Is mux just experimental at this point or is it production ready? Thanks again,"Patrick""'",,,,,,,,,,,,,,,,
finagle,91,closed,23,2012-06-27 16:16:57,242.33,,1,,"b""b' The intention is to use the new-style APIs; and are not going to be provided for new protocols. @roanta has a change coming\\xe2\\x80\\x94it should hit github very soon\\xe2\\x80\\x94which allows the same kind of customization with the new APIs.'""",,,,,,,,,,,,,,,,,,
finagle,91,closed,closed,2014-03-27 22:05:28,348.52,2,10,13,,,,,,,,,,,,,,,,,,,
finagle,91,closed,reopened,2014-03-27 22:05:31,0.05,2,10,13,,,,,,,,,,,,,,,,,,,
finagle,91,closed,24,2012-06-27 16:16:57,56.63,,,1,"b'b"" Thanks Marius.  I understand not using the builders with the new protocols.  In the meantime I\'ve passed the tracer into the default client and server. The driver behind us moving the protobuf implementation to mux is so that we can hook up Zipkin for distributed tracing in production.  So I have two primary concerns:getting the tracing working with the service and method namesand knowing that the mux transport is production ready Do you have some thoughts on that? Thanks","Patrick""'",,,,,,,,,,,,,,,,,
finagle,91,closed,25,2012-06-27 16:16:57,107.65,,1,,"b'b"" Both of these issues are huge focusses for the finagle team at twitter", and we\'re actively responding to any issues that arise with them.  I\'m not promising it\'s all bug-free, but we\'re extra-responsive on this stuff this quarter.  You\'re on the cutting edge," but I don\'t think you\'re too experimental to be in production.""'",,,,,,,,,,,,,,,
finagle,91,closed,26,2012-06-27 16:16:57,117.1,,,1,"b'b"" Great.  Thanks for the info.  If I can help with the mux code let me know. I\'m working on integrating the protobuf mux implementation with our existing services to see how the implementation shakes out.  I\'ll let you know if I see any other issues.""'",,,,,,,,,,,,,,,,,,
finagle,91,closed,27,2012-06-27 16:16:57,866.07,,,1,"b""b' Hi @bmdhacks",  Do you have an update on the rpc service name and method name issue with the mux transport? Should I open an issue? Thanks,"Patrick'""",,,,,,,,,,,,,,,,
finagle,91,closed,28,2012-06-27 16:16:57,337.33,,,1,"b""b' Is there an update on the mux tracing issue?  Should I open an issue? Thanks","Patrick'""",,,,,,,,,,,,,,,,,
finagle,91,closed,29,2012-06-27 16:16:57,49.63,,1,,"b'b"" It\'s fixed internally"," we\'re just working on getting a release out with the code.""'",,,,,,,,,,,,,,,,,
finagle,91,closed,30,2012-06-27 16:16:57,1033.5,,1,,"b""b' what is the timeframe for the tracing fix? -Patrick'""",,,,,,,,,,,,,,,,,,
finagle,91,closed,31,2012-06-27 16:16:57,36.48,,1,,"b'b"" We\'ll have something up within a week""'",,,,,,,,,,,,,,,,,,
finagle,91,closed,closed,2014-04-09 17:29:33,1164.03,2,14,17,,,,,,,,,,,,,,,,,,,
finagle,91,closed,reopened,2014-04-09 17:29:35,0.03,2,14,17,,,,,,,,,,,,,,,,,,,
finagle,91,closed,32,2012-06-27 16:16:57,74.65,,1,,"b'b"" @PatrickOsborne: Would you mind updating this pull request", or opening a new one with your implementation? We might as well begin the review process while we wait for that fix. Also," I don\'t think the fix actually blocks landing the patch?""'",,,,,,,,,,,,,,,,
finagle,91,closed,33,2012-06-27 16:16:57,279.7,,1,,"b""b' Ok"," the mux tracing fix is now pushed'""",,,,,,,,,,,,,,,,,
finagle,91,closed,34,2012-06-27 16:16:57,35.45,,1,,"b""b' And now it has been merged back into github.'""",,,,,,,,,,,,,,,,,,
finagle,91,closed,35,2012-06-27 16:16:57,1081.1,1,,,"b'b"" @george-vacariuc we\'ve been thinking about how it\'s a huge pain that finagle keeps changing underneath your feet so it\'s hard to merge in finagle-protobuf.  We\'ve also been putting similar projects under the finagle [organization][0].  What do you think about the idea of making finagle-protobuf its own project under the finagle org", so that it doesn\'t have to go through the same stringent code review process?  We can also make you an owner of the project, so you\'ll be able to merge pull requests etc yourself, which makes the most sense since you\'re the expert on finagle-protobuf. We\'ll still be happy to consult on finagle-protobuf," but we won\'t have to end up in these sinkholes where nothing gets done. Thoughts?""'",,,,,,,,,,,,,,
finagle,91,closed,36,2012-06-27 16:16:57,517.9,,,1,"b'b"" Moses", that\'s a good idea. I will check with our compliance people ifthey\'re ok with me working on this and I will follow up with you in thenext week or so. On Wed, Aug 13, 2014 at 12:00 PM," Moses Nakamura notifications@wrote:""'",,,,,,,,,,,,,,
finagle,91,closed,37,2012-06-27 16:16:57,910.1,,1,,"b""b' @george-vacariuc any update from your compliance folks?'""",,,,,,,,,,,,,,,,,,
finagle,91,closed,38,2012-06-27 16:16:57,575.67,1,,,"b""b' Hey Moses", Please accept my apologies for having not followed up; unfortunately I willnot be able to contribute to the project. George On Mon, Dec 29, 2014 at 10:48 AM," Moses Nakamura notifications@wrote:'""",,,,,,,,,,,,,,
finagle,91,closed,39,2012-06-27 16:16:57,677.43,,1,,"b'b"" For the record", after a conversation with @chrisphelps yesterday I rebased this PR against develop and split finagle-protobuf out into [its own project]url  in the Finagle org. It\'s likely that we\'ll remove the subproject from this repository," and once that happens I\'ll close this PR.""'",,,,,,,,,,,,,,,,
finagle,91,closed,40,2012-06-27 16:16:57,11.02,,,1,"b""b' Thanks"," @travisbrown '""",,,,,,,,,,,,,,,,,
finagle,91,closed,41,2012-06-27 16:16:57,1338.68,,1,,"b""b' finagle-protobuf is now [a stand-alone project]url  in the Finagle organization and [has been removed]url  as a subproject here.'""",,,,,,,,,,,,,,,,,,
finagle,91,closed,closed,2015-03-24 13:11:16,1181.68,4,20,19,,,,,,,,,,,,,,,,,,,
finagle,91,closed,-,-,-,4,20,19,,,,,,,,,,,,,,,,,,,
finagle,112,closed,opened,2012-09-18 21:12:40,,,,,,,,,,,,,,,,,,,,,,,
finagle,112,closed,title,2012-09-18 21:12:40,00:00,,1,,"b'b\' Don\\\'t say ""get sbt"". Clarify: can\\\'t build . Don\\\'t repeat version num\''",,,,,,,,,,,,,,,,,,
finagle,112,closed,1,2012-09-18 21:12:40,431.35,,1,,"b'b"" As there\'s no open source contributor"," I think you should send this review to the internal repo.""'",,,,,,,,,,,,,,,,,
finagle,112,closed,closed,2012-09-20 04:35:27,442.78,0,2,0,,,,,,,,,,,,,,,,,,,
finagle,112,closed,reopened,2012-09-24 16:59:28,744.02,0,2,0,,,,,,,,,,,,,,,,,,,
finagle,112,closed,2,2012-09-18 21:12:40,755.62,,1,,"b""b' Reopening. Missed that this was in the branch.'""",,,,,,,,,,,,,,,,,,
finagle,112,closed,closed,2012-09-24 17:00:06,0.63,0,3,0,,,,,,,,,,,,,,,,,,,
finagle,112,closed,-,-,-,0,3,0,,,,,,,,,,,,,,,,,,,
finagle,191,closed,opened,2013-08-05 20:43:35,,,,,,,,,,,,,,,,,,,,,,,
finagle,191,closed,title,2013-08-05 20:43:35,00:00,,1,,"b""b' Provide a timezone for serializing timestamps'""",,,,,,,,,,,,,,,,,,
finagle,191,closed,body,2013-08-05 20:43:35,00:00,,1,,"b""b' Adds a way to specify the timezone that dates and times are serialized in. This is a proposed fix for #190.'""",,,,,,,,,,,,,,,,,,
finagle,191,closed,1,2013-08-05 20:43:35,35.38,,1,,"b'b"" I\'m not sure this is the direction I would go with this. If you are convinced that connection level granularity for timezones is what we want", I think a better approach would be to auto-negotiate the timezone when a connection is established. Also, I don\'t want to associate the Client with one connection, even though it is the case now," this is something that will likely change. We actually have a PR internally that changes the Client (and would be incompatible with this change). Do you mind if we revisit this later?""'",,,,,,,,,,,,,,
finagle,191,closed,2,2013-08-05 20:43:35,98.47,,,1,"b'b\' The auto-negotiation is interesting... I\\\'ll look into that. I would argue that the timezone is related to the ""connection specification""", so I still think the Client is a reasonable place to specify the timezone to use for the data type.\'',,,,,,,,,,,,,,,,,
finagle,191,closed,3,2013-08-05 20:43:35,32.28,,1,,"b'b"" I\'ve temporarily resorted to using this hack to get the datetime written in UTC:  ""'",,,,,,,,,,,,,,,,,,
finagle,191,closed,4,2013-08-05 20:43:35,331.37,,1,,"b""b' We ended up solving a similar problem recently.  We solved it with [this commit]url @eric do you think that will solve your problem?'""",,,,,,,,,,,,,,,,,,
finagle,191,closed,5,2013-08-05 20:43:35,799.9,,1,,"b'b"" @eric haven\'t heard from you lately", so I\'m going to close this PR for now.  If you run into more problems," please let us know and we can reopen it.""'",,,,,,,,,,,,,,,,
finagle,191,closed,closed,2014-08-06 18:21:00,1297.42,0,6,1,,,,,,,,,,,,,,,,,,,
finagle,191,closed,6,2013-08-05 20:43:35,100.13,,1,,"b""b' Could you give me more detail as to how that solves the problem? Part of the issue is that a datetime in MySQL has no attached timezone", so without knowing the timezone the client that inserted the record intended to use, or without knowing what the timezone of the server is," how can we know what to use here?'""",,,,,,,,,,,,,,,
finagle,191,closed,reopened,2014-08-06 21:40:04,199.07,0,7,1,,,,,,,,,,,,,,,,,,,
finagle,191,closed,7,2013-08-05 20:43:35,103.22,,1,,"b'b"" Here we\'re just forcing everyone to UTC"," so it doesn\'t matter what the client\'s original timezone was.  I don\'t think I understand your question.""'",,,,,,,,,,,,,,,,,
finagle,191,closed,8,2013-08-05 20:43:35,9.78,,,1,b'b\' Well, in ActiveRecord (in ruby), for instance, you can specify what timezone you would like all of your dates to be specified in. Now, it is obviously A Good Idea to always pick UTC, but it certainly isn\\\'t a requirement. So, if someone had not picked UTC, this wouldn\\\'t be giving them the right result. So it seems to me that there would need to be a setting on either the connection or the statement that said,"This is the timezone I want you to think of the dates and times as being in"".\''
finagle	191	closed	9	mosesn	2013-08-05 20:43:35	9.23		+1		b'b"" Oh, it occurs to me that what I linked to wasn\'t the entire thing.  The first commit was [here]url I\'ll try to get the person worked on it in here to talk with you.""'
finagle	191	closed	10	jcrossley	2013-08-05 20:43:35	7.02		+1		b'b"" Hi Eric, I\'m just wrapping up a pull request related to this issue. DATETIME types are interpreted as UTC in the TimestampValue extractor. If you\'d like to have them treated as another timezone, you could write your own extractor for a RawValue. There isn\'t currently a way to specify a different timezone.""'
finagle	191	closed	11	jcrossley	2013-08-05 20:43:35	92.18		+1		b""b' I looked over your pull request, Eric. Perhaps you could add a test to verify the desired behaviour?'",,,,,,,,,,
finagle,191,closed,12,2013-08-05 20:43:35,1357.35,1,,,"b""b' Sorry"," I ended up not having time to circle back on this and have moved to just using JDBC. '""",,,,,,,,,,,,,,,,,
finagle,191,closed,13,2013-08-05 20:43:35,234.25,,,1,"b""b' Bummer"," thanks for the update.'""",,,,,,,,,,,,,,,,,
finagle,191,closed,closed,2015-07-14 18:53:27,1273.38,1,11,3,,,,,,,,,,,,,,,,,,,
finagle,191,closed,-,-,-,1,11,3,,,,,,,,,,,,,,,,,,,
finagle,207,closed,opened,2013-10-18 19:42:03,,,,,,,,,,,,,,,,,,,,,,,
finagle,207,closed,title,2013-10-18 19:42:03,00:00,,1,,"b""b' DNS-backed cluster'""",,,,,,,,,,,,,,,,,,
finagle,207,closed,body,2013-10-18 19:42:03,00:00,,1,,"b""b' Per discussion on the finaglers mailing list: url  DnsCluster continuously resolves a host name into a set of SocketAddress instances", loosely based on ZK cluster implementation .  LingeringCluster is a generic Cluster filter that propagates Rem events after a predefined delay," this helps dealing with  firewall that does its own DNS resolution. '""",,,,,,,,,,,,,,,,
finagle,207,closed,1,2013-10-18 19:42:03,339.62,,1,,"b'b"" I like the idea here"," but Clusters are deprecated.  It doesn\'t make sense to add a new one right now.  Can you get these to work with the Name api?""'",,,,,,,,,,,,,,,,,
finagle,207,closed,2,2013-10-18 19:42:03,235.4,,1,,"b""b' It should be pretty simple to adopt to the new APIs. '""",,,,,,,,,,,,,,,,,,
finagle,207,closed,3,2013-10-18 19:42:03,0.08,,,1,"b""b' (This is really cool btw.)'""",,,,,,,,,,,,,,,,,,
finagle,207,closed,4,2013-10-18 19:42:03,803.88,,1,,"b'b"" I\'ve looked at ZkResolver to see how to implement a similar DnsResolver"," but it uses a Group internally and there\'s a comment about taking that out as well (I understand Groups are deprecated too). I wonder if my best strategy is to wait until the dust settles and then take another look? Or am I barking up the wrong tree?""'",,,,,,,,,,,,,,,,,
finagle,207,closed,5,2013-10-18 19:42:03,326.58,1,,,"b'b"" The deprecation storm has settled and the [Addr] API is the outcome. I think it\'s safe to assume that it\'s stable enough to build upon. ZkResolver is still written in terms of Group because no one\'s had time to migrate StabilizingGroup to the Var[Addr] world. A DnsResolver would provide a function  . See [twitter-server\'s FlagResolver]url  class for a simple example.""'",,,,,,,,,,,,,,,,,,
finagle,207,closed,6,2013-10-18 19:42:03,1378.4,,1,,"b'b"" Thanks for your response", but I am still a bit confused where my DNS stuff would fit in this brave new world... On one hand, it could be used as a poor man\'s ZK, with multiple machines resolving the same hostname, so that\'s why I looked at the ZkResolver, but then we can also have a Name implementation," something like this: url  What would you guys prefer? ""'",,,,,,,,,,,,
finagle,207,closed,7,2013-10-18 19:42:03,318.85,,,1,"b""b' I think we just want this to be part of the inet! resolver.'""",,,,,,,,,,,,,,,,,,
finagle,207,closed,8,2013-10-18 19:42:03,1157.17,,,1,"b'b"" @agleyzer Not sure if you\'re still interested in this problem", but I just stumbled on this ticket again.  I think @mariusaeriksen is right that this shouldn\'t be special behavior," this should just be the way that the InetResolver works all the time.  Do you still have the bandwidth to make this happen?""'",,,,,,,,,,,,,,,,
finagle,207,closed,9,2013-10-18 19:42:03,1053.75,,,1,b'b\' @mosesn We keep getting bit by inet! resolved names failing to track DNS names that change over time (e.g. AWS ELBs), so I\\\'d be interested in working this into the inet! resolver if no one is tackling it yet. What\\\'s the best approach?1. Stick with ([]url  + []url  and periodically push DNS changes to the Var. This would require periodically re-resolving the hostname on a Timer," which seems like it might be overly complicated.2. Add some kind of ""bind-on-demand"" state in Addr so that DNS resolution happens on each request. Is this even possible?\\xe2\\x80\\x94looking at [ ]url  my guess is that it needs the push behavior in (1)...\''",,,,,,,,,,,,,,,,
finagle,207,closed,closed,2014-05-14 18:25:59,1363.93,1,6,4,,,,,,,,,,,,,,,,,,,
finagle,207,closed,reopened,2014-05-14 18:26:05,0.1,1,6,4,,,,,,,,,,,,,,,,,,,
finagle,207,closed,10,2013-10-18 19:42:03,76.22,1,,,"b'b"" @mosesn sorry I just noticed your question. I might have some bandwidth next week. @jdanbrown I ended up writing a subclass for Name with periodic changes: url  it\'s been in use for a while"," no complains so far.""'",,,,,,,,,,,,,,,,,
finagle,207,closed,11,2013-10-18 19:42:03,22.12,,,1,"b'b\' @agleyzer that solution looks great.  Would you mind if @jdanbrown refashioned it to be the default for ""inet!""?\''",,,,,,,,,,,,,,,,,,
finagle,207,closed,12,2013-10-18 19:42:03,7.58,,,1,b'b\' +1, this looks great. We should consider doing a few things:limit the total amount of permissible concurrency;have resolution timeouts (will thread interruption work here?). In the long term, we might consider implementing our own DNS resolver (I think that there was a Netty summer-of-code project for this -@trustin?) so that we can respect the upstream TTLs, etc. But," I know that anything involving ""your own DNS resolver"" is tantamount to famous last words.\''",,,,,,,,,,,,,,
finagle,207,closed,13,2013-10-18 19:42:03,13.05,,,1,"b""b' @mosesn @jdanbrown you are welcome to use that code"," I am glad to be of any help'""",,,,,,,,,,,,,,,,,
finagle,207,closed,14,2013-10-18 19:42:03,75.33,,,1,"b""b' Awesome.  @jdanbrown let me know if you need any help.'""",,,,,,,,,,,,,,,,,,
finagle,207,closed,15,2013-10-18 19:42:03,310.63,,1,,"b'b"" Yeah"," Netty has an asynchronous DNS resolution facility which came from last year\'s GSoC.  It has not been merged yet because it needs some clean-up.  Will let you know once it\'s ready to go.""'",,,,,,,,,,,,,,,,,
finagle,207,closed,16,2013-10-18 19:42:03,1092.37,,1,,"b""b' @agleyzer @jdanbrown looks like this fell through the cracks"," do either of you have the bandwidth to take this on?'""",,,,,,,,,,,,,,,,,
finagle,207,closed,17,2013-10-18 19:42:03,823.52,,1,,"b'b"" @mosesn ", we are using the DNS Resolver written by @agleyzer in our product," and it works well. Can I know what is the progress to support automatically DNS resolving in finagle? I can help on issue if @agleyzer doesn\'t have time.""'",,,,,,,,,,,,,,,,
finagle,207,closed,18,2013-10-18 19:42:03,293.6,,,1,"b'b"" Sure", if you want to take it on, we\'d be glad to take your PR.  None of us at twitter has the bandwidth to do it," so it will have to be community driven.""'",,,,,,,,,,,,,,,
finagle,207,closed,19,2013-10-18 19:42:03,17.85,,1,,"b""b' I might have some free time later in July but have no problem if someonegets there sooner. On Wed", Jun 11, 2014 at 10:30 AM," Moses Nakamura notifications@wrote:'""",,,,,,,,,,,,,,,
finagle,207,closed,20,2013-10-18 19:42:03,211.7,1,,,"b'b"" @mosesn @agleyzer @jixu Yeah", sorry, I dropped the ball on this. I still intend to do it eventually, but @jixu feel free to jump on it sooner if you want. Either way," I\'ll follow up here before I spend much time on it to make sure I\'m not racing with someone else.""'",,,,,,,,,,,,,,
finagle,207,closed,21,2013-10-18 19:42:03,1178.53,,1,,"b""b' @mosesn I have created a pull request for this issue:url Please help to review when you have time.'""",,,,,,,,,,,,,,,,,,
finagle,207,closed,22,2013-10-18 19:42:03,261.7,,,1,"b'b"" #282 implemented this"," so I\'m going to close this PR.  Thanks to @jixu and @agleyzer for this super cool feature!""'",,,,,,,,,,,,,,,,,
finagle,207,closed,closed,2014-08-06 18:19:59,1433.9,3,11,10,,,,,,,,,,,,,,,,,,,
finagle,207,closed,-,-,-,3,11,10,,,,,,,,,,,,,,,,,,,
finagle,212,closed,opened,2013-10-28 23:46:50,,,,,,,,,,,,,,,,,,,,,,,
finagle,212,closed,title,2013-10-28 23:46:50,00:00,,1,,"b""b' Fixed documentation import'""",,,,,,,,,,,,,,,,,,
finagle,212,closed,body,2013-10-28 23:46:50,00:00,,1,,"b'b"" This doesn\'t compile as-is because of the extra Future in the import.  Also", I removed the Await," which appears to be unused in this example.""'",,,,,,,,,,,,,,,,
finagle,212,closed,1,2013-10-28 23:46:50,1054.9,,,1,"b""b' This has since been fixed.  Thanks!'""",,,,,,,,,,,,,,,,,,
finagle,212,closed,closed,2013-12-20 17:21:44,1054.9,0,2,1,,,,,,,,,,,,,,,,,,,
finagle,212,closed,2,2013-10-28 23:46:50,1.18,1,,,"b'b"" Oops", I got confused," didn\'t realize this was in a comment.  I\'ll get this pulled internally.""'",,,,,,,,,,,,,,,,
finagle,212,closed,reopened,2013-12-20 17:22:56,1.2,1,2,1,,,,,,,,,,,,,,,,,,,
finagle,212,closed,3,2013-10-28 23:46:50,1268.6,,1,,"b'b"" This has been merged internally"," you\'ll see it up here in a little while.""'",,,,,,,,,,,,,,,,,
finagle,212,closed,closed,2014-01-03 14:31:44,1268.8,1,3,1,,,,,,,,,,,,,,,,,,,
finagle,212,closed,4,2013-10-28 23:46:50,83.82,,,1,"b""b' Awesome"," thanks'""",,,,,,,,,,,,,,,,,
finagle,212,closed,-,-,-,1,3,2,,,,,,,,,,,,,,,,,,,
finagle,217,closed,opened,2013-11-08 21:47:40,,,,,,,,,,,,,,,,,,,,,,,
finagle,217,closed,title,2013-11-08 21:47:40,00:00,,1,,"b""b' Update Netty from 3.7.0 to 3.8.0'""",,,,,,,,,,,,,,,,,,
finagle,217,closed,body,2013-11-08 21:47:40,00:00,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,
finagle,217,closed,1,2013-11-08 21:47:40,11.87,,1,,"b""b' We are already testing the Netty 3.8 internally"," it will be available here soon.'""",,,,,,,,,,,,,,,,,
finagle,217,closed,closed,2013-11-08 22:01:25,13.75,0,3,0,,,,,,,,,,,,,,,,,,,
finagle,217,closed,reopened,2013-11-08 22:01:37,0.2,0,3,0,,,,,,,,,,,,,,,,,,,
finagle,217,closed,2,2013-11-08 21:47:40,30.2,,,1,"b'b"" Thanks. I intend to do the update and send pull request", but since you are already doing that," it\'s better you finish it.""'",,,,,,,,,,,,,,,,
finagle,217,closed,3,2013-11-08 21:47:40,10.02,,,1,"b'b"" There\'s some trickiness with the backport of http headers from netty 4 that collides with our headers map in finagle.  If you want to take a look at it"," we\'d appreciate it.""'",,,,,,,,,,,,,,,,,
finagle,217,closed,4,2013-11-08 21:47:40,8.13,,1,,"b'b"" Yes. I\'m developing Xitrum url  which is based on Netty too. I\'m seeing warnings like below when updating Xitrum: url ""'",,,,,,,,,,,,,,,,,,
finagle,217,closed,5,2013-11-08 21:47:40,59.32,,1,,"b'b"" Please see this pull request (there\'s also commit about README):url ""'",,,,,,,,,,,,,,,,,,
finagle,217,closed,6,2013-11-08 21:47:40,24.5,,1,,"b""b' Does Twitter plan to update Netty from 3.x to 4.x soon? About when?'""",,,,,,,,,,,,,,,,,,
