REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,5,2011-04-06 18:21:07,401.3,,,1,b'b\' Personally I agree that we could drop to a single job that you pass your flag to (i.e. AddRecentlyAddedJobs would just add a single job passing the flag to the constructor) it would save on contention with the jobmanager as really you want all the jobs specified by the flag run before you update the UI anyway.  In addition it\\\'d save locks on the database during a scan. You could still have separate classes to do the separate things if you think that\\\'s better, though IMO separate functions is fine as well you\\\'d simply call each of those  in the DoWork() routine of the one job. However I don\\\'t see a huge benefit in providing less information after all, it\\\'s up to the skin as to what they choose to display and as we don\\\'t know this in advance (necessarily at least) it\\\'s easier just to grab the lot.  Especially given that grabbing everything versus grabbing a subset has very little impact on performance, even if the sql queries were optimised to the n-th degree. In the future," the ""listing"" portion of RA would be done by simply retrieving a directory"," so that portion of the jobs will be going away the ""totals"" portion would then be all that remains", which would be general infolabels.\'',,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,6,2011-04-06 18:21:07,0.32,,1,,"b""b' With that taken care of it can be slotted in.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,7,2011-04-06 18:21:07,519.17,,,1,"b""b' @althekiller  & @jmarshallnz: is this better? @spiff: you still happy with it like this?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,8,2011-04-06 18:21:07,13.9,,1,,"b""b' Yup better IMO.  Only extra thing you need is checking the return codes of UpdateVideo etc.  Something like: bool ret = true;if (m_flag & Video)  ret &= UpdateVideo(); return ret; etc.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,9,2011-04-06 18:21:07,5.57,,1,,"b""b' @jmarshallnz: and now? :)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,10,2011-04-06 18:21:07,10.78,,,1,"b""b' Yup", fine. On Sat, Apr 16, 2011 at 7:58 PM," amet <reply@>wrote:'""",,,,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,11,2011-04-06 18:21:07,669.93,,,1,"b'b"" Looks better", yeah. I think the check for raflag != 0 oughta be moved into CGUIWindowHome::AddRecentlyAddedJobs(), though.  As it stands, its not tested in CGUIWindowHome::OnInitWindow(). With that fixed I suppose I\'m fine with this going in.  If it ends up bothering me enough," I\'ll find time to readdonify it such that it keeps everyone happy.""'",,,,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,12,2011-04-06 18:21:07,71.38,,,1,"b""b' Looks good now.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,13,2011-04-06 18:21:07,16.53,,1,,"b""b' squashed some commits together"," will wait for spiffs comment before pushing '""",,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,14,2011-04-06 18:21:07,536.73,,,1,"b""b' fine by me'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,closed,2011-04-17 12:23:30,251.6,1,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,-,-,-,1,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,101,closed,opened,2011-04-15 03:42:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,101,closed,title,2011-04-15 03:42:40,00:00,,,1,"b""b' smarter weather'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,101,closed,body,2011-04-15 03:42:40,00:00,,1,,"b'b"" With this patch", XBMC will show the weather for the current location instead of New York, NY ;-) The user\'s location is determined by visible wifi networks and IP geolocation as a backup, and is presented with the three existing locations on the Weather window. The first time the Weather window is opened, if XBMC can\'t find the location," then the user has a chance to view the weather settings and the weather defaults to area code 1. EDIT: New git pull request is url ""'",,,,,,,,,,,,,,,,,,,,,,,
xbmc,101,closed,1,2011-04-15 03:42:40,3.02,1,,,"b""b' sorry about the merge weirdness above. it was only supposed to be 3 commits (network scanning", remember location," and smarter weather). I can submit another pull request if i need to'""",,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,101,closed,2,2011-04-15 03:42:40,267.6,,1,,"b""b' Just push the corrected commits to the same branch on your repo"," then this pull request will be updated.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,101,closed,closed,2011-04-15 08:13:17,270.62,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,101,closed,reopened,2011-04-15 08:13:20,0.05,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,101,closed,3,2011-04-15 03:42:40,0.25,,1,,"b""b' Whoops.. wrong button.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,101,closed,4,2011-04-15 03:42:40,831.82,,,1,"b'b"" OK", two more patches coming up. First, a minor change in  that only affected internal xbmc labels. Second," removed m_bLocationFailed from CGUIWindowWeather because caching the location-failed state doesn\'t offer any performance benefits.  overall function of the pull request is unchanged.""'",,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,101,closed,5,2011-04-15 03:42:40,8.07,1,,,b'b\' OK. So. Here\\\'s the outcome of this pull request. In a perfect world :-), XBMC will show weather for the current location the first time it\\\'s run. (When the user switches locations using the weather location slider, XBMC remembers this.) But it also degrades quite well for the following situations:1. _Location fails due to no network_ not important," because without internet what good is weather?2. _Location fails when set to ""current location"" (e.g. first time xbmc is run)_ Upon visiting the weather screen", user is given the option to change to a predefined location3. _Same as above, but user clicks cancel instead of changing the location_ A location refresh is triggered. If it succeeds, we\\\'re in our perfect world. If it fails, back to # 2. If it fails and the user is a ninja and quickly returns to the weather screen (so the location update is still in progress)," on to # 5.4. _Location fails when set to a predifined location_ ""Current location"" is simply skipped on the weather location slider5. _Location is set to ""current location""", but the user checks weather before location has a chance to fail (mid-update)_ When location eventually does fail," a NOTIFY_ALL msg is sent and # 2 occurs6. _Location fails but is eventually refreshed and then succeeds (weather set to ""current location"")_ When weather finishes refreshing we return to our perfect world scenario7. _Location fails but is eventually refreshed and then succeeds (weather set to pre-defined location)_ Current location is added on the weather location slider Does that address all the cases? If there\\\'s any I missed", lemme know\'',,,,,,,,,,,,,,,,,
xbmc,101,closed,6,2011-04-15 03:42:40,478.1,1,,,b'b\' I\\\'d prefer that we don\\\'t prompt the user personally, and if location-based lookups fail, just switch to the first location.  Remember that weather can be shown anywhere," so it would be useful I think to just switch the setting on failure.  I think you\\\'d be able to get rid of the window messages then? I presume that the user can still cycle to the ""auto"" areacode", or how is that handled?  Also, how does this fit in with the terms of service on  (in particular, I thought we had a requirement of 3 locations only.)\'',,,,,,,,,,,,,,,,,,,,,,
xbmc,101,closed,7,2011-04-15 03:42:40,106.42,1,,,b'b\' @jmarshallnz, that\\\'s how I originally implemented it, and I ran into the following problem: how to differentiate between an ephemeral failure (say," network problems) and a permanent one (not in \\\'s database)? Prompting the user upon failure helps us decide... ""Location lookup failed"," switch to another one? "" Intuitively", cancel does nothing permanent (xbmc will try to redetermine location) and ok Does The Right Thing (permanently switches to area code 1). Most importantly, the window message makes sure this happens in a noticeable (non-confusing) way. Also, the auto areacode is only placed in the location spinner when the current location is known. If those were the terms, it looks like they\\\'ve been updated, url  Only restriction I can see is on copyrights, and you can\\\'t copyright a datum. If it\\\'s a problem we could switch to google\\\'s weather API\'',,,,,,,,,,,,,,,,,,
xbmc,101,closed,8,2011-04-15 03:42:40,24.88,,1,,b'b\' I\\\'m not sure how auto-switching to the 1st predefined areacode is a problem in either a network problem or permanent problem to be honest," assuming ofcourse that the user can toggle back to the ""automatic"" option even if the location is not known.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,101,closed,9,2011-04-15 03:42:40,50.87,,,1,b'b\' I\\\'ll approach that by tackling the larger picture. XBMC has what, like 200 skinable windows? TBH, I think it\\\'s a greater offense to shove New York\\\'s weather in your face 200 times than an admissible 50-pixel void =) Also, a second point is that it adds confusion (maybe resentment?) when software takes the initiative to modify your personal settings without notifying you. EDIT: The shift away from a paradigm," of putting cool features before utility (""Remember that weather can be shown anywhere"," -even if it\\\'s the wrong weather?), is unfortunately overlooked by Git\\\'s diff\''
xbmc	101	closed	10	jmarshallnz	2011-04-15 03:42:40	25.55	+1			b'b\' How is it modifying your personal settings?  All you\\\'re doing is switching from automatic (which fails) to the first area code by default which, yes, is New York.  You can leave it so that it just leaves no information at all if you think that would be a lesser sin than showing the weather for NY.  My main point is that prompting the user is annoying, so if we can get away with doing something sane while not prompting then we should do that instead. As for ""toggling back to automatic"": There\\\'d be 3 preset locations and a forth automatic one.  So the spinner would flip between ""Automatic (fill in location once known)","New York"" etc. The advantage of this is that the user gets to have 3 well-defined locations and a fourth automatic one.\''
xbmc	101	closed	11	garbear	2011-04-15 03:42:40	19.7	+1			b'b"" The 3+1 behavior and the toggling-back-to-automatic behavior is currently in place, plus in addition the \'automatic\' option is omitted if unknown (permanently enabling it would be trivial) Prompting the user is annoying and is avoided as much as possible. The only time the prompt will ever be shown is when the user is on the MyWeather screen, and they try to view the weather for the current location, and the location-based lookup has certainly failed (not just in-progress). I figure if the user is trying that hard to see the weather, they deserve a shove in the right direction, right? (and i modded my post above mumbling about paradigms right before you posted) =)""'
xbmc	101	closed	12	garbear	2011-04-15 03:42:40	806.9		+1		b'b"" In regards to 44978fdd34b3ac3dc96b693c3a6d293235b0abdf... did I do the const\'s correctly? or do they come after the method""'
xbmc	101	closed	13	garbear	2011-04-15 03:42:40	250.65		+1		b""b' Uh oh. I think Github just blew its nose all over this pull request'",,,,,,,,,,,,,,,,,,,,,,
xbmc,101,closed,14,2011-04-15 03:42:40,61.87,,,1,"b'b"" Some thoughts", it seems to me that the diff is interleaved with lots of non-related fixes? I\'d prefer if it was just changes concerning the pull req. Not sure if this is due to merge with master or something but it would be nice if not there as its easier to actually review the entire diff. As for the rest of the code. CNetwork::toJson seems to fit better to be moved into the smart weather part, as its more specific to google gears than to network.The const alterations and such in network seems to be better fitted for a seperate pull req (and considering we are gonna redo the entire network implementation perhaps not needed)," IMO also goes for the accesspoint addition etc. Another simpler implementation instead of using accesspoints (which might be more than enough location wise) is GeoIP. This wouldn\'t require at all as much code addition also (not to the network layer atleast) :).""'",,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,101,closed,15,2011-04-15 03:42:40,48.02,,,1,"b'b"" =) Yea I tried to rebase (to pull in the new confluence modifications) and Github kicked me in the nuts and ruined everything. What I plan to do is", close this pull request, and open a new one that looks really pretty. (it\'s all about looking good :-p)I agree, ::toJson should be exiled into the location code.I found the network patches topfs2 posted 7 months ago, url  The fixes and additions I make in this patch might get overwritten, so when development picks up on the new network implementation I\'m down to help outSo now I\'m going to open up two pull requests. One is just bug fixes and network enhancements I\'ve come across. Two is location-based lookup. In other words," twice the chances for Github to screw up my pull requests ;-)""'",,,,,,,,,,,,,,,,,,,,,,
xbmc,101,closed,closed,2011-05-03 05:26:22,1273.03,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,101,closed,-,-,-,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,115,closed,opened,2011-04-25 15:17:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,115,closed,title,2011-04-25 15:17:22,00:00,,1,,"b""b' Added  for contents movie"," tvshow and musicvideo'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,115,closed,body,2011-04-25 15:17:22,00:00,,,1,"b'b"" Hi this is my first contribution"," so don\'t hesitate to let me know if I did something wrong.Thanks""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,115,closed,1,2011-04-25 15:17:22,91.8,,,1,b'b\' This looks good to me overall. I\\\'ll try it out when I got more time at hand.Personally I\\\'d prefer to have a GetGenres call which does not differ between movie," tvshow and musicvideo. Maybe the ""content"" parameter could be made optional"," add an entry ""all"" to the enum list and set it\\\'s default value to ""all"". This way it would be possible to get specific genres or simply all of them. But I can\\\'t come up with a use case where it is essential to know all video genres.\''",,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,115,closed,2,2011-04-25 15:17:22,124.68,1,,,"b""b' Sorry for all the bad indentations. Need to work on this (using VS 2010 with GIT GUI).'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,115,closed,3,2011-04-25 15:17:22,1.85,,1,,"b'b"" I like the idea of having all videos genres from one request"," I\'ll try to get it working and probably will remove the content parameter all together.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,115,closed,4,2011-04-25 15:17:22,90.2,,,1,"b'b\' I wouldn\\\'t drop the content parameter as it makes sense to only show genres which are associated with movies in a movie section and not showing those which are only associated with musicvideos. Actually that\\\'s the way it works in XBMC\\\'s GUI so I think it also makes sense for the JSON-RPC API. I just thought of the ""all"" type as a completion of the feature. Concerning VS2010: Make sure you set it up to replace all tabs with 2 (!!!) spaces.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,115,closed,5,2011-04-25 15:17:22,996.02,,1,,"b'b"" Ok", I did look at the code again and I can\'t return all the genres without altering / adding code to the xbmc core functions.Also," I agree with you we should stick with XBMC logic.So is it ok if I only correct my code according to your other comments and resubmit the request ?""'",,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,115,closed,6,2011-04-25 15:17:22,3.48,,1,,"b'b\' I\\\'ll have to take a closer look at CVideoDatabase::GetGenresNav but it shouldn\\\'t be that difficult to get it working. But it\\\'s ok with me if you just fix up those things I pointed out and then I (or someone else) can still add the ""all"" functionality in the future if required.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,115,closed,7,2011-04-25 15:17:22,13.87,,1,,"b""b' '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,115,closed,closed,2011-04-28 13:19:16,1321.9,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,115,closed,8,2011-04-25 15:17:22,7.37,,1,,"b""b' You could just push a fix commit to your branch and it would automatically appear in the pull request ;-) So you can either do that and reopen this pull request or you make a new commit already containing the fixes and create a new pull request.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,115,closed,reopened,2011-04-29 09:50:17,1231.02,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,115,closed,9,2011-04-25 15:17:22,1224.02,,,1,"b""b' Thanks for the tip ;-)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,115,closed,10,2011-04-25 15:17:22,79.27,1,,,"b'b"" Not sure if I did the push correctly. Let me know and sorry wasting your time with this.I\'m still learning to use GIT. Thanks""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,115,closed,11,2011-04-25 15:17:22,472.18,,,1,"b'b"" You did it right. If you push to a branch with an open pull request github automatically appends the newly pushed commit to the pull request assuming that it\'s some kind of fix (which is mostly correct). The fixes look good to me.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,115,closed,12,2011-04-25 15:17:22,484.68,,1,,"b'b"" I\'m working on the  that will allow to update movie details with JSON-RPC. My guess is I need to wait for my push request to be accepted before submitting a new one ?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,115,closed,13,2011-04-25 15:17:22,189.38,,1,,"b'b"" Take a look at the jsonrpc_media_update branch in my repository url  I already wrote methods to set or delete all kinds of video items so no need to work on that. I have also started to work on this for audio items but haven\'t pushed that to my repo yet. What you should normally do is not to work on your master branch but to always create a new branch for every feature you are working on. This way you can work on multiple features simultaneously and can have multiple pull requests. I was busy with integrating one of my own pull requests but I\'ll take a look at this one when I get home today.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,115,closed,14,2011-04-25 15:17:22,27.93,,,1,"b'b"" OK I took a quick look (although I\'m not home yet ;-)) and it works well but I still noticed some small cosmetic stuff. The best way for me to find those is using Git Bash (if you\'re on windows). When you do a git diff there for your commits some of those indentation problems will appear as red blocks and so they are very easy to spot. I encourage you to install msysgit url  and use the Git Bash command line tool for these things. I know it\'s not as comfortable as using a GUI but it has some nice extra features.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
