REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,
RestSharp,144,closed,closed,2012-05-09 05:29:53,351.68,0,4,0,,,,,,,,,
RestSharp,144,closed,-,-,-,0,4,0,,,,,,,,,
RestSharp,150,closed,opened,2011-07-31 01:24:19,,,,,,,,,,,,,
RestSharp,150,closed,title,2011-07-31 01:24:19,00:00,,1,,"b""b' Fixed the MissingMethodException in the Json deserializer'""",,,,,,,,
RestSharp,150,closed,body,2011-07-31 01:24:19,00:00,,1,,"b""b' It was still happening in some cases", this is the correct fix for it," tested and it works'""",,,,,,
RestSharp,150,closed,closed,2011-08-18 17:18:29,954.17,0,2,0,,,,,,,,,
RestSharp,150,closed,reopened,2011-08-18 17:18:31,0.03,0,2,0,,,,,,,,,
RestSharp,150,closed,1,2011-07-31 01:24:19,954.27,,1,,"b""b' Can you provide the specific scenario where this is failing for you? Provide a sample json and C# class.'""",,,,,,,,
RestSharp,150,closed,2,2011-07-31 01:24:19,772.57,,1,,"b""b' If you are still experiencing this"," open a thread on the Google Group to discuss it and possible fixes.'""",,,,,,,
RestSharp,150,closed,closed,2011-08-25 06:11:09,772.63,0,4,0,,,,,,,,,
RestSharp,150,closed,-,-,-,0,4,0,,,,,,,,,
RestSharp,162,closed,opened,2011-10-01 00:52:23,,,,,,,,,,,,,
RestSharp,162,closed,title,2011-10-01 00:52:23,00:00,,1,,"b""b' OAuth1 for wp7'""",,,,,,,,
RestSharp,162,closed,1,2011-10-01 00:52:23,252.05,,,1,"b""b' Thanks for request but can you explain a bit about what you did in this commit? One of the diffs basically removed (-) an entire file and added (+) it back in making it very difficult to see what the real change set is.'""",,,,,,,,
RestSharp,162,closed,2,2011-10-01 00:52:23,76.1,1,,,"b'b"" This is support for OAuth1 authorization on windows phone 7. Sorry for this file", it\'s seems VS2010 rewrite this file in this way," but don\'t worry where is notthing deleted only added file from OAuth1 support folder. ""'",,,,,,
RestSharp,162,closed,3,2011-10-01 00:52:23,607.57,,1,,"b""b' ayoung"," can I help you?'""",,,,,,,
RestSharp,162,closed,closed,2011-10-06 16:28:06,935.72,1,2,1,,,,,,,,,
RestSharp,162,closed,reopened,2011-10-06 16:28:14,0.13,1,2,1,,,,,,,,,
RestSharp,162,closed,closed,2011-10-07 04:33:01,724.78,1,2,1,,,,,,,,,
RestSharp,162,closed,4,2011-10-01 00:52:23,726.37,,,1,"b""b' Just pulled it in. Thank you.'""",,,,,,,,
RestSharp,162,closed,-,-,-,1,2,2,,,,,,,,,
RestSharp,216,closed,opened,2012-02-05 00:13:49,,,,,,,,,,,,,
RestSharp,216,closed,title,2012-02-05 00:13:49,00:00,,1,,"b""b' Strongly Name the assemblies'""",,,,,,,,
RestSharp,216,closed,body,2012-02-05 00:13:49,00:00,,,1,"b'b"" Is it possible for you guys to strongly name your assemblies?  I\'m looking to use the RestClient within my  library", but I can\'t because it\'s not strongly named, and my assembly is.  I could distribute my own version," but I\'d rather not do that. Cheers!Scott""'",,,,,
RestSharp,216,closed,1,2012-02-05 00:13:49,1254.92,,1,,"b""b' There are no plans to do this. See: url '""",,,,,,,,
RestSharp,216,closed,closed,2012-02-08 21:08:44,1254.92,0,2,1,,,,,,,,,
RestSharp,216,closed,reopened,2013-09-12 15:52:14,1123.5,0,2,1,,,,,,,,,
RestSharp,216,closed,2,2012-02-05 00:13:49,1128.2,,,1,"b'b"" @swaj Do you still need a strong named version of RestSharp or have you moved on? @young what about you? The reason I bring this up is that a clever solution that the  library does is to strongly name the assembly", but lock the assembly version. That way, only the package version changes. This resolves most of the binding redirect pains of using RestSharp. Of course," it\'s a one-time breaking change. Check out this discussion about signing WebActivator: url  This would pretty much require that we create a new package name. We\'d need to come up with a name for it.""'",,,,,
RestSharp,216,closed,3,2012-02-05 00:13:49,1291.72,,,1,"b'b"" No I don\'t.  Honestly I would rather drop strong-naming altogether.  If somebody that uses my library needs assemblies strongly named"," they can do it themselves.""'",,,,,,,
RestSharp,216,closed,4,2012-02-05 00:13:49,157.7,,1,,"b'b"" For me this is still a minor issue"," I\'m trying to get most of my assemblies signed.""'",,,,,,,
RestSharp,216,closed,5,2012-02-05 00:13:49,848.1,,1,,"b'b"" I would also like to drop strong-naming altogether. Unfortunately I can\'t! I use RestSharp in a SharePoint project that requires DLLs to be deployed to the GAC and therefore **must be strong named**. There is the [RestSharpSigned]url  package but it is a community effort and not updated as frequently. Considering this makes it difficult for some users to keep updated with the latest version of RestSharp"," I would really appreciate it if the decision to drop strong naming could be reconsidered? Pretty please! Also wondering what happened in Pull Request url  related to this?""'",,,,,,,
RestSharp,216,closed,6,2012-02-05 00:13:49,701.73,,1,,"b'b"" Strong names only cause a problem when they are not used properly. Unfortunately it\'s also easy to misuse them. However", we can\'t forget the following.1. Strong-named assemblies can be used by applications that do not have strong names.2. Assemblies without a strong name **cannot** be used by assemblies that **do** have a strong name.3. Many applications which are otherwise highly extensible, such as Microsoft Visual Studio, use strong named assemblies. Failing to use strong names for an assembly distributed through NuGet is detrimental to overall usefulness of the package. The solution is simple: understand the limitations of strong names and develop a breaking changes policy and NuGet package specification which eliminates the problems typically associated with strong named assemblies.1. Configure your package to use a strong name.2. Use ranged version specifications for your NuGet specification and dependencies. For example, you could say that packages released in the range will use the same strong name.3. Specify the  ,  , and  . Only alter the when you change the minor version of your assembly, because this value _changes the strong name_. All versions in the range (per the above example) would only change the values of the and  .4. ~~If you ship separate assemblies targeting different versions of the .NET Framework," use separate values for the in each of those assemblies to support property SxS loading of the strong named assembly.~~ Edit: In many cases it\'s possible to avoid problems by simply ensuring that the public API surface of libraries that target different framework versions are identical.5. Do not include any changes in the range which result in a _binary_ incompatibility for assemblies referencing version 1.0. Avoid changes in this range which result in a _source code_ incompatibility.""'"
RestSharp,216,closed,7,2012-02-05 00:13:49,3.67,,,1,"b'b"" If you have any questions about strong names or the associated policies"," feel free to @-reference me and I\'ll be happy to help review any material.""'",,,,,,,
RestSharp,216,closed,8,2012-02-05 00:13:49,18.77,,1,,"b'b"" I\'ve reached out to the owner of the RestSharpSigned nuget package to see what he\'s doing.  I\'ve also offered to take it over and to try and keep it up to date with the core library.""'",,,,,,,,
RestSharp,216,closed,closed,2014-10-30 05:05:39,793.42,0,6,4,,,,,,,,,
RestSharp,216,closed,9,2012-02-05 00:13:49,751.63,,,1,"b'b"" I\'ve got control of the RestSharpSigned package and will update it as soon as nuget comes back online.  There are commits from tonight that create a new solution and project files that support the strong naming.""'",,,,,,,,
RestSharp,216,closed,10,2012-02-05 00:13:49,287.02,,1,,"b'b"" The problem today is that now I have nuget packages that depend on RestSharp and now I can\'t add any that depend on RestSharpSigned and vice-versa. :sob: ""'",,,,,,,,
RestSharp,216,closed,-,-,-,0,7,5,,,,,,,,,
RestSharp,245,closed,opened,2012-04-11 12:18:28,,,,,,,,,,,,,
RestSharp,245,closed,title,2012-04-11 12:18:28,00:00,,1,,"b""b' BugFix:  property might throw an exception.'""",,,,,,,,
RestSharp,245,closed,body,2012-04-11 12:18:28,00:00,,1,,"b""b' Hi folks"," the  property was sometimes throwing an exception. This is when it tried to concert the RawBytes to a string .. but if there was no RawBytes data .. well .. :boom: :( I found this to happen when i tried to goto a bad IP Address like: Cheers :)'""",,,,,,,
RestSharp,245,closed,closed,2012-04-11 12:19:49,1.35,0,2,0,,,,,,,,,
RestSharp,245,closed,1,2012-04-11 12:18:28,2.38,,1,,"b""b' Nevermind. :blush: I thought () was BCL. not a custom extension. :blush:'""",,,,,,,,
RestSharp,245,closed,2,2012-04-11 12:18:28,12.85,1,,,"b'b"" Not sure if this is weird or not", but I get the exception (when RawBytes is null) when I use the latest NuGet package v102.7 (.net 3.5 dll). But when I used the dll from the latest repo (which I forked) .. the error doesn\'t happen. ?? (this PR doesn\'t need to be pulled," now but just wanted to see if u guys can confirm this error?)""'",,,,,,
RestSharp,245,closed,reopened,2012-04-11 12:33:44,13.92,1,3,0,,,,,,,,,
RestSharp,245,closed,3,2012-04-11 12:18:28,1007.22,,1,,"b""b' discussion is on google groups'""",,,,,,,,
RestSharp,245,closed,closed,2012-04-16 05:20:55,1007.18,1,4,0,,,,,,,,,
RestSharp,245,closed,-,-,-,1,4,0,,,,,,,,,
RestSharp,247,closed,opened,2012-04-12 15:10:22,,,,,,,,,,,,,
RestSharp,247,closed,title,2012-04-12 15:10:22,00:00,,1,,"b""b' Modify UrlEscape() to handle strings longer than 32766 characters'""",,,,,,,,
RestSharp,247,closed,body,2012-04-12 15:10:22,00:00,,1,,"b""b' () only supports 32","766 character inputs.  This change breaks larger inputs into smaller chunks that EscapeDataString can handle.'""",,,,,,,
RestSharp,247,closed,1,2012-04-12 15:10:22,849.77,,,1,"b""b' i think this is fine"," but do you regularly deal with URLs over 32K characters?!'""",,,,,,,
RestSharp,247,closed,2,2012-04-12 15:10:22,661.68,,1,,"b""b' It is definitely an edge case.  I mostly hit this when switching from POST to GET requests for debugging purposes.'""",,,,,,,,
RestSharp,247,closed,3,2012-04-12 15:10:22,88.98,,1,,"b""b' Is there another way we can solve the debugging problem? On Apr 16",2012, at 9:21 AM," Jeff Thielekereply@wrote:'""",,,,,
RestSharp,247,closed,closed,2012-04-24 22:51:43,461.35,0,4,1,,,,,,,,,
RestSharp,247,closed,4,2012-04-12 15:10:22,152.28,,1,,"b'b"" I think you\'re using EscapeDataString() in a way it wasn\'t totally meant for-it expects it\'s usage to be inside of a URL", but for RestSharp," it\'s not necessarily going to be used in a URL (it\'s being used to encode the POST\'d body data).  I\'m running into this bug while trying to use MailGun to send email via their web endpoint. Their example code specifically says to use RestSharp. Here\'s some code that can show the issue:  ""'",,,,,,
RestSharp,247,closed,5,2012-04-12 15:10:22,4.18,,1,,"b""b' So I think you either need to not use EscapeDataString (find an alternative) or do some sort of chunking"," as this pull request suggested.'""",,,,,,,
RestSharp,247,closed,6,2012-04-12 15:10:22,669.88,,1,,"b""b' @johnsheehan mind taking a look at my comments?'""",,,,,,,,
RestSharp,247,closed,7,2012-04-12 15:10:22,865.77,,1,,"b'b"" We just ran into the same issue with an app in production. Indeed"," this happens for POST-ed data as well. @johnsheehan Would you mind replying to @nicholashead\'s comments? I think he has a fair point.""'",,,,,,,
RestSharp,247,closed,8,2012-04-12 15:10:22,1095.45,,1,,"b""b' @johnsheehan This is not an edge case for me this is making some of the most important emails we send to Mailgun fail. Can you reconsider merging this pull request?'""",,,,,,,,
RestSharp,247,closed,9,2012-04-12 15:10:22,1101.55,,1,,"b""b' Voting to reopen this. The current version breaks POSTs with long bodys added via .AddParameter() for me too (using version 104.1).'""",,,,,,,,
RestSharp,247,closed,10,2012-04-12 15:10:22,606.48,1,,,"b""b' Guys"," please implement this fix.  I damn near forgot not to use the NuGet package yet again because of this bug.'""",,,,,,,
RestSharp,247,closed,11,2012-04-12 15:10:22,20.53,,1,,"b""b' Mind adding unit tests?'""",,,,,,,,
RestSharp,247,closed,12,2012-04-12 15:10:22,1150.63,,1,,"b""b' Vote to have this reopened. I too am having an issue with MailGun and RestSharp due to this issue. '""",,,,,,,,
RestSharp,247,closed,13,2012-04-12 15:10:22,40.2,,,1,"b'b"" If someone addresses my review comments etc"," I\'m happy to consider this.""'",,,,,,,
RestSharp,247,closed,reopened,2013-09-24 16:57:46,1086.05,1,12,2,,,,,,,,,
RestSharp,247,closed,14,2012-04-12 15:10:22,22.53,1,,,"b'b"" @jeffthieleke-wf mind updating your pull request per @Haacked \'s feedback? Chunking the responses seems to work pretty reliably"," but still feels dirty to me. Seems like we should find a better replacement for  ""'",,,,,,,
RestSharp,247,closed,15,2012-04-12 15:10:22,1335.73,,1,,b'b\' I\\\'m going to throw in a +1 for needing this pull committed as well. I\\\'m hitting this same issue with an API that, although is POST-based, expects the parameters to be GET-style in the URI. So," it\\\'s overflowing in certain scenarios. @nicholashead I agree that it might seem a little ""hacky""", but that seems to be the answer I can find from several places across the web. Not sure there\\\'s another alternative. If @jeffthieleke-wf doesn\\\'t update the pull request, one of us just needs to submit our own pull request with @Haacked comments addressed, right?\'',,
RestSharp,247,closed,16,2012-04-12 15:10:22,78.17,,,1,"b'b"" In case you want it"," I just submitted a new pull request with @jeffthieleke-wf changes and @Haacked requested changes to his pull. It\'s pull #440. I tested these changes for my scenario that I\'ve been bombing on and it works beautifully.""'",,,,,,,
RestSharp,247,closed,17,2012-04-12 15:10:22,42.87,1,,,"b'b"" Have you considered contacting them and telling them they\'re doing HTTP wrong? :stuck_out_tongue: ""'",,,,,,,,
RestSharp,247,closed,18,2012-04-12 15:10:22,5.23,,1,,"b'b"" Already did. :) But my deadline won\'t wait either. Getting a fix into RestSharp will probably be quicker than them changing their whole messed up API. Ha!""'",,,,,,,,
RestSharp,247,closed,19,2012-04-12 15:10:22,311.53,,1,,"b'b"" I pushed an update to NuGet. It\'s a pre-release package version 104.3.1-beta. Please try it out and let me know if I can remove the pre-release tag.""'",,,,,,,,
RestSharp,247,closed,20,2012-04-12 15:10:22,59.78,,,1,"b'b"" Thanks! I should be able to try it out first thing Monday morning. I\'ll keep you posted. ""'",,,,,,,,
RestSharp,247,closed,21,2012-04-12 15:10:22,32.8,,,1,"b'b"" Just tested 104.3.1-beta on the app I\'ve been working", and it\'s workinggreat! Thanks! On Fri, Oct 18, 2013 at 7:53 PM," Robert Miles robert@miles3.com wrote:""'",,,,
RestSharp,247,closed,22,2012-04-12 15:10:22,1142.82,,,1,"b""b' Seconded. I also just tested 104.3.1-beta and it is working like a charm. Thanks for your work on this.'""",,,,,,,,
RestSharp,247,closed,23,2012-04-12 15:10:22,96.3,,,1,"b""b' Thanks! This code is up on NuGet now.'""",,,,,,,,
RestSharp,247,closed,closed,2013-10-22 21:05:32,247.77,3,15,7,,,,,,,,,
RestSharp,247,closed,24,2012-04-12 15:10:22,696.55,1,,,"b""b' @nicholashead not trying to hijack the post but one of the originating issues I saw was due to mailgun apis.  Do you happen to have"," or know of good Mailgun related code using Restsharp that is available for sharing?  I have seen very little and hate to reinvent the wheel when unnecessary.  Thanks!'""",,,,,,,
RestSharp,247,closed,25,2012-04-12 15:10:22,1145.45,,1,,"b""b' @drewid [Here you go]url This is a NServiceBus implementation but you should be able to port it pretty quickly to your needs.'""",,,,,,,,
RestSharp,247,closed,-,-,-,4,16,7,,,,,,,,,
RestSharp,253,closed,opened,2012-04-18 11:18:07,,,,,,,,,,,,,
RestSharp,253,closed,title,2012-04-18 11:18:07,00:00,,1,,"b""b' ExecuteAsync fails with InvalidCastException'""",,,,,,,,
RestSharp,253,closed,body,2012-04-18 11:18:07,00:00,,1,,"b'b"" Hi",  On the master branch I\'ve added the following test that fails in AsyncTests: The problem is the cast in  # ExecuteAsync, you will get a InvalidCastException," Unable to cast object of type \'\' to type \'""'",,,,,
RestSharp,253,closed,closed,2012-04-25 11:13:05,1434.97,0,2,0,,,,,,,,,
RestSharp,253,closed,reopened,2012-04-25 11:13:08,0.05,0,2,0,,,,,,,,,
RestSharp,253,closed,1,2012-04-18 11:18:07,1100.08,,1,,"b""b' this pull request was a little overreaching (changing SL versions and ruining whitespace on a file). this bug though should be fixed in the beta version now on nuget. please test and report any issues to the google group url '""",,,,,,,,
RestSharp,253,closed,closed,2012-04-26 05:38:12,1105.07,0,3,0,,,,,,,,,
RestSharp,253,closed,2,2012-04-18 11:18:07,1.3,,,1,"b""b' Sounds good'""",,,,,,,,
RestSharp,253,closed,-,-,-,0,3,1,,,,,,,,,
RestSharp,318,closed,opened,2012-09-04 20:28:50,,,,,,,,,,,,,
RestSharp,318,closed,title,2012-09-04 20:28:50,00:00,,1,,"b""b' JsonDeserializer fails to convert empty json array into dictionary.'""",,,,,,,,
RestSharp,318,closed,body,2012-09-04 20:28:50,00:00,,1,,b'b\' C# Code Returned JSON Snippet ,"ExtendedData"":{  }, Unable to cast object of type \\\'\\\' to type \\\' 2 data) at [T](IRestResponse response) at [T](IRestRequest request, IRestResponse raw)\''
RestSharp	318	closed	1	niemyjski	2012-09-04 20:28:50	5.95		+1		b'b"" Also as per the change log pertaining to using . The latest nuget release doesn\'t contain a JsonSerializer on the RestClient url ""'
RestSharp	318	closed	2	ayoung	2012-09-04 20:28:50	1346.22		+1		b""b' Post on Google Groups if there are further questions. Closing this issue.'",,,,,,,
RestSharp,318,closed,closed,2013-04-15 19:01:00,1352.17,0,4,0,,,,,,,,,
RestSharp,318,closed,3,2012-09-04 20:28:50,42.97,,1,,"b""b' Did you fix this issue or just close it?'""",,,,,,,,
RestSharp,318,closed,4,2012-09-04 20:28:50,588.27,,1,,"b'b"" I just closed it. Posting issues on Groups reaches a wider audience. You\'re more likely to get help form there.  Andrew Young ##  Sent with Sparrow url  On Monday", April 15, 2013 at 12:43 PM," Blake Niemyjski wrote:""'",,,,,
RestSharp,318,closed,5,2012-09-04 20:28:50,3.55,,,1,"b'b"" GitHub issues are for logging real issues... Google groups is fordiscussions and getting help finding the root cause to an issue.. I tookthe time and gave you reproduction ... It would be nice if this was fixed so others don\'t experience this... ButI\'ve since moved on.... On Tuesday", April 16,2013," Andrew Young wrote:##  Thanks-Blake Niemyjski""'",,,,,
RestSharp,318,closed,6,2012-09-04 20:28:50,111.88,,,1,"b'b"" Yep"," you\'re right. Its probably a legitimate issue that shouldn\'t be dismissed. I\'ll reopen it. Would be happy to take pull requests for any bug fixes as usual.""'",,,,,,,
RestSharp,318,closed,reopened,2013-04-16 07:27:41,746.68,0,6,2,,,,,,,,,
RestSharp,318,closed,7,2012-09-04 20:28:50,1066.47,,1,,"b""b' This appears to be fixed already. Let me know if you still run into this.'""",,,,,,,,
RestSharp,318,closed,closed,2013-09-10 01:16:39,1068.97,0,7,2,,,,,,,,,
RestSharp,318,closed,8,2012-09-04 20:28:50,1109.67,,,1,"b'b"" I\'m having a similar issue using 104.3.3 Given the following POCO and JSON: _POCO_ _JSON Response_ I get the following error while attempting to deserialize via the call Am I doing something wrong? Everything seems fine until the deserializer hits the  . _Error occurs in method below_  ""'",,,,,,,,
RestSharp,318,closed,9,2012-09-04 20:28:50,1114.48,,1,,"b'b"" I believe your issue is that it doesn\'t know what type to deserialize to. Your dictionary is which is not specific enough. If you have further questions or need support ask on the [google groups forum]url  ""'",,,,,,,,
RestSharp,318,closed,10,2012-09-04 20:28:50,1208.58,,1,,"b'b"" I hear what you\'re saying", but there are a few things that would make thing think, perhaps this _should_ work, i.e.:It seems to work no problem with other data types (i.e. the deserializer / JsonObject will infer Int, Bool, etc without a problem and assign them to my dictionary properly typed).The is very similar to the Json one, particularly in the method," except the has an extra statement: . I have a minor change that I\'ll submit a pull request for that solves this issue""'",
RestSharp,318,closed,-,-,-,0,9,3,,,,,,,,,
RestSharp,399,closed,opened,2013-08-09 17:38:58,,,,,,,,,,,,,
RestSharp,399,closed,title,2013-08-09 17:38:58,00:00,,1,,"b""b' Allow request body to be specified for DELETE requests.'""",,,,,,,,
RestSharp,399,closed,body,2013-08-09 17:38:58,00:00,1,,,b'b\' The HTTP spec does not explicitly disallow message body content from being specified in DELETE requests, therefor many believe it to be allowed. url  However, RestSharp seems to not support specifying a request body for DELETE requests. I am trying to use RestSharp to communicate with the TeamCity REST API to \\\'Pin\\\' and \\\'Unpin\\\' builds... url When making requests to Pin or Unpin, you need to use PUT and DELETE requests, respectively," to the same URL. You can optionally include a comment message in the request body if you specify the ""Content-Type: "" header. Here is the code I wrote to do these two operations... I used Fiddler to inspect the requests. Here is the \''",,,
RestSharp,399,closed,1,2013-08-09 17:38:58,4.02,,1,,"b""b' Issue #55 was caused by this bug. It was only closed because the OP found a different work-around for what they were trying to do.'""",,,,,,,,
RestSharp,399,closed,2,2013-08-09 17:38:58,6.38,,1,,"b""b' I also just found a Google Group discussion about this: url '""",,,,,,,,
RestSharp,399,closed,3,2013-08-09 17:38:58,161.72,,1,,"b""b' Want to submit a pull request with the proposed change? What @johnsheehan proposed seems reasonable:'""",,,,,,,,
RestSharp,399,closed,closed,2013-08-12 14:05:04,1226.1,1,4,0,,,,,,,,,
RestSharp,399,closed,reopened,2013-08-12 14:05:11,0.12,1,4,0,,,,,,,,,
RestSharp,399,closed,4,2013-08-09 17:38:58,1056.98,1,,,"b""b' Oops", ignore the . I would be happy to make the proposed change as a PR. I will try what @johnsheehan proposed," it sounds like a good solution. Are there any request types that should _not_ be allowed to have body content specified?'""",,,,,,
RestSharp,399,closed,5,2013-08-09 17:38:58,211.43,,1,,"b'b"" @jessewebb I\'ll be honest", I haven\'t read up on the spec carefully," but it\'s probably in there. My guess is and  .""'",,,,,,
RestSharp,399,closed,6,2013-08-09 17:38:58,463.82,,1,,"b""b' @jessewebb any updates?'""",,,,,,,,
RestSharp,399,closed,7,2013-08-09 17:38:58,1031.08,1,,,"b""b' @Haacked I should have this done by next week. I know you are trying to push out a new release"," I apologize if this is holding that up.'""",,,,,,,
RestSharp,399,closed,8,2013-08-09 17:38:58,116.77,,,1,"b'b"" @jessewebb That\'d be great! It\'s not holding up this release. We\'ll just release again when your fix comes in. :)""'",,,,,,,,
RestSharp,399,closed,9,2013-08-09 17:38:58,747.63,1,,,"b'b"" I have created a PR which will allow RequestBody content to be added to DELETE and OPTIONS requests. I purposely did not allow body content on GET and HEAD requests because it doesn\'t make much sense. [RFC2616]url  explicitly states that a body is allowed in OPTIONS requests but it is unclear on the other 3 (DELETE", GET, & HEAD). If we do want to change it later to allow a body on GET or HEAD requests as well," it would actually simplify the code.""'",,,,,
RestSharp,399,closed,10,2013-08-09 17:38:58,590.53,,1,,"b""b' The PR was merged in (with a slight modification by @Haacked) This issue is done.'""",,,,,,,,
RestSharp,399,closed,closed,2013-09-25 18:49:21,284.17,4,7,1,,,,,,,,,
RestSharp,399,closed,11,2013-08-09 17:38:58,826.77,,1,,"b'b"" @jessewebb @Haacked Concerning issue #459: I\'ve created a fix for the async version of Execute ( ) and added integrations test for it (more or less copied the tests for the sync version in and asyncified them). There are as you know a couple of flavors of the Execute method. Do all variants need to be tested or does it suffice testing and  ?""'",,,,,,,,
RestSharp,399,closed,12,2013-08-09 17:38:58,732.92,1,,,"b'b"" I don\'t think every variant needs it unless you get bored. ;)""'",,,,,,,,
RestSharp,399,closed,-,-,-,5,8,1,,,,,,,,,
RestSharp,406,closed,opened,2013-08-30 17:08:49,,,,,,,,,,,,,
RestSharp,406,closed,title,2013-08-30 17:08:49,00:00,,,1,"b""b' Changed JsonDeserializer to look for and honor DeserializeAs attribute'""",,,,,,,,
RestSharp,406,closed,body,2013-08-30 17:08:49,00:00,,1,,"b'b"" I need to be able to map a property name on my model type to a different name in Json when deserializing.  I\'m reusing the DeserializeAs attribute to do this and just having the JsonDeserialize check to see if the attribute exists"," and if it does prefer that name over the models property name.  I added a test for this as well.""'",,,,,,,
RestSharp,406,closed,1,2013-08-30 17:08:49,3.27,,,1,"b""b' Looks good! Just a couple minor tweaks suggested.'""",,,,,,,,
RestSharp,406,closed,2,2013-08-30 17:08:49,17.47,,1,,"b""b' Tweaked based on feedback.'""",,,,,,,,
RestSharp,406,closed,3,2013-08-30 17:08:49,620.4,,,1,"b""b' Can you remove the last commit and submit that as a separate PR? It has nothing to do with this PR. Thanks!'""",,,,,,,,
RestSharp,406,closed,4,2013-08-30 17:08:49,31.75,,1,,"b""b' My .'""",,,,,,,,
RestSharp,406,closed,closed,2013-09-04 04:21:42,672.88,0,3,3,,,,,,,,,
RestSharp,406,closed,reopened,2013-09-04 04:27:13,5.52,0,3,3,,,,,,,,,
RestSharp,406,closed,closed,2013-09-04 05:08:16,41.05,0,3,3,,,,,,,,,
RestSharp,406,closed,5,2013-08-30 17:08:49,47.22,,,1,"b""b' Thanks for your contribution and for bearing with me! :+1: ![bill-murray-animated-suntory]url '""",,,,,,,,
