REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,28,closed,opened,2011-04-06 01:46:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,28,closed,title,2011-04-06 01:46:25,00:00,,1,,"b""b' When a target type property is of ISet"," the CollectionMapper incorrectly attempts to set it to a List'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,28,closed,body,2011-04-06 01:46:25,00:00,,1,,"b""b' A target type may have a property with type of ISet", and the source may be an IEnumerable. AutoMapper detects that the ISet is an ICollection, but assumes that all ICollection instances can be satisfied with a List. This is not true with ISet. This is a duplicate of issue #27, which was accidentally closed (how?) and cannot, apparently," be reopened.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,title,2011-09-08 06:35:03,00:00,,1,,"b""b' AutoMapper catches and ignores NullReferenceException'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,body,2011-09-08 06:35:03,00:00,,,1,b'b\' As written in: url Maybe this is by design, but we initially did not expect automapper to catch and ignore all NullReferenceExceptions in our mappings. We mostly use the MapFrom and create sometimes complex expressions. We want these mappings to fail if there\\\'s any exception, even a NullReferenceException, but we cant get AutoMapper to do that. Is there any way to make automapper not ignore all these exceptions without having to write a custom value resolver for every case? This would mean alot of extra code for us," so much in fact that it probably would be less code without using automapper in the first place. These are the test that we would expect to all pass: [TestFixture]public class Tests{  [SetUp]  public void Setup() { (); } } public class Destination{  public string DestinationMember { get; set; }} public class Source{  public SourceChild SourceMember { get; set; }} public class SourceChild{  public string SourceProperty { get; set; }} public class TestValueResolver : ValueResolver{  protected override string ResolveCore(SourceChild source)  {    return ;  }} <!-@huboard:{""order"":62.0}>\''",,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,1,2011-09-08 06:35:03,937.38,,1,,"b""b' Could be addressed by allowing custom DelegateBasedResolver'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,2,2011-09-08 06:35:03,615.12,,1,,"b""b' Yes", is that possible today with 2.0? We had an idea to find a way using alot of reflection magic," but havnt gotten around to it yet.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,3,2011-09-08 06:35:03,299.0,,1,,"b'b"" I wonder I could do this only with ResolveUsing and not in MapFrom. Since MapFrom is expression-based", there\'s a little bit more expectation on not allowing NREs through," but ResolveUsing you\'re on your own. Would that work?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,closed,2013-01-30 01:59:58,1164.92,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,4,2011-09-08 06:35:03,30.68,1,,,b'b\' FWIW; I\\\'ve just removed AutoMapper from a project because of this issue. I spent some time wondering why my mapping code was not working correctly. It was a NRE that caused a chunk of mapping to be skipped over, and was not me deliberately wanting to to  without null checks, but a genuine oversight in my code. I don\\\'t believe swallowing exceptions (especially NREs) by default is ever an acceptable thing to do. It masks real issues and makes them really difficult to debug (since the consumer of your library probably does not expect this behaviour by default). This should be opt-in as a minimum," but since you can\\\'t ever tell which NREs are ""convenience"" and which are real bugs with mappings"," I really don\\\'t think you should even have this ""feature"". It made me chuckle that I found this blog post of yours while Googling to figure out what the problem was: url  I liked AutoMapper; but I just can\\\'t bring myself to use software that swallows exceptions without needing to opt-in. I\\\'m not pleading for you to change this; it might be useful behaviour to more people than there are that dislike it; but I thought it was worth you having my thoughts.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,5,2011-09-08 06:35:03,13.22,,1,,"b""b' Yikes.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,6,2011-09-08 06:35:03,9.1,1,,,"b'b"" :-/ I didn\'t mean for my comment to seem like a rant; I just wanted to document my  (constructively"," hopefully) should @jbogard wish to consider them for future versions. It would be nice if this functionality was opt-in. It\'s hard enough working on a huge legacy codebase (with lots of dev and lots of refactoring) without having to sink time into debugging issues because of silent exceptions :(""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,7,2011-09-08 06:35:03,92.07,,,1,"b'b"" I guess what I\'m most interested in is your specific scenario. What yourmapping looks like to understand when this behavior isn\'t appropriate. On Thursday", August 29,2013," Danny Tuppeny wrote:""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,8,2011-09-08 06:35:03,14.2,1,,,"b'b"" I was new\'ing up an object in the map with a few properties. One threw NRE which aborts the entire block", so the other properties failed. I don\'t have the code to hand and I\'m on a tablet, but it was something similar to: (o =If a is null, it doesn\'t pass null into the constructor (obviously), so the whole Something ends up null, silently. Without knowing what\'s going on, it was a very strange issue to understand. I might be using this wrong, but with no XML comments explaining this behaviour," it seems way too easy to fall into this trap and lose time scratching your head.""'",,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,9,2011-09-08 06:35:03,88.15,,1,,"b'b"" I think then maybe the resolver is the best way to handle this? Not do NREswallowing for that? MapFrom is a bit different in that it\'s for redirection", without complexlogic. It is supposed to mimic flattening, which does ignore nulls. On Thursday, August 29,2013," Danny Tuppeny wrote:""'",,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,reopened,2013-08-29 17:58:42,958.73,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,10,2011-09-08 06:35:03,25.1,,1,,"b""b' MapFrom should inspect for null"," ResolveUsing should not.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,11,2011-09-08 06:35:03,11.97,1,,,"b'b"" Whatever you do"," please a) add XML comments to the methods making it clear where exceptions will be discarded and b) document this somewhere. The reason this is so frustrating is that it\'s both undocumented (in XML docs and the wiki!) and unexpected :-( ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,12,2011-09-08 06:35:03,3.35,,,1,"b""b' Wiki is editable by anyone"," and I welcome pull requests :) Valid point tho'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,13,2011-09-08 06:35:03,26.6,,1,,"b'b"" Is this not the current behavior? I\'m pretty sure it is.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,14,2011-09-08 06:35:03,29.75,1,,,"b'b"" I don\'t believe it is. The following code has the NullReferenceException swallowed"," whether you use MapFrom or ResolveUsing. I\'m running this with the latest stable version from NuGet.  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,15,2011-09-08 06:35:03,34.7,,1,,"b'b"" I just tested this on 2.2.1 and .ResolveUsing() doesn\'t throw the exception either"," so I don\'t know what I was thinking. I was checking to see if there was a difference between 2.2.1 and 3.0.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,16,2011-09-08 06:35:03,8.0,1,,,"b'b\' I think I hit another more subtle issue while doing this too; ResolveUsing(/MapFrom?) expected a function that returned object; and if the returned value doesn\\\'t ""fit"" in the property being mapped", it also seemed to be silently thrown away. IMO that\\\'s terrible for the same reason... Unexpected and tricky to track down.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,closed,2013-10-28 18:27:23,28.68,6,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,17,2011-09-08 06:35:03,64.42,,1,,"b""b' This issue seems to have cropped back up. The 8.0 Upgrade Guide [says]url  to change all calls over to calls. After doing so"," NREs are now being swallowed. Is there a different workaround in 8.0 that we should be using to allow NREs to bubble up?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,18,2011-09-08 06:35:03,640.27,,1,,"b'b"" It\'s just a rename. The Func based MapFroms are the same code as ResolveUsing.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,19,2011-09-08 06:35:03,1022.18,1,,,"b'b"" Ah", sorry, I see what happened. When reading the docs it seemed like all one had to do was replace with  , but that\'s only part of it. You also need to switch how you\'re passing arguments to it if you have lambdas. I see that now in the documentation," thanks @lbargaoanu.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,20,2011-09-08 06:35:03,1066.85,,1,,"b""b' This thread has been automatically locked since there has not been any recent activity after it was closed. Please open a new issue for related bugs.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,-,-,-,7,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,174,closed,opened,2012-02-27 15:44:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,174,closed,title,2012-02-27 15:44:35,00:00,,1,,"b""b' Custom type converters Wiki test fails'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,174,closed,body,2012-02-27 15:44:35,00:00,,1,,"b""b' I tried duplicating the wiki page","url  When I test  TypeTypeConverter it fails and  always returns string.  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,174,closed,1,2012-02-27 15:44:35,626.45,,1,,"b""b' What does Destination look like?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,174,closed,2,2012-02-27 15:44:35,148.83,,1,,"b""b' Looks OK right now"," all the samples pass. Check out the Samples project in the source.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,174,closed,closed,2012-09-22 04:39:52,775.28,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,174,closed,3,2012-02-27 15:44:35,679.55,1,,,"b""b' Sorry",I just got back to looking at this," I still am getting this in version 3.2.1.0'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,174,closed,reopened,2014-05-21 16:40:09,720.28,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,174,closed,4,2012-02-27 15:44:35,1437.18,,1,,"b""b' Is this the same problem as mentioned here: url  This seems to happen when using Project().To'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,174,closed,5,2012-02-27 15:44:35,51.95,1,,,"b'b"" Sorry No I\'m not using projection.This is the error: Expected: But was: This is the entirety test class project code: namespace UnitTestProject1{  [TestFixture] public class UnitTest1 {   [Test]   public void TestMethod1()   {     ().ConvertUsing();     ().ConvertUsing(newDateTimeTypeConverter());     ().ConvertUsing();     ();  }  public class Destination {   public int Value1 { get; set; }   public DateTime Value2 { get; set; }   public Type Value3 { get; set; } }  public class Source {   public string Value1 { get; set; }   public string Value2 { get; set; }   public string Value3 { get; set; } } public class TypeTypeConverter : ITypeConverter{  public Type Convert(ResolutionContext context)  {    return ;  }} public class DateTimeTypeConverter : ITypeConverter{  ///  /// Converts the specified context.  ///  /// The context.  ///   public DateTime Convert(ResolutionContext context)  {    return ();  }} }  I\'m not sure if its testing incorrectly or the code behind it isn\'tcorrect.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,174,closed,6,2012-02-27 15:44:35,1124.78,,1,,b'b\' Ah, I\\\'ve found the problem. It\\\'s in your type converter," the  is ""string"". You want to load up the type based on the value of the string. \''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,174,closed,closed,2014-09-04 11:33:20,1133.18,2,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,174,closed,7,2012-02-27 15:44:35,1353.78,,1,,"b""b' This thread has been automatically locked since there has not been any recent activity after it was closed. Please open a new issue for related bugs.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,174,closed,-,-,-,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,opened,2012-12-21 07:52:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,title,2012-12-21 07:52:55,00:00,,1,,"b""b' ArgumentException with .Project().To()'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,body,2012-12-21 07:52:55,00:00,,,1,"b'b\' I am using EF 6 and generate POCOs from DB by the ""EF 5.xDbContext Generator"".My VM-class has all the properties of the generated POCO class.I create configs for both directions:     ();     (); Normal mapping works fine in both directions:    var vm = (model);     var model = (vm); But   var result = ().To();    causes an ArgumentException: Argument types do not match\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,1,2012-12-21 07:52:55,771.53,,1,,"b""b' What do your  classes look like? Feel free to obfuscate anycompany-specific things", just want a little bit more to reproduce. On Fri, Dec 21, 2012 at 1:53 AM," LinusF notifications@ wrote:'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,2,2012-12-21 07:52:55,743.5,,,1,"b""b' Hi jbogard Your question enforced me to look into it more accurate... Thanks!After relaxing xmas holydays I found the problem immediately: In the POCO class is the following property: public Nullable MutDat { get; set; } I tried to map that to a property in my ViewModel:   public DateTime MutDat { get; set; } By make the type nullable it worked:   public DateTime? MutDat { get; set; } Another way would have been to exclude mapping of that property:     ()       .ForMember(vm =The fact that normal mapping worked fine confused me. My suggestion: Would it be possible to mention the name of the failing property in the exception message? This would simplify debugging. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,closed,2012-12-27 09:07:57,75.03,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,3,2012-12-21 07:52:55,311.48,,1,,"b""b' I agree", that mentioning properties," that caused this exception would help a lot when debugging large models.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,4,2012-12-21 07:52:55,784.63,,1,,"b""b' +1 on properties mentioned in projection exceptions'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,5,2012-12-21 07:52:55,633.8,,1,,"b""b' +1 on properties mentioned in projection exceptions'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,6,2012-12-21 07:52:55,1160.58,,1,,"b'b"" +1 on properties mentioned in projection exceptions. I\'m trying to track one down right now on a large model.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,7,2012-12-21 07:52:55,745.77,,1,,"b""b' +1 on properties mentioned in projection exceptions'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,8,2012-12-21 07:52:55,255.45,,1,,"b'b"" Ok I\'m all for it. How? What exception do you see today?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,9,2012-12-21 07:52:55,1014.58,,1,,"b""b' I currently get the following exception when performing an Entity Framework projection:  2 typePairCount) at (IConfigurationProvider configuration", PropertyMap propertyMap, TypeMap propertyTypeMap, ExpressionRequest request, ExpressionResolutionResult result, ConcurrentDictionary 2 typePairCount) at (ExpressionRequest request, Expression instanceParameter, ConcurrentDictionary 2 typePairCount) at (ExpressionRequest tp) at  2 valueFactory) at (Type sourceType, Type destinationType, IDictionary 2 parameters, IEnumerable 1[] membersToExpand) at [TDestination](IQueryable source, IConfigurationProvider configuration, Object parameters," Expression 1[] membersToExpand)'""",,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,10,2012-12-21 07:52:55,2.77,,,1,"b'b"" Ohhhhh ok. That\'s a bit different", that\'s from inside AutoMapper, instead of inside EF. The exceptions inside AutoMapper are for runtime errors," not bugs. What you see there is a bug.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,11,2012-12-21 07:52:55,1.2,,1,,"b""b' I assumed this was because I am (most likely) trying to map from one property to another that is of a different type? Is this not the case?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,12,2012-12-21 07:52:55,2.22,,1,,"b""b' Does AssertConfigurationIsValid work for you?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,13,2012-12-21 07:52:55,1.68,1,,,"b'b"" It passes AssertConfigurationIsValid. The exception isn\'t thrown until the projection is actually executed. The issue of course is that the exception doesn\'t give me a pointer to which particuar map or property causes the error"," so it\'s hard to give you any sort of example POCO.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,14,2012-12-21 07:52:55,1.18,,,1,"b'b"" Right of course", it\'s just something buried in LINQ. Welp," let\'s reopen this then!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,reopened,2016-06-03 19:03:18,595.35,1,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,15,2012-12-21 07:52:55,45.35,,1,,"b'b"" My Best guess would be from properties that are Nullable and that have a default that\'s not Nullable.  Or maybe a use value passing in an int but mapping to a property int?.  When you make expressions you have to account for the Nullable class yourself.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,16,2012-12-21 07:52:55,3.75,,1,,"b'b"" Yup", it sounds likely it\'s something like that. The problem is I have a lot of maps to search through to compare types, and so far I haven\'t found it after a few hours. If the exception can be caught and then the failing property reported back," it would be very helpful.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,17,2012-12-21 07:52:55,19.82,1,,,"b""b' Looking into it more", and see the exception.  Do you have any inheritance on any of your classes?  Another thing could possibly be that if you have inheritance and your property map is going to Base Type and you are resolving an inherited type.  If that happened it might show this error as well, because I think both types have to be exactly the same, or so says the Condition Exception message. Also this is getting called cause AllowNullDestinationValues is set to true.  If you can turn it off that might solve your problem," but it might cause other things to fail.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,18,2012-12-21 07:52:55,97.03,,1,,"b'b"" I\'m also surprised viewing the detail doesn\'t show you anything but thereya go. On Friday", June 3,2016," Tyler Carlson notifications@ wrote:""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,19,2012-12-21 07:52:55,79.6,,1,,"b""b' All other attempts failed to replicate.  I found one way", which it to map using Struct and AllowNullDestinationValues=true.  Tries to make a constant null of a struct type and that throws this exception.  This is probably what it is.  See if you have any structs instead of classes in your dto objects. I think struct only needs to be the destination type," not necessarily the source type.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,20,2012-12-21 07:52:55,4.95,,1,,"b'b"" @TylerCarlson1 I don\'t have any structs"," but I do have base classes. Still trying to figure out a small repro for the issue.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,21,2012-12-21 07:52:55,1.5,,1,,"b'b"" OK that\'s a COMPLETELY separate issue then"," unless projection isn\'t meant to support structs.  I haven\'t seen any documentation on that.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,22,2012-12-21 07:52:55,541.5,,1,,"b""b' This can be closed until someone comes up with a repro","'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,23,2012-12-21 07:52:55,1419.23,1,,,"b'b\' I\\\'m running into the same (or at least similar) problem of an with ""Argument types do not match"" being thrown when using type conversions within projections. AutoMapper version is 5.0.2. This is a stripped down use case of what shall be mapped. The conversion to enum is normally more advanced than shown in this example", and this is why there needs to be some conversion logic instead of a simple cast. The conversion cannot be implemented using a lambda expression within a  , as this will need to have a statement body, which however cannot be converted to an expression tree (and is not reusable). Like the documentation (of  ) says, a custom value resolver applied via is not supported when using LINQ query projections. This is why I went with a custom type converter: While a mapping of a collection using works, the projection does not, resulting in an  , very similar to the one [stated by michaelmsm89]url  **Question:** Is this a limitation or a bug? The only solution I see is to use with a (static) helper method instead of the lambda, which however needs to be specified for every property," making the convention-based approach a bit useless: **Edit 1:** After I eventually found the projection being explained in more detail in the [Queryable Extensions wiki page]url  the ""workaround"" changes to additionally specify the conversion for the projection", using above helper method, and not requiring mappings for each member: **Edit 2:** When specifying above conversion for the projection, I could even use the already existing type converter. Also with an Entity Framework this worked (in a simple case like this). That makes me wonder, why there is this limitation of not being able to use converters? Anyways, maybe you can at least use this repro to improve on the requested exception details...\'',,,,,,,,,,,,,,,,,
AutoMapper,280,closed,24,2012-12-21 07:52:55,56.9,,1,,"b""b' The limitation exists because what you specify as converter would be evaluated by the LINQ provider. Hopefully a simple expression would work", but not random converter code. About the exception messages," a PR is welcome.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,25,2012-12-21 07:52:55,343.77,,,1,b'b\' The recently released AutoMapper version 5.1.1 breaks projection with any type conversion in there (even simple ones)," which used to work in 5.0.2! See e.g. [my above described projection use case]url  This is clearly reproducible by up&downgrading the AutoMapper package. Problem is again this with ""Argument types do not match"".\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,26,2012-12-21 07:52:55,11.73,,1,,"b""b' Stack trace?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,27,2012-12-21 07:52:55,106.93,,1,,"b""b' After playing around with this a bit", I noticed that this new issue is not caused by the custom conversion, but by the I used for the double property  . The literal I supplied is apparently of type int and this is what makes it fail starting in version 5.1.1," i.e. there is no implicit conversion to double any more. Specifying or works.This is likely related to #1578 and #1579 where I will now add my findings (including stack trace). What remains (and what could have helped here) is the mentioning of the failing property in the projection exception.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,28,2012-12-21 07:52:55,761.88,,1,,"b""b' +1 on properties mentioned in projection exceptions'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,29,2012-12-21 07:52:55,164.92,,1,,"b""b' @Worthy7 PR?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,30,2012-12-21 07:52:55,445.73,,1,,b'b\' Hi," I ran into similar issue with my code and got this exception . The exception I see in the diagnostic tool in VS is:  Exception: Exception thrown: \\\'\\\' in  (""Instances of abstract classes cannot be created.""). Exception thrown: \\\'\\\' in  (""Instances of abstract classes cannot be created."") My class setup is as follows:   My mapping is: I get an exception on this I made this recent change to use ProjectTo for optimization", earlier was using more conventional way to retrieve products and then use _, List>()(_mappingEngine = IMapper instance) to map all the object and its properties.  I am on AutoMapper version: 5.0.2 Please advice.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,31,2012-12-21 07:52:55,30.38,,1,,"b'b"" @jigneshkvp  EF doesn\'t work for Automapper\'s Include. Exception you get it because it\'s trying to make an instance of AlternativeDto which is abstract.  If you make it not abstract", then the mapping will work I think," but it will give you AlternativeDto every time.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,32,2012-12-21 07:52:55,908.02,,1,,"b""b' Hello @TylerCarlson1", The same  (with the include)  works when I use **()** and I get back proper results. As I mentioned," I am trying to use ProjectTo instead of .Map for optimization and that is when the same code fails.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,33,2012-12-21 07:52:55,367.45,,1,,"b'b"" And I told you why it would fail with ProjectTo vs Map.  It\'s just a limitation of what EF can do.  ProjectTo and Map do two VERY different things and have different limitations on what is and isn\'t achievable I\'ve run into the same issue and have been forced to use Map because of this.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,34,2012-12-21 07:52:55,8.73,1,,,"b'b"" @jigneshkvp This isn\'t a similar issue and is a different exception message which is hopefully clear enough to explain the problem. Your issue shouldn\'t really be in this thread.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,35,2012-12-21 07:52:55,83.57,,1,,"b""b' Some additional details: And", at controller: This results in exception detailed below  : Argument types do not match  at (Object value, Type type)  at (IConfigurationProvider configuration, PropertyMap propertyMap, ExpressionRequest request, ExpressionResolutionResult result, ConcurrentDictionary 2 typePairCount)  at (ExpressionRequest request, TypeMap typeMap, Expression instanceParameter, ConcurrentDictionary 2 typePairCount)  at (ExpressionRequest request, ConcurrentDictionary 2.GetOrAdd(TKey key, Func 2 parameters, MemberInfo[] membersToExpand)  at [TResult](IDictionary 1 memberPathsToExpand)  at [TResult](Object parameters, Expression 1[] membersToExpand)  at [TDestination](IQueryable source," Expression'""",,,,,,,,,,,,,,,,,
AutoMapper,280,closed,36,2012-12-21 07:52:55,3.28,,1,,"b""b' The only wait that I found to make this works is using the snippet below  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,37,2012-12-21 07:52:55,1065.35,,1,,"b""b' Try the MyGet build.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,280,closed,closed,2016-11-17 21:32:39,149.35,4,30,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
