REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,324,closed,6,2010-10-03 22:04:37,7.75,,1,,"b'b"" Okay", reopening. cjc\'s test case fails on master," will have to check what\'s at fault here.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,324,closed,reopened,2011-07-06 11:59:07,126.62,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,324,closed,7,2010-10-03 22:04:37,25.32,,,1,"b""b' well"," just accept my pull request for it. includes test cases :) url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,324,closed,closed,2011-07-24 10:51:02,1371.92,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,324,closed,8,2010-10-03 22:04:37,1368.73,,,1,"b""b' @cjc After the patch was applied", your test1-4 passed successfully (before the patch was applied," test3 failed). Thanks for the report! @bartt Your test still failed. I think your problem is the same as #749.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,324,closed,-,-,-,0,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,opened,2010-12-15 20:14:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,title,2010-12-15 20:14:19,00:00,,1,,"b""b' () fails with numeric argument'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,body,2010-12-15 20:14:19,00:00,,1,,"b'b\' path = require(\\\'path\\\');var x = 1;var s1 = \\\'string1\\\';var s2 = \\\'string2\\\'; (""Should be: "" +s1+""/""+s2+"" is "" +(s1","s2));(""Should be: "" +s1+""/""+x+"" is "" +(s1",x)); output is  Should be: string1/string2 is string1/string2Should be: string1/1 is string1\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,1,2010-12-15 20:14:19,1407.95,1,,,"b'b"" As I can see it is not a bug. () contains such kind of validation of input parameters: function validPathPart(p"," keepBlanks) {  return typeof p === \'string\' && (p || keepBlanks);} I\'m not sure if it is right behavior but it is as designed. Unfortunately  is ignoring all non-valid params in full of silence. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,closed,2011-07-04 16:23:58,1209.65,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,2,2010-12-15 20:14:19,1243.72,,1,,"b'b"" This is by design"," I\'ve updated the documentation to reflect that.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,3,2010-12-15 20:14:19,11.93,,,1,"b""b' So cast to string first and all should be good:  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,4,2010-12-15 20:14:19,69.87,,,1,"b""b' @isaacs What was the motivation for skipping non-string arguments?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,5,2010-12-15 20:14:19,41.0,,1,,"b""b' Maybe it would be better if the method will throw an exception for invalid arguments?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,6,2010-12-15 20:14:19,763.8,1,,,"b'b\' @bnoordhuis I think it was that getting ""null"" and ""undefined"" in there would be... i don\\\'t know", weird?  Drawing a blank. IMO, it should either throw, or cast to a string.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,7,2010-12-15 20:14:19,903.13,,1,,"b""b' Throw sounds best. Explicit '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,8,2010-12-15 20:14:19,1200.95,1,,,"b""b' @isaacs @bnoordhuis I really do agree about the idea of having it throw.  Else it allows for some nasty silent errors in applications...'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,reopened,2011-08-18 19:00:24,156.43,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,9,2010-12-15 20:14:19,43.95,,1,,"b""b' Okay", reopening. If someone wants to submit a patch," please do.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,10,2010-12-15 20:14:19,239.0,1,,,"b'b"" Doesn\'t look like anyone wanted to submit a patch"," and current API is stable. Close?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,11,2010-12-15 20:14:19,74.13,,1,,"b'b"" Let\'s not close this one now.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,12,2010-12-15 20:14:19,14.28,,1,,"b""b' Let @isaacs decide? He has a thing for the path module.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,13,2010-12-15 20:14:19,987.83,,1,,"b'b"" I\'ve opened a pull request for this issue. Let me know if it\'s satisfactory. It can be found at: url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,14,2010-12-15 20:14:19,174.68,,1,,"b""b' Fixed on 83dffa2d51a95b7a849c9a4c0e3f4935533e60ce'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,closed,2013-02-21 19:50:33,50.15,4,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,15,2010-12-15 20:14:19,0.57,,1,,"b""b' Er", rather," 055110dab04678fe3716d9d292218830ee496d60'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,514,closed,-,-,-,4,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,540,closed,opened,2010-12-31 02:01:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,540,closed,title,2010-12-31 02:01:01,00:00,,1,,"b""b' RunInThisContext is not aware of getters and setters'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,540,closed,body,2010-12-31 02:01:01,00:00,,,1,"b""b' in node 0.3.1 source atnode::Script::EvalMachine template ./:217 ./:270 example of getter setters aware code:  var mixin = function(target) {  var i = 1", length = , source;  for ( ; i < length; i++ ) {    // Only deal with defined values    if ( (source = arguments[i]) !== undefined ) {    (source).forEach(function(k){    var d = (source, k) || {value:source[k]};    if () {      target.**defineGetter**(k, );      if () target.**defineSetter**(k," );    }    else if (target !== ) {      target[k] = ;    }    });    }  }  return target;  };'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,540,closed,1,2010-12-31 02:01:01,834.93,,1,,"b'b"" @shimondoodkin I\'m not exactly sure what the issue is. Can you post a ready-to-run test case?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,540,closed,2,2010-12-31 02:01:01,127.2,,1,,"b""b'  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,540,closed,3,2010-12-31 02:01:01,876.63,,,1,"b""b' As documented in #1801", I believe I\\xe2\\x80\\x99ve closed this with elliottcable@cf21650. I\\xe2\\x80\\x99d appreciate if you\\xe2\\x80\\x99d clone and compile against that," and see if you can still reproduce this issue. (Many of these issues seem related.)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,540,closed,4,2010-12-31 02:01:01,986.68,,1,,"b""b' Closed by 200df8641b43902adc73cce6b89d3e84a91dd3e6'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,540,closed,closed,2011-10-19 01:06:28,1385.45,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,540,closed,5,2010-12-31 02:01:01,1147.08,,,1,"b""b' tested this issue with joyent-node-b0f78af  v0.5.10-pre"," good work @elliottcable it fixed several important issues it still not passes few tests the getters and setteres are not passed to the vm executed codealso when the execution ends they are exactly as they ware just before the execution.  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,540,closed,reopened,2011-10-19 21:59:45,1253.28,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,540,closed,6,2010-12-31 02:01:01,298.43,1,,,"b""b' Hm", what on earth is going on there? This seems very odd. @shimondoodkin, could you reduce the testcase into several independant testcases, preferably that sequentially increase in levels of complexity (with the first one being the absolute simplest test that doesn\\xe2\\x80\\x99t pass)? P.S. (Basic code-clarity stuff: Try and utilise full, descriptive names for the variables," and encapsulate unrelated functionality into separate tests; that would make it quite a bit easier to figure out what you\\xe2\\x80\\x99re trying to demonstrate.)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,540,closed,7,2010-12-31 02:01:01,473.55,1,,,"b""b' @shimondoodkin", I\\xe2\\x80\\x99ve refactored your testcases to my ability to understand them, and committed them (failing) to a branch in my own fork. Could you **[take a look]url  at the regression file I committed, and verify that it exposes each of the functionalities that you experience as \\xe2\\x80\\x98broken?\\xe2\\x80\\x99 This will allow me to work on either A) \\xe2\\x80\\x9cfixing\\xe2\\x80\\x9d them as you expect them to operate, or B) clearing up the confusions being caused for you in the API as of ~0.7," with the rest of the VM API changes.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,540,closed,8,2010-12-31 02:01:01,420.77,,1,,"b'b"" @elliottcable seems like your test is testing exactly what mine does (test 2", test3). the first test was testing the situation when the getteres ware executed while passing them from outside  to inside and while passed to inside  they ware passed as values instead of as functions.the 4th test was testing the other way around if the getteres and setteres ware defined inside , do they passed as functions to the outside and not as values. p.s.@elliottcable :D you right," about the coding style it was a dirty quick solution. next time i\'ll will do better ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,540,closed,closed,2011-10-20 16:06:18,1086.55,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,540,closed,reopened,2011-10-20 16:06:23,0.08,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,540,closed,9,2010-12-31 02:01:01,288.23,1,,,"b""b' @shimondoodkin the latter is definitely a known-issue. It\\xe2\\x80\\x99s something we \\xe2\\x80\\x9ccan\\xe2\\x80\\x99t fix\\xe2\\x80\\x9d without changing the API"," so we\\xe2\\x80\\x99re looking at solutions to implement and expose as of ~0.7-unstable. The former \\xe2\\x80\\xa6 is odd. I\\xe2\\x80\\x99m going to look into it when I have time.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,540,closed,10,2010-12-31 02:01:01,818.62,,,1,"b'b"" @elliottcable i do not understand what you mean", maybe i haven\'t explained myself well. here: i wrote you the the previous message because of that the test i gave you in the second time,the test your refactored it was a cut down version of my first test script containing only test 2 and test 3 only what was not working, without test 1 and test 4. i just described the missing tests from your new test file. in case you want to write more covering tests, because you wrote a very good test and i thought may be you had wanted to enhance your new test file even more to prevent accidentally broken things later. p.s. i dont know the inner workings but i don\'t see any requirement to change the external api," if not in 0.6 maybe will be fixed in the later versions...""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
