REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,
devise,666,closed,closed,2011-09-29 11:16:25,873.53,1,12,8,,,,,,,,,,,,,,,,,,,,,,
devise,666,closed,-,-,-,1,12,8,,,,,,,,,,,,,,,,,,,,,,
devise,979,closed,opened,2011-04-10 03:54:48,,,,,,,,,,,,,,,,,,,,,,,,,,
devise,979,closed,title,2011-04-10 03:54:48,00:00,,1,,"b""b' Make it possible to unit-test extensions to Devise::SessionsController'""",,,,,,,,,,,,,,,,,,,,,
devise,979,closed,body,2011-04-10 03:54:48,00:00,,1,,"b""b' This addresses issue #806 in the  repository on GitHub.'""",,,,,,,,,,,,,,,,,,,,,
devise,979,closed,1,2011-04-10 03:54:48,2.18,,,1,"b'b"" Actually", I lied. Now that I re-read the issue," it\'s only tangentially related to #806. That issue just pointed me in the right direction to solve a similar problem. :-)""'",,,,,,,,,,,,,,,,,,,
devise,979,closed,2,2011-04-10 03:54:48,403.48,,,1,"b""b' Hey mate"," do you think you could write a test case that reproduces the error? Thanks!'""",,,,,,,,,,,,,,,,,,,,
devise,979,closed,3,2011-04-10 03:54:48,347.27,,1,,"b'b"" To be honest", I feel like a jerk for not having done so in the firstplace, but I\'m not sure how to write that test within the projectitself. Are there existing tests that specifically exerciseDevise::SessionsController with Devise::TestHelpers mixed in to thetests? ##  Regards,John Wilger On Apr 10,2011, at 3:40 AM," josevalimreply@wrote:""'",,,,,,,,,,,,,,,
devise,979,closed,4,2011-04-10 03:54:48,113.78,,1,,"b""b' There are not"," feel free to create a new one.'""",,,,,,,,,,,,,,,,,,,,
devise,979,closed,5,2011-04-10 03:54:48,1070.62,,,1,"b""b' I had this problem too with a cucumber test that ran fine in earlier versions of Devise but with 1.2+ I would get undefined controller errors when testing a user signing in with an incorrect password. I looked at the actual sessions_ and compared it to mine and noticed a change in ! and the two calls in place of sign_in_and_redirect. Using the newer calls fixed it for me. HTH'""",,,,,,,,,,,,,,,,,,,,,
devise,979,closed,6,2011-04-10 03:54:48,672.82,,1,,"b'b"" I\'ve not got the time to figure out how to add this test to the Devise project", since there don\'t seem to be any existing tests of  . At any rate, it\'s trivial for someone to just re-implement  in it\'s entirety in a subclass anyway. I\'ll leave the branch up for reference. I will note that this may not be a complete solution if you are actually going to fully-test the #create method, since it doesn\'t account for the fact that the FailureApp would render something other than this action. If testing with RSpec with the views disconnected," this is probably not an issue.""'",,,,,,,,,,,,,,,,,
devise,979,closed,closed,2011-04-13 23:24:57,1170.15,0,5,3,,,,,,,,,,,,,,,,,,,,,,
devise,979,closed,7,2011-04-10 03:54:48,6.43,,1,,"b'b\' We have tests for Devise::TestHelpers here: url  You just need to create a new test case and set it to ""tests Devise::SessionsController""", right? Or am I missing something?\'',,,,,,,,,,,,,,,,,,,,
devise,979,closed,8,2011-04-10 03:54:48,275.47,,1,,"b'b"" Ah", OK. That\'s what I was asking about in the first place when yousaid there weren\'t. I guess there was just some misunderstanding. Iwill take another look this weekend. ##  Regards,John Wilger On Apr 13,2011, at 4:31 PM," josevalimreply@wrote:""'",,,,,,,,,,,,,,,,
devise,979,closed,reopened,2011-04-15 01:01:33,96.6,0,7,3,,,,,,,,,,,,,,,,,,,,,,
devise,979,closed,9,2011-04-10 03:54:48,271.57,,,1,"b""b' Merged"," thanks!'""",,,,,,,,,,,,,,,,,,,,
devise,979,closed,closed,2011-04-15 08:38:25,456.87,0,7,4,,,,,,,,,,,,,,,,,,,,,,
devise,979,closed,-,-,-,0,7,4,,,,,,,,,,,,,,,,,,,,,,
devise,980,closed,opened,2011-04-11 07:55:16,,,,,,,,,,,,,,,,,,,,,,,,,,
devise,980,closed,title,2011-04-11 07:55:16,00:00,,1,,"b""b' Readme outdated?'""",,,,,,,,,,,,,,,,,,,,,
devise,980,closed,body,2011-04-11 07:55:16,00:00,,,1,"b'b"" As far as I can tell", it\'s no longer necessary to include Devise from the git master branch, in order to use the Omniauthable module? If so," the Readme should reflect that.Thanks""'",,,,,,,,,,,,,,,,,,
devise,980,closed,1,2011-04-11 07:55:16,2.38,,,1,"b""b' Oh yeah"," thanks for the pointer. I will update it now.'""",,,,,,,,,,,,,,,,,,,,
devise,980,closed,closed,2011-04-11 07:57:39,2.38,0,1,2,,,,,,,,,,,,,,,,,,,,,,
devise,980,closed,2,2011-04-11 07:55:16,4.13,1,,,"b""b' Sorry", I just checked the readme," I could not find the outdated part. Could you please point it to me or send a pull request fixing what you think it is wrong?'""",,,,,,,,,,,,,,,,,,,
devise,980,closed,reopened,2011-04-11 08:22:16,24.62,1,1,2,,,,,,,,,,,,,,,,,,,,,,
devise,980,closed,3,2011-04-11 07:55:16,20.95,,,1,"b""b' Just sent a pull req. Thanks for your quick answer!url '""",,,,,,,,,,,,,,,,,,,,,
devise,980,closed,closed,2011-04-11 08:26:08,3.87,1,1,3,,,,,,,,,,,,,,,,,,,,,,
devise,980,closed,-,-,-,1,1,3,,,,,,,,,,,,,,,,,,,,,,
devise,999,closed,opened,2011-04-15 06:18:37,,,,,,,,,,,,,,,,,,,,,,,,,,
devise,999,closed,title,2011-04-15 06:18:37,00:00,,1,,"b""b' Accept: */* causes problems'""",,,,,,,,,,,,,,,,,,,,,
devise,999,closed,body,2011-04-15 06:18:37,00:00,1,,,"b'b"" This issue is related to issue #420 but since that is closed I was not sure if my comments would cause a notification", the circumstances are also slightly different so I am creating a new ticket to be sure. I have just come across an issue on one of our websites and accept headers. Some of our users using Internet Explorer are getting 401 response from the website instead of a 302. I have figured out that the problem IEs are sending in the headers while the non-problem IE\'s are sending a string full of  etc. I have no idea why this is the case, some of the problem and non-problem IEs are the same version and don\'t appear to have any settings changed! This problem ONLY occurs when the user tries to access a protected page and gets redirected. For example with Accept */* in the headers will result in a 401 instead of a  302 to url However if the user accesses url  directly then there is no problem. So I think there may be a problem in the redirection code? Either way, this is causing devise to return 401 prompts which throws up windows basic authentication boxes which is hugely confusing for everyone involved. Would it be possible to do 2 things.  A) If the accept header is */* assume HTML response?B) Instead of using HTTP 401 response code which is monumentally confusing (and, after doing some checking," is not in accordance with the spec) because if causes authentication boxes to popup could we use 406 Not Acceptable which seems to be the suitable code and doesn\'t have this side-effect in the browser.""'",,,,,,,,,,,,,,,,
devise,999,closed,1,2011-04-15 06:18:37,2.23,,1,,"b'b\' Add ""_/_"" and :""_/_"" to your navigational_formats array in your initializer.\''",,,,,,,,,,,,,,,,,,,,,
devise,999,closed,closed,2011-04-15 06:20:51,2.23,1,2,0,,,,,,,,,,,,,,,,,,,,,,
devise,999,closed,2,2011-04-15 06:18:37,10.37,,1,,"b""b' Also worth pointing out that (Again"," god knows why) Internet explorer will send the normal Accept: header when the URL is entered directly but will sometimes send Accept: */* when it is spawned by outlook when the use clicks the URL in the email pane.'""",,,,,,,,,,,,,,,,,,,,
devise,999,closed,reopened,2011-04-15 06:38:14,17.38,1,3,0,,,,,,,,,,,,,,,,,,,,,,
devise,999,closed,3,2011-04-15 06:18:37,7.12,,1,,"b'b\' I would say that ""*/*"" and :""*/*"" should be added by default since internet explorer", in some cases can send these headers. \'',,,,,,,,,,,,,,,,,,,,
devise,999,closed,4,2011-04-15 06:18:37,3.63,,1,,"b""b' It is. Check master.'""",,,,,,,,,,,,,,,,,,,,,
devise,999,closed,closed,2011-04-15 06:41:58,3.73,1,5,0,,,,,,,,,,,,,,,,,,,,,,
devise,999,closed,reopened,2011-04-28 12:01:34,319.6,1,5,0,,,,,,,,,,,,,,,,,,,,,,
devise,999,closed,5,2011-04-15 06:18:37,327.33,,,1,"b'b"" (disclaimer: I\'ve read both this and issue #420 and I\'m using Devise  and Rails 3.0.5)  I still have problems with IE though and are reproducible with curl: as you can see I get the correct 302 HTTP code", but it pass the format=_/_if I try to follow the redirect with curl, I get: How can I fix it? I think that returning html as default if _/_ is passed should be enough," but I don\'t know how to fix it. thanks!""'",,,,,,,,,,,,,,,,,,
devise,999,closed,6,2011-04-15 06:18:37,9.4,,1,,"b""b' You are not supposed to pass _/_ in format. Just in accept headers.'""",,,,,,,,,,,,,,,,,,,,,
devise,999,closed,closed,2011-04-28 12:18:43,17.15,1,6,1,,,,,,,,,,,,,,,,,,,,,,
devise,999,closed,reopened,2011-04-28 12:25:11,6.47,1,6,1,,,,,,,,,,,,,,,,,,,,,,
devise,999,closed,7,2011-04-15 06:18:37,6.52,,1,,"b'b"" I don\'t pass it"," it\'s all automatic.""'",,,,,,,,,,,,,,,,,,,,
devise,999,closed,8,2011-04-15 06:18:37,1.35,,1,,"b'b"" I mean"," your CURL results don\'t tell me anything as I don\'t expect passing */* in the ?format= to work. Can you try providing a test case to Devise?""'",,,,,,,,,,,,,,,,,,,,
devise,999,closed,closed,2011-04-28 12:26:34,1.38,1,8,1,,,,,,,,,,,,,,,,,,,,,,
devise,999,closed,9,2011-04-15 06:18:37,2.27,,1,,"b'b"" I\'ll check if I can provide a test case"," but why does devise redirect with a ?format in the URL? that\'s a Devise bug IMO.""'",,,,,,,,,,,,,,,,,,,,
devise,999,closed,10,2011-04-15 06:18:37,2.02,,1,,"b'b"" That\'s not Devise bug. That\'s how Rails work. Whenever a format is given", it will be in params[:format] and that is what Rails uses in respond_with," respond_to and similar things.""'",,,,,,,,,,,,,,,,,,,
devise,999,closed,11,2011-04-15 06:18:37,3.15,1,,,"b'b"" No"," I mean: when I do Devise responds with a 302 and set Location to: this is Devise acting weird. I really don\'t know why.""'",,,,,,,,,,,,,,,,,,,,
devise,999,closed,12,2011-04-15 06:18:37,1.67,1,,,"b'b"" AHHHHHHHHHHH. Now I finally understand what is happening", sorry for the confusion. I have no idea why this is happening," it surely doesn\'t happen on my apps. Can you provide a test case reproducing the error?""'",,,,,,,,,,,,,,,,,,,
devise,999,closed,13,2011-04-15 06:18:37,173.22,,1,,"b'b\' Just a quick note to say I am also experiencing exactly the same as ecarnevale: Started GET ""/"" for  at 2011-04-28 15:47:07 +0100  Processing by DashboardController#index asCompleted in 0ms Started GET ""/?format=%2A%2F%2A"" for  at 2011-04-28 15:47:07 +0100  Processing by Devise::SessionsController#new asCompleted 406 Not Acceptable in 1ms\''",,,,,,,,,,,,,,,,,,,,,
devise,999,closed,14,2011-04-15 06:18:37,2.53,,1,,"b""b' @nilocj-d Which Devise and Rails versions? @ecarnevale have you checked if it happens on Devise 1.2?'""",,,,,,,,,,,,,,,,,,,,,
devise,999,closed,15,2011-04-15 06:18:37,4.3,,1,,"b'b"" @nilocj-d thanks for the comment. As a temporary workaround (the app is already deployed in the client\'s intranet and I did not want to mess with the gems today) I\'ve made this Rack middleware and it works.url  @josevalim not yet"," will try later today and I\'ll also try to provide a  case.""'",,,,,,,,,,,,,,,,,,,,
devise,999,closed,reopened,2011-04-28 16:39:35,253.02,3,13,1,,,,,,,,,,,,,,,,,,,,,,
devise,999,closed,16,2011-04-15 06:18:37,1150.48,1,,,"b""b' Same issue. Rails 3.0.7 + Devise 1.3.3 : It was happening after rails was updated to 3.0.7 but was on [2bd5e0287e]url  3.0 stable branch.  UPD: Opps. Devise was updated too from 1.3.0 to 1.3.3'""",,,,,,,,,,,,,,,,,,,,,
devise,999,closed,17,2011-04-15 06:18:37,4.15,,,1,"b""b' If you guys can find when the regression was introduced"," it would help me a great deal. Questions: 1) Does this issue also exist on Rails 3.0.5?2) Does this issue also exist on Devise 1.2.x?'""",,,,,,,,,,,,,,,,,,,,
devise,999,closed,18,2011-04-15 06:18:37,13.13,,1,,"b'b"" I\'m using a before_filter in my application controller while I can\'t discover what is causing that. But that broke an  that was being used with script_tag.""'",,,,,,,,,,,,,,,,,,,,,
devise,999,closed,19,2011-04-15 06:18:37,78.82,,1,,"b""b' Fixed and Devise 1.3.4 released.'""",,,,,,,,,,,,,,,,,,,,,
devise,999,closed,closed,2011-04-29 12:22:18,1182.72,4,15,2,,,,,,,,,,,,,,,,,,,,,,
devise,999,closed,20,2011-04-15 06:18:37,3.3,,,1,"b""b' Awesome!thanks! On Fri", Apr 29, 2011 at 2:22 PM," josevalim <reply@>wrote:'""",,,,,,,,,,,,,,,,,,
devise,999,closed,21,2011-04-15 06:18:37,1382.95,,1,,"b'b"" Hi", just to let you know devise 1.3.4 has fixed the issue for me. Sorry didn\'t respond with more information earlier," haven\'t been in the office. Thanks for the fix!""'",,,,,,,,,,,,,,,,,,,
devise,999,closed,22,2011-04-15 06:18:37,59.63,,,1,"b""b' Thanks guys"," fixed for me too!'""",,,,,,,,,,,,,,,,,,,,
devise,999,closed,-,-,-,4,16,4,,,,,,,,,,,,,,,,,,,,,,
devise,1029,closed,opened,2011-04-22 18:04:57,,,,,,,,,,,,,,,,,,,,,,,,,,
devise,1029,closed,title,2011-04-22 18:04:57,00:00,,1,,"b""b' ArgumentError: uncaught throw :warden'""",,,,,,,,,,,,,,,,,,,,,
devise,1029,closed,body,2011-04-22 18:04:57,00:00,,1,,"b""b' This could well be just me but... since 1.3.1 I am getting this error consistently throughout an app which had all tests working on 1.3.0. It happens in each release up to 1.3.3. In my functional tests I have been logging in via a call and the uncaught exception thrown from warden occurs while in the call to in the actual controller(s).'""",,,,,,,,,,,,,,,,,,,,,
devise,1029,closed,1,2011-04-22 18:04:57,114.27,,1,,"b""b' Can you post an example of your tests? Are you using ActionController::TestCase?'""",,,,,,,,,,,,,,,,,,,,,
devise,1029,closed,2,2011-04-22 18:04:57,824.1,,,1,"b""b' Sure", this is the basic recipe for most of the tests involved: I will add that the app itself runs fine, just tests fail. Also," running the following: rails 3.0.7datamapper 1.1.0devise >= 1.3.1cacan 1.6.4'""",,,,,,,,,,,,,,,,,,
devise,1029,closed,3,2011-04-22 18:04:57,1328.75,,1,,"b""b' Can you post the full backtrace as well? This was indeed changed in Devise 1.3.x"," but I am still not sure on how to reproduce this in Devise suite.'""",,,,,,,,,,,,,,,,,,,,
devise,1029,closed,4,2011-04-22 18:04:57,23.2,,1,,"b""b' I have to manually catch the exception as the backtrace is just one line '""",,,,,,,,,,,,,,,,,,,,,
devise,1029,closed,5,2011-04-22 18:04:57,11.78,,1,,"b""b' Ah... why are you not including Devise::TestHelpers in your test case? Did it work before? If so"," I am really surprised.'""",,,,,,,,,,,,,,,,,,,,
devise,1029,closed,closed,2011-04-25 08:27:03,862.1,0,6,1,,,,,,,,,,,,,,,,,,,,,,
devise,1029,closed,reopened,2011-04-25 08:33:53,6.83,0,6,1,,,,,,,,,,,,,,,,,,,,,,
devise,1029,closed,6,2011-04-22 18:04:57,7.42,,1,,"b""b' They are being included", in my test_ (which, yes, I failed to mention at the outset) like so: [Another github project here]url  also has this issue," just clone it and update the version of devise.'""",,,,,,,,,,,,,,,,,
devise,1029,closed,7,2011-04-22 18:04:57,1.88,,1,,"b""b' That is it. You should include them in your ActionController::TestCase.'""",,,,,,,,,,,,,,,,,,,,,
devise,1029,closed,closed,2011-04-25 08:36:21,2.47,0,8,1,,,,,,,,,,,,,,,,,,,,,,
devise,1029,closed,8,2011-04-22 18:04:57,13.6,,,1,"b'b\' Thanks for your time. As I said ""This could well be just me""!\''",,,,,,,,,,,,,,,,,,,,,
devise,1029,closed,9,2011-04-22 18:04:57,857.78,,1,,"b'b"" Where should be declared if you\'re using RSpec instead of the default tests? Sorry for opening up such an old thread", but it\'s proved insufferably hard to find almost _any_ resources on this subject matter. FYI, I do currently have it declared in my file like so: but I figured maybe I have declared incorrectly," because I keep getting an error when I try to test with _invalid_ credentials. I just created a SO question here: url  Thanks!""'",,,,,,,,,,,,,,,,,,
devise,1029,closed,10,2011-04-22 18:04:57,891.38,,1,,"b""b' @jeffdill2 you must also set the devise mapping"," [like shown in this wiki]url  Hope that helps.'""",,,,,,,,,,,,,,,,,,,,
devise,1029,closed,11,2011-04-22 18:04:57,390.55,,1,,"b""b' @carlosantoniodasilva yep"," I have that set  '""",,,,,,,,,,,,,,,,,,,,
devise,1029,closed,12,2011-04-22 18:04:57,762.3,,,1,"b'b"" @jeffdill2 I\'ve just encountered this -in my case I was requiring my support files and thereby performing the _before_ I was doing  .  That meant the inheritance hierarchy was in the wrong (unexpected) order"," and causing it break with the uncaught throw. HTH!""'",,,,,,,,,,,,,,,,,,,,
devise,1029,closed,13,2011-04-22 18:04:57,830.75,,,1,"b""b' @jeffdill2 I faced exactly the same situation than you", and @mjtko is right (thank you so much man!) All worked perfectly once I moved this include line (_ Devise::TestHelpers," :type ='""",,,,,,,,,,,,,,,,,,,
devise,1029,closed,-,-,-,0,11,4,,,,,,,,,,,,,,,,,,,,,,
devise,1030,closed,opened,2011-04-22 23:06:59,,,,,,,,,,,,,,,,,,,,,,,,,,
devise,1030,closed,title,2011-04-22 23:06:59,00:00,,1,,"b""b' UsersController conflicts with omniauthable'""",,,,,,,,,,,,,,,,,,,,,
devise,1030,closed,body,2011-04-22 23:06:59,00:00,,1,,"b'b"" After generating  "," when I\'m trying to access I get I followed the structure in this wiki url ""'",,,,,,,,,,,,,,,,,,,,
devise,1030,closed,1,2011-04-22 23:06:59,463.1,,1,,"b""b' Put your users routes after devise ones.'""",,,,,,,,,,,,,,,,,,,,,
devise,1030,closed,closed,2011-04-23 06:50:05,463.1,0,3,0,,,,,,,,,,,,,,,,,,,,,,
devise,1030,closed,2,2011-04-22 23:06:59,4.72,,,1,"b'b"" Ah! It didnt work! Here\'s the routes Here\'s the error  ""'",,,,,,,,,,,,,,,,,,,,,
devise,1030,closed,3,2011-04-22 23:06:59,2.85,,1,,"b""b'   url '""",,,,,,,,,,,,,,,,,,,,,
devise,1030,closed,4,2011-04-22 23:06:59,0.63,,1,,"b""b' The problem is in the catch all route. Remove it from devise block. And pass a regexp to resources forcing id to be a number. Ping the mailing list of you have more questions.'""",,,,,,,,,,,,,,,,,,,,,
devise,1030,closed,5,2011-04-22 23:06:59,554.07,,,1,"b'b"" Hey", It could be an issue, This is my routes: As I said before when am trying to access it works well. Also all other Devise behavior works! But When we come to the Omniauth," I give up!! Now when I try to access I\'m getting: I added to  this to prevent the conflict of routes name. So When I want to access I\'m getting Thanks""'",,,,,,,,,,,,,,,,,,
devise,1030,closed,reopened,2011-04-26 16:12:25,562.33,0,5,2,,,,,,,,,,,,,,,,,,,,,,
devise,1030,closed,closed,2011-04-26 16:36:43,24.3,0,5,2,,,,,,,,,,,,,,,,,,,,,,
devise,1030,closed,6,2011-04-22 23:06:59,25.2,,,1,"b""b' CLOSED I should have restart the server to get the new routes work! Thanks'""",,,,,,,,,,,,,,,,,,,,,
devise,1030,closed,-,-,-,0,5,3,,,,,,,,,,,,,,,,,,,,,,
devise,1036,closed,opened,2011-04-26 22:01:56,,,,,,,,,,,,,,,,,,,,,,,,,,
devise,1036,closed,title,2011-04-26 22:01:56,00:00,,1,,"b""b' require_no_authentication before_filter'""",,,,,,,,,,,,,,,,,,,,,
devise,1036,closed,body,2011-04-26 22:01:56,00:00,,1,,b'b\' I\\\'m having a problem where users who are authenticated with remember_me set close their browser, then open, come back to the sign_in page, and are treated as if they are un-authenticated until they click a link on the sign_in page or go to another page on the site.  This is with using a cookie store for user session data. Based on some digging," it seems that when they any page they are redirected to the sign_in page.  After that first redirection they are then considering ""signed in"" and are redirected back to their original page.  The problem comes when a user bookmarks the sign_in page for instance and comes directly back their. I dug through the devise and warden code", and it seems like making the following change solves the problem: /: #94    if ?(resource_name)to  I\\\'m not sure I have enough context to understand if this is the correct fix, but I\\\'d like to get feedback from the devise team about the issue.\'',,,,,,,,,,,,,,,
devise,1036,closed,1,2011-04-26 22:01:56,4.97,,1,,"b""b' Right. This is a bug. The fix should simply change ? to ?. Could you please try providing a test case that reproduces the issue?'""",,,,,,,,,,,,,,,,,,,,,
devise,1036,closed,2,2011-04-26 22:01:56,10.6,,,1,"b'b"" I\'ll put together a test case tonight when I have a few minutes and submit it with a patch if that\'s cool.""'",,,,,,,,,,,,,,,,,,,,,
devise,1036,closed,closed,2011-04-26 22:17:30,15.57,0,3,1,,,,,,,,,,,,,,,,,,,,,,
devise,1036,closed,reopened,2011-04-26 22:17:44,0.23,0,3,1,,,,,,,,,,,,,,,,,,,,,,
devise,1036,closed,3,2011-04-26 22:01:56,6.58,,,1,"b""b' Sure! That would be awesome!'""",,,,,,,,,,,,,,,,,,,,,
devise,1036,closed,4,2011-04-26 22:01:56,489.97,,1,,"b""b' Any news? :)'""",,,,,,,,,,,,,,,,,,,,,
devise,1036,closed,5,2011-04-26 22:01:56,21.08,,1,,"b""b' Ah"," already fixed. :)'""",,,,,,,,,,,,,,,,,,,,
devise,1036,closed,closed,2011-04-29 06:58:51,521.12,0,5,2,,,,,,,,,,,,,,,,,,,,,,
devise,1036,closed,-,-,-,0,5,2,,,,,,,,,,,,,,,,,,,,,,
devise,1050,closed,opened,2011-05-05 21:22:23,,,,,,,,,,,,,,,,,,,,,,,,,,
devise,1050,closed,title,2011-05-05 21:22:23,00:00,,1,,"b""b' devise and rails 3.1.0.beta1"," SyntaxError in Devise::SessionsController#new'""",,,,,,,,,,,,,,,,,,,,
devise,1050,closed,body,2011-05-05 21:22:23,00:00,1,,,"b""b' Error Message trying to login SyntaxError in Devise::SessionsController#new ~/-1.9.2-p0/-3.1.0.beta1/:91: syntax error", unexpected keyword_end~/-1.9.2-p0/-3.1.0.beta1/:93: syntax error, unexpected $end," expecting keyword_end'""",,,,,,,,,,,,,,,,,,
devise,1050,closed,1,2011-05-05 21:22:23,274.7,,1,,"b""b' What are the columns in your model?'""",,,,,,,,,,,,,,,,,,,,,
devise,1050,closed,closed,2011-05-06 03:41:46,379.38,1,2,0,,,,,,,,,,,,,,,,,,,,,,
devise,1050,closed,reopened,2011-05-06 20:39:58,1018.2,1,2,0,,,,,,,,,,,,,,,,,,,,,,
devise,1050,closed,2,2011-05-05 21:22:23,1123.3,,1,,b'b\' some custom fields, is this the problem? # == Schema Information## Table name: users##  id       :integer(4)  not null," primary key#  first_name     :string(255)#  last_name    :string(255)#  zip      :string(255)#  city       :string(255)#  country      :string(255)#  username     :string(255)#  address      :text#  email      :string(255)   default("""")"," not null#  encrypted_password :string(128)   default("""")", not null#  reset_password_token :string(255)#  remember_token   :string(255)#  remember_created_at  :datetime#  sign_in_count    :integer(4)  default(0)#  current_sign_in_at :datetime#  last_sign_in_at  :datetime#  current_sign_in_ip :string(255)#  last_sign_in_ip  :string(255)#  password_salt    :string(255)#  confirmation_token :string(255)#  confirmed_at   :datetime#  confirmation_sent_at :datetime#  failed_attempts  :integer(4)  default(0)#  unlock_token   :string(255)#  locked_at    :datetime#  authentication_token :string(255)#  created_at     :datetime#  updated_at     :datetime#  admin      :boolean(1)  default(FALSE)# \'',,,,,,,,,,,,,,,,,
devise,1050,closed,3,2011-05-05 21:22:23,24.32,1,,,"b'b"" They shouldn\'t be a problem but I am afraid this is not a Devise issue but a Rails one. Does loading this same object in console works fine?""'",,,,,,,,,,,,,,,,,,,,,
