REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,6,2010-10-27 19:58:26,3.27,,1,,"b""b' Sure thing"," I can incorporate that & update the request.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,7,2010-10-27 19:58:26,426.17,,1,,"b'b"" I understand wanting to have consistent apis", but won\'t that break with space-separate data keys as snover indicated?  Though frowned upon," they are technically valid.  Unless we want to enforce no spaces ourselves.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,8,2010-10-27 19:58:26,962.75,,1,,"b'b"" We should probably review this in the next meeting.  rmurphey would like to know if space-separated keys are valid before proceeding.  I\'m still investigating whether they should be valid", but as of now," we allow them url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,9,2010-10-27 19:58:26,50.98,,1,,"b'b"" It\'s true"," any sequence of characters is valid.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,10,2010-10-27 19:58:26,12.62,,,1,"b'b"" It would be nice if we could say names couldn\'t have spaces"," there is an opportunity to DRY out all the places where we accept a -separatedof-names similar to how we did with  . I wonder how breaky a change like this might be though.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,11,2010-10-27 19:58:26,160.95,,1,,"b""b' Maybe we could have a function that filters through space-separated lists as well as arrays of names for ALL functions that accept either and just document that an array should be used in removeData for keys with spaces.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,12,2010-10-27 19:58:26,1175.87,,,1,"b""b' @timmywil: sounds great"," but will then users expet the same feature for  too?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,13,2010-10-27 19:58:26,18.23,,1,,"b'b"" I don\'t see why not.  ;)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,14,2010-10-27 19:58:26,11.4,,1,,"b""b' @timmywil: hmm ok", but if map of events are passed," then keys should still be considered space-separated-lists of types.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,15,2010-10-27 19:58:26,5.92,,1,,"b'b"" @rkatic: map of events?  You mean with a plain object?  This would be adding the ability to pass an array of event names as well as a space separated list", so .bind([\'click\', \'mouseenter\', \'mouseleave\'], handler) or .bind(\'click mouseenter mouseleave\').  .bind({ \'click\': handler, \'mouseenter\': handler," \'mouseleave\': handler}) would be unaffected.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,16,2010-10-27 19:58:26,9.67,,1,,"b'b\' @timmywil: .bind({ ""click keyup"": handler","mouseenter mouseleave"": handler })I mentioned this to be sure that the author of the patch (even me) should keep it in mind.\''
jquery	77	closed	17	timmywil	2010-10-27 19:58:26	7.13			+1	b""b' @rkatic  good call!'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,18,2010-10-27 19:58:26,27.13,,1,,"b""b' /me thinks @rkatic knows us too well. :)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,19,2010-10-27 19:58:26,16.47,,1,,b'b\' Well," I made a ""test pull""", not that I do not trust you...  :P\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,20,2010-10-27 19:58:26,303.47,,,1,"b'b"" Thanks @rmurphey! We\'re going to land another take on this.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,closed,2011-09-19 20:55:21,318.6,1,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,-,-,-,1,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,166,closed,opened,2011-01-06 18:55:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,166,closed,title,2011-01-06 18:55:38,00:00,,1,,"b""b' Updated patch for #7102'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,166,closed,body,2011-01-06 18:55:38,00:00,,1,,"b""b' This is an updated patch that addresses the concerns about making sure an AMD define is called"," and that the AMD implementation can support a functionality similar to noConflict. There is more info in an [updated comment in the 7102 ticket]url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,166,closed,reopened,2011-04-16 21:33:33,157.92,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,166,closed,1,2011-01-06 18:55:38,158.32,,1,,"b'b"" I\'m not sure why this was closed? Can we discuss it for 1.7?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,166,closed,2,2011-01-06 18:55:38,323.12,,1,,b'b\' I was going to do a better," proper patch conforming to the sane jQuery policy of ""use a branch for each ticket pull"" instead of the goofy thing I did where I had other changes in my master fork so the actual change for #7102 got mixed up in other commits. I\\\'ll create a fresh jQuery fork with a ticket branch", create a fresh pull, and add it to ticket #7102. I should have it up later tonight.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,166,closed,closed,2011-04-17 02:57:04,323.52,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,166,closed,-,-,-,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,268,closed,opened,2011-03-10 23:21:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,268,closed,title,2011-03-10 23:21:32,00:00,,1,,"b""b' Make it possible to force the Ajax crossDomain option to false.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,268,closed,1,2011-03-10 23:21:32,1351.1,,1,,"b""b' Closing the request by consensus.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,268,closed,closed,2011-03-30 21:52:38,1351.1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,268,closed,2,2011-03-10 23:21:32,10.73,,,1,"b""b' Hi Dave", The consensus is that it is unnecessary to initialize crossDomain to null (undefined is just fine). I would still very much like the small change in the test in line 607 to be included," so jQuery honors the value of crossDomain set by the user.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,268,closed,reopened,2011-03-31 01:50:24,237.77,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,268,closed,closed,2011-03-31 02:04:57,14.55,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,268,closed,3,2011-03-10 23:21:32,243.32,,,1,"b""b' Thanks!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,268,closed,-,-,-,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,282,closed,opened,2011-03-21 11:50:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,282,closed,title,2011-03-21 11:50:37,00:00,,1,,"b""b' fixed (workarounded) the tedious bug in FF 3.x about charCode in  events'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,282,closed,body,2011-03-21 11:50:37,00:00,,1,,"b'b"" this shouldn\'t break any existing code"," and fixes a problem in FF 3.x which really bugs me and my firebug while debugging website. a real must for me.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,282,closed,1,2011-03-21 11:50:37,275.05,,1,,"b""b' Is there a ticket for this? url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,282,closed,2,2011-03-21 11:50:37,334.45,,1,,"b""b' i created it. #8595it takes too much time guys :('""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,282,closed,closed,2011-03-22 22:00:07,609.5,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,282,closed,reopened,2011-03-22 22:00:15,0.13,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,282,closed,3,2011-03-21 11:50:37,123.02,,1,,"b""b' Commit does not confirm to jQuery Style Guide: url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,282,closed,4,2011-03-21 11:50:37,23.98,,1,,"b'b"" omg what was I thinking when I did this? :)OK i\'m willing to conform", but I can see you are quite inconsistent with the spacing around parenthesis anyway. Here are a few examples from jQuery 1.5.1: as you can see, the inner parenthesis are sometimes spaced sometimes now. I\'ll resubmit my patch with spacing the way I understood are right from the guidelines," but they constrast with the examples above.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,282,closed,5,2011-03-21 11:50:37,1.2,,,1,"b'b"" i\'m not very familiar with github. I pushed to the same branch"," and the pull requested got automagically updated. Is that good for you?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,282,closed,6,2011-03-21 11:50:37,9.0,,1,,"b'b"" I\'ll be sure to bring that up at the next jquery core devs meeting in the meantime"," you\'re STILL missing curly braces around the body of your if condition block url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,282,closed,7,2011-03-21 11:50:37,3.2,,1,,"b""b' Also"," strict equality === url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,282,closed,8,2011-03-21 11:50:37,0.37,,1,,"b""b' As for the auto updating branch"," yes that part is correct'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,282,closed,9,2011-03-21 11:50:37,6.28,,1,,"b'b"" two lines three coding style bugs? you are hurting my ego. How about now?the problem is that now they are 4 commits", i guess they would still be 4 commits once you merge, it\'s quite unneeded. I would like to merge them in one commit, but I don\'t know any easy way to do that.If you suggest me an easy way to do that with git I will fix it, assuming that it\'s not as simple as  three lines of code in a clean branch," something that would work programmatically.. thanks!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,282,closed,10,2011-03-21 11:50:37,90.95,1,,,"b'b"" I never intended to hurt anyone\'s ego... jQuery has to maintain a strict quality of code and that includes making it readable like it was written by one person. If i were you I\'d just paste the changes into a new branch. Aside from that you provided no reduced test case in your ticket... I can\'t reproduce this issue", if you provided a test case it would make reviewing your patch significantly easier.  In case you weren\'t aware," we are all volunteering our time so don\'t give me a hard time because you didn\'t thoroughly read the style guide or because you just assumed that we\'d pull in any contributed code tested or not. Which brings me to another point is this issue testable? Has your patch been tested and passing in all supported browsers? have you bothered to read the bug patching guide?  url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,282,closed,11,2011-03-21 11:50:37,1168.08,1,,,"b'b"" Sorry but this event-copy loop is the most time critical part of  and we wouldn\'t want to make it slower just to get rid of a spurious console warning. I don\'t think we want to add more logic to it. See url  for more information. A pull request like this would need to come with performance tests on a real event object (not just a Javascript object).""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,282,closed,closed,2011-03-30 21:46:12,1425.95,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,282,closed,-,-,-,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,294,closed,opened,2011-03-31 23:52:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,294,closed,title,2011-03-31 23:52:25,00:00,,1,,"b""b' Disable JSONP replacement for $.ajax() JSON POST'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,294,closed,body,2011-03-31 23:52:25,00:00,,1,,"b""b' This is for the specific use case of request bodies containing JSON i.e.POST", PUT etc.  This has caused some head-scratching for users of simpleJSON-based REST APIs," when sending JSON data to the API via the requestbody. Includes test case. See also url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,294,closed,1,2011-03-31 23:52:25,19.23,,1,,"b'b"" That\'s clearly not the way to tackle the issue. In your unit test", you don\'t specify the contentType option, which means ajax is expecting your data to be url encoded when provided as a string, in which case ?? would be encoded and not found by the regexp in the prefilter. Since the headers are properly delivered by ajax, then the data string will be decoded properly server-side. People took the habit of never encoding their data which is just wrong. Now controlling the contentType doesn\'t require encoding and not testing for the regexp in that case is the way to deal with the issue because, in that case, and in that case only," is the prefilter doing something wrong.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,294,closed,closed,2011-04-01 00:11:39,19.23,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,294,closed,reopened,2011-04-01 09:45:59,574.33,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,294,closed,2,2011-03-31 23:52:25,574.7,,,1,"b'b"" Good point", thanks for spotting that, I\'ve pushed a fix for the unit test. Does jQuery support JSONP POST?  I don\'t think it does, as JSONP relies on injecting a element, and so can only make a request. So testing for a non request does make sense, but I can see that someone may come up with a magickal workaround involving iframes some day in the future," so perhaps checking for a custom settings would be better. I\'ve updated the pull request to check for a custom instead too.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,294,closed,3,2011-03-31 23:52:25,555.15,1,,,"b""b' Does the contentType really matter in the case of a GET request?  The data will be appended to the URL in that case"," not sent in the request body.  And the URL is always URL encoded. My suggestion is to test:  .  My testing indicates that the property is normalized by the point where this check is made. Though I am skeptical that there will ever be a scenario where a JSONP request can be made using a method other than GET.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,294,closed,4,2011-03-31 23:52:25,26.92,,,1,"b'b"" @hallettj Good point. As the auto-JSONP replacement occurs on URLs too", it makes sense to always run it for GET requests (as long as is  , which it is by default).  I\'ve updated the pull request to reflect this. Re. JSONP for non-GET requests, I agree that this is highly unlikely.  There are other forms of JSONP for POST requests that involve iframes, but they require the target to return code to communicate with the parent page via or  , so an auto-replaced callback would not be required there. Ultimately this is a serious bug for many modern webapps that use jQuery to post JSON data to persist data via REST-based services," so I hope it gets merged and rolled into the next release as soon as possible.  I\'m guessing people may not have come across it yet as it\'s fairly rare to have anywhere.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,294,closed,5,2011-03-31 23:52:25,109.83,1,,,"b""b' Having recently run into the JSONP bug in a deployed application I can say that it is not rare to see in user-generated content.  At least not among my users.  So I agree that the issue is a nasty one.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,294,closed,6,2011-03-31 23:52:25,1126.77,,,1,"b""b' OK"," I reworked the  prefilter so I took the opportunity to fix the issue there too: url  Thanks for all this Jason :)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,294,closed,closed,2011-04-16 16:05:01,379.03,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,294,closed,7,2011-03-31 23:52:25,22.17,,,1,"b""b' Awesome"," thanks Julian!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,294,closed,-,-,-,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,302,closed,opened,2011-04-05 22:18:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,302,closed,title,2011-04-05 22:18:15,00:00,,1,,"b""b' Ticket #8777 undelegate by namespace'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,302,closed,body,2011-04-05 22:18:15,00:00,,1,,"b'b"" I don\'t think there was a pretty way to do this. And I now know why nobody wanted this task  This is a first pass"," I want reviews... I\'m not even sold myself but it works""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,302,closed,1,2011-04-05 22:18:15,179.32,,1,,"b'b"" That\'s going to unbind all events with that class on the element", not just the delegated ones, isn\'t it? Seems like this is another one like #7520. We should decide whether  events need a bigger firewall between them and bound events," I would prefer that we document they are dependent this way. It actually could be considered a feature that you can unbind both with the same namespace.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,302,closed,2,2011-04-05 22:18:15,20.32,,1,,"b'b"" Yeah", I suppose it will unbind everything within that namespace," but I think that\'s what the OP was proposing? ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,302,closed,3,2011-04-05 22:18:15,848.23,,1,,"b""b' +1 on the pull"," +1 on needsdocs'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,302,closed,4,2011-04-05 22:18:15,217.67,,1,,"b'b"" OK"," sounds like we\'re holding off on this.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,302,closed,closed,2011-04-10 19:23:47,1265.53,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,302,closed,reopened,2011-04-10 19:58:24,34.62,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,302,closed,5,2011-04-05 22:18:15,35.02,,1,,"b""b' Staying in 1.6", I think," pay no attention to that other guy.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,302,closed,closed,2011-04-11 16:13:42,1215.3,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,302,closed,-,-,-,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,337,closed,opened,2011-04-19 17:24:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,337,closed,title,2011-04-19 17:24:16,00:00,,1,,"b""b' #8570 Value of radio inputs resets when type is set after the value in all IEs.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,337,closed,body,2011-04-19 17:24:16,00:00,,1,,"b""b' Reset the value on a radio input if the type is set after the value in IE6-9.[#8570]url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,337,closed,1,2011-04-19 17:24:16,223.92,1,,,"b""b' Test"," please disregard.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,337,closed,closed,2011-04-21 21:08:11,223.92,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,337,closed,reopened,2011-04-21 21:08:33,0.37,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,337,closed,closed,2011-04-21 21:25:07,16.57,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,337,closed,reopened,2011-04-21 21:25:21,0.23,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,337,closed,closed,2011-04-21 22:09:29,44.13,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,337,closed,reopened,2011-04-21 22:09:52,0.38,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,337,closed,2,2011-04-19 17:24:16,265.73,,1,,"b""b' Landed in commit 3ac9eb7ce37b461a34e303e8b77aa544d313441c.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,337,closed,closed,2011-04-22 01:33:55,204.05,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,337,closed,-,-,-,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,366,closed,opened,2011-05-01 03:36:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,366,closed,title,2011-05-01 03:36:29,00:00,,1,,"b""b' Using isArrayLike checks in each() and map().'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,366,closed,body,2011-05-01 03:36:29,00:00,,1,,b'b\' Also added to those an internal isArray argument to ignore checks on () and ().Passes all existent unit tests. No yet tested on IE<9, but should be ok. Should fix all each() and map() related bugs," changing what array-like is to: ""Array-like objects are **arrays**", **arguments**," and all **NOT plain-objects** with the _length_ property."" More on [discussion]url  If this will be considered", will add tests.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,366,closed,1,2011-05-01 03:36:29,19.58,,1,,"b'b\' Moving this functionality to a separate function dramatically affected the performance of the functions.  ""Array-like objects are arrays", arguments," and all NOT plain-objects with the length property."" this is heavily well managed by $.map currently.  I\\\'ve seen plenty of fiddles", but no perf tests please see the original perf info at url \'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,366,closed,2,2011-05-01 03:36:29,6.63,,1,,"b""b' Current concept of arrry-like in $",map is broken. It have to change and I have confirmation that it is in process of reconsideration. Regarding perf, () and () are now even faster. I am very pedant when considering performances, but even more considering consistence," that currently there is no  between $.each and $.map.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
