REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,
chosen,73,closed,body,2011-07-26 13:40:13,00:00,,,1,"b'b\' the plugin does not filter text from source selects: for option with text like: ""abc &quot;&gt;&lt;script&gt;alert(&#039;hack&#039;)&lt;/script&gt; def &quot;&gt;&lt;script&gt;alert(&#039;hack!&#039;)&lt;/script&gt; ""it will execute the script inside (on init and options change).\''",,,,,,,,,,,,,,,,,
chosen,73,closed,1,2011-07-26 13:40:13,85.27,,,1,"b""b' @lostintime you mean given a select like: ? Can you give a more detailed example"," I think I lost something in the formatting of your ticket. Thanks'""",,,,,,,,,,,,,,,,
chosen,73,closed,closed,2011-07-26 15:05:29,85.27,0,1,2,,,,,,,,,,,,,,,,,,
chosen,73,closed,2,2011-07-26 13:40:13,4.63,,1,,"b'b"" I\'d argue this is sort of a feature instead of a bug. You can use arbitrary html in your selections.""'",,,,,,,,,,,,,,,,,
chosen,73,closed,3,2011-07-26 13:40:13,5.78,1,,,"b'b"" I didn\'t quite mean to close this", but I\'ll leave it closed unless somebody else re-opens it. @pfiller took a look and couldn\'t recreate anything bad. If you have a script tag in an options tag," it may get re-rendered. That\'s not a security issue with chosen thoughyou shouldn\'t put a script tag there if you don\'t want one.""'",,,,,,,,,,,,,,,
chosen,73,closed,4,2011-07-26 13:40:13,921.72,,1,,"b'b""  the problem is that html special chars in option are escaped", so it shouldn\'t run the script. check the file attached for example. ##  lostintime On Tuesday, July 26, 2011 at 6:05 PM," mixonic wrote:""'",,,,,,,,,,,,,
chosen,73,closed,5,2011-07-26 13:40:13,113.48,,1,,"b""b' Github stripped the attachment from the email @lostintime'""",,,,,,,,,,,,,,,,,
chosen,73,closed,6,2011-07-26 13:40:13,16.2,,1,,"b""b' ok then. you get the output of  url  from my sample in first post or sample you wrote and put it in option tag  -so script shouldnt execute", but after chosen init," or after adding a choice to multiselect chosen you can see that alert'""",,,,,,,,,,,,,,,
chosen,73,closed,7,2011-07-26 13:40:13,35.75,,,1,"b'b"" Ok@pfiller could not recreate this. Unless you can be bothered to make a more detailed bug report with example HTML causing the issue"," I\'m moving on to one of the other 37 open tickets. Thanks!""'",,,,,,,,,,,,,,,,
chosen,73,closed,8,2011-07-26 13:40:13,36.17,,1,,"b""b' you can check for demo here: url  (try to choose something in chosen selects).'""",,,,,,,,,,,,,,,,,
chosen,73,closed,9,2011-07-26 13:40:13,5.88,,1,,"b""b' indeed"," this needs to be reopened.'""",,,,,,,,,,,,,,,,
chosen,73,closed,reopened,2011-07-27 13:21:11,1335.7,1,7,3,,,,,,,,,,,,,,,,,,
chosen,73,closed,10,2011-07-26 13:40:13,196.13,,,1,"b""b' Cool"," got it now @lostintime. Re-opening this! Thanks.'""",,,,,,,,,,,,,,,,
chosen,73,closed,11,2011-07-26 13:40:13,186.27,,1,,"b""b' Can you guys take a look at this branch and see how it behaves? url  This uses raw html instead of text through much of the code.'""",,,,,,,,,,,,,,,,,
chosen,73,closed,12,2011-07-26 13:40:13,1378.82,,,1,"b'b"" now looks like it\'s ok. thanks. waiting for merge with master ;)""'",,,,,,,,,,,,,,,,,
chosen,73,closed,closed,2011-07-28 15:26:19,125.13,1,8,5,,,,,,,,,,,,,,,,,,
chosen,73,closed,13,2011-07-26 13:40:13,19.25,,,1,"b""b' Just merged into master. Thanks"," @mixonic.'""",,,,,,,,,,,,,,,,
chosen,73,closed,-,-,-,1,8,6,,,,,,,,,,,,,,,,,,
chosen,95,closed,opened,2011-07-28 09:14:03,,,,,,,,,,,,,,,,,,,,,,
chosen,95,closed,title,2011-07-28 09:14:03,00:00,,1,,"b""b' Search problem with jqueryui dialog'""",,,,,,,,,,,,,,,,,
chosen,95,closed,body,2011-07-28 09:14:03,00:00,,,1,b'b\' select element inside an jqueryui dialog with modal: true," the search textbox not work  div id=""dialog"" style=""display: none;""    select class=""chzn-select""    option    option    /select/div $("".chzn-select"").chosen(); $(\\\'#dialog\\\').dialog({  autoOpen: true",  modal: true});  jquery: 1.6.2jqueryui: 1.8.14browser: FF4, Win 7\'',,,,,,,,,,,,,,
chosen,95,closed,1,2011-07-28 09:14:03,684.63,,1,,b'b\' It\\\'s because you\\\'re trying to extend on an element that isn\\\'t visible. jQuery UI will hide your div on creation so you shouldn\\\'t need to set display to none. If you want to keep it set as hidden," add this to line 16 in the plugin fn extension function:  if ($(this).not("":visible""))   $(this).parent().show();\''",,,,,,,,,,,,,,,,
chosen,95,closed,2,2011-07-28 09:14:03,345.87,,1,,b'b\' i have tried 2 above suggestion," still don\\\'t work :( div id=""dialog"" select class=""chzn-select""optionoption/select/div  $({  chosen: function(data"," options) {  return $(this).each(function(input_field) {    if ($(this).not("":visible""))    $(this).parent().show();    if (!($(this)).hasClass(""chzn-done"")) {    return new Chosen(this", data, options);    }  });  }  }); If i remove modal: true, it works ok\'',,,,,,,,,,,,
chosen,95,closed,closed,2011-07-29 02:24:34,1030.52,0,3,1,,,,,,,,,,,,,,,,,,
chosen,95,closed,reopened,2011-07-29 02:24:37,0.05,0,3,1,,,,,,,,,,,,,,,,,,
chosen,95,closed,3,2011-07-28 09:14:03,683.7,,1,,"b'b\' The UI dialog also has an overflow set. Try adding .ui-dialog{overflow:visible;}  after the jquery UI style sheet. Also the code you posted should have  if ($(this).not("":visible""))$(this).parent().show(); before the  return $(this).each(function(input_field) {\''",,,,,,,,,,,,,,,,,
chosen,95,closed,4,2011-07-28 09:14:03,1066.77,,1,,"b""b' I have the same problem.  When I modal:true", search is not working.  But, I cannot remove the modal clause for my dialog.  Please let me know, if this solution can become part of the framework itself," so that we need not write extra code to maintain this.'""",,,,,,,,,,,,,
chosen,95,closed,5,2011-07-28 09:14:03,1409.97,,1,,"b""b' Is there still no working way", how to use this plugin in a jquery modal dialog? I try the workaround from medelbrock," but it is still not working correctly.'""",,,,,,,,,,,,,,,
chosen,95,closed,6,2011-07-28 09:14:03,599.6,,1,,"b'b"" The issue is with modal dialog overlay mapping the keydown and keypress events. I got it to work this by doing the following update Chosen to 0.9.3update jQuery UI to 1.8.16 Modify the following line. events: $.map(\'focus",mousedown,mouseup,keydown,keypress,click\'.split(\',\'), to  events: $.map(\'focus,mousedown,mouseup,click\'.split(\',\')," Hope this helps.""'",,,,,
chosen,95,closed,7,2011-07-28 09:14:03,1275.47,,1,,"b'b"" It worked for me", but I also had to remove the \'focus\' event: events: $.map(\'mousedown,mouseup,click\'.split(\',"\')""'",,,,,,,,,,,,,
chosen,95,closed,8,2011-07-28 09:14:03,310.07,,1,,"b""b' What file I have to do this changes?'""",,,,,,,,,,,,,,,,,
chosen,95,closed,9,2011-07-28 09:14:03,8.63,,1,,"b'b"" @lusabo: in jQuery UI", inside the dialog plugin, look for the events bindings. This issue should be closed," as it\'s the same as #18""'",,,,,,,,,,,,,,
chosen,95,closed,10,2011-07-28 09:14:03,563.27,,1,,"b""b' are there solution without modified jquery ui?currently"," i loaded jquery ui from google cdn'""",,,,,,,,,,,,,,,,
chosen,95,closed,11,2011-07-28 09:14:03,1153.13,,1,,"b""b' Closing as it should have been merged by the PR referenced above'""",,,,,,,,,,,,,,,,,
chosen,95,closed,closed,2012-11-29 00:15:09,1310.53,0,12,1,,,,,,,,,,,,,,,,,,
chosen,95,closed,-,-,-,0,12,1,,,,,,,,,,,,,,,,,,
chosen,96,closed,opened,2011-07-28 11:51:49,,,,,,,,,,,,,,,,,,,,,,
chosen,96,closed,title,2011-07-28 11:51:49,00:00,,1,,"b""b' I want the option to show or hide the search input'""",,,,,,,,,,,,,,,,,
chosen,96,closed,body,2011-07-28 11:51:49,00:00,,1,,"b""b' When are not to many options or when I think the search (.chzn-search) is not necesary"," I would like to have an option to not show it.'""",,,,,,,,,,,,,,,,
chosen,96,closed,closed,2011-07-28 12:11:23,19.57,0,2,0,,,,,,,,,,,,,,,,,,
chosen,96,closed,reopened,2011-07-28 12:40:07,28.73,0,2,0,,,,,,,,,,,,,,,,,,
chosen,96,closed,1,2011-07-28 11:51:49,65.5,,1,,"b""b' duplicate of #66'""",,,,,,,,,,,,,,,,,
chosen,96,closed,2,2011-07-28 11:51:49,25.38,,1,,"b'b"" I couldn\'t find the jquery plugin code with this option. I found something but is not good. If I click on the select when the search input is not visible and then I click outside"," the select remains open.""'",,,,,,,,,,,,,,,,
chosen,96,closed,3,2011-07-28 11:51:49,11.83,,1,,"b""b' #66 is the feature request asking for it already.'""",,,,,,,,,,,,,,,,,
chosen,96,closed,4,2011-07-28 11:51:49,10.12,,1,,"b""b' Yeah"," I understood that. :)'""",,,,,,,,,,,,,,,,
chosen,96,closed,5,2011-07-28 11:51:49,79.27,,1,,"b'b"" Definitely something we\'ll get added. @razvaniacob"," please add a note in #66. Closing this issue -wish GitHub allowed merges.""'",,,,,,,,,,,,,,,,
chosen,96,closed,closed,2011-07-28 15:03:55,143.8,0,7,0,,,,,,,,,,,,,,,,,,
chosen,96,closed,-,-,-,0,7,0,,,,,,,,,,,,,,,,,,
chosen,103,closed,opened,2011-07-28 21:12:37,,,,,,,,,,,,,,,,,,,,,,
chosen,103,closed,title,2011-07-28 21:12:37,00:00,,1,,"b'b"" If a item is selected on page load"," it isn\'t highlighted on initial opening of the dropdown""'",,,,,,,,,,,,,,,,
chosen,103,closed,body,2011-07-28 21:12:37,00:00,,1,,"b'b\' An example of what I mean is on the example page: url If you look in the ""Selected and Disabled Support"" section at the single select example","Sloth Bear"" is selected by default on page load. When you open the dropdown, the first entry, ""American Black Bear", gets highlighted. If you then select something else, the dropdown then highlights as expected. This behavior has been verified in Chrome 13, Firefox 5.0.1, and Safari something all on Mac.\'',,,,,,,,,,,,
chosen,103,closed,1,2011-07-28 21:12:37,32.78,1,,,b'b\' When you select an item in the multiple view," the value is removed from the autocomplete list. What you\\\'re seeing as ""American Black Bear"" getting highlighted does not equate to a selected item. Selected items are the grey boxes at the top of the element.\''",,,,,,,,,,,,,,,,
chosen,103,closed,closed,2011-07-28 21:45:24,32.78,1,2,0,,,,,,,,,,,,,,,,,,
chosen,103,closed,2,2011-07-28 21:12:37,35.98,,1,,b'b\' This is occurring in the single select example:url  I can set up a simple example page to showcase this away from the official examples if that would help, but with this code, when you initially load the page and open the dropdown,"American Black Bear gets highlighted instead of ""Sloth Bear"". If I then select ""Asiatic Black Bear"" and reopen the dropdown ""Asiatic Black Bear"" is initially highlighted as I would expect. The bug is only when you have on page load and initially open the dropdown.  \''
chosen	103	closed	3	aziz	2011-07-28 21:12:37	710.05		+1		b""b' I can also recreate this bug, maybe it should be reopened'",,,,,,,,,,,,,,
chosen,103,closed,4,2011-07-28 21:12:37,269.82,1,,,"b""b' Apologies Chris I definitely misunderstood your initial ticket. Re-opening.'""",,,,,,,,,,,,,,,,,
chosen,103,closed,reopened,2011-07-29 14:41:17,1015.88,2,4,0,,,,,,,,,,,,,,,,,,
chosen,103,closed,closed,2011-08-01 20:16:32,335.25,2,4,0,,,,,,,,,,,,,,,,,,
chosen,103,closed,-,-,-,2,4,0,,,,,,,,,,,,,,,,,,
chosen,106,closed,opened,2011-07-29 07:30:22,,,,,,,,,,,,,,,,,,,,,,
chosen,106,closed,title,2011-07-29 07:30:22,00:00,,1,,"b""b' Add min-width along with width declaration to search box'""",,,,,,,,,,,,,,,,,
chosen,106,closed,body,2011-07-29 07:30:22,00:00,1,,,"b""b' If the stylesheet of the page Chosen is used in has for example  the declaration is useless unless the value is smaller than that of  ; the search-box is still 280px wide"," although element style dictates  '""",,,,,,,,,,,,,,,,
chosen,106,closed,1,2011-07-29 07:30:22,2.12,,1,,"b""b' this can be fixed by adding  to the div.  rule.'""",,,,,,,,,,,,,,,,,
chosen,106,closed,closed,2011-07-29 07:32:29,2.12,1,2,0,,,,,,,,,,,,,,,,,,
chosen,106,closed,reopened,2011-07-29 07:32:50,0.35,1,2,0,,,,,,,,,,,,,,,,,,
chosen,106,closed,2,2011-07-29 07:30:22,814.75,,1,,"b'b"" I\'m not 100% sure what the problem here. If you\'re setting a min-width", you\'re telling the browser that should be the smallest width applied to an object. If you want a smaller width, you shouldn\'t be using min-width. Closing this. If you believe it is an issue," please re-open with a link to an example.""'",,,,,,,,,,,,,,
chosen,106,closed,closed,2011-09-12 21:07:14,814.4,1,3,0,,,,,,,,,,,,,,,,,,
chosen,106,closed,3,2011-07-29 07:30:22,558.2,,1,,"b'b"" Hi", the issue arises when implementing chosen into an existing site that has it\'s style created. Nothing major I suppose," but the min-width applies to chosen unexpectedly and is an easy fix..""'",,,,,,,,,,,,,,,
chosen,106,closed,-,-,-,1,4,0,,,,,,,,,,,,,,,,,,
chosen,166,open,opened,2011-08-07 17:22:00,,,,,,,,,,,,,,,,,,,,,,
chosen,166,open,title,2011-08-07 17:22:00,00:00,,1,,"b""b' Feature: Option adding (with custom callback)'""",,,,,,,,,,,,,,,,,
chosen,166,open,body,2011-08-07 17:22:00,00:00,,1,,"b'b"" ### Option adding You can specify a option", which can be a boolean or callback function. Example for allowing adding of new items: Or with a callback and an AJAX request to, for example, save the terms in your database:  ### Custom text Through the options it is also possible to customize the text used in the \'Add option\' link," like so:  #### I\'ll try to keep my release up to date with : url ""'",,,,,,,,,,,,,
chosen,166,open,1,2011-08-07 17:22:00,689.77,,,1,"b'b\' This is great! Would it be easy to make it so hitting the enter key also triggers the ""add item"" so you don\\\'t have to click the link? The enter key already works for selecting existing items from the list. Thanks!\''",,,,,,,,,,,,,,,,,
chosen,166,open,2,2011-08-07 17:22:00,194.37,,1,,"b""b' That was in my case intentionally left out"," so the user is really aware of adding new items. But maybe I will add it as a extra option.'""",,,,,,,,,,,,,,,,
chosen,166,open,3,2011-08-07 17:22:00,1264.67,,1,,"b""b' Any desire to bundle this with the jquery plugin?'""",,,,,,,,,,,,,,,,,
chosen,166,open,4,2011-08-07 17:22:00,832.17,,,1,"b""b' I believe this is a good candidate for solving issue #5.'""",,,,,,,,,,,,,,,,,
chosen,166,open,5,2011-08-07 17:22:00,83.35,,1,,"b""b' I also fixed some small things"," and updated my first comment here with the correct usage examples. Also the functionality in the prototype version now matches with the jquery version again.'""",,,,,,,,,,,,,,,,
chosen,166,open,6,2011-08-07 17:22:00,827.72,,1,,"b'b"" +1 on UI+1 on code review I\'m using this branch on a site"," hope it gets merged soon.""'",,,,,,,,,,,,,,,,
chosen,166,open,7,2011-08-07 17:22:00,359.0,,,1,"b'b"" @harvesthq There\'s any idea if this will be merged? I\'m a third party developer of the Zikula Web Application Framework", and we\'re interested to include Chosen on the bundled libraries, but this feature is very useful and seems that there\'s no attention to this pull request. Personally, I\'m using @koenpunt\'s master branch because it does what I need at this moment, but will anybody review the quality of this PR (I can\'t because my JS skills are low) and include this in the main project? This is a feature requested months ago by a ot of people, and would be good to know if someone will take care of this,"or if end-users will have to choose between the main project or koenpunt\'s fork. Thanks for the great job.""'",,,,,,,,,,,
chosen,166,open,8,2011-08-07 17:22:00,197.75,,1,,"b""b' Is this going to be merged in? I need to dynamically create items in the list.'""",,,,,,,,,,,,,,,,,
chosen,166,open,9,2011-08-07 17:22:00,211.75,,1,,"b""b' @matheo I performed a code review on several branches solving issue #5 and recommended this one"," FWIW.'""",,,,,,,,,,,,,,,,
chosen,166,open,10,2011-08-07 17:22:00,1338.68,,,1,"b'b"" If this isn\'t a good patch that could be merged", just let me know why and I will make the changes needed," I really want this feature put into chosen.""'",,,,,,,,,,,,,,,
chosen,166,open,11,2011-08-07 17:22:00,242.4,,,1,"b'b\' +1 For getting this merged in. Would also be good to have option for enter key to triggers the ""add item""\''",,,,,,,,,,,,,,,,,
chosen,166,open,12,2011-08-07 17:22:00,1386.95,,,1,"b""b' This would be really helpful. Please merge!'""",,,,,,,,,,,,,,,,,
chosen,166,open,13,2011-08-07 17:22:00,728.43,,,1,"b""b' This is really awesome feature"," that chosen lack of.'""",,,,,,,,,,,,,,,,
chosen,166,open,14,2011-08-07 17:22:00,161.6,,1,,"b""b' :+1:'""",,,,,,,,,,,,,,,,,
chosen,166,open,15,2011-08-07 17:22:00,405.97,,1,,"b""b' +1 for merging this into master'""",,,,,,,,,,,,,,,,,
chosen,166,open,16,2011-08-07 17:22:00,1077.05,,1,,"b""b' Wants this as well'""",,,,,,,,,,,,,,,,,
chosen,166,open,17,2011-08-07 17:22:00,614.02,,1,,"b""b' +1 '""",,,,,,,,,,,,,,,,,
chosen,166,open,18,2011-08-07 17:22:00,627.48,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,
chosen,166,open,19,2011-08-07 17:22:00,1338.37,,,1,"b""b' +!'""",,,,,,,,,,,,,,,,,
chosen,166,open,20,2011-08-07 17:22:00,610.4,,1,,"b""b' There is a bug when a OnChange event is present for the  tag.When creating a new option", the OnChange event must be triggered, because the selection was changed I needed the OnChange event to enable the submit button when a item is available in the chosen autocomplete (there was none," and I added one with the new create_option config)'""",,,,,,,,,,,,,,
chosen,166,open,21,2011-08-07 17:22:00,1099.28,,,1,"b""b' +1 ! Great feature !'""",,,,,,,,,,,,,,,,,
chosen,166,open,22,2011-08-07 17:22:00,416.77,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,
chosen,166,open,23,2011-08-07 17:22:00,983.33,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,
chosen,166,open,24,2011-08-07 17:22:00,711.45,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,
chosen,166,open,25,2011-08-07 17:22:00,32.65,,,1,b'b\' @koenpunt Thanks so much for the awesome plugin. Can you please help me. I\\\'d like to get the below code to trigger a change event even when a new business is typed in, and not selected from the autocomplete options. Cheers," Abran $(function() {  $(""#dispenser_business_id"").chosen({  create_option: true",  persistent_create_option: true,  create_option_text: \\\'Create New Business\\\'  }).change( function() {$(\\\'#myModal\\\').modal({})});});\'',,,,,,,,,,,,,
chosen,166,open,26,2011-08-07 17:22:00,960.57,,1,,"b""b' +1 This is a very useful feature.However adding options to multiple select seems to be broken at the moment. If you add a new item and then start to type in the name of the next one that text it is removed. Starting to type again brings it back to normal.'""",,,,,,,,,,,,,,,,,
chosen,166,open,27,2011-08-07 17:22:00,118.07,,,1,"b""b' The problem I reported seems to be fixed now. Works fine!'""",,,,,,,,,,,,,,,,,
chosen,166,open,28,2011-08-07 17:22:00,24.25,,1,,"b""b' @funkdified To get back on you"," you could use the callback:  '""",,,,,,,,,,,,,,,,
chosen,166,open,29,2011-08-07 17:22:00,629.17,,,1,"b'b\' @koenpunt thanks for your changes... I didn\\\'t know if you already had option not to show ""ADD"" for items that are already in the list so I did my own version for jQuery I hope somebody can integrate it with prototype if it\\\'s needed: That\\\'s the condition I\\\'ve added in no_results method; i.e:  \''",,,,,,,,,,,,,,,,,
chosen,166,open,30,2011-08-07 17:22:00,33.73,,1,,"b""b' @mikke123  Setting to or not supplying it al all should already take care of that.'""",,,,,,,,,,,,,,,,,
chosen,166,open,31,2011-08-07 17:22:00,14.45,,1,,"b""b' @mikke123 But I noticed that I forgot to implement in the Prototype version", or it got lost in a merge," anyway; its back.'""",,,,,,,,,,,,,,,
chosen,166,open,32,2011-08-07 17:22:00,535.47,,1,,"b""b' Does anyone know when / if this will be merged into the main repository?'""",,,,,,,,,,,,,,,,,
chosen,166,open,33,2011-08-07 17:22:00,360.9,,1,,"b'b"" any reason this hasn\'t been merged in?""'",,,,,,,,,,,,,,,,,
