REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,183,closed,title,2011-05-05 05:56:29,00:00,,1,,"b""b' Gainfully using mock_storage_'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,183,closed,body,2011-05-05 05:56:29,00:00,1,,,"b'b"" I don\'t think it\'s documented"," but it\'s included and terribly useful. I made it slightly more useful with only a few minor tweaks.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,183,closed,1,2011-05-05 05:56:29,488.87,,,1,"b'b"" Thanks for updating the mock_storage_I originally built it for the gsutil unit tests and I\'m glad others are finding it useful.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,183,closed,closed,2011-05-05 14:05:21,488.87,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,183,closed,reopened,2011-05-05 14:06:24,1.05,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,183,closed,closed,2011-05-05 14:07:07,0.72,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,183,closed,2,2011-05-05 05:56:29,940.45,,,1,"b""b' Sure!  I just did another minor change (f6bac55) to remove the  assumption of a single mock.  Makes for much better fixture  repeatability (without having to make a tearDown() that disposes of  the global mock.) On May 5",2011, at 7.05 ," mfschwartz wrote:'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,183,closed,-,-,-,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,265,closed,opened,2011-07-18 19:28:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,265,closed,title,2011-07-18 19:28:20,00:00,,1,,"b'b"" RDS call modify_dbinstance with multi_az = True doesn\'t actually set an instance to MultiAZ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,265,closed,body,2011-07-18 19:28:20,00:00,,,1,"b'b"" I didn\'t have permission to reopen #74", but this issue is still present. The weird thing is that it the request boto sends looks perfectly legit as far as I can see. We get a 200 status code and then... nothing happens. It doesn\'t show as a pending modified value and no MultiAZ copy is ever created.  Debugging output: From the documentation," that seems like exactly what I\'d expect. Is there any chance this is an Amazon API bug?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,265,closed,1,2011-07-18 19:28:20,308.65,,,1,"b'b"" Unsure whether this is related"," but amazon doesn\'t even seem to tell us whether multi-az is enabled in the data returned by the Action=DescribeDBInstances call.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,265,closed,2,2011-07-18 19:28:20,829.45,,1,,"b""b' It looks like the DescribeDBInstances response has a multiaz element: url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,265,closed,closed,2011-10-18 14:26:26,1138.1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,265,closed,reopened,2011-10-18 14:26:49,0.38,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,265,closed,3,2011-07-18 19:28:20,109.65,,1,,"b'b"" After a bit of experimentation"," I discovered that the lack of multiaz in the response seems fixed when I change this line: to reflect the 2011-04-01 mentioned in winhamwr\'s example.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,265,closed,4,2011-07-18 19:28:20,1.42,1,,,"b'b"" Sorry", not in winhamwr\'s example," but in the docs mentioned by garnaat.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,265,closed,5,2011-07-18 19:28:20,1190.0,,1,,"b""b' I believe this has been fixed in afcf018e'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,265,closed,closed,2011-10-25 12:07:30,1300.68,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,265,closed,-,-,-,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,279,closed,opened,2011-07-26 13:34:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,279,closed,title,2011-07-26 13:34:45,00:00,,1,,"b""b' 505 HTTP Version Not Supported'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,279,closed,body,2011-07-26 13:34:45,00:00,,1,,"b""b' Occasionally getting a 505 with CloudFormation requests. Is this just an AWS issue? Some query params omitted for privacy:  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,279,closed,1,2011-07-26 13:34:45,134.4,,1,,"b'b"" Seems to happen mostly when I\'m doing stuff in the AWS Web Console simultaneously. I don\'t think this is a Boto issue""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,279,closed,closed,2011-07-26 15:49:09,134.4,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,279,closed,reopened,2011-07-26 16:57:13,68.07,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,279,closed,2,2011-07-26 13:34:45,1412.9,,1,,"b""b' I believe this should be closed.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,279,closed,closed,2011-07-27 15:22:03,1344.83,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,279,closed,3,2011-07-26 13:34:45,1370.13,,1,,"b'b"" I\'ve started a thread on AWS forums regarding this error. The inconsistency makes me think it has to do with which API server the request gets routed to. Here\'s the thread: url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,279,closed,-,-,-,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,393,closed,opened,2011-11-08 21:38:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,393,closed,title,2011-11-08 21:38:49,00:00,,1,,"b""b' AutoScaleConnection constructor sets debug param to None rather than 0'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,393,closed,body,2011-11-08 21:38:49,00:00,,1,,"b""b' This causes a problem if you try to create an AutoScaleConnection without specify a value for debug.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,393,closed,closed,2011-11-08 21:40:47,1.97,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,393,closed,1,2011-11-08 21:38:49,687.4,,1,,"b'b"" I\'m having the same issue with v2.1.1.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,393,closed,2,2011-11-08 21:38:49,254.18,,1,,"b'b"" I\'m unable to reproduce this.  Could you give me a little more info about what you are doing and the error you are receiving?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,393,closed,3,2011-11-08 21:38:49,321.55,,,1,"b""b'   With the following ~/.boto: I get a TypeError and this traceback: But everything works fine with the [Boto] section in my ~/.boto.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,393,closed,reopened,2012-01-31 19:01:31,1280.73,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,393,closed,closed,2012-01-31 19:01:51,0.33,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,393,closed,-,-,-,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,421,closed,opened,2011-12-02 01:56:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,421,closed,title,2011-12-02 01:56:42,00:00,,1,,"b""b' Cant use dot for bucketname '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,421,closed,body,2011-12-02 01:56:42,00:00,,1,,b'b\' code is here : from  import S3Connectionconn =S3Connection(\\\'XXXXX\\\',\\\'XXXXX\\\')rs=()for b in rs:  print b=(\\\'AAAAA\\\')  for key in (): -## 1 I create two bucket ( photo_bucket ," ) when I get the bucket name (photo_bucket) have no char \\\'.\\\' in it .it works . but when I use """" ",it has error . InvalidCertificateException: Host  returned an invalid certificate (hostname mismatch): {\\\'notAfter\\\': \\\'Dec 18 23:59:59 2013 GMT\\\', \\\'subjectAltName\\\': ((\\\'DNS\\\', \\\'_.s3\\\'), (\\\'DNS\\\', \\\'s3\\\')), \\\'subject\\\': (((\\\'countryName\\\', u\\\'US\\\'),), ((\\\'stateOrProvinceName\\\', u\\\'Washington\\\'),), ((\\\'localityName\\\', u\\\'Seattle\\\'),), ((\\\'organizationName\\\', u\\\' Inc.\\\'),), ((\\\'commonName\\\', u\\\'_.s3\\\'),))} can anyone fix it ? \'',,,,,,,,,,,,,,,,,,,
boto,421,closed,1,2011-12-02 01:56:42,686.53,,1,,"b'b"" I don\'t understand the error you are receiving.  I am unable to reproduce this:  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,421,closed,2,2011-12-02 01:56:42,37.07,,,1,b'b\' thanks for you reply .I download the newest boto .and test it . My system is windows 7.I have set cnames :  as  s3  here is my code: ######## import sysimport globimport osfrom  import S3Connectionfrom  import Locationfrom  import Key conn =S3Connection(\\\'xxxxxx\\\',"\\\'xxxxxx\\\') # xxxx is my private amazon aceess code .b = (\\\' \\\')  # here is my bucket name for k in b :    print  ##########idle generate it:Traceback (most recent call last):  File ""D:/""", line 38," in   for k in b :also I use :b=(\\\'s3\\\')  it give:: Host s3 returned an invalid certificate (remote hostname ""s3"" does not match certificate): {\\\'notAfter\\\': \\\'Dec 18 23:59:59 2013 GMT\\\'", \\\'subjectAltName\\\': ((\\\'DNS\\\', \\\'_.s3\\\'), (\\\'DNS\\\', \\\'s3\\\')), \\\'subject\\\': (((\\\'countryName\\\', u\\\'US\\\'),), ((\\\'stateOrProvinceName\\\', u\\\'Washington\\\'),), ((\\\'localityName\\\', u\\\'Seattle\\\'),), ((\\\'organizationName\\\', u\\\' Inc.\\\'),), ((\\\'commonName\\\', u\\\'_.s3\\\'),"))} also I create new  bucket name :it give the same error :: Host  returned an invalid certificate (remote hostname ""3"" does not match certificate): {\\\'notAfter\\\': \\\'Dec 18 23:59:59 2013 GMT\\\'", \\\'subjectAltName\\\': ((\\\'DNS\\\', \\\'_.s3\\\'), (\\\'DNS\\\', \\\'s3.amazonaws.com\\\')), \\\'subject\\\': (((\\\'countryName\\\', u\\\'US\\\'),), ((\\\'stateOrProvinceName\\\', u\\\'Washington\\\'),), ((\\\'localityName\\\', u\\\'Seattle\\\'),), ((\\\'organizationName\\\', u\\\' Inc.\\\'),), ((\\\'commonName\\\', u\\\'_.s3\\\'),))}Does it need to config in amazon s3 ? or where do to it?\''
boto,421,closed,3,2011-12-02 01:56:42,215.88,,1,,"b'b"" I can confirm this behavior. b is None and get_bucket returns . Is there a way to disable certificate checking? Because with a dot in the name"," the url pattern on the SSL certificate won\'t match.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,421,closed,4,2011-12-02 01:56:42,175.05,,1,,"b'b"" Seeing this as well. Perhaps there\'s a way to force boto to use HTTP?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,421,closed,5,2011-12-02 01:56:42,3.85,,,1,"b""b' Found it. My ~/.boto configuration file had the line: By changing the value to False"," I resolved my issue. Hope this helps!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,421,closed,closed,2013-07-11 23:06:04,1269.37,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,421,closed,reopened,2013-07-11 23:07:07,1.05,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,421,closed,6,2011-12-02 01:56:42,153.6,,1,,"b""b' You can also change the calling format via the arg to not use the instead of disabling SSL.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,421,closed,closed,2013-07-11 23:08:41,1.57,0,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,421,closed,7,2011-12-02 01:56:42,1355.0,,1,,"b""b' This worked for me:  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,421,closed,8,2011-12-02 01:56:42,1360.28,,1,,"b'b"" I\'m seeing this using the bucket name via [yas3fs]url  Because I\'m not in direct control of my boto config file", I do not believe I can disable certificate checking. Nonetheless," that seems an unappealing fix regardless. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,421,closed,-,-,-,0,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,opened,2012-01-17 05:21:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,title,2012-01-17 05:21:20,00:00,,1,,"b""b' slick53 methods grafted onto to boto route53 connection'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,body,2012-01-17 05:21:20,00:00,,1,,"b'b"" As mentioned on the boto email list", I\'d like to see slick53\'s more intuitive methods available in the boto package.  Aside from minor changes to make the code more idiomatic, I\'ve basically left the code alone, though I may revisit it pending review of this request. There are some basic unit tests. If accepted," I\'ll submit some changes to the docs.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,1,2012-01-17 05:21:20,536.75,,1,,"b'b"" I\'d prefer if we put slick53 into a  module to keep the connection modules as close to the API as possible. This would follow what the Django project does some of the most useful Django modules such as the Admin interface is included not in core but in contrib. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,2,2012-01-17 05:21:20,36.63,,,1,"b'b"" Fine by me.  I wasn\'t aware boto had a contrib directory.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,closed,2012-01-17 14:56:06,574.77,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,3,2012-01-17 05:21:20,5.98,,,1,"b'b"" Might want to make sure this is what @garnaat had in mind (putting this in contrib). The route53 API we currently expose is very", very quirky and has some usability issues. I tinkered with @rubic\'s original slick53, and was pretty impressed with the improvement seen over the standard  module. Also, we pretty commonly inter-mix Amazon API methods and convenience methods in our other sub-modules. This is effectively what a lot of slick53  be. Convenience methods that fill in the gaps that the standard API leaves as an exercise for the user. @garnaat asked for @rubic to bring this over," maybe he could pipe in?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,reopened,2012-01-17 15:22:17,26.18,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,4,2012-01-17 05:21:20,28.6,,,1,"b'b"" My original post was similar to gtaylor\'s thoughts", but I didn\'t want to intrude.  Generally I agree most enhancements should be handled in a contrib directory. However in the case of route53, the boto code -while following the semantics of AWS -is almost unusable, IMO.  I\'m still happy to go either direction. Also," Brad Carleton is the author of slick53.  I\'m just interested in getting it into boto.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,5,2012-01-17 05:21:20,43.42,,1,,"b""b' I agree that this should be a core part of boto rather than in contrib.  I have been experimenting with a layered approach for another module and I think that works pretty well.  I can take a crack at doing something similar here. Mitch On Jan 17",2012, at 10:29 AM," Jeff Bauerreply@ wrote:'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,6,2012-01-17 05:21:20,558.23,,,1,"b""b' Hi all"," I just wanted to say I am excited that this is getting moved into boto! And thank you Jeff for merging the code.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,7,2012-01-17 05:21:20,252.5,,,1,"b'b"" I agree with using a layered approach.  My concern with the commit in this pull request is it doesn\'t appear to handle Amazon\'s aliasing or WRRs.  While the convenience methods are probably better for the majority of the users of boto"," in their current form I\'m guessing (haven\'t tested) that they will break in unexpected ways when they encounter an alias RR and know they will break when they encounter a WRR. I\'ve been trying to convince an unnamed author for two months to submit a pull request for his WRR patch.  Sometimes I feel that I may be the only person using boto\'s route53 code with ELB. :(  I\'m happy to put code where my mouth is to ensure the final form properly handles alias RRs and WRRs.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,8,2012-01-17 05:21:20,19.22,,1,,"b""b' @jimbrowne:  Would your patches for RR", WRR affect the proposed method signatures for the proposed code?  In my mind, that would be the main issue. Not having looked into the  situation I may be talking out of my ass, but could we just make the functions _fail_ if those situations are encountered (until patched)," which would admittably affect a minority of users?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,9,2012-01-17 05:21:20,30.02,,1,,"b'b"" I think the fundamental problem is most people see DNS RRs as being a tuple of (type", value, ttl).  In Route53, they are actually (type, value, ttl, wrr set).  The implicit goal of the slick53 API, as I see it, is to simplify the interface.  One could reasonably argue that most will never use Route 53 ALIAS records nor WRR so the simplified API should ignore them. However, there are tools out there that generate WRRs and ALIAS records, the most likely to be encountered are the elb-(dis)associate CLI commands.  For some reason they create the ALIASes as WRRs.  That\'s how I stumbled upon this problem in the first place; I was moving a system formerly controlled by the ELB CLI to boto-based code that manipulated route53 and elb.  Another possible source of records with WRRs is the AWS Console as it now supports direct manipulation of Route53 RRs. If one ignores WRRs it breaks being liberal in what you accept and this problem will trip up anyone who encounters pre-existing WRRs.  The functions will fail as the changes will fail as Route53 will not be able to match the (type, value, ttl) tuple to the existing (type, value, ttl, wrr set) tuple. At the minimum I want to see WRR support incorporated into the lower level.  Perhaps the right approach is to just put a prominent warning in the documentation on the slick53 derived methods noting that they do not support WRRs and encountering WRRs will cause errors.  Those who need to manipulate records with WRRs can use the lower level API. I just wanted to raise this aspect for discussion. Disclaimer: I was last knee deep in Route53 about two months ago," so my description might be slightly inaccurate.""'",,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,10,2012-01-17 05:21:20,3.93,,,1,"b'b"" I think we can safely say that the lower level API should support WRRs", as the lower level API should closely mirror the AWS API. Work on that could start now without question, this is the way we\'ve been handling a few of the more recently developed sub-modules. After that," perhaps we can see how the chips fall with the higher level API?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,11,2012-01-17 05:21:20,426.15,,1,,"b'b\' @jimbrowne Taking into account what you say ""most people see DNS RR\\\'s as being a tuple of (type", value," ttl)""", I don\\\'t think that the WRR\\\'s really break that concept.  It just changes the meaning of value.  In this case value could be a regular python dictionary specifying the weights, that way the same function could support both.  And this would be super easy for the end user. I also don\\\'t see how (type, value, ttl) does not apply for the AWS Alias records as well, although I am not really familiar with them. In short, I think (type, value, ttl) is the right abstraction for DNS records.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,12,2012-01-17 05:21:20,288.18,,1,,"b'b"" I second gtaylor\'s conclusion and bluepines\' suggestion regarding dictionary values.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,13,2012-01-17 05:21:20,883.13,,1,,b'b\' I had some time finally to look at this today.  The issue is the tuple is really (name, type, wrr_id, wrr_weight) with many subtleties.  The value doesn\\\'t matter as you can not have more than one (name, type) without using WRRs.  Also, the ALIAS type doesn\\\'t require a TTL as it inherits the TTL from the backing ELB.  Confused yet? :) Here\\\'s a tricky example:Case 1, a single RR with multiple values, basically round robin DNS.Case 2, two WRRs with the same name, type and different (wrr_id, wrr_weight). Would the idea be that the value dictionary is constructed like: {\\\'1.2.3.4\\\': 20, \\\'5.6.7.8\\\': 40} and boto would build the two WRRs needed if the weights differ or would build a single RR with a multiple values when the weights are equal?  SetIdentifiers would have to be generated, but I believe they are scoped to (name," type) so that shouldn\\\'t be a problem (e.g. use ""id1""",id2, ...). If that is what you mean I like the idea as it hides WRRs completely while enabling their use and has boto deal with all of the ugliness behind the scenes. I\\\'m happy to code this up if it sounds correct, as well as adding the ALIAS case. (I just submitted a pull request for WRR support overall: url \'',,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,14,2012-01-17 05:21:20,262.8,,,1,"b""b' +1 and thanks for your effort Jim.  You seem to be the boto user most current with the WRR issues and your pull request is backward compatible with the current api.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,15,2012-01-17 05:21:20,314.88,1,,,"b'b"" An oldie but a goodie.  It seems a shame to waste all of this good discussion so let\'s revive this and try to get it merged.  I know @rubic is still interested.  How about @jimbrowne ?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,16,2012-01-17 05:21:20,233.78,,1,,"b'b"" I\'ll take a look at it tonight.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,17,2012-01-17 05:21:20,570.52,,1,,"b""b' While re-familiarizing myself with this found and opened url First thoughts tonight after a quick reading are to split the zone changes from the record changes and accept the former immediately while reviewing the latter; though I should be able to finish up something for all of this request this week.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,18,2012-01-17 05:21:20,1208.25,1,,,b'b\' Questions (mainly for @garnaat and @bluepines): First: The API is inconsistent . MX records; the MX related calls only manipulate records attached to the zone top.  IOW one can\\\'t create MX records for anything but the zone.  I think the MX calls should accept a name parameter. Second: Since the Zone object already contains the DNS zone name," would it be better if the methods operating on zones automatically post-pend the zone name to the name parameter as a convenience rather than just ensuring the name parameter is fully qualified (i.e. ends in ""."")?  I note that the repr for records returned by get_records will be fully qualified (i.e. include the zone name). For example this: would instead be this: but that raises the issue of how to handle the zone top.  Pass \\\'\\\' as the name parameter?  I just find including the zone name on every name attribute to be repeating oneself and would probably result in code like: . WRR and LBR I\\\'ll try out some changes tonight.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,19,2012-01-17 05:21:20,197.6,,1,,"b'b"" I\'ve merged the proposed patch against the current develop branch and split out the import fix-ups and **repr** changes that were formally monkey-patched.  Still looking at the rest of the code and its interaction with WRR and LBR.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,20,2012-01-17 05:21:20,1416.6,,1,,"b'b"" I\'ve re-factored the original code quite a bit and have added support for WRR and LBR; I\'m still running through some tests before pushing. I think I might have found a bug in the Route53 API as well. Should have something to push tomorrow night.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,21,2012-01-17 05:21:20,1006.38,,,1,"b""b' Awesome news Jim!  Thanks for making the effort.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,22,2012-01-17 05:21:20,482.82,1,,,"b'b"" Code is finished", additional test cases have been written, and all tests pass.  I just want to add some documentation and will push. Oh, and I didn\'t find a bug in the Route53 API; I just had forgotten that passing a  to get_all_records just sets a starting point... it\'s not a true filter.  Not sure why they built it that way," but the service works per the documentation.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,23,2012-01-17 05:21:20,1361.38,,1,,"b""b' The above commit completes the work I wanted to propose for a new Layer 2.  Would appreciate review by those on this issue to guide the hand of @garnaat'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,24,2012-01-17 05:21:20,1226.37,,,1,"b""b' Jim: It looks good to me.  @garnaat: Can this be put on track for 2.4?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,25,2012-01-17 05:21:20,1075.65,1,,,"b""b' Sorry for dragging this out even longer. The code looks good.  Could use more docstrings.  In looking through this"," it seems like the best thing to do would be to leave the current  unchanged and to add a layer2.py file that contains all of the slick53 code that was added to .  We could then leave the default behavior (i.e. connect_route53()) to still use the original but then people could still create a Layer2 connection. Does that make sense?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,478,closed,26,2012-01-17 05:21:20,1251.92,,1,,"b""b' @garnaat:  Mitch", the resulting merge will not require any additional imports," correct?  How will the connection differ from connect_route53() if the user wants to use the slick53 methods?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
