REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,12,2012-10-29 23:05:27,630.48,,,1,"b'b"" Just to touch this again. Inside Twitter", maven central is the preferred repo, and our pants 3rdparty will only look at that and url  I can manually push to the latter until central sync is supported. That would be ideally something that\'s already published to bintray. Once something is published somewhere, I can move twitter onto openzipkin," which would be very sweet.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,13,2012-10-29 23:05:27,175.3,,1,,"b""b' @rtyler @eirslett @michaelsembwever @kristofa @jamescway (think this is openzipkin founding parents)... So", are you thinking :zipkin-whatev? Once we decide on group id," I can start the sonatype ticket.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,closed,2015-07-17 19:14:45,1209.3,0,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,reopened,2015-07-17 19:14:48,0.05,0,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,14,2012-10-29 23:05:27,204.7,1,,,"b""b' Twitter donated  to us. @aasta has access to the godaddy stuff. I suspect we could use this for group id"," etc? cc @eirslett @rtyler '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,15,2012-10-29 23:05:27,3.78,,,1,"b""b' Fantastic"," thanks a lot! :-) it is!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,16,2012-10-29 23:05:27,13.1,,,1,"b'b"" @adriancole sounds good to me"," can you get twitter to just point  at GitHub\'s nameservers for CNAME purposes?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,17,2012-10-29 23:05:27,11.02,,1,,"b'b"" @rtyler I just added you to have manage products ability on godaddy"," solemme know if that didn\'t work.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,18,2012-10-29 23:05:27,1033.98,,1,,"b'b"" url  I\'d like a backup.. @eirslett @michaelsembwever @abesto @kristofa @aasta .. can one or more of you register on url  and add a comment ^^ with your username?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,19,2012-10-29 23:05:27,415.85,,,1,"b'b"" soo.. we did this"," and it didn\'t even take 3 years! url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,closed,2015-08-21 23:17:11,242.38,1,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,-,-,-,1,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,242,closed,opened,2013-05-01 22:38:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,242,closed,title,2013-05-01 22:38:20,00:00,,1,,"b""b' Update build system to SBT 0.12.3 and update all dependencies to latest version'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,242,closed,body,2013-05-01 22:38:20,00:00,,1,,"b""b' SBT to 0.12.3All build plugins ported and inlinedzipkin-hadoop removedall dependencies on latest versionsall deprecation warnings for dependencies removed'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,242,closed,1,2013-05-01 22:38:20,1.07,,1,,"b""b' This build is going to fail because it depends on an unreleased version of finagle.  They should release finagle real soon now in which case this will start working.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,242,closed,2,2013-05-01 22:38:20,1317.05,,1,,"b'b"" This is quite the beast of a branch. Generally it would be easier to review if it was split into a few different pull requests. Seems there\'s a couple of things happening: removing hadoop component", upgrading sbt, upgrading dependencies and cleaning up the deprecation notices. Do they all have to be done in one go?I can\'t remember," what was the reason for removing the Hadoop module?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,242,closed,3,2013-05-01 22:38:20,10.42,,1,,"b'b"" A lot of these things cascade into the others.  Hadoop didn\'t work as itwas", and it won\'t even compile on the new libs.  Scrooge won\'t compile onsbt11, finagle5 won\'t play well with sbt12 scrooge.  So now we\'ve upgradedall the libs, upgraded sbt, deleted hadoop. The deprecation warnings were the previous commit, just because I wanted tomerge this big change into a clean build.  If you want to see the diffwithout them just go one rev back. On Fri, May 17, 2013 at 1:36 PM," Johan Oskarssonnotifications@:""'",,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,242,closed,4,2013-05-01 22:38:20,2.73,,1,,"b'b"" BTW", regarding the hadoop stuff," I\'m working on an updated hadoop environment based on the latest scalding.  That will be submitted back in a separate commit.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,242,closed,5,2013-05-01 22:38:20,76.47,,1,,"b""b' Is this change something that is required by sbt? Otherwise it would be preferable to keep the same directory structure as all other projects:zipkin\\xe2\\x86\\x92 ../'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,242,closed,6,2013-05-01 22:38:20,1.08,,1,,"b'b"" Beyond the above comments it gets a +1 for me", but we should make sure at least Franklin reviews it too since it\'s i a massive change. I kind of skimmed most of the sbt stuff," don\'t think I can provide much in terms of useful feedback there.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,242,closed,7,2013-05-01 22:38:20,23.38,,1,,"b""b' @johanoskarsson the thrift moving to resources is in order to build a properly formatted thrift idl jar.  Pants gets grumpy unless you put the files in a certain directory and name the jar a certain way.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,242,closed,closed,2013-05-18 01:40:44,182.4,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,242,closed,reopened,2013-05-18 01:41:12,0.47,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,242,closed,8,2013-05-01 22:38:20,191.08,,1,,"b""b' Repushed with deprecation warnings reset.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,242,closed,9,2013-05-01 22:38:20,936.85,,1,,"b""b' +1 fire at will'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,242,closed,closed,2013-05-20 17:21:12,940.0,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,242,closed,-,-,-,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,260,closed,opened,2013-06-14 00:58:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,260,closed,title,2013-06-14 00:58:46,00:00,,1,,"b""b' Make traces and spans monoids'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,260,closed,body,2013-06-14 00:58:46,00:00,,1,,"b""b' Adding two spans with the same id will merge their annotations.Adding two traces with the same id will merge their spans.This is the basis for  jobs to coalesce spans into traces.TODO use the monoid for this behavior in the rest of the code.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,260,closed,1,2013-06-14 00:58:46,643.43,,1,,"b""b' So the set of spans with the same id is one monoid", (identity is the span without annotations)," the set of traces with the same id is another monoid (identity is the trace without any spans)?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,260,closed,2,2013-06-14 00:58:46,315.47,,1,,"b'b"" Yeah", it can logically be viewed that way, but the implementation is a bit different because there\'s no way of having span ids influence the scala type. I created a special zero span that invokes identity when added to any span, and the plus operation just throws an assertion if the spans do not have matching id\'s. Mostly this is useful for some scalding jobs I\'m working on," but I think a second phase of this will be to go back and simplify some of the span aggregation code in the collector.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,260,closed,3,2013-06-14 00:58:46,319.88,,,1,"b'b"" Turns out we don\'t really need to do this.  It was a good exercise"," but not enough benefit.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,260,closed,closed,2013-07-17 22:17:33,1278.78,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,260,closed,reopened,2013-08-21 22:48:15,30.7,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,260,closed,closed,2013-08-21 23:24:42,36.45,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,260,closed,-,-,-,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,272,closed,opened,2013-07-03 00:44:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,272,closed,title,2013-07-03 00:44:31,00:00,,1,,"b""b' Add support for SQL databases'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,272,closed,body,2013-07-03 00:44:31,00:00,,,1,"b'b"" The goal of this branch is to add support for SQL databases using Anorm from the Play framework. Note that I started by trying to do this with Slick instead of Anorm", but Slick depends on Scala 2.10 and it was too much scope creep to manage upgrading the whole project to be compatible with 2.10. This branch makes SQLite the default storage mechanism. There are now no setup steps -if you have Scala 2.9 installed and you download Zipkin, you can immediately run the daemons. Documentation for getting other SQL databases running is in  . Once this is merged, I\'ll look at using FuturePools to do the DB operations asynchronously," as well as adding Aggregates support.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,272,closed,1,2013-07-03 00:44:31,736.73,,1,,"b'b"" What is the fancy new autoloading?  I\'m just curious.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,272,closed,2,2013-07-03 00:44:31,597.48,1,,,"b""b' Also"," how hard is it to add Aggregates?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,272,closed,3,2013-07-03 00:44:31,1.02,,1,,"b""b' Lastly"," please write some unit tests.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,272,closed,4,2013-07-03 00:44:31,1126.53,,1,,"b""b' The path for  should instead be .'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,272,closed,closed,2013-07-25 23:50:42,1386.18,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,272,closed,reopened,2013-07-25 23:50:59,0.28,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,272,closed,closed,2013-07-25 23:51:43,0.73,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,272,closed,-,-,-,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,310,closed,opened,2013-10-28 09:34:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,310,closed,title,2013-10-28 09:34:44,00:00,,1,,"b""b' cassandra issue'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,310,closed,body,2013-10-28 09:34:44,00:00,,1,,"b""b' Zipkin runs on cassandra"," but cannot find traces with any specified annotation. The cassandra is setup with zipkin. Should any indexes be created?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,310,closed,1,2013-10-28 09:34:44,437.9,,1,,"b'b"" I think that\'s a known issue.  I haven\'t had time to look into it. On Mon", Oct 28, 2013 at 2:34 AM," Linlin Fu notifications@ wrote:""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,310,closed,closed,2013-10-29 15:00:46,326.03,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,310,closed,reopened,2013-11-05 08:33:31,1052.75,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,310,closed,2,2013-10-28 09:34:44,950.45,,1,,"b""b' The root cause is", in cassandra database, AnnotationsIndex stores RowKey with uppercase letters, but ServiceNames, ServiceNameIndex, SpanNames, ServiceSpanNameIndex use only lowercase letters. There are two solution, one is AnnotationsIndex uses lowercase letters, the other solution is ServiceNames, ServiceNameIndex, SpanNames," ServiceSpanNameIndex NOT convert to lowercase. Which solution is preferred from your perspective? I can make the change and send a pull request.'""",,,,,,,,,,,,,,,,,,,,,,
zipkin,310,closed,3,2013-10-28 09:34:44,464.38,,1,,"b""b' Apologies for the slow reply on my part. Lowercasing the AnnotationsIndex would be fine by me. Thanks! /Johan On 5 nov 2013", at 00:43," Linlin Fu wrote:'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,310,closed,4,2013-10-28 09:34:44,776.88,,1,,"b""b' Concur on lowercasing. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,310,closed,closed,2013-12-19 09:33:44,60.22,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,310,closed,-,-,-,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,319,closed,opened,2013-12-16 23:13:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,319,closed,title,2013-12-16 23:13:56,00:00,,1,,"b""b' highlight server duration on trace summary page'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,319,closed,body,2013-12-16 23:13:56,00:00,,1,,"b""b' It is helpful to tell at a glance how network latency affected a trace.This change shows a highlight at the bottom of each span that containsboth client and server timings. The highlight shows what duration of thespan was spent in the server. I arrived on this highlight style after a few other attempts. It keeps thespan text readable and uses the color for the next depth (whichhopefully makes it more intuitive). Related to issue #196"," but probably not everything envisioned. ![example]url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,319,closed,1,2013-12-16 23:13:56,986.58,,1,,"b'b"" This seems useful to me and not a big change  wise from what I can tell. I\'ll let someone that knows front end stuff chime in though.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,319,closed,2,2013-12-16 23:13:56,143.75,,1,,"b'b"" Seems reasonable.  Perhaps we can trim the decimal precision down a bit though?I\'ll let @sprsquish chime in though.  What about making this a tooltip?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,319,closed,3,2013-12-16 23:13:56,31.38,,1,,"b'b"" I played with this a little. I like the idea"," but think it needs a bit more. Having the extra line only gives a sense of what\'s happening but no real data is provided.  What about @bmdhacks\' suggestion of a tooltip? Add a little popover that provides the timing breakdowns?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,319,closed,closed,2013-12-17 18:43:57,1170.02,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,319,closed,reopened,2013-12-17 18:44:00,0.05,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,319,closed,4,2013-12-16 23:13:56,27.0,,,1,"b'b"" I am not attached to the current approach and I\'m willing to try out other ways to visualize this. I do think that it should be readily apparent and not hidden in a tool tip (you can already click the span to see the actual timestamps). Inspiration from the Dapper paper: ![dapper example]url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,319,closed,5,2013-12-16 23:13:56,3.0,,1,,"b""b' God I want that +thread expansion"," not the janky pseudo-intellijent fake-spans we have now.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,319,closed,6,2013-12-16 23:13:56,704.28,,1,,"b'b"" @wadey what\'s your current thinking on this? @eirslett etc? I recognize this is over 1.5years old. should we pull this in or close it? (closing in 3 days unless I hear back)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,319,closed,7,2013-12-16 23:13:56,500.65,,,1,"b'b"" I still think this is a good idea"," but I need to re-do it in a way that makes sense for the new UI. I\'ll close this pull request and open a new one once I have done that (we are still running a very old version of Zipkin internally and we need to update to latest).""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,319,closed,closed,2015-07-06 15:10:35,1226.58,0,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,319,closed,8,2013-12-16 23:13:56,868.07,,,1,"b""b' ack. thanks for the response!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,319,closed,-,-,-,0,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,326,closed,opened,2014-01-15 22:08:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,326,closed,title,2014-01-15 22:08:03,00:00,,1,,"b""b' zipkin storm: kafka spout and span scheme '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,326,closed,body,2014-01-15 22:08:03,00:00,,1,,"b'b\' This is to pave the way for zipkin storm jobs. A new project zipkin-storm is created to contain all the storm related sources. This pull request includes:1. span scheme to parse the steam data2. kafka spout to reading data from kafka queue3. sbt changes to create standalone jar ""zipkin-storm"" for storm job submission. \''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,326,closed,1,2014-01-15 22:08:03,20.82,,1,,"b'b"" Also I wouldn\'t mind getting somebody who knows storm to review this"," because I\'m only mildly aware of what I\'m looking at.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,326,closed,2,2014-01-15 22:08:03,1362.15,,1,,"b""b' lgtm. use the script in bin to pull submit'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,326,closed,3,2014-01-15 22:08:03,92.65,,1,,"b'b"" Hrm. Can you merge master? You\'ll probably have to fix the Project file.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,326,closed,closed,2014-02-06 01:36:03,208.0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,326,closed,reopened,2014-02-06 18:08:43,992.67,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,326,closed,closed,2014-02-06 18:09:26,0.72,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,326,closed,-,-,-,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,395,closed,opened,2014-07-05 16:50:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,395,closed,title,2014-07-05 16:50:07,00:00,,1,,"b""b' Keep sort order in hidden input'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,395,closed,body,2014-07-05 16:50:07,00:00,,1,,"b""b' This patch enables zipkin-web keep sort order in hidden input. Without this patch you have to set sort order every submit.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,395,closed,closed,2014-08-06 13:35:31,1245.4,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,395,closed,1,2014-07-05 16:50:07,1399.8,,1,,"b'b"" @synk why\'d you close this? I like the idea and wanted to pull it in eventually and make some tweaks to it.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,395,closed,2,2014-07-05 16:50:07,887.72,,1,,"b""b' Sorry to be confused...I will be glad if you pull this!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,395,closed,reopened,2014-08-13 06:57:38,1042.12,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,395,closed,3,2014-07-05 16:50:07,596.3,,,1,"b""b' Looking forward to this one!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,395,closed,4,2014-07-05 16:50:07,1360.67,,1,,"b""b' @eirslett wdyt about this one?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,395,closed,5,2014-07-05 16:50:07,2.57,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,395,closed,6,2014-07-05 16:50:07,52.17,1,,,"b""b' oops. this patch no longer applies. @synk you mind rebasing it?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,395,closed,7,2014-07-05 16:50:07,103.97,,,1,"b""b' closing as we want to keep the pull request queue fresh and relevant. Please ping if you get around to rebasing etc!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,395,closed,closed,2015-07-17 18:13:18,675.67,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,395,closed,-,-,-,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,659,closed,opened,2015-08-24 22:46:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,659,closed,title,2015-08-24 22:46:57,00:00,,1,,"b""b' Cannot change port of the query service'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,659,closed,body,2015-08-24 22:46:57,00:00,,1,,"b'b"" After this commit", it is no longer possible to change the port of the query service:url  Previously, you could do this to change the port: But this no longer works. From reading the source," it looks like this should work now but it doesn\'t work either:  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,659,closed,1,2015-08-24 22:46:57,1007.13,1,,,"b'b"" sorry it is a bit of a mess.. I\'ll look at this after catching up on change like url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,659,closed,2,2015-08-24 22:46:57,760.47,1,,,"b""b' completely knackered"," but agree this is really bad. please nag on url  if this becomes critical and still left undone.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,659,closed,3,2015-08-24 22:46:57,944.0,,1,,"b'b"" I\'m using the following workaround to make this work on my fork:url  It goes back to using the value set in the ZipkinServerBuilder.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,659,closed,4,2015-08-24 22:46:57,29.4,,1,,"b""b' Looks like this was partially implemented as environment variables in collector like so Mind if I just implement that convention with COLLECTOR", QUERY," WEB?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,659,closed,5,2015-08-24 22:46:57,5.45,1,,,"b""b' Yeah I like that idea"," that is how I am configuring our collector service. I have the following in my  config (which works with the above patch): I basically copied what collector was doing in its config.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,659,closed,closed,2015-09-15 05:56:35,429.63,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,659,closed,6,2015-08-24 22:46:57,1089.15,,,1,"b'b"" Thanks @adriancole! But your patch is actually incomplete and doesn\'t change the query port (try to change QUERY_PORT and see what happens). You need something like the changes I have for QueryServiceBuilder and ZipkinQueryServerFactory here:url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,659,closed,reopened,2015-09-16 14:59:23,542.8,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,659,closed,7,2015-08-24 22:46:57,111.17,,,1,"b'b"" Yep you\'re right! url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,659,closed,closed,2015-09-29 18:06:42,187.32,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,659,closed,8,2015-08-24 22:46:57,93.1,,,1,"b""b' should be good"," now'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,659,closed,-,-,-,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,718,open,opened,2015-09-19 16:12:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,718,open,title,2015-09-19 16:12:43,00:00,,1,,"b""b' Allow caching of getServices in the UI'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,718,open,body,2015-09-19 16:12:43,00:00,,1,,"b'b"" From @yurishkuro I think we should solve this at the HTTP abstraction", ex. sending cache headers back, so that the client doesn\'t call so much. There are two endpoints on zipkin-web that call  part of a massive thing that includes enumerating all services," to pass to  possibly unused json string list I see two things to do:change to use javascript to GET / and fill the selector by itselfchange to return cache headers""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,718,open,1,2015-09-19 16:12:43,1.23,,1,,"b""b' @mzagar @eirslett either of you have some cycles to help with this by chance?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,718,open,2,2015-09-19 16:12:43,817.2,,1,,"b""b' I believe I can take a look at this one.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,718,open,3,2015-09-19 16:12:43,16.85,,,1,"b'b"" Great. I suspect this won\'t impact you if you are only working inJavaScript layer. But just in case:url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
