REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,
Nancy,143,closed,3,2011-05-22 11:12:40,1320.63,,,1,"b""b' Pushed out some fixes to the master repo. Please let me know if this resolved the issue you were seeing. Thanks you!'""",,,,,,,,,,,,,,,,
Nancy,143,closed,4,2011-05-22 11:12:40,94.13,,1,,"b'b"" This fix solves the startup problems for the regular application", that\'s good. The bad thing is," is that the unit testing project still doesn\'t resolve the modules properly (only the FakeNancyModule gets registered). I\'m just using a simple bootstrapper derived from DefaultBootstrapper and I did override the RootPathProvider property because otherwise I get an ArgumentNullException in : line 43.""'",,,,,,,,,,,,,,
Nancy,143,closed,5,2011-05-22 11:12:40,240.12,,,1,"b'b"" I\'ve just spent some time getting a repro scenario up and running", and I couldn\'t get it to fail :)So I think this issue can be closed, since the unit testing problems seem to be unrelated. And, again," I can confirm that this commit DOES solve the startup problems. Thanks for the help!""'",,,,,,,,,,,,
Nancy,143,closed,closed,2011-05-26 12:04:53,52.22,0,3,4,,,,,,,,,,,,,,,,,
Nancy,143,closed,6,2011-05-22 11:12:40,552.65,,1,,"b'b"" I found why the module didn\'t get loaded properly in the tests. Apparently I need to add this to my bootstrapper: Any idea how I can avoid this?""'",,,,,,,,,,,,,,,,
Nancy,143,closed,reopened,2011-05-30 21:17:38,552.75,0,4,4,,,,,,,,,,,,,,,,,
Nancy,143,closed,closed,2011-07-15 14:49:24,1051.77,0,4,4,,,,,,,,,,,,,,,,,
Nancy,143,closed,-,-,-,0,4,4,,,,,,,,,,,,,,,,,
Nancy,146,closed,opened,2011-06-07 03:13:05,,,,,,,,,,,,,,,,,,,,,
Nancy,146,closed,title,2011-06-07 03:13:05,00:00,,1,,"b""b' Forms Authentication throws when Decrypting Authentication Cookie'""",,,,,,,,,,,,,,,,
Nancy,146,closed,body,2011-06-07 03:13:05,00:00,,1,,"b""b'  When running the FormsAuth demo an error occurs in .  In the first few lines of that method pasted below", decodedCookie is 27 characters long and hmacStringLength = 28," which produces an ArgumentOutOfRangeException. '""",,,,,,,,,,,,,,
Nancy,146,closed,1,2011-06-07 03:13:05,295.83,,,1,"b'b"" I\'ve just tried this on my machine and it worked fine could you provide some more info of your environment?""'",,,,,,,,,,,,,,,,
Nancy,146,closed,2,2011-06-07 03:13:05,634.85,,1,,"b'b"" I just went back to the Forms Auth Demo and tried it again and this time it worked.  Stepping through the code", the decodedCookie was much longer than 27 characters this time," so I don\'t know what caused the problem the first time.  I\'ll try to recreate again and report back if I can figure out what caused the first error.""'",,,,,,,,,,,,,,
Nancy,146,closed,closed,2011-06-08 18:43:46,930.68,0,3,1,,,,,,,,,,,,,,,,,
Nancy,146,closed,3,2011-06-07 03:13:05,736.53,,1,,"b""b' I get the exact same error with the code from version 0.6.0. It happens every time"," not only sometimes like described here. '""",,,,,,,,,,,,,,,
Nancy,146,closed,4,2011-06-07 03:13:05,6.62,,1,,"b'b\' @NeqO Can you clear your cookies and try again please? Just to see if it\\\'s an old ""rogue"" cookie kicking around.\''",,,,,,,,,,,,,,,,
Nancy,146,closed,5,2011-06-07 03:13:05,1.72,,1,,"b""b' @NeqO Also", the encryption side has been rewritten for 0.7," so if you could give it a whirl in that (released today hopefully) that would be useful.'""",,,,,,,,,,,,,,
Nancy,146,closed,6,2011-06-07 03:13:05,15.53,,,1,b'b\' @grumpydev I cleared them thousands of times before finding where it did not work.  From what I understand, the cookie should have concatenated data.The first 28 chars are a hmac and the rest the encrypted cookie data," right?The content of ""cookieData"" is only 27 chars", so I guess there is a problem somewhere else. I\\\'ll be happy to try the new version. But the code from where I need to launch the server is a bit cumbersome, and when I tested I could not run it (the thread closes just after startup (our own code\\\'s fault)).I\\\'ll give it a try when you release it. Thanks\'',,,,,,,,,,,,
Nancy,146,closed,reopened,2011-07-26 07:27:46,764.0,0,6,2,,,,,,,,,,,,,,,,,
Nancy,146,closed,7,2011-06-07 03:13:05,5.58,,1,,"b""b' More info: My cookies contains  But all I get in the Load method is  ", with the =," and nothing else.'""",,,,,,,,,,,,,,
Nancy,146,closed,8,2011-06-07 03:13:05,20.33,,,1,b'b\' Found the problem! In ," method GetCookieData(). Since the cookie contains two ""="" and GetCookieData uses Split()", the content is not correctly fetched. This code is still is the current code. I\\\'ll be happy to contribute with a bugfix, but I have no idea (yet) how to do it with github.Could you wait some time till I understand how it works?(The request is: don\\\'t do it, I want to learn how to use git & stuff ;))\'',,,,,,,,,,,,
Nancy,146,closed,9,2011-06-07 03:13:05,2.4,,1,,"b'b"" @NeqO Ah", so it\'s only when the Base64 gets padded .. makes sense. Take a look at the wiki," there\'s details on there on the git workflow.""'",,,,,,,,,,,,,,
Nancy,146,closed,10,2011-06-07 03:13:05,22.25,,1,,"b""b' I think I did it. :)'""",,,,,,,,,,,,,,,,
Nancy,146,closed,11,2011-06-07 03:13:05,234.47,,1,,"b""b' Fix pulled in.'""",,,,,,,,,,,,,,,,
Nancy,146,closed,closed,2011-07-26 12:09:12,281.43,0,10,3,,,,,,,,,,,,,,,,,
Nancy,146,closed,-,-,-,0,10,3,,,,,,,,,,,,,,,,,
Nancy,151,closed,opened,2011-06-14 23:34:16,,,,,,,,,,,,,,,,,,,,,
Nancy,151,closed,title,2011-06-14 23:34:16,00:00,,1,,"b'b\' Created a wrapper type for ""IList<Func<string", dynamic, ViewLocationConte\'',,,,,,,,,,,,,,
Nancy,151,closed,body,2011-06-14 23:34:16,00:00,1,,,"b'b\' Created a wrapper type for ""IList>"" as Ninject was having trouble resolving this dependency.  I think the dynamics within a delegate was not Kosher in Ninjects book.\''",,,,,,,,,,,,,,,,
Nancy,151,closed,1,2011-06-14 23:34:16,457.98,,,1,"b'b"" I\'m guessing you didn\'t mean to include the R# styling file? :-)""'",,,,,,,,,,,,,,,,
Nancy,151,closed,2,2011-06-14 23:34:16,1135.27,,,1,"b""b' Grumpy", all changes you suggested done.  I basically:Undid last commitRemoved R# fileOnly wrapping the IEnumerable Func ... when going in and out of the containerViewLocationConventions now implements IEnumerable ...Tested," works on my project w/ Spark and Ninject'""",,,,,,,,,,,,,,
Nancy,151,closed,3,2011-06-14 23:34:16,225.85,,,1,"b'b"" Ok", cool, you\'ll have to do a new pull request though," this one still includes the R# file etc .. I\'ll close this one and send another please :-)""'",,,,,,,,,,,,,
Nancy,151,closed,closed,2011-06-17 05:53:22,379.1,1,1,3,,,,,,,,,,,,,,,,,
Nancy,151,closed,4,2011-06-14 23:34:16,8.02,,1,,"b""b' The last pull req [removed the R# file]url '""",,,,,,,,,,,,,,,,
Nancy,151,closed,reopened,2011-06-17 06:54:02,60.67,1,2,3,,,,,,,,,,,,,,,,,
Nancy,151,closed,5,2011-06-14 23:34:16,52.85,1,,,"b""b' So it did", sorry," my mistake :-)'""",,,,,,,,,,,,,,
Nancy,151,closed,6,2011-06-14 23:34:16,276.07,,,1,"b'b"" I\'m just trying to bring this in"," but you\'ve also modified Spark .. I\'m guessing that was unintentional?""'",,,,,,,,,,,,,,,
Nancy,151,closed,7,2011-06-14 23:34:16,18.57,,,1,"b'b"" It also doesn\'t build :-) I\'ll sort it out from here.""'",,,,,,,,,,,,,,,,
Nancy,151,closed,closed,2011-06-21 11:54:42,300.67,2,2,5,,,,,,,,,,,,,,,,,
Nancy,151,closed,8,2011-06-14 23:34:16,566.15,,,1,"b'b"" Grumpy", the spark modification:(, model ?? new object()); Is required as loading a View without a model would cause the Spark view engine to crash.  Don\'t know if this bug was fixed in your subsequent view engine work. And I\'m sure it was building when I did this pull req, perhaps something in the mean time caused issues?  All changes were very straight forward tho so easy to reapply," let me know if you want me to jump in again.""'",,,,,,,,,,,,
Nancy,151,closed,9,2011-06-14 23:34:16,571.87,,,1,"b'b"" The build problem was because the tests weren\'t updated so they didn\'t compile (still using IE rather than the new wrapper type) Sorted now and in master .. Thanks :-) On 21 Jun 2011", at 22:15," gatapia reply@ wrote:""'",,,,,,,,,,,,,,
Nancy,151,closed,-,-,-,2,2,7,,,,,,,,,,,,,,,,,
Nancy,183,closed,opened,2011-07-07 20:59:31,,,,,,,,,,,,,,,,,,,,,
Nancy,183,closed,title,2011-07-07 20:59:31,00:00,,1,,"b""b' Automatic conditional request / ETag support'""",,,,,,,,,,,,,,,,
Nancy,183,closed,1,2011-07-07 20:59:31,1289.07,,1,,"b""b' What kind of support for ETag are you looking for?  Only for certain types of requests?'""",,,,,,,,,,,,,,,,
Nancy,183,closed,2,2011-07-07 20:59:31,1339.18,,1,,"b""b' Etag would be needed for favicon", css," javscripts and other static contents (such as images) mostly. Currently the above code always returns 200ok. I think by default it should always check the IfNonMatch request header and return 304 not modified status code without the body. Nancy should also optionally allow to ignore IfNonMatch and always return 200ok. To force disabling etags so it always returns body and status code as 200ok. In the end it is which would actually require a new constructor taking ifNonMatch as a parameter. (or should it take instead so it can access all the headers).'""",,,,,,,,,,,,,,
Nancy,183,closed,3,2011-07-07 20:59:31,1276.33,,1,,"b""b' Fits in with the convention based caching"," pushing to 0.12.'""",,,,,,,,,,,,,,,
Nancy,183,closed,4,2011-07-07 20:59:31,1265.67,,1,,"b""b' Handled in #547'""",,,,,,,,,,,,,,,,
Nancy,183,closed,closed,2015-08-22 11:09:46,850.25,0,5,0,,,,,,,,,,,,,,,,,
Nancy,183,closed,5,2011-07-07 20:59:31,3.45,,,1,"b""b' But #547 was never merged. :smile: '""",,,,,,,,,,,,,,,,
Nancy,183,closed,reopened,2015-08-22 11:33:51,24.08,0,5,1,,,,,,,,,,,,,,,,,
Nancy,183,closed,6,2011-07-07 20:59:31,20.78,,1,,"b""b' Oh you are right.. a quick glance made me think it was :P'""",,,,,,,,,,,,,,,,
Nancy,183,closed,7,2011-07-07 20:59:31,1238.35,1,,,"b""b' Closed due to death by old age. If anyone cares to take a stab at this"," please feel free :heart:'""",,,,,,,,,,,,,,,
Nancy,183,closed,closed,2015-08-26 08:12:21,1238.5,1,6,1,,,,,,,,,,,,,,,,,
Nancy,183,closed,-,-,-,1,6,1,,,,,,,,,,,,,,,,,
Nancy,259,closed,opened,2011-08-16 13:21:26,,,,,,,,,,,,,,,,,,,,,
Nancy,259,closed,title,2011-08-16 13:21:26,00:00,1,,,"b'b\' Strange behavior when added """"\''",,,,,,,,,,,,,,,,
Nancy,259,closed,body,2011-08-16 13:21:26,00:00,,,1,b'b\' Hello,I\\\'ve added using NuGet a dependency to:  Nancy  but as the response it returns blank page (no response at all). I uninstalled it. Next step I download the latest source using git," compile it using rake and add this dependencies manually.And now VS says that it could not find it:![1]url  And when I double-click to the """""," it does not appear in the ""Object browser"":![2]url \''",,,,,,,,,,,,,
Nancy,259,closed,1,2011-08-16 13:21:26,8.1,,1,,"b""b' Might need a _little_ bit more detail on this one ;-)'""",,,,,,,,,,,,,,,,
Nancy,259,closed,2,2011-08-16 13:21:26,2.98,1,,,"b""b' @grumpydev Sorry"," misclick at the first time :('""",,,,,,,,,,,,,,,
Nancy,259,closed,closed,2011-08-16 13:32:31,11.08,2,1,1,,,,,,,,,,,,,,,,,
Nancy,259,closed,reopened,2011-08-16 13:32:34,0.05,2,1,1,,,,,,,,,,,,,,,,,
Nancy,259,closed,3,2011-08-16 13:21:26,0.93,,1,,"b'b"" The first one will be because it can\'t find your view"," the 2nd one will likely be because you haven\'t got Razor itself referenced.""'",,,,,,,,,,,,,,,
Nancy,259,closed,closed,2011-08-16 13:33:28,0.9,2,2,1,,,,,,,,,,,,,,,,,
Nancy,259,closed,-,-,-,2,2,1,,,,,,,,,,,,,,,,,
Nancy,287,closed,opened,2011-08-31 08:24:46,,,,,,,,,,,,,,,,,,,,,
Nancy,287,closed,title,2011-08-31 08:24:46,00:00,,1,,"b""b' Added () extension method.'""",,,,,,,,,,,,,,,,
Nancy,287,closed,1,2011-08-31 08:24:46,336.32,,1,,"b'b"" Hi", I am sorry," but we cannot accept this pull request in it\'s current shape. It looks like you branched this from another forks repository (from @aeoth client-ip branch) and if we accept your pull we will be pulling in his code as well (which is in another pull request on its own awaiting further stuff). Please redo the pull from start and make sure you branch of our _master_ branch. There is a git workflow document on our wiki to help you out if you do not feel comfortable with Git Thanks!""'",,,,,,,,,,,,,,
Nancy,287,closed,closed,2011-08-31 14:01:05,336.32,0,2,0,,,,,,,,,,,,,,,,,
Nancy,287,closed,reopened,2011-08-31 14:01:16,0.18,0,2,0,,,,,,,,,,,,,,,,,
Nancy,287,closed,2,2011-08-31 08:24:46,42.03,1,,,"b'b"" thecodejunkie: I\'ve pulled @aeoth\'s pull request from his fork as suggested by github\'s help to my fork. This my fork has been based on your real master branch. I haven\'t really commited any change from @aeoth to my fork", therefore his commit shouldn\'t be part of this pull request. This inconvenience is probably caused by git or github. I\'m yet curious if accepting this pull request would really merge @aeoth\'s pull request too. I believe it won\'t otherwise there\'s major issue in the github\'s workflow. As I\'ll be quite busy following weeks, I don\'t believe I\'ll be able to redo my Nancy fork," then manually create all my changes again and then I would have to import awaiting pull requests. And then what? If I\'ll need to update my pull again I\'m doomed to do this all over again?""'",,,,,,,,,,,,,
Nancy,287,closed,3,2011-08-31 08:24:46,7.43,1,,,b'b\' Err.. Github told you to pull in changes from a completely different fork? I think you have misunderstood something you should never pull from _anywhere_ other than upstream master to update your fork. Currently your pull request includes someone else\\\'s changes and, yes," that means if we pull this in we pull the other one in too (you can see that from the ""diff"" button at the top and the fact your merge is part of the commit history in the pull) The workflow page in the wiki should tell you everything you need to know from a git perspective for creating a pull request. Sorry", we just can\\\'t accept the pull request in its current state.\'',,,,,,,,,,,,,
Nancy,287,closed,4,2011-08-31 08:24:46,5.87,1,,,"b'b"" @grumpydev: If I\'m unable to use the code from another pull requests while contributing to the master", than I won\'t be able to contribute most of the time. Sorry guys, I really wanted to help you out, but the current workflow seems to be not working for me," as I kind of rely on @aeoth\'s code now and I understand you can\'t merge his pull until it\'s considered completed. I won\'t resolve this until his pull request will be merged.""'",,,,,,,,,,,,
Nancy,287,closed,5,2011-08-31 08:24:46,8.97,1,,,"b'b"" Sorry", I\'m not getting it. Why do you need anything in that other pull request? All that code does is add the client ip property to the request, and you don\'t reference that property anywhere in your code? As far as I can see all your pull request needs to include is your addition to  and ," which are covered in commits f70faf0 and fe64c45 (can seek validation).""'",,,,,,,,,,,,,
Nancy,287,closed,6,2011-08-31 08:24:46,7.42,,,1,"b'b"" Actually", I need the other pull request for the project of mine which is referencing Nancy. Obviously, it has nothing to do with the stream response, but I don\'t feel comfortable maintaining two different forks for contributing and my own development side by side (therefore doing my changes twice). As I stated, I\'ll rectify it as soon as I can," but it won\'t be in the nearest days for sure as I\'l be out.""'",,,,,,,,,,,
Nancy,287,closed,7,2011-08-31 08:24:46,20.82,,1,,"b'b"" You don\'t need to maintain two forks if you don\'t want to.. you can pull stuff into branches and do what ever you want to do. But the essence of it is that we will never accept a pull request that includes stuff from other forks", because that essentially means we are not only accepting your contribution but someone else\'s as well.. for all we know the other code is not production ready and the original author may be holding back on issuing a pull request himself until it is ready. Contributions to the Nancy code should always be based on the Nancy core it self. If you want to fork and assemble your own version of Nancy then you are free to do so, but please be aware that no considerations will be taken to such forks in the sense of forward comparability. We can at any moment introduce breaking changes in Nancy (even though we try really hard not to) have have intentionally left Nancy at >1.0  because we follow Semantic Versioning url  and one we hit 1.0 out API will be more set in stone. In the long run I am pretty sure it will be easier for you to follow the master branch and contribute any changes you might need if you want to be able to keep up with our changes. Not only that but because if you pull in from several sources you will, more than likley," end up with history rewrites when pulling into master because things will not have the same parent commits. Thanks!""'",,,,,,,,,,,,
Nancy,287,closed,8,2011-08-31 08:24:46,387.03,,,1,"b""b' Cool"," what further stuff? '""",,,,,,,,,,,,,,,
Nancy,287,closed,9,2011-08-31 08:24:46,462.07,,1,,"b'b"" @aeoth we\'re working with the OWIN group to have the client-ip included there as well""'",,,,,,,,,,,,,,,,
Nancy,287,closed,10,2011-08-31 08:24:46,31.32,1,,,"b'b"" @thecodejunkie ah", cool," I wasn\'t sure if I had done something horribly wrong :)""'",,,,,,,,,,,,,,
Nancy,287,closed,closed,2011-09-19 11:51:31,1310.25,5,4,2,,,,,,,,,,,,,,,,,
Nancy,287,closed,-,-,-,5,4,2,,,,,,,,,,,,,,,,,
Nancy,452,closed,opened,2012-01-04 14:24:17,,,,,,,,,,,,,,,,,,,,,
Nancy,452,closed,title,2012-01-04 14:24:17,00:00,,1,,"b""b' 500 Internal Server Error Page'""",,,,,,,,,,,,,,,,
Nancy,452,closed,body,2012-01-04 14:24:17,00:00,,,1,"b'b"" There used to be a stacktrace with interesting information when there was an exception. I understand why one might not want it but it would handy if we could turn it on while developing.  I understand from the code I probably need to add a delegate to the errorpipeline But I don\'t have a clue how to. And there\'s also nothing about this pipeline in the documentation so I thought I\'d ask.""'",,,,,,,,,,,,,,,,
Nancy,452,closed,1,2012-01-04 14:24:17,36.73,,1,,"b'b"" It\'s still there", and turned on by default in debug mode," it\'s controlled with .""'",,,,,,,,,,,,,,
Nancy,452,closed,closed,2012-01-04 15:01:01,36.73,0,2,1,,,,,,,,,,,,,,,,,
Nancy,452,closed,reopened,2012-01-04 19:17:25,256.4,0,2,1,,,,,,,,,,,,,,,,,
Nancy,452,closed,2,2012-01-04 14:24:17,256.87,,1,,"b""b' Appears more ppl are reporting the same url I reopened this issue"," pending investigation'""",,,,,,,,,,,,,,,
Nancy,452,closed,3,2012-01-04 14:24:17,775.02,,,1,"b""b' Thanks! works for me.'""",,,,,,,,,,,,,,,,
Nancy,452,closed,4,2012-01-04 14:24:17,2.02,,1,,"b'b"" @thecodejunkie that\'s a totally different issue.""'",,,,,,,,,,,,,,,,
Nancy,452,closed,closed,2012-01-05 08:14:59,777.57,0,4,2,,,,,,,,,,,,,,,,,
Nancy,452,closed,-,-,-,0,4,2,,,,,,,,,,,,,,,,,
Nancy,506,closed,opened,2012-02-16 16:47:52,,,,,,,,,,,,,,,,,,,,,
Nancy,506,closed,title,2012-02-16 16:47:52,00:00,,1,,"b""b' using  throws StackOverflowException'""",,,,,,,,,,,,,,,,
Nancy,506,closed,body,2012-02-16 16:47:52,00:00,1,,,"b'b"" I\'ve just downloaded the current master", builded and referred the Nancy,  and  dlls to a new emtpy  project. I have one poco and one  and a Razor view. Everything works until I add this line to the top of my : This makes Nancy throw the following exception (and crashing IIS Express and VS Dev Server): ," Line 25.""'",,,,,,,,,,,,,
Nancy,506,closed,1,2012-02-16 16:47:52,61.57,1,,,"b'b"" It wasn\'t too long ago that I came across the code that is being executed and thought it would cause infinite recursion to take place. Shame that it slipped my mind. ""'",,,,,,,,,,,,,,,,
Nancy,506,closed,2,2012-02-16 16:47:52,16.07,,,1,"b'b"" Well"," great to hear you can locate the problem I\'m eager to try this feature! :-)""'",,,,,,,,,,,,,,,
Nancy,506,closed,closed,2012-02-16 18:31:41,103.82,2,1,1,,,,,,,,,,,,,,,,,
Nancy,506,closed,reopened,2012-02-16 18:40:37,8.93,2,1,1,,,,,,,,,,,,,,,,,
Nancy,506,closed,3,2012-02-16 16:47:52,35.33,,1,,"b'b"" Didn\'t mean to close this ;)""'",,,,,,,,,,,,,,,,
Nancy,506,closed,4,2012-02-16 16:47:52,103.95,,1,,"b""b' fixed by #507'""",,,,,,,,,,,,,,,,
Nancy,506,closed,closed,2012-02-16 20:24:47,104.17,2,3,1,,,,,,,,,,,,,,,,,
Nancy,506,closed,-,-,-,2,3,1,,,,,,,,,,,,,,,,,
Nancy,583,closed,opened,2012-03-30 10:28:36,,,,,,,,,,,,,,,,,,,,,
Nancy,583,closed,title,2012-03-30 10:28:36,00:00,,1,,"b'b"" View rendering doesn\'t work in mono (linux)""'",,,,,,,,,,,,,,,,
Nancy,583,closed,body,2012-03-30 10:28:36,00:00,,,1,"b'b\' I\\\'ve been trying to render views in a views folder in the root of my app. Get[""/view""] = _ =I can get this working on  fine", but mono linux 2.10 doesn\\\'t render anything," I just get a http 500 error code.I\\\'ve also tried with the razor view engine with no luck. It would be great to have this working. I can render a static html page by doing: Get[""/view""] = _ =      var streamReader = new StreamReader(""PATH_TO_VIEW"");      return (());    }; but this obviously isn\\\'t great for rendering models.\''",,,,,,,,,,,,,,
