REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,reopened,2013-07-19 14:03:09,111.98,0,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,10,2010-02-13 14:15:25,572.95,,,1,"b'b"" @ofzach this is currently the oldest open issue", and it\'s assigned to you for 0.9.0 :) but i thought @bakercp was going to be revamping all of OF\'s TTF rendering," so is this really something we\'re including with 0.9.0 or has it been mislabeled?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,11,2010-02-13 14:15:25,13.0,,1,,"b'b"" I did some fixes for this that should be in 0.9.  Mostly enabling autohinting and adding kerning. I think every carachter should be in an integer position now"," which would had make the type blurry if it wasn\'t before.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,12,2010-02-13 14:15:25,1222.25,,,1,b'b\' I took a look at this on the current master and these issues seem to be resolved. Here\\\'s the fonts example running both at 72dpi and 96dpi. Looks nice & crisp for both. This is running on a retina MBP with the app retina enabled (High Resolution Capable -![retina-fonts-72dpi]url ![retina-fonts-96dpi]url  For another comparison, here\\\'s ofTrueTypeFont vs. ofxFontStash. The character spacing & line heights are off, but the font size is the same and you can see the letters render at the same size. In addition," the new kerning support is better than in ofxFontStash! (Take a look at the AT in ""NATURAL"") ![screen shot 2015-01-10 at 2 42 37 pm]url ![screen shot 2015-01-10 at 2 43 01 pm]url \''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,closed,2015-01-10 20:13:06,369.95,0,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,13,2010-02-13 14:15:25,17.68,,,1,"b""b' great work matt", thanks! On Sat, Jan 10, 2015 at 3:13 PM," Matt Felsen notifications@wrote:'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,14,2010-02-13 14:15:25,25.4,,,1,"b""b' thanks!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,-,-,-,0,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,128,closed,opened,2010-02-14 09:40:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,128,closed,title,2010-02-14 09:40:13,00:00,,1,,"b'b"" ofxTCPServer doesn\'t manage connected clients correcly""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,128,closed,body,2010-02-14 09:40:13,00:00,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,128,closed,1,2010-02-14 09:40:13,647.2,,1,,"b""b' ofxTCPServer: fix for client disconnection. Closed by cb4ba37d0bfff33d159b7f5543a65955a4ed17c9'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,128,closed,2,2010-02-14 09:40:13,864.2,,1,,"b'b"" Hey Arturo I think there is a problem with some of these changes; in particular: bool ofxTCPServer::sendToAll(string message) {  if(() == 0) return false; } will disconnect a valid TCP  haven\'t gone hunting in-depth"," but I see that getNumClients returns ()-1; so I\'m assuming that [0] is the server? or reserved? somehow that scrambles the logic of how connections are being stored in the map... For now I\'m just commenting out the disconnection \'m happy to pursue further but figure you\'ll see the problem faster ;-)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,128,closed,3,2010-02-14 09:40:13,27.72,,,1,"b'b"" For now I\'m doing: if(!TCPConnections[it->first].isConnected() && it->first first); but I don\'t really understand what ofxTCPClient is being stored in the map before I make a  it the server itself that is being stored in the map first?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,128,closed,4,2010-02-14 09:40:13,198.17,,1,,"b'b"" Was this issue fixed after all?I\'m having problems with getNumClients in connection with disconnectClient. Once a new client connects after disconnecting an old one"," getNumClients increases by 2 and sendToAll results in an error.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,128,closed,reopened,2012-03-12 16:15:52,395.65,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,128,closed,5,2010-02-14 09:40:13,310.73,,1,,"b'b"" As far as I can tell this is still an issue. SendToAll will disconnect a client.gameoverhack\'s solution worked for me. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,128,closed,6,2010-02-14 09:40:13,1062.33,,1,,"b""b' Pushing back issues without assignee to 0.8.1.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,128,closed,7,2010-02-14 09:40:13,130.33,,,1,"b""b' @arturoc could you take another look at this"," would be great to fix for 0.8 ?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,128,closed,8,2010-02-14 09:40:13,11.1,,1,,"b""b' i think i fixed it already in a later commit"," but i need to check. will do it in a moment'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,128,closed,9,2010-02-14 09:40:13,60.75,,1,,"b'b"" i\'ve tested with several clients and sendToAll and this seems to be fixed"," indeed the line @gameoverhack points as the problem doesn\'t exist anymore.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,128,closed,closed,2013-07-15 16:52:45,36.88,0,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,128,closed,-,-,-,0,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,288,closed,opened,2011-01-08 02:14:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,288,closed,title,2011-01-08 02:14:03,00:00,,1,,"b""b' const correctness add const to '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,288,closed,body,2011-01-08 02:14:03,00:00,,1,,"b'b"" ofImage::getWidth()/getHeight() are just getters that do absolutely nothing but return a copy of the width and height. these methods should be marked const. [added]: there are hacks inside ofxCv that i\'ve had to make because  are not const correct. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,288,closed,1,2011-01-08 02:14:03,42.22,1,,,"b'b"" const correctness for something like ofImage::getHeight() is problem because? :) sorry -I\'m just not entirely convinced as to why you need const correct code for something like a getter function"," especially when it\'s returning a primitive type / int / float etc. it\'s not a pointer / reference or something that if altered would actually be bad.  why use const?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,288,closed,2,2011-01-08 02:14:03,30.88,1,,,"b'b"" sorry", i should have given a clearer justification, otherwise it comes off as complaining. let\'s say you have a class myImage that inherits ofImage. and you want to be able to use the << operator with cout to print out some info: which you want to print: then you need to say in your class: but because getWidth() and getHeight() are not const, you couldn\'t do this. while const-correctness might feel \'viral\' sometimes, if you get it right then it gives you more freedom than it takes away. especially when it comes to interfacing with lots of different libraries (in the example above, STL), which is a big part of OF i think. phew," just getting prepped for next week ;)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,288,closed,3,2011-01-08 02:14:03,2.17,,1,,"b'b"" also", just to be clear (i just saw your edited comment), the const is referring to the ofImage object," not to the primitive data type. that\'s the difference between saying:  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,288,closed,4,2011-01-08 02:14:03,1011.27,,1,,"b""b' With regard to the [code style]url  I think we can close this now. do you agree"," kyle?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,288,closed,5,2011-01-08 02:14:03,143.23,,,1,b'b\' i think in general it\\\'s good to not add const to old code. but in the case i mention above with  i think it\\\'s really a genuine bug. there are hacks inside ofxCv that i\\\'ve had to make because  are not const correct. so if anything," this issue should just be considered very specialized: ""let\\\'s add const to """, and not as generalized as the title indicates.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,288,closed,6,2011-01-08 02:14:03,725.43,,1,,"b""b' I updated the bug description and title'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,288,closed,closed,2013-06-15 20:37:43,1103.67,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,288,closed,reopened,2013-06-15 22:01:39,83.93,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,288,closed,7,2011-01-08 02:14:03,673.17,,1,,"b'b"" we have to solve this at a deeper level now because ofVideoPlayer and ofVideoGrabber need to be const as well. also"," anything that has inherited from the base class that isn\'t const will become an  object...""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,288,closed,closed,2013-08-11 09:26:56,685.28,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,288,closed,-,-,-,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,548,closed,opened,2011-04-20 23:05:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,548,closed,title,2011-04-20 23:05:39,00:00,,1,,"b""b' Corrupted file: /'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,548,closed,body,2011-04-20 23:05:39,00:00,,1,,"b'b"" between line 721 and 765 /\\\\* Special folders */enum {  kAppleExtrasFolderIcon  = FOUR_CHAR_CODE(\'aex\\xef\\xbf\\xbd\')",  kAppleMenuFolderIcon    = FOUR_CHAR_CODE(\'amnu\'),  kApplicationsFolderIcon   = FOUR_CHAR_CODE(\'apps\'),  kApplicationSupportFolderIcon = FOUR_CHAR_CODE(\'asup\'),  kAssistantsFolderIcon   = FOUR_CHAR_CODE(\'ast\\xef\\xbf\\xbd\'),  kContextualMenuItemsFolderIcon = FOUR_CHAR_CODE(\'cmnu\'),  kControlPanelDisabledFolderIcon = FOUR_CHAR_CODE(\'ctrD\'),  kControlPanelFolderIcon   = FOUR_CHAR_CODE(\'ctrl\'),  kControlStripModulesFolderIcon = FOUR_CHAR_CODE(\'sdv\\xef\\xbf\\xbd\'),  kDocumentsFolderIcon    = FOUR_CHAR_CODE(\'docs\'),  kExtensionsDisabledFolderIcon = FOUR_CHAR_CODE(\'extD\'),  kExtensionsFolderIcon   = FOUR_CHAR_CODE(\'extn\'),  kFavoritesFolderIcon    = FOUR_CHAR_CODE(\'favs\'),  kFontsFolderIcon    = FOUR_CHAR_CODE(\'font\'),  kHelpFolderIcon     = FOUR_CHAR_CODE(\'\\xef\\xbf\\xbdhlp\'),  kInternetFolderIcon   = FOUR_CHAR_CODE(\'int\\xef\\xbf\\xbd\'),  kInternetPlugInFolderIcon = FOUR_CHAR_CODE(\'\\xef\\xbf\\xbdnet\'),  kLocalesFolderIcon    = FOUR_CHAR_CODE(\'\\xef\\xbf\\xbdloc\'),  kMacOSReadMeFolderIcon  = FOUR_CHAR_CODE(\'mor\\xef\\xbf\\xbd\'),  kPreferencesFolderIcon  = FOUR_CHAR_CODE(\'prf\\xef\\xbf\\xbd\'),  kPrinterDescriptionFolderIcon = FOUR_CHAR_CODE(\'ppdf\'),  kPrinterDriverFolderIcon  = FOUR_CHAR_CODE(\'\\xef\\xbf\\xbdprd\'),  kPrintMonitorFolderIcon   = FOUR_CHAR_CODE(\'prnt\'),  kRecentApplicationsFolderIcon = FOUR_CHAR_CODE(\'rapp\'),  kRecentDocumentsFolderIcon  = FOUR_CHAR_CODE(\'rdoc\'),  kRecentServersFolderIcon  = FOUR_CHAR_CODE(\'rsrv\'),  kScriptingAdditionsFolderIcon = FOUR_CHAR_CODE(\'\\xef\\xbf\\xbdscr\'),  kSharedLibrariesFolderIcon  = FOUR_CHAR_CODE(\'\\xef\\xbf\\xbdlib\'),  kScriptsFolderIcon    = FOUR_CHAR_CODE(\'scr\\xef\\xbf\\xbd\'),  kShutdownItemsDisabledFolderIcon = FOUR_CHAR_CODE(\'shdD\'),  kShutdownItemsFolderIcon  = FOUR_CHAR_CODE(\'shdf\'),  kSpeakableItemsFolder   = FOUR_CHAR_CODE(\'spki\'),  kStartupItemsDisabledFolderIcon = FOUR_CHAR_CODE(\'strD\'),  kStartupItemsFolderIcon   = FOUR_CHAR_CODE(\'strt\'),  kSystemExtensionDisabledFolderIcon = FOUR_CHAR_CODE(\'macD\'),  kSystemFolderIcon     = FOUR_CHAR_CODE(\'macs\'),  kTextEncodingsFolderIcon  = FOUR_CHAR_CODE(\'\\xef\\xbf\\xbdtex\'),  kAppearanceFolderIcon   = FOUR_CHAR_CODE(\'appr\'),  kUtilitiesFolderIcon    = FOUR_CHAR_CODE(\'uti\\xef\\xbf\\xbd\'),  kVoicesFolderIcon     = FOUR_CHAR_CODE(\'fvoc\'),  kColorSyncFolderIcon    = FOUR_CHAR_CODE(\'prof\'),  kInternetSearchSitesFolderIcon = FOUR_CHAR_CODE(\'issf\'),  kUsersFolderIcon    = FOUR_CHAR_CODE(\'usr\\xef\\xbf\\xbd\')}; should be: enum {  kAppleExtrasFolderIcon  = FOUR_CHAR_CODE(\'aex\'),  kAppleMenuFolderIcon    = FOUR_CHAR_CODE(\'amnu\'),  kApplicationsFolderIcon   = FOUR_CHAR_CODE(\'apps\'),  kApplicationSupportFolderIcon = FOUR_CHAR_CODE(\'asup\'),  kAssistantsFolderIcon   = FOUR_CHAR_CODE(\'ast\'),  kContextualMenuItemsFolderIcon = FOUR_CHAR_CODE(\'cmnu\'),  kControlPanelDisabledFolderIcon = FOUR_CHAR_CODE(\'ctrD\'),  kControlPanelFolderIcon   = FOUR_CHAR_CODE(\'ctrl\'),  kControlStripModulesFolderIcon = FOUR_CHAR_CODE(\'sdv\'),  kDocumentsFolderIcon    = FOUR_CHAR_CODE(\'docs\'),  kExtensionsDisabledFolderIcon = FOUR_CHAR_CODE(\'extD\'),  kExtensionsFolderIcon   = FOUR_CHAR_CODE(\'extn\'),  kFavoritesFolderIcon    = FOUR_CHAR_CODE(\'favs\'),  kFontsFolderIcon    = FOUR_CHAR_CODE(\'font\'),  kHelpFolderIcon     = FOUR_CHAR_CODE(\'hlp\'),  kInternetFolderIcon   = FOUR_CHAR_CODE(\'int\'),  kInternetPlugInFolderIcon = FOUR_CHAR_CODE(\'net\'),  kLocalesFolderIcon    = FOUR_CHAR_CODE(\'loc\'),  kMacOSReadMeFolderIcon  = FOUR_CHAR_CODE(\'mor\'),  kPreferencesFolderIcon  = FOUR_CHAR_CODE(\'prf\'),  kPrinterDescriptionFolderIcon = FOUR_CHAR_CODE(\'ppdf\'),  kPrinterDriverFolderIcon  = FOUR_CHAR_CODE(\'prd\'),  kPrintMonitorFolderIcon   = FOUR_CHAR_CODE(\'prnt\'),  kRecentApplicationsFolderIcon = FOUR_CHAR_CODE(\'rapp\'),  kRecentDocumentsFolderIcon  = FOUR_CHAR_CODE(\'rdoc\'),  kRecentServersFolderIcon  = FOUR_CHAR_CODE(\'rsrv\'),  kScriptingAdditionsFolderIcon = FOUR_CHAR_CODE(\'scr\'),  kSharedLibrariesFolderIcon  = FOUR_CHAR_CODE(\'lib\'),  kScriptsFolderIcon    = FOUR_CHAR_CODE(\'scr\'),  kShutdownItemsDisabledFolderIcon = FOUR_CHAR_CODE(\'shdD\'),  kShutdownItemsFolderIcon  = FOUR_CHAR_CODE(\'shdf\'),  kSpeakableItemsFolder   = FOUR_CHAR_CODE(\'spki\'),  kStartupItemsDisabledFolderIcon = FOUR_CHAR_CODE(\'strD\'),  kStartupItemsFolderIcon   = FOUR_CHAR_CODE(\'strt\'),  kSystemExtensionDisabledFolderIcon = FOUR_CHAR_CODE(\'macD\'),  kSystemFolderIcon     = FOUR_CHAR_CODE(\'macs\'),  kTextEncodingsFolderIcon  = FOUR_CHAR_CODE(\'tex\'),  kAppearanceFolderIcon   = FOUR_CHAR_CODE(\'appr\'),  kUtilitiesFolderIcon    = FOUR_CHAR_CODE(\'uti\'),  kVoicesFolderIcon     = FOUR_CHAR_CODE(\'fvoc\'),  kColorSyncFolderIcon    = FOUR_CHAR_CODE(\'prof\'),  kInternetSearchSitesFolderIcon = FOUR_CHAR_CODE(\'issf\'),"  kUsersFolderIcon    = FOUR_CHAR_CODE(\'usr\')};""'"
openFrameworks,548,closed,1,2011-04-20 23:05:39,1321.45,1,,,"b'b\' I can reproduce this. Opening this on linux gives me ""The file you opened has some invalid characters."" and those strange glyphs are ""\\\\C4""\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,548,closed,2,2011-04-20 23:05:39,104.05,,1,,"b'b"" #724 is related. Seems even more files are hit"," and it\'s not windows-only. ///etc... Milestoning for 0071 since we shouldn\'t ship broken files.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,548,closed,3,2011-04-20 23:05:39,39.0,,1,,"b'b"" it looks like ccv dealt with this same issue a while ago url  i\'m going to go through and fix this.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,548,closed,closed,2012-08-04 23:50:06,44.45,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,548,closed,4,2011-04-20 23:05:39,23.23,,1,,"b""b' AERegistry.h", FileTypesAndCreators.h, ImageCodec.h, ImageCompression.h, OCE.h," OCETemplates.h are also affected. that should be all'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,548,closed,reopened,2012-08-05 00:09:21,19.25,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,548,closed,5,2011-04-20 23:05:39,16.4,,1,,"b""b' quick way to find the files that have this problem:  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,548,closed,closed,2012-08-05 02:04:54,115.55,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
