REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,324,open,title,2011-08-01 19:53:42,00:00,,1,,"b""b' SimpleAsyncHTTPClient and Connection:Keep-Alive'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,324,open,body,2011-08-01 19:53:42,00:00,,,1,"b""b' SimpleAsyncHTTPClient does not support keep-alive requests"," or at least not obviously so. Happy to fork this and build it in if pointed in the right direction.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,324,open,1,2011-08-01 19:53:42,150.55,,,1,"b""b' This would be great for me as well. +1'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,324,open,2,2011-08-01 19:53:42,1121.38,,,1,"b'b"" You\'re right that SimpleAsyncHTTPClient doesn\'t support any kind of connection reuse.  Very roughly", to build this you\'d add a pool of idle connections in SimpleAsyncHTTPClient that would be used in _process_queue if the host, port, and scheme match.  Connections would add themselves to this pool when they finish a request if the server didn\'t close the connection.  While idle, a connection would still need to listen for errors on the socket to know if the server has dropped the connection," and it\'s important to make sure that StackContext doesn\'t leak from one request to the next (I think that\'s already taken care of).  Some sort of garbage collection of old connections that don\'t get reused would be nice. Another consideration is proxies when we add proxy support the semantics around connections will change.  I\'m not sure what that will look like yet.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,324,open,3,2011-08-01 19:53:42,17.67,,,1,"b""b' Ok awesome"," we had exactly this in mind. Would you be interested in a pull request once we have this working?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,324,open,closed,2011-08-03 17:23:18,1289.6,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,324,open,reopened,2011-08-03 17:23:26,0.13,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,324,open,4,2011-08-01 19:53:42,1.18,,1,,"b""b' Yes"," of course.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,324,open,5,2011-08-01 19:53:42,118.65,,1,,"b""b' Have a fix for this"," cleaning it up now'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,324,open,6,2011-08-01 19:53:42,74.42,,1,,"b""b' Did that fix ever happen @NickNeedsAName ?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,324,open,-,-,-,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,351,closed,opened,2011-09-06 21:43:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,351,closed,title,2011-09-06 21:43:34,00:00,,1,,"b""b'  does not work with callbacks that have kwargs'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,351,closed,body,2011-09-06 21:43:34,00:00,,1,,b'b\' I\\\'m playing around with , and it seems to croak on callbacks that are triggered with keyword arguments. Specifically," asyncmongo sends an ""error"" keyword argument to the callback you specify. The  class\\\'s callback() method isn\\\'t set up to handle this. Here is the relevant code: the error: ""TypeError: callback() got an unexpected keyword argument \\\'error\\\'"" I\\\'m hacking around trying to figure out a fix to this", but I still haven\\\'t wrapped my head around the  code. I tried just adding a **kwargs argument to the callback() function, but that didn\\\'t work (the Runner loop timed out). this is similar to the hack I used to make this code work with swirl.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,351,closed,closed,2011-09-06 21:44:53,1.32,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,351,closed,reopened,2011-09-06 21:45:13,0.33,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,351,closed,1,2011-09-06 21:43:34,1.93,,1,,"b""b' accidentally closed the issue"," reopened it'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,351,closed,2,2011-09-06 21:43:34,27.87,,1,,"b'b"" actually", adding **kwargs to the callback() method does fix the problem," but does nothing to expose those keyword arguments. don\'t know the best way to expose them...""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,351,closed,3,2011-09-06 21:43:34,400.68,1,,,"b'b"" Yeah", the trick is that we can only pass a single object through the yield expression.  The only way to handle all the possible argument scenarios would be to pass a (args, kwargs) tuple, but that\'s awkward to work with.  Does asyncmongo ever give both positional and keyword arguments at the same time?  If not, we could automatically detect no args, one positional arg," or no positional args with keyword arguments (but then kwargs would come through as a dictionary and be indistinguishable from one positional arg that happened to be a dict).  The most general solution is to have several variants of  depending on the expected signature.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,351,closed,4,2011-09-06 21:43:34,468.05,,1,,"b'b"" I think asyncmongo always passes an \'error\' kwarg", and the result ispassed as a positional argument. What if we detected kwargs andreturned (args,kwargs) in this case? The only problem is when thecallback signature is  on the result, but in thatcase you should be prepared to check for kwargs anyway. On Sep 7,2011, at 12:54 AM," bdarnellreply@wrote:""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,351,closed,5,2011-09-06 21:43:34,422.3,1,,,"b'b"" Returning (args", kwargs) is really awkward to work with.  You don\'t want to have to do something like this on every call: You can kind of make an adapter with the  interface: That could be made a little less clunky with support in Callback (and a few standard adapters could be predefined), but it\'s still messy (and making the analogous change to Task risks name collisions): Maybe returning (args, kwargs) and requiring postprocessing is the best solution (especially since the postprocessing can easily be put into a function and not entangled with the gen framework). The case of a single positional argument is so common that it probably deserves to be handled specially," even if that means isinstance checks will be required for functions whose signatures vary.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,351,closed,closed,2011-09-11 22:51:22,66.15,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,351,closed,-,-,-,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,459,closed,opened,2012-02-09 12:59:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,459,closed,title,2012-02-09 12:59:20,00:00,,1,,"b'b\' Replace """" by """" in simple_\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,459,closed,body,2012-02-09 12:59:20,00:00,,1,,"b'b\' Replace """" by """" in simple_.This case ""HOST"" header to be deleted form Original Request on line 384 of simple_", which cause to Key error exception.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,459,closed,1,2012-02-09 12:59:20,990.83,,1,,"b'b"" I\'ll fix this"," but I\'m curious when exactly you saw the KeyError?  The Host header should be re-added once the next request in the redirect chain is made.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,459,closed,closed,2012-02-20 05:31:06,991.77,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,459,closed,reopened,2012-02-20 05:39:28,8.37,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,459,closed,2,2012-02-09 12:59:20,10.1,,1,,"b'b"" Simply replacing  with  broke the tests.  I\'ve reverted that change and will look into this more later.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,459,closed,3,2012-02-09 12:59:20,559.47,,1,,"b'b\' Ttraceback: WARNING:root:uncaught exceptionTraceback (most recent call last):  File ""/2.2-py2.7""", line 310," in cleanup  yield  File ""/2.2-py2.7""", line 202, in wrapped  callback(_args," *_kwargs)  File ""/2.2-py2.7""", line 388," in _on_body  del new_[""Host""]  File ""/2.2-py2.7""", line 132, in __delitem__  dict.**delitem**(self, norm_name)    aclient = (max_clients=, \\\\               max_simultaneous_connections=)    req = (url=,"             method=""GET""",             headers= ,             body=None)....... (req, )........  ()\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,459,closed,4,2012-02-09 12:59:20,882.17,,1,,"b'b"" Ah", I see now.  You\'re reusing the headers object across multiple requests.  To fix the problem we need to duplicate the headers at the beginning (before we add the Host header in the first place)," not when we\'re copying the request for a redirect.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,459,closed,closed,2012-03-06 05:50:17,10.82,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,459,closed,-,-,-,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,568,closed,opened,2012-07-21 04:35:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,568,closed,title,2012-07-21 04:35:12,00:00,,1,,"b""b' The claimed_id should be available as it is the unique id for an openid user'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,568,closed,body,2012-07-21 04:35:12,00:00,,1,,"b""b' ...pen_id user. This is the id that uniquely identifies this user and will not change even if the e-mail address or username change.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,568,closed,closed,2012-07-22 05:04:31,29.32,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,568,closed,reopened,2012-07-22 05:11:21,6.83,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,568,closed,1,2012-07-21 04:35:12,662.22,1,,,"b'b"" Why is this using get_argument directly and not get_ax_arg?  Have you tested this with at least all the openid providers covered in ?  Do they all send the  value?  I\'d be more comfortable with this change if it tested for the presence of claimed_id and degraded gracefully if the provider didn\'t send the parameter.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,568,closed,2,2012-07-21 04:35:12,199.08,,1,,"b'b"" According to the Open ID spec. it is a required field. I didn\'t useget_ax_arg because it\'s not an attribute extension", it\'s part of the coreOpenID specification. Even if the provider doesn\'t supply or attributeextensions, or if the user log\'s in and then says no to the attribute sendscreen, you still get the claimed_id. The only OpenID provider I tested against was Google, I didn\'t see anyother OpenID providers specifically in , Friend Feed, Twitter andFacebook are all oAuth providers. I plan on implementing my code for theother major OpenID providers, so I will be adding them in, I just haven\'tgotten to it yet. On Sun, Jul 29, 2012 at 11:37 AM," bdarnell <reply@##  Michael Robellard(216)288-2745Play Railroad Empire: url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,568,closed,3,2012-07-21 04:35:12,958.17,,1,,"b'b"" In url  it says that for openid 1.1 compatibility you must not depend on claimed_id being present.  I\'m not sure if openid 1.1 still matters any more"," but I think it\'s worth explicitly testing for the presence of claimed_id and only setting it in the response if it was provided by the server.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,568,closed,4,2012-07-21 04:35:12,1078.13,,1,,"b""b' I added an explicit test for the presence of claimed_id and I also added support for Yahoo OpenID and oAuth"," I tested this and it is working.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,568,closed,5,2012-07-21 04:35:12,1132.6,,1,,"b'b\' I\\\'ll add the claimed_id field (with a change to use get_argument(""open_""", None) in the check so it doesn\\\'t blow up, but I don\\\'t want to add any more one-off authentication providers to the module (they should probably go in a third-party package, or ideally the base classes should be refactored so it\\\'s easy to just plug in the urls for the appropriate provider).\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,568,closed,closed,2012-08-26 23:47:16,1115.92,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,568,closed,6,2012-07-21 04:35:12,40.25,,1,,"b'b"" For straight OpenID it should be very straightforward to create a genericOpenID provider where you pass the url into the Auth call. In the Yahoocase", like the Google case the class provides both OpenID and oAuthtogether, however the implementation is different then Google\'s. On Sun, Aug 26, 2012 at 7:45 PM," bdarnell notifications@ wrote:##  Michael Robellard(216)288-2745Play Railroad Empire: url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,568,closed,-,-,-,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,636,closed,opened,2012-11-13 11:38:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,636,closed,title,2012-11-13 11:38:51,00:00,,1,,"b""b' kill the child process after the master process be killed when use multiprocess funciton'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,636,closed,body,2012-11-13 11:38:51,00:00,1,,,"b""b' sorry", my english is not good. when call fork_process(), we need to kill the child process after the master process be killed.  for example, use Supervisor to control the Tornado process, when we stop the master process," the work process has not be killed.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,636,closed,closed,2012-11-13 12:19:12,40.35,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,636,closed,1,2012-11-13 11:38:51,60.67,,1,,"b""b' The Travis build failed. RuntimeWarning when running on pypy: RuntimeWarning: C function without declared arguments called'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,636,closed,2,2012-11-13 11:38:51,1217.62,,1,,"b""b' If you use Supervisor with Tornado"," try the and options. See url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,636,closed,3,2012-11-13 11:38:51,331.75,,,1,"b'b"" @codeb2cc thank you. it\'s  a good idea.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,636,closed,4,2012-11-13 11:38:51,974.62,,1,,"b""b' Supervisord only support command such as  to kill master and worker process", but the worker process cant not to be terminated when the termination signal sent to the master process," so i think this patch is necessary.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,636,closed,reopened,2013-11-22 06:43:30,1104.3,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,636,closed,5,2012-11-13 11:38:51,864.53,,,1,"b'b"" If you\'re using supervisord I\'d recommend using the option to create a supervisor process group instead of using fork_processes within the application. It would be nice to kill the child processes when the parent process is killed"," but it\'s tricky to do portably we can\'t use the linux-only prctl().""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,636,closed,6,2012-11-13 11:38:51,951.45,,,1,"b'b"" @bdarnell thanks"," i\'ll try it.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,636,closed,closed,2014-02-19 12:59:29,375.98,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,636,closed,7,2012-11-13 11:38:51,1295.03,,1,,"b""b' you can try my code for kill and kill -9 and ctl+c '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,636,closed,-,-,-,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,701,closed,opened,2013-03-22 15:44:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,701,closed,title,2013-03-22 15:44:06,00:00,,1,,"b""b' if use StaticFileHandler to process static file. Accept partial range http request"," enable html5 viedo to seek by drag progress bar or other partial request. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,701,closed,body,2013-03-22 15:44:06,00:00,,1,,"b'b\' if there is a ""range"" in request\\\'s header", response a 206 status  and send a portion of file.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,701,closed,closed,2013-04-09 05:52:12,848.1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,701,closed,1,2013-03-22 15:44:06,1180.37,,,1,"b'b"" Hi"," I would like to use this change. Was there a reason it wasn\'t merged? Thanks""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,701,closed,reopened,2013-04-29 11:56:07,363.92,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,701,closed,2,2013-03-22 15:44:06,937.13,,,1,"b'b"" When serving a byte range", the Etag header should still be set based on the entire file, so any handler that supports ranges should override etag handling. More generally, there\'s a lot of complexity that goes into serving static files well if you\'re working with files large enough that range support matters, then you\'ll probably want to cache etags and have well-regulated memory use.  This is a substantial project, and if there\'s interest in a tornado-based static file server (as opposed to just using nginx or apache)," I think it should be its own project instead of building on  (which is more based on serving  files during development or small-scale production and emulating the url practices of various other servers and CDNs)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,701,closed,3,2013-03-22 15:44:06,34.48,,,1,"b""b' I have got it. thank you~'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,701,closed,closed,2013-04-30 03:36:17,940.17,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,701,closed,4,2013-03-22 15:44:06,293.2,,1,,"b'b"" Thanks for your reply. I should explain why I was asking the IPython notebook uses StaticFileHandler to serve static files along with the dynamic notebooks", and a common use of this is to render an animation then display it in the notebook as an HTML5 video. Unfortunately as described [here]url  in Chrome this doesn\'t work properly unless the static file server supports partial content requests, even if the file is small enough that range support isn\'t really needed. So from that point of view, it is desirable to have even very basic support for partial range requests. I don\'t know enough about it to know if this is just Chrome being picky or a reasonable requirement," so I\'ll leave it now thanks.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,701,closed,-,-,-,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,702,closed,opened,2013-03-27 19:19:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,702,closed,title,2013-03-27 19:19:43,00:00,,1,,"b""b' parse_config_file broken on Python 3'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,702,closed,body,2013-03-27 19:19:43,00:00,,1,,"b""b' Need to replace the call to execfile().'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,702,closed,1,2013-03-27 19:19:43,10.88,,1,,"b""b' Tornado 3.0 no longer requires 2to3.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,702,closed,closed,2013-03-27 19:30:36,10.88,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,702,closed,2,2013-03-27 19:19:43,3.28,,1,,"b""b' So is execfile overridden somewhere then? It is used in  and breaks reading config files.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,702,closed,3,2013-03-27 19:19:43,2.3,,1,,"b'b"" Ah"," didn\'t notice that.  Config files are simply broken on python 3 then.  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,702,closed,reopened,2013-03-27 19:36:38,6.03,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,702,closed,closed,2013-03-28 02:55:30,438.87,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,702,closed,-,-,-,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,713,closed,opened,2013-04-06 08:16:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,713,closed,title,2013-04-06 08:16:26,00:00,,1,,"b""b' OverflowError execption in '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,713,closed,body,2013-04-06 08:16:26,00:00,,1,,"b'b"" I am using Tornado 2.4.1 and get an OverflowError exception in  when trying to load a []url sketch using Tornado on Windows 7. I can\'t reproduce it on Linux. What happens is that calling returns  This causes an OverflowError exeption in :  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,713,closed,1,2013-04-06 08:16:26,467.5,1,,,"b'b"" Have you tired to run it in python interactive shell? Here is my result in Interactive Shell (Python2.7.3 on Linux)As you see", I did\'t get any OverflowError, but I noticed that the time is before 1970 so that seconds is less than zero...And, it should be  rahter than , isn\'t it ??And, I dont\'t think it is an error related with ," for email and time are standand module in python  I did\'t try your code in ... Best wishes.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,713,closed,2,2013-04-06 08:16:26,18.57,,1,,"b""b' [time docs]url  state that [OverflowError]url  is raised from underlying C libraries and  This seems to be a Windows platform issue.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,713,closed,3,2013-04-06 08:16:26,209.4,1,,,"b""b' I tried the above example in IPython using Windows and Linux.Windows:  In [5]: (date_tuple)-OverflowError           Traceback (most recent call last) in ()OverflowError: mktime argument out of range Linux (Opensuse 12.2):  In [5]: (date_tuple)Out[5]: -315622800.0 Linux (Raspberry Pi running Archlinux):  In [5]: (date_tuple)Out[5]: -315619200.0 The standard library documentation [url  says: The epoch is the point where the time starts. On January 1st of that year", at 0 hours, the \\xe2\\x80\\x9ctime since the epoch\\xe2\\x80\\x9d is zero. For Unix, the epoch is 1970. To find out what the epoch is, look at gmtime(0). The functions in this module do not handle dates and times before the epoch or far in the future. The cut-off point in the future is determined by the C library; for Unix, it is typically in 2038. So as I understand it,  is not expected to work with dates before 1970 and what happens is undefined. Under Linux it returns different results, depending on architecture," Windows throws an exception. How should this be handled ?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,713,closed,4,2013-04-06 08:16:26,10.88,,,1,"b'b"" Using instead of might be a good idea (haven\'t tested on Win). You should close this issue.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,713,closed,5,2013-04-06 08:16:26,10.83,,1,,"b""b' OK", I will close this issue. Still," I had to patch my local copy of  Tornado and IPython notebook (which uses the same  code) in order to catch the OverflowError exception on Windows. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,713,closed,closed,2013-04-06 20:13:37,717.18,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,713,closed,6,2013-04-06 08:16:26,116.72,1,,,"b'b"" Sigh. is asking for trouble by using a pre-epoch timestamp in a field that has no reason to ever see a timestamp that predates HTTP", but it\'s still a valid header and tornado shouldn\'t blow up if it sees a value far in the past (or future).  This code is already using datetimes," so it should probably be rewritten to construct the datetimes without going through a time_t.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,713,closed,reopened,2013-04-06 22:10:20,116.72,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,713,closed,closed,2013-04-13 22:21:10,10.83,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,713,closed,-,-,-,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,820,open,opened,2013-06-08 00:42:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,820,open,title,2013-06-08 00:42:26,00:00,,1,,"b""b' Laziness of '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,820,open,body,2013-06-08 00:42:26,00:00,,1,,"b'b"" The  getter defers the evaluation of  until it\'s needed. However", when either  or UIModule.**init** is called, the current_user getter is called, and get_current_user is evaluated. This should be avoided, since the current request might not need the current user at all," and get_current_user might be expensive to evaluate.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
