REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,
django,144,closed,3,2012-06-08 15:40:54,326.75,,,1,"b""b' Wow", sorry for the interruption," but thanks for your great documentation efforts! :)'""",,,,,,,,,,,,,,,
django,144,closed,4,2012-06-08 15:40:54,17.52,,1,,"b'b"" I could probably help a little with those docs"," but I don\'t want to conflict with currently ongoing work. Is anyone working on major changes? Something I noticed is that the method flowcharts aren\'t always correct. I could for example verify and correct those. Against which version are those docs written? 1.5-dev?""'",,,,,,,,,,,,,,,,
django,144,closed,5,2012-06-08 15:40:54,1013.05,,1,,"b'b"" Ok", autodoc is nixed. #145 has been merged in. Most of the small comments from here are fixed up," and the dead files (  and  ) have been deleted. So I think we\'re kinda there. There\'s still a load to do but it would make sense to get this merged in and then look for smaller patches to improve it further. Will make it much easier for others to get involved.""'",,,,,,,,,,,,,,,
django,144,closed,6,2012-06-08 15:40:54,247.05,,,1,"b'b"" Except some optional intersphinx links this looks good to me. If there are no other reviews"," I\'d commit this tomorrow. ""'",,,,,,,,,,,,,,,,
django,144,closed,7,2012-06-08 15:40:54,1260.38,,1,,"b""b' @jezdez"," master of intersphinx. I believe all outstanding blocking issues are resolved.'""",,,,,,,,,,,,,,,,
django,144,closed,8,2012-06-08 15:40:54,58.18,,1,,"b""b' Those changes fixed the build for me: url  '""",,,,,,,,,,,,,,,,,
django,144,closed,9,2012-06-08 15:40:54,4.97,,,1,b'b\' Oh," I think I still have two issues:The word ""Fundamentals"" for describing the base class based views seems a bit off to me. It may be my non-nativeness but it sounds like ""Fundamentalists"" which has a rather negative connotation. I know ""base"" is also pretty loaded"," so what if we call it ""Basic class based views"". Alternatively ""Essential class based views""?The method flowcharts need some nice graphics", or at least links to the appropriate methods instead of just a list of text. Given those two important things are still open, I won\\\'t merge this just yet. Any help with solving would be much appreciated.\'',,,,,,,,,,,,,
django,144,closed,10,2012-06-08 15:40:54,38.75,1,,,b'b\' Hmmm. I like fundamental. To me there\\\'s no connection with fundamentalist," and we\\\'re using it in the meaning of ""Foundational"" (which is a worse word) kinda meaning that they\\\'re the important ones and the ones upon which everything else is built. Basic has connotations of simple", and I\\\'m not sure they are... Essential also implies you have to use them, which you don\\\'t. Flowcharts are a bit more of a question. I probably need to do a good review of them to make sure they\\\'re actually accurate. Some graphviz graphics would be nice, but I\\\'m concerned about them not being updated properly. Either we build them first and commit the images to the repo, or we use url  to build them dynamically. This would require everything to have the relevant binaries installed though. Opinions @jacobian? A lot of the ref docs are incomplete which includes the method flows. Not every method is documented yet (see previous discussion about ) I\\\'ve not written all of the replacement references now the autobuilt stuff is gone. Do we want to get it all accurate and finished before we merge anything? Re those build changes, I\\\'m not getting errors but that is tidier rst so I\\\'ll make those tweaks.\'',,,,,,,,,,,
django,144,closed,11,2012-06-08 15:40:54,656.72,,1,,"b'b"" @idangazit I\'m going to find you on IRC. Right now.""'",,,,,,,,,,,,,,,,,
django,144,closed,closed,2012-06-11 08:23:45,1002.85,2,8,3,,,,,,,,,,,,,,,,,,
django,144,closed,reopened,2012-06-11 08:35:07,11.37,2,8,3,,,,,,,,,,,,,,,,,,
django,144,closed,12,2012-06-08 15:40:54,20.23,,1,,"b'b"" I\'m going to close this as I think it\'s ready for commit (I have all the changes locally). I\'ve decided to not go with as I think it would introduce more confusion. But that\'s really a minor thing and I\'m happy to say this is going to be a HUGE help for our users. Thank you good sirs.""'",,,,,,,,,,,,,,,,,
django,144,closed,closed,2012-06-11 08:44:00,8.88,2,9,3,,,,,,,,,,,,,,,,,,
django,144,closed,13,2012-06-08 15:40:54,4.58,,1,,"b""b' :cake::sparkles:'""",,,,,,,,,,,,,,,,,
django,144,closed,14,2012-06-08 15:40:54,1215.05,1,,,"b""b' Just in time to make us look foolish url  as we complain about lack of documentation... :-D'""",,,,,,,,,,,,,,,,,
django,144,closed,-,-,-,3,10,3,,,,,,,,,,,,,,,,,,
django,368,closed,opened,2012-09-11 08:59:59,,,,,,,,,,,,,,,,,,,,,,
django,368,closed,title,2012-09-11 08:59:59,00:00,,1,,"b'b"" fixed bug#6681: RST default reference role tries docutils\' default role ...""'",,,,,,,,,,,,,,,,,
django,368,closed,body,2012-09-11 08:59:59,00:00,,1,,"b'b"" Fixes bug#6681 as described in url  Docutils establish a \'\'DEFAULT_INTERPRETED_ROLE\'\' which is overriden by django with **cmsreference** role. Django\'s role is intended to work on admin docs"," but it\'s not suitable for general purpose as it needs some keys in \'\'\'\'.""'",,,,,,,,,,,,,,,,
django,368,closed,1,2012-09-11 08:59:59,570.82,,1,,"b""b' Ticket has been closed as  has been deprecated.'""",,,,,,,,,,,,,,,,,
django,368,closed,closed,2013-05-31 18:30:48,570.82,0,3,0,,,,,,,,,,,,,,,,,,
django,368,closed,2,2012-09-11 08:59:59,824.73,,1,,"b'b"" Reopening", as this isn\'t a problem with ," but a problem with .""'",,,,,,,,,,,,,,,
django,368,closed,reopened,2013-06-17 08:15:32,824.73,0,4,0,,,,,,,,,,,,,,,,,,
django,368,closed,3,2012-09-11 08:59:59,1089.53,,1,,"b""b' An improved fix at #1277 -no need to set a global default at all.'""",,,,,,,,,,,,,,,,,
django,368,closed,closed,2013-06-18 09:29:56,74.4,0,5,0,,,,,,,,,,,,,,,,,,
django,368,closed,-,-,-,0,5,0,,,,,,,,,,,,,,,,,,
django,392,closed,opened,2012-09-25 03:53:02,,,,,,,,,,,,,,,,,,,,,,
django,392,closed,title,2012-09-25 03:53:02,00:00,,1,,"b""b' fixing auth basic tests'""",,,,,,,,,,,,,,,,,
django,392,closed,body,2012-09-25 03:53:02,00:00,,1,,"b""b' Testing method () without password param.'""",,,,,,,,,,,,,,,,,
django,392,closed,1,2012-09-25 03:53:02,149.12,,1,,"b""b' This was fixed in url '""",,,,,,,,,,,,,,,,,
django,392,closed,closed,2012-09-27 06:22:09,149.12,0,3,0,,,,,,,,,,,,,,,,,,
django,392,closed,2,2012-09-25 03:53:02,414.43,,1,,"b""b' Look this: url  It is creating an user at variable and is testing the variable again"," so the variable is not being .'""",,,,,,,,,,,,,,,,
django,392,closed,3,2012-09-25 03:53:02,240.73,,,1,"b'b"" Though I had linked to the wrong commit you are correct while the code was altered in the recent 3011 work"," it still contained the logic flaw. url  I\'ll land a fix shortly thanks for the keen eye and followup.""'",,,,,,,,,,,,,,,,
django,392,closed,reopened,2012-09-27 17:17:19,655.17,0,4,1,,,,,,,,,,,,,,,,,,
django,392,closed,closed,2012-09-27 17:26:09,8.83,0,4,1,,,,,,,,,,,,,,,,,,
django,392,closed,4,2012-09-25 03:53:02,142.57,,1,,"b'b"" @ptone I\'m pretty sure that doesn\'t fix #392. Please make sure to use Trac ticket IDs to reduce the number of wrong comments there (see url ""'",,,,,,,,,,,,,,,,,
django,392,closed,-,-,-,0,5,1,,,,,,,,,,,,,,,,,,
django,393,closed,opened,2012-09-25 07:16:16,,,,,,,,,,,,,,,,,,,,,,
django,393,closed,title,2012-09-25 07:16:16,00:00,,1,,b'b\' Fixes for Oracle: Output conversion,"%"" in names\''
django	393	closed	body	shaib	2012-09-25 07:16:16	00:00		+1		b""b' Two fixes for the Oracle backend:1. Support database object names including percent signs. Without this, the backend cannot be used to run the Django test suite, as it fails to create the test database.2. Use a more efficient method for converting values, esp. numbers, on the way out (code mostly by Ian Kelly, with a small but imported fix after comment by Anssi K\\xc3\\xa4\\xc3\\xa4ri\\xc3\\xa4inen)'",,,,,,,,,,,,,,,,
django,393,closed,1,2012-09-25 07:16:16,884.55,,1,,"b'b"" I pushed the \'%\' handling part in manually.""'",,,,,,,,,,,,,,,,,
django,393,closed,closed,2012-10-27 22:00:50,884.57,0,3,0,,,,,,,,,,,,,,,,,,
django,393,closed,2,2012-09-25 07:16:16,27.62,,1,,"b""b' ... but then you closed the whole pull-request; what about the other parts?'""",,,,,,,,,,,,,,,,,
django,393,closed,3,2012-09-25 07:16:16,711.3,1,,,"b""b' Sorry"," I managed to miss this having multiple issues. Will reopen. BTW does this issue have a ticket in Trac?'""",,,,,,,,,,,,,,,,
django,393,closed,reopened,2012-10-28 10:19:44,738.9,1,4,0,,,,,,,,,,,,,,,,,,
django,393,closed,4,2012-09-25 07:16:16,844.0,,1,,"b'b"" Not that I\'m aware of (or I would have mentioned it).""'",,,,,,,,,,,,,,,,,
django,393,closed,5,2012-09-25 07:16:16,1328.23,,1,,"b'b"" I\'m re-submitting this. Needed to be changed a lot anyway.""'",,,,,,,,,,,,,,,,,
django,393,closed,closed,2013-05-15 22:31:58,732.23,1,6,0,,,,,,,,,,,,,,,,,,
django,393,closed,-,-,-,1,6,0,,,,,,,,,,,,,,,,,,
django,695,closed,opened,2013-02-02 12:47:28,,,,,,,,,,,,,,,,,,,,,,
django,695,closed,title,2013-02-02 12:47:28,00:00,,1,,"b""b' Add CSRF_COOKIE_HTTPONLY config value'""",,,,,,,,,,,,,,,,,
django,695,closed,body,2013-02-02 12:47:28,00:00,,,1,"b'b"" Follow-up of #114 and more recently #150", rebased on current master. Hopefully it\'s not lying around for another 8 months :-) So I copied my last comment: Maybe it makes sense to keep the config value and set it to False by default," otherwise the current CSRF+Ajax recipe in the official Django documentation won\'t work url  because access to \'\' is restricted (obviously). Of course there are other ways to do it (like url  but maybe this is worth discussing beforehand.""'",,,,,,,,,,,,,,,
django,695,closed,1,2013-02-02 12:47:28,1.27,,1,,"b""b' @aaugustin"," could you have a look again?'""",,,,,,,,,,,,,,,,
django,695,closed,2,2013-02-02 12:47:28,1200.6,,1,,"b""b' Mhm"," 1.5 was feature-frozen back then. I really hope this one makes it in before 1.6 is gonna be frozen :-)'""",,,,,,,,,,,,,,,,
django,695,closed,3,2013-02-02 12:47:28,298.67,,1,,"b""b' @saschpe: Where is the ticket for this change?'""",,,,,,,,,,,,,,,,,
django,695,closed,closed,2013-02-06 13:49:54,62.43,0,4,1,,,,,,,,,,,,,,,,,,
django,695,closed,reopened,2013-02-06 13:50:03,0.15,0,4,1,,,,,,,,,,,,,,,,,,
django,695,closed,4,2013-02-02 12:47:28,2.53,,1,,"b'b"" Sry"," didn\'t intend to close here but to cancel my comment -github\'s ui failed me""'",,,,,,,,,,,,,,,,
django,695,closed,5,2013-02-02 12:47:28,1063.72,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,
django,695,closed,6,2013-02-02 12:47:28,87.92,,1,,"b""b' Fixed in 720888a14699a80a6cd07d32514b9dcd5b1005fb'""",,,,,,,,,,,,,,,,,
django,695,closed,closed,2013-02-07 09:02:11,1152.13,0,7,1,,,,,,,,,,,,,,,,,,
django,695,closed,7,2013-02-02 12:47:28,25.08,,1,,b'b\' Mhm," can I get a comment on url  ? It seems to me that several core guys are part of the ""single-path purity"" church.\''",,,,,,,,,,,,,,,,
django,695,closed,-,-,-,0,8,1,,,,,,,,,,,,,,,,,,
django,1062,closed,opened,2013-05-14 03:52:46,,,,,,,,,,,,,,,,,,,,,,
django,1062,closed,title,2013-05-14 03:52:46,00:00,,1,,"b""b' Recommend using the bcrypt library instead of py-bcrypt'""",,,,,,,,,,,,,,,,,
django,1062,closed,body,2013-05-14 03:52:46,00:00,,1,,"b""b' py-bcrypt has not been updated in some timepy-bcrypt does not support Python3py3k-bcrypt"," a port of py-bcrypt to python3 is not compatible with Djangobcrypt is supported on all versions of Python that Django supports'""",,,,,,,,,,,,,,,,
django,1062,closed,1,2013-05-14 03:52:46,1.67,1,,,"b""b' Note that this is completely backwards compatible. The bcrypt library supports the same API as py-bcrypt does it just works on Python 2.x and Python 3.x as well as PyPy 2.0 (py-bcrypt might work here"," but using the C API on PyPy is asking for trouble).'""",,,,,,,,,,,,,,,,
django,1062,closed,closed,2013-05-14 22:51:51,1139.08,1,2,0,,,,,,,,,,,,,,,,,,
django,1062,closed,reopened,2013-05-14 22:51:55,0.07,1,2,0,,,,,,,,,,,,,,,,,,
django,1062,closed,2,2013-05-14 03:52:46,1144.52,1,,,"b""b' Sorry for the accidental click. This looks good to me.'""",,,,,,,,,,,,,,,,,
django,1062,closed,closed,2013-05-14 23:20:33,28.63,2,2,0,,,,,,,,,,,,,,,,,,
django,1062,closed,-,-,-,2,2,0,,,,,,,,,,,,,,,,,,
django,1098,closed,opened,2013-05-18 12:29:27,,,,,,,,,,,,,,,,,,,,,,
django,1098,closed,title,2013-05-18 12:29:27,00:00,,1,,"b""b' Added example of using sitemaps with static views.'""",,,,,,,,,,,,,,,,,
django,1098,closed,body,2013-05-18 12:29:27,00:00,,1,,"b""b' References #16829.'""",,,,,,,,,,,,,,,,,
django,1098,closed,1,2013-05-18 12:29:27,1268.5,,1,,"b'b"" It does look OK to me"," it\'s an useful example.""'",,,,,,,,,,,,,,,,
django,1098,closed,2,2013-05-18 12:29:27,49.48,,,1,"b""b' Thanks!'""",,,,,,,,,,,,,,,,,
django,1098,closed,closed,2013-05-19 10:27:26,1317.98,0,3,1,,,,,,,,,,,,,,,,,,
django,1098,closed,reopened,2013-05-19 10:27:30,0.07,0,3,1,,,,,,,,,,,,,,,,,,
django,1098,closed,closed,2013-05-19 10:27:34,0.07,0,3,1,,,,,,,,,,,,,,,,,,
django,1098,closed,3,2013-05-18 12:29:27,0.25,1,,,"b""b' Ooops"," button fail.'""",,,,,,,,,,,,,,,,
django,1098,closed,4,2013-05-18 12:29:27,29.7,,1,,b'b\' Thank-you for the contribution. In the future," please following the commit message guidelines (""Fixed #16829 -Added example of using sitemaps with static views"") so that the ticket will  automatically be closed when the pull request is merged. url \''",,,,,,,,,,,,,,,,
django,1098,closed,5,2013-05-18 12:29:27,58.37,1,,,"b'b"" Ack! Sorry Tim", I\'ve been doing some of these as I go along," missed it this time.""'",,,,,,,,,,,,,,,
django,1098,closed,-,-,-,2,4,1,,,,,,,,,,,,,,,,,,
django,1139,closed,opened,2013-05-18 16:34:19,,,,,,,,,,,,,,,,,,,,,,
django,1139,closed,title,2013-05-18 16:34:19,00:00,,1,,"b""b' Make sure () never fetches more than two rows'""",,,,,,,,,,,,,,,,,
django,1139,closed,body,2013-05-18 16:34:19,00:00,,1,,"b""b' Currently if you pass incorrect parameters to get you can end up fetching a huge number of rows and possibly run out of memory for the sake of displaying the number of matched rows.'""",,,,,,,,,,,,,,,,,
django,1139,closed,1,2013-05-18 16:34:19,245.77,,1,,"b""b' This seems reasonable to me. Is there a corresponding trac ticket?'""",,,,,,,,,,,,,,,,,
django,1139,closed,2,2013-05-18 16:34:19,364.38,,1,,"b'b"" I thought there was but I can\'t find after a quick search.""'",,,,,,,,,,,,,,,,,
django,1139,closed,3,2013-05-18 16:34:19,409.38,,1,,b'b\' I found it," but it was marked as ""won\\\'t fix."" [#6785]url \''",,,,,,,,,,,,,,,,
django,1139,closed,closed,2013-06-01 09:33:51,1019.53,0,5,0,,,,,,,,,,,,,,,,,,
django,1139,closed,4,2013-05-18 16:34:19,98.28,1,,,"b'b"" Not sure why this isn\'t considered a problem. I\'ve had this bring a production server down when buggy code generated a object that resulted in twenty something millions of rows being matched. Instead of getting a 500 with multiple rows returned error"," the server swapped to death while trying to fetch all rows and wrap them in python objects just for the sake of displaying a useless counter.""'",,,,,,,,,,,,,,,,
django,1139,closed,5,2013-05-18 16:34:19,3.57,,1,,"b'b\' Feel free to start a discussion on django-developers if you disagree with the reasoning presented in the ticket. That\\\'s the proper forum for re-opening a ticket that\\\'s marked as ""won\\\'t fix.""\''",,,,,,,,,,,,,,,,,
django,1139,closed,6,2013-05-18 16:34:19,377.42,,1,,"b""b' Reopening this based on url  (needs some adjustments based on that discussion"," I think).'""",,,,,,,,,,,,,,,,
django,1139,closed,reopened,2013-06-06 17:33:07,479.27,1,7,0,,,,,,,,,,,,,,,,,,
django,1139,closed,7,2013-05-18 16:34:19,1315.85,,1,,"b""b' Updated pull request: url '""",,,,,,,,,,,,,,,,,
django,1139,closed,closed,2013-07-02 15:28:59,1315.87,1,8,0,,,,,,,,,,,,,,,,,,
django,1139,closed,-,-,-,1,8,0,,,,,,,,,,,,,,,,,,
django,1225,closed,opened,2013-05-27 08:31:07,,,,,,,,,,,,,,,,,,,,,,
django,1225,closed,title,2013-05-27 08:31:07,00:00,,1,,"b""b' Fixed #13518 Added FILE_UPLOAD_DIRECTORY_PERMISSIONS setting'""",,,,,,,,,,,,,,,,,
django,1225,closed,body,2013-05-27 08:31:07,00:00,,1,,"b""b' This setting does for new directories what FILE_UPLOAD_PERMISSIONSdoes for new files.'""",,,,,,,,,,,,,,,,,
django,1225,closed,1,2013-05-27 08:31:07,944.65,,,1,"b""b' Thanks for this. Since 1.6 is feature frozen"," could you update this for 1.7 and add a note in ?'""",,,,,,,,,,,,,,,,
