REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,opened,2011-09-17 18:55:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,title,2011-09-17 18:55:48,00:00,,1,,"b""b' some way to subscribe to changes to keys'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,body,2011-09-17 18:55:48,00:00,1,,,"b""b' Hi", I apologize if this feature already exists, but I would like to request having a way to snoop changes to keys.  So a user would subscribe to a key, for example key foo. When anybody else performs a set command on foo, all subscribers get the new value of foo.  Please let me know if this is possible, this would be a killer feature for users like me.  Best," Matt'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,1,2011-09-17 18:55:48,1283.7,,1,,b'b\' Hello, this is something we want to implement, even if I never thought that the system would publish the new value of the key, but the operation performed on the key instead. To quote what I wrote about that in the mailing list recently.So we should have that new GETEVENTS, and possibly PGETVENTS to subscribe to patterns.This would publish in channels named like .. The published event could be the command name in many cases. For instance if I subscribe, using GETEVENTS," to  I would receive a message with the name of the comment every time  is modified. So if another client does SET foo BAR I\\\'ll receive ""set"". This we I can subscribe to the whole keyspace with PGETEVENTS ops.* Another thing I would implement is expire.\\\\* that will receive a message every time a key expires. So everything in this respect is currently pretty fluid. I want to think about it more", design it in the best way, and later implement it. But we\\\'ll get it soon or later, just it is not the right time to implement it right now as we have very big priorities currently. Cheers,Salvatore\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,10,2011-09-17 18:55:48,1118.93,,1,,"b'b"" Does anybody have any issues with Salvatore\'s suggestion of adding GETEVENTS  and PGETEVENTS  commands? The resulting feeds would then specify the command name that was performed on the key or keys.  This allows for the client to either take action or not depending on whether it cares about that particular event. In addition", the whole scheme is pretty simple. Since it\'s the most concrete suggestion we have," I\'d like to hear people\'s thoughts. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,11,2011-09-17 18:55:48,207.87,,,1,"b'b\' @mattomatic I would definitely love to have GETEVENTS and PGETEVENTS in future but as post suggest ""higher priorities"" we can have something really basic that doesn\\\'t require more ""complex"" stuff and is unobtrusive. I can really see the point @antirez is trying to make here and his concerns regarding the issues.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,12,2011-09-17 18:55:48,44.45,,1,,"b'b"" GETEVENTS and PGETEVENTS seems sensible to me", and covers a nice broad set of use cases. The metaphor is a tad bit confusing, though. @antirez posits a GETEVENTS  command that would trigger whenever another client issued a command on , but expiration would be a different event channel. I like the consistency the only valid parameter for GETEVENTS being a key (or key pattern) and then we have a vocabulary of potential events that can happen to a key. The expiration case is a bit different, though, because it\'s something that redis is doing indirectly. Unlike other commands that come from clients, this one is generated internally. This will make the vocabulary of possible events not identical (or a subset of) the client command list. I\'m not sure this is necessarily bad, just wanted to bring it up. There\'s something compelling about having the event types map nicely onto commands, but I\'m not sure how to handle expiration events any other way than adding something to the event list. Some questions:Do only commands that mutate a key or metadata on a key (like expiration date) trigger events? Or do read events trigger too?Should GETEVENTS specify which kinds of events you\'re interested in, or should registering for events get you ALL events? For instance, GETEVENTS could take two parameters: key[pattern] and event[pattern]. This might help decide te previous question; if it\'s easy to filter commands when you register to receive events," then it\'s probably sensible to just generate all possible events and figure people will just register for the ones that are meaningful rather than having to trigger a callback every time a key gets modified and wait and see if the developer cares about that event type.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,13,2011-09-17 18:55:48,7.72,,1,,"b'b\' I would have assumed that the internally generated key expiration event would be published as the equivalent of an ""EXPIRE 0"" command being sent from a client. As for commands that do or do not mutate data", I wonder if there is already some internal segregation between readonly commands and those which could modify the data?\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,14,2011-09-17 18:55:48,1376.03,,,1,"b'b"" I\'m new to redis", but +1 for a way to subscribe to expirations etc. (if there isn\'t a way to do this already) It might be more of drivers functionality? Example, sending an email, if an account:verification expires... In any case," can\'t wait to implement something using Redis. :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,15,2011-09-17 18:55:48,196.28,,1,,"b""b' Any movement on this feature request lately?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,16,2011-09-17 18:55:48,572.17,,1,,"b""b' +1 for this feature from our side as well"," something we would really like to see at some point.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,17,2011-09-17 18:55:48,292.18,,1,,"b""b' +1 for GETEVENTS and PGETEVENTS.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,18,2011-09-17 18:55:48,1.12,,1,,"b""b' +1 for GETEVENTS and PGETEVENTS'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,19,2011-09-17 18:55:48,577.7,,1,,"b""b' +1 for GETEVENTS and PGETEVENTS'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,20,2011-09-17 18:55:48,724.92,,1,,"b'b"" Hello", I changed my mind about the design of this feature, so I\'m closing it and opening a new issue with the new idea," that is going to be implemented in a very short time. The new design is described into the issue #594.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,21,2011-09-17 18:55:48,201.0,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,22,2011-09-17 18:55:48,807.3,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,23,2011-09-17 18:55:48,1234.07,,,1,"b""b' This was implemented", merged into unstable," and documented at . Closing!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,closed,2013-02-03 23:05:41,526.93,3,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,24,2011-09-17 18:55:48,1210.62,,,1,"b'b"" Yess!! thanks a ton! upd:haven\'t url  found"," but contains enough info to make dreams come true""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,25,2011-09-17 18:55:48,991.52,,,1,"b""b' Awesome!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,26,2011-09-17 18:55:48,255.88,,1,,"b""b' The doc URL is : url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,83,closed,-,-,-,3,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,88,closed,opened,2011-09-20 13:02:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,88,closed,title,2011-09-20 13:02:12,00:00,,1,,"b""b' INCRBYFLOAT atomic float increments'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,88,closed,body,2011-09-20 13:02:12,00:00,,1,,"b""b' A version of INCRBY that is able to operate with floating point numbers. Example: INCRBYFLOAT somekey 3.14'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,88,closed,1,2011-09-20 13:02:12,588.4,,1,,"b""b' please add this behavior to HINCRBY"," too.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,88,closed,closed,2011-11-12 10:35:46,1293.57,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,88,closed,reopened,2011-11-12 10:35:56,0.17,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,88,closed,2,2011-09-20 13:02:12,941.38,,1,,"b""b' implemented and merged into unstable. closing.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,88,closed,closed,2011-11-15 14:31:59,236.05,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,88,closed,-,-,-,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,94,closed,opened,2011-09-21 11:40:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,94,closed,title,2011-09-21 11:40:37,00:00,,1,,"b""b' In memory Redis objects serialization'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,94,closed,body,2011-09-21 11:40:37,00:00,1,,,b'b\' Redis objects serialization functions currently operate only on files, we have functions in rdb.c in order to save or load objects  files. However the DUMP and RESTORE commands needed for Redis Cluster bring the necessity to implement faster serialization on memory buffers, otherwise in order to deserialize we need to copy stuff on a file and call the old API, that is unacceptable. Pieter Noordhuis did some good preliminary work on that issue," in its ""unstable-rdb"" branch. This issue is about reviewing and merging this branch. This work is especially needed for Redis 3.0", but I\\\'m adding it into the 2.6 milestone as well as since 2.6 will be derived from Redis unstable branch I want to avoid having two branches that diverged too much, so it\\\'s better to fork 2.6 after the current unstable branch already implements many important internal changes needed for the cluster support. However 2.6 will NOT include cluster support. All the further considerations about the implementation will be moved into separated comments.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,94,closed,1,2011-09-21 11:40:37,2.45,,1,,"b""b' Proposed API change: rio rioInitWithFile(FILE *fp);rio rioInitWithBuffer(sds s); I would go for: rioInitWithFile(rio *r", FILE *fp);rioInitWithBuffer(rio *r," sds s); since rio is a structure returning it performs a memory copy operation.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,94,closed,2,2011-09-21 11:40:37,2.8,,1,,"b'b"" I\'ll review+comment later  evening.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,94,closed,3,2011-09-21 11:40:37,1.9,,,1,"b'b"" No hurry this is just a minor thing"," for now I\'m trying to read the rio.c code to make myself comfortable with the abstraction :)Thanks.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,94,closed,closed,2011-09-21 11:47:46,7.15,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,94,closed,reopened,2011-09-21 11:49:12,1.43,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,94,closed,4,2011-09-21 11:40:37,2.23,1,,,"b""b' sorry"," hit comment&close for distraction.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,94,closed,5,2011-09-21 11:40:37,88.53,,1,,"b'b"" I merged Pieter\'s branch into -rio resolving the conflicts due to the fact this branch was against a pretty old unstable commit. I\'ll work on that branch until it will be merged into the actual unstable branch.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,94,closed,6,2011-09-21 11:40:37,64.18,,,1,"b""b' Changed a bit the API in order to avoid returning rio structures (returning a structure in C is like doing memcpy()).Sanitized return value and comment on top of the rio structure. Finally did some metering to check what was the gain with the new in memory buffers for DUMP in my  Now", 56000k ops per second. 10 times faster," great work.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,94,closed,7,2011-09-21 11:40:37,1163.23,,,1,"b""b' I did a review of the new branch and finally merged it into unstable. Thanks to Pieter for providing this cool patch. Closing the issue.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,94,closed,closed,2011-09-23 09:45:57,1316.75,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,94,closed,-,-,-,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,140,closed,opened,2011-10-15 00:06:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,140,closed,title,2011-10-15 00:06:10,00:00,,1,,"b""b' Feature Request: lRank'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,140,closed,body,2011-10-15 00:06:10,00:00,,,1,"b""b' Please", add support to determine the index of a member in a list. P. S.I have array with unique numbers stored in the redis list. And there is no reason to use sorted set (overhead," when member equal score :() Tnx.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,140,closed,1,2011-10-15 00:06:10,947.8,,1,,"b""b' Just answer"," wait for this feature in near redis builds or not? :)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,140,closed,closed,2011-10-19 15:53:58,947.8,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,140,closed,reopened,2011-10-19 15:54:05,0.12,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,140,closed,2,2011-10-15 00:06:10,1050.52,,,1,"b""b' Hi", this command will likely not be implemented as it is both an O(N) command and one that usually is felt as needed only when there is some error in the data layout design. But the good news is that with scripting in 2.6 you can implement it with very little Lua code if you really need it. However the reason for using a sorted set in this context is that is the right data structure to use. Think about this:If you want LINDEX or alike, you are hoping your list is small enough, otherwise it is unusable form a performance point of view.But if your list is small, you can use a sorted set since now with 2.4 they are specially encoded when they are small, so no additional memory is used compared to a list (or very little additional memory). Conclusion? Use 2.6 scripting if you really want it, but likely you want to change your implementation. Closing the issue. Thanks for submitting anyway! Cheers,"Salvatore'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,140,closed,closed,2011-10-20 09:24:29,1050.4,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,140,closed,3,2011-10-15 00:06:10,75.88,,1,,"b""b' Please check my stackoverflow question it will explain what i am doing and hopefully give a reason why i wanted to added this feature url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,140,closed,4,2011-10-15 00:06:10,78.78,,1,,"b""b' I am using a list as a reversible queue", so items change places all the time just," basically a roulette that moves around and at any one time i want to know the index of an item.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,140,closed,5,2011-10-15 00:06:10,183.95,,1,,"b'b"" lindex is also O(N) I don\'t think that the complexity should be a factor here.  Even if the overhead of a sorted set is the same", the use case is different with a sorted set I have to maintain my score ahead of time, with a list I don\'t.  I can ," etc.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,140,closed,6,2011-10-15 00:06:10,637.3,,1,,"b'b"" We are also using a list as a reversible queue (specifically in [rq]url  These queues can get considerably large", and by far the most common operation is adding or removing to them. Luckily these operations are O(1) in redis, but now we desire a way to locate a jobs position in the queue (more specifically, the list of jobs ahead of it I understand sorted sets are the recommended solution, but I don\'t see how that\'s reasonable here: adding and removing from sorted sets is O(log(N)), which would _not_ be ok, we  from our lists some orders of magnitude more frequently than we try to do this check. I would also like to point out that a command that is _already_ provided ([lrem]url  does exactly what\'s needed here, but deletes keys rather than returns an index; so I don\'t see how the complexity argument applies ([LSET]url  and [LINDEX]url  are also O(N)) In fact, there are several commands that already do the sort of work required, but have problems associated with using them. We could use [LINSERT]url  as a hack by inserting junk values if it returned the element position modified instead of the resulting total length, or [LRANGE]url  with some arbitrary incremental value, but then we\'d duplicate a ton of work since [LRANGE]url  is O(start+retrieved), and returning the whole list with a [LRANGE]url  while less complex as O(N) in the worst case (end of the list) is still more complex in practice than stopping at the desired value, incurs an unnecessary search on the list client side, and brings with it other complications (large lists = long network transfer time + potentially doesn\'t fit in memory on the client, redis boxes in production environments are often on specially large-memory instances). Even if it\'s not a straightforward scan, is there some more redis-like solution here? I know I could use a lua script but my general rule of thumb is if I have to use a script in redis for something so small (specifically: other than so commands can interact with each other atomically) then there\'s likely a better way. So when working with a list used as a queue, is the best solution _really_ to turn the most common operation from O(1) to O(log(N))? (plus, I don\'t know about about maintaining this list, would I have to decrement every member by one when removing, and get the previous highest when adding? Or can I avoid that and just keep adding," but what are the integer size limits here?)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,140,closed,7,2011-10-15 00:06:10,753.17,,,1,"b'b"" That\'s a good point.  There\'s also discussion in the comments at url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,140,closed,-,-,-,0,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,143,closed,opened,2011-10-17 09:53:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,143,closed,title,2011-10-17 09:53:24,00:00,,1,,"b""b' redis 2.4.1 make error'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,143,closed,body,2011-10-17 09:53:24,00:00,,1,,"b""b' In file included from /:43","       from redis-benchmark.c:35:/:80: error: duplicate member \\xe2\\x80\\x98__w_retcode\\xe2\\x80\\x99/:80: error: duplicate member \\xe2\\x80\\x98({anonymous})\\xe2\\x80\\x99/:80: error: duplicate member \\xe2\\x80\\x98({anonymous})\\xe2\\x80\\x99/:81: error: duplicate member \\xe2\\x80\\x98__w_coredump\\xe2\\x80\\x99/:81: error: duplicate member \\xe2\\x80\\x98({anonymous})\\xe2\\x80\\x99/:81: error: duplicate member \\xe2\\x80\\x98({anonymous})\\xe2\\x80\\x99/:81: error: duplicate member \\xe2\\x80\\x98({anonymous})\\xe2\\x80\\x99/:82: error: duplicate member \\xe2\\x80\\x98__w_termsig\\xe2\\x80\\x99/:82: error: duplicate member \\xe2\\x80\\x98({anonymous})\\xe2\\x80\\x99/:82: error: duplicate member \\xe2\\x80\\x98({anonymous})\\xe2\\x80\\x99/:82: error: duplicate member \\xe2\\x80\\x98({anonymous})\\xe2\\x80\\x99/:82: error: duplicate member \\xe2\\x80\\x98({anonymous})\\xe2\\x80\\x99/:94: error: duplicate member \\xe2\\x80\\x98__w_stopsig\\xe2\\x80\\x99/:94: error: duplicate member \\xe2\\x80\\x98({anonymous})\\xe2\\x80\\x99/:94: error: duplicate member \\xe2\\x80\\x98({anonymous})\\xe2\\x80\\x99/:95: error: duplicate member \\xe2\\x80\\x98__w_stopval\\xe2\\x80\\x99/:95: error: duplicate member \\xe2\\x80\\x98({anonymous})\\xe2\\x80\\x99/:95: error: duplicate member \\xe2\\x80\\x98({anonymous})\\xe2\\x80\\x99/:95: error: duplicate member \\xe2\\x80\\x98({anonymous})\\xe2\\x80\\x99make[1]: **\\\\* [redis-benchmark.o] Error 1make[1]: Leaving directory '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,143,closed,1,2011-10-17 09:53:24,21.37,,1,,"b""b' Hi"," this is likely a problem with your building system. What are you using in what OS?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redis,143,closed,2,2011-10-17 09:53:24,898.55,,1,,"b'b"" I\'m using ubuntu 10.04 server editionLANG=zh_-8LANGUAGE=zh_CN:en""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
