REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,81,closed,8,2011-06-03 14:43:42,24.22,1,,,b'b\' oh," right. Thanks a lot for the help. I\\\'m gonna run some benchmarks and get back on that. I just still think that ""size"" has the same problems"," whatever the problem of ""isEmpty"". But isEmpty is much more efficient", depending on the mailbox type used. I think if size makes sense, so should isEmpty. And we have a use case for that. My worry is only because if we need to use the event dispatcher with a thread pool sharing the queue, then the ConcurrentLinkedQueue would make more sense right? Or would I still be able to change the mailbox type without affecting performance for such a dispatcher? Makes sense?\'',,,,,,,,,,,,,,,,,,,,,
akka,81,closed,9,2011-06-03 14:43:42,23.8,,1,,"b'b"" Size on LinkedBlockingQueue is an "," onConcurrentLinkedQueue it\'s a full iteration of the queue. ##  Viktor Klang Akka Tech LeadTypesafe url  Enterprise-Grade Scala from theExperts Twitter: @viktorklang""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,81,closed,10,2011-06-03 14:43:42,1195.47,1,,,"b'b"" Hi Viktor",so I\'m still making up a case for the isEmpty feature and maybe if you could consider the microbenchmark below:url It tests the ReceiveTimeout feature that makes use of the mailbox size in the message invocation (invoke) in the actor. While profiling, the microbenchmark gets stuck in this method when using the receivetimeout feature: protected[akka] def checkReceiveTimeout() { cancelReceiveTimeout() if ( && **(this) <= 0**) { //Only reschedule if desired and there are currently no more messages to be processed   _futureTimeout = Some((this, ReceiveTimeout, , )) } } By using the isEmpty feature and default configuration the performance increases by a whopping factor of 173 which is the same as when not using the receive timeout feature on the unpatched version (i.e. without this commit). Please, accept this pull request," we _really_ need that extra performance and the flexibility to use any queue. Thank you so much again for taking the time.""'",,,,,,,,,,,,,,,,,,,
akka,81,closed,11,2011-06-03 14:43:42,1156.45,,1,,"b'b"" Hi again"," I\'ve made some changes in both the benchmark description and in the commit comments to become more clear what the problem is exactly. I hope this helps.""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,81,closed,closed,2011-06-13 15:46:53,477.15,8,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,81,closed,-,-,-,8,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,278,closed,opened,2012-01-28 17:18:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,278,closed,title,2012-01-28 17:18:06,00:00,,1,,"b""b' Fixed akkadebug configuration'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,278,closed,body,2012-01-28 17:18:06,00:00,,1,,"b""b' Following previous change to scala docs and comment by Viktor.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,278,closed,1,2012-01-28 17:18:06,1417.78,1,,,"b""b' Hey man", sorry for the delay," could you sign the CLA (online) so I can accept the PR? url '""",,,,,,,,,,,,,,,,,,,,,,,,
akka,278,closed,2,2012-01-28 17:18:06,1248.82,,1,,"b""b' no response'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,278,closed,closed,2012-04-27 13:44:44,1226.63,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,278,closed,3,2012-01-28 17:18:06,1343.72,,1,,"b""b' I totally forgot about CLA I just signed it.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,278,closed,reopened,2012-05-11 14:27:51,43.12,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,278,closed,closed,2012-05-11 14:28:03,0.2,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,278,closed,4,2012-01-28 17:18:06,139.88,,,1,"b""b' thanks!'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,278,closed,-,-,-,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,opened,2012-02-21 09:08:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,title,2012-02-21 09:08:34,00:00,,1,,"b""b' Rebased and squashed all changes to akka camel so far from Piotr and Ray'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,1,2012-02-21 09:08:34,1.52,,,1,"b'b"" Thanks guys"," I\'ll need to see the espresso machine before diving into this :-)""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,2,2012-02-21 09:08:34,13.87,,1,,"b""b' Skipped the machine and chewed on pure coffee beans during that rebase :-)'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,3,2012-02-21 09:08:34,87.28,,1,,"b""b' Alright", halfway through," taking a lunch break to reload :-)'""",,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,4,2012-02-21 09:08:34,146.35,,,1,"b'b"" Alright! I\'m done with my first rough run-down of the pull-request"," over all very nice read!I am a bit concerned by the lack(?) of concurrency related tests for the CamelExtension. Check my comments and ping me when you\'re done with them! Awesome stuff!""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,5,2012-02-21 09:08:34,157.05,,1,,"b""b' Ping me when I am needed :-)'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,6,2012-02-21 09:08:34,35.63,,,1,"b'b"" Hi Viktor", only saw your comment now," thanks for the review I\'ll get started and let you know""'",,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,7,2012-02-21 09:08:34,938.37,1,,,"b'b"" Weird. I didn\'t get any notification either.  And my comments which should explain some of Victor\'s questions are squashed at the end. Does anybody know what happened?""'",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,8,2012-02-21 09:08:34,10.3,1,,,"b""b' no idea"," strange'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,9,2012-02-21 09:08:34,463.35,,,1,"b'b"" Ping me when there\'s more to review :-)""'",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,10,2012-02-21 09:08:34,27.77,,1,,"b""b' will do"," that d*mn dayjob is getting in the way ;-)'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,11,2012-02-21 09:08:34,13.3,,,1,"b""b' lol :-)'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,12,2012-02-21 09:08:34,385.35,,,1,"b'b"" Hey Ray"," just ping me as soon as I\'m needed!""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,13,2012-02-21 09:08:34,496.13,,1,,"b""b' Will do hopefully I get some work done on it today. ##  Raymond Roestenburg code: url blog: url twtr: @RayRoestenburg On Mar 15",2012, at 0:08," viktorklangreply@ wrote:'""",,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,14,2012-02-21 09:08:34,565.33,,,1,"b""b' A lot of it is done", but there are some tasks left," hopefully this weekend I can get a lot done. will let you know. thanks for keeping in touch!'""",,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,15,2012-02-21 09:08:34,1423.58,,,1,"b""b' Just want to let you know that we care about this awesomeness!'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,16,2012-02-21 09:08:34,41.73,,,1,"b'b"" It has to be awesome because I\'ll be talking about it on ScalaDays 2012 they accepted my submission at last... :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,17,2012-02-21 09:08:34,3.23,,,1,"b'b"" Better get to work then! ;-)I\'m going rogue for 2 weeks"," need to recharge after a 10m long crunch.""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,18,2012-02-21 09:08:34,7.57,,,1,"b""b' Then awesome it will be! ;-) On Fri", Mar 16, 2012 at 6:15 PM," Piotr Gabryanczyk <reply@##  Raymond Roestenburg code: url blog: url twtr: @RayRoestenburg'""",,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,19,2012-02-21 09:08:34,55.38,,1,,"b""b' Viktor"," when will you disappear of the grid for your recharge?'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,20,2012-02-21 09:08:34,2.28,,1,,"b'b"" At midnight I turn back into a pumpkin and will stay that way the coming 2 weeks.That said", I have plenty of colleagues at the office," so just email akka-dev and they\'ll help you out.""'",,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,21,2012-02-21 09:08:34,1.77,,,1,"b""b' hehe", ok cool," have a an awesome break!'""",,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,closed,2012-03-17 20:08:13,659.65,2,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,22,2012-02-21 09:08:34,104.33,,1,,"b'b"" Finally got to process all the comments", I\'ve separated some of the work into tickets, which I will continue with," so the next pull request will be far less \'big bang\' and easier to process. You can check wip-camel to see what changes I made. I have rebased all the review changes into one change on top of the last commit. Let me know if anything more is needed to get this pull request merged. ""'",,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,reopened,2012-03-20 12:17:23,969.17,2,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,23,2012-02-21 09:08:34,1145.75,,,1,"b""b' This looks good", and I agree with the plan to fix the remaining tickets after the merge. Great work," guys! Assuming that all tests pass go ahead with the merge.'""",,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,closed,2012-03-21 20:41:41,504.3,2,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,24,2012-02-21 09:08:34,328.77,,,1,"b""b' Tests pass. Merged.Thanks Roland.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,344,closed,-,-,-,2,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,505,closed,opened,2012-06-01 13:18:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,505,closed,title,2012-06-01 13:18:14,00:00,,1,,"b""b' Test gossip convergence"," see #2164'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,505,closed,body,2012-06-01 13:18:14,00:00,,1,,"b""b' Cluster must:reach initial convergencenot reach convergence while any nodes are unreachablenot move a new joining node to Up while there is no convergence'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,505,closed,1,2012-06-01 13:18:14,58.28,,,1,"b""b' Looks good. '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,505,closed,closed,2012-06-02 14:24:37,66.38,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,505,closed,reopened,2012-06-02 14:24:44,0.12,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,505,closed,closed,2012-06-02 14:25:00,0.27,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,505,closed,reopened,2012-06-04 07:54:15,1049.25,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,505,closed,2,2012-06-01 13:18:14,1058.18,,1,,"b'b"" What happened here? I can\'t see that this is merged to master", but the pull request is closed. Now, I don\'t want it to be merged to master yet, because we have a regression in jenkins that I would like to sort out first. I hope that is due to a know problem we have, ticket #2137," but I can\'t be sure until that is fixed.""'",,,,,,,,,,,,,,,,,,,,,
akka,505,closed,3,2012-06-01 13:18:14,7.57,1,,,"b'b"" I merged (or closed) by mistake. Then I tried to revert it by opening it again", but that didn\'t work so I closed it again. Now you are saying that the merge was reverted anyway," but the pull request is closed. I don\'t understand. Sorry if I messed up. ""'",,,,,,,,,,,,,,,,,,,,,,,,
akka,505,closed,closed,2012-06-04 13:16:35,322.33,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,505,closed,-,-,-,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,695,closed,opened,2012-09-11 13:25:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,695,closed,title,2012-09-11 13:25:14,00:00,,1,,"b""b' Wip 2368 supervisorhierarchyspec failures ban'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,695,closed,body,2012-09-11 13:25:14,00:00,,1,,"b""b' When failing during the creation of an actor"," ensure that both Resume and Restart actually do a Create instead.'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,695,closed,1,2012-09-11 13:25:14,7.47,,1,,"b""b' now the only thing missing is to add the possibility of a failure after creating children"," so that the new Creation logic is also tested.'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,695,closed,2,2012-09-11 13:25:14,7.27,1,,,"b""b' The logic is tested by the minimal case I added"," but yes it should be stressed as well.'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,695,closed,3,2012-09-11 13:25:14,2.77,,1,,"b""b' \\xe2\\x80\\xa6 which is why I also don\\xe2\\x80\\x99t expect more problems (famous last words).'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,695,closed,4,2012-09-11 13:25:14,3.38,,,1,"b""b' Nobody expects the Spanish Inquisition!'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,695,closed,closed,2012-09-11 13:46:07,20.88,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,695,closed,reopened,2012-09-11 13:46:12,0.08,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,695,closed,5,2012-09-11 13:25:14,1.33,,1,,"b'b"" That\'s what I get for using the Web UI on my iPhone on the bus.""'",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,695,closed,6,2012-09-11 13:25:14,9.3,,1,,"b""b' awesome that you have nailed the bastardLGTM'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,695,closed,closed,2012-09-12 09:07:11,1160.98,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,695,closed,-,-,-,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,698,closed,opened,2012-09-11 18:55:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,698,closed,title,2012-09-11 18:55:18,00:00,,1,,"b""b' Consistent hashing router"," see #944'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,698,closed,body,2012-09-11 18:55:18,00:00,,1,,"b""b' Some improvements of ConsistentHashConsistentHashingRouterDocumentation I will also convert the doc sample to scala"," and add a cluster test using the router.'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,698,closed,1,2012-09-11 18:55:18,1277.07,,,1,"b'b"" I have incorporated all your awesome feedback. I would appreciate if you take another look at the CAS impl in in so it match your suggestions. I dismissed Viktors suggestion about function to map msg =Should I benchmark rangeImpl or do we consider it good enough as first impl? It\'s only internals so it could easily be changed. I will also convert the doc sample to Java.""'",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,698,closed,closed,2012-09-13 18:01:28,1386.17,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,698,closed,reopened,2012-09-13 18:01:42,0.23,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,698,closed,2,2012-09-11 18:55:18,112.78,1,,,"b'b"" Damn UI"," I mistakenly clicked close... I was about to say go with the rangeImpl since we can change it later. No need to optimize that for RC1. Shouldn\'t be  ?""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,698,closed,3,2012-09-11 18:55:18,207.98,1,,,"b""b' Why would a consistent hashing router always route to remote actors?I see a lot of use-cases for having an in-process consistent-hashing router", like if you have a partitioned datastore and you have an actor representing and manipulating each partition," you want a router that sends the right messages to the right partition.'""",,,,,,,,,,,,,,,,,,,,,,,,
akka,698,closed,4,2012-09-11 18:55:18,667.78,1,,,"b'b"" We had a discussion about the mapping of msg to hashKey"," and the conclusion was that there are valid arguments (use cases) for all three ways.1. Envelope sender knows the key2. Interface key is part of the message and it\'s convenient to define it together with the message definition3. function in router definition makes the decision transparent for the sender""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,698,closed,5,2012-09-11 18:55:18,33.18,,1,,"b""b' Performance improvement for review'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,698,closed,6,2012-09-11 18:55:18,159.92,1,,,"b""b' More to review: function to map message to hash key'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,698,closed,7,2012-09-11 18:55:18,202.65,,1,,"b""b' apart from those two nitpicks: :+1:'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,698,closed,8,2012-09-11 18:55:18,1107.87,,1,,"b'b"" Java doc sample ready for review. I don\'t know of anything more outstanding in this pull request"," so give me your final verdict.""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,698,closed,9,2012-09-11 18:55:18,101.82,,1,,"b""b' Renamed a few things as agreed with @jboner '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,698,closed,10,2012-09-11 18:55:18,3.53,,1,,"b""b' :+1:'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,698,closed,closed,2012-09-19 14:57:27,1255.75,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,698,closed,-,-,-,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,887,closed,opened,2012-11-22 13:42:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,887,closed,title,2012-11-22 13:42:55,00:00,,1,,"b""b' add "," see #2732'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,887,closed,body,2012-11-22 13:42:55,00:00,,1,,"b""b' must be backported to 2.1use it in ConsistentHashingRouter instead of relying on  remove  from '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,887,closed,1,2012-11-22 13:42:55,28.73,,1,,"b""b' You should also change the wrong documentation in  Apart from that :+1: '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,887,closed,2,2012-11-22 13:42:55,0.52,,,1,"b""b' right"," thanks'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,887,closed,3,2012-11-22 13:42:55,47.05,,1,,"b""b' Started jenkins job akka-pr-validator at url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,887,closed,4,2012-11-22 13:42:55,2.0,,1,,"b""b' jenkins job akka-pr-validator: Success url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,887,closed,5,2012-11-22 13:42:55,1092.9,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,887,closed,6,2012-11-22 13:42:55,14.32,,1,,"b""b' :+1: Will merge into my branch'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,887,closed,closed,2012-11-25 19:48:33,365.63,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,887,closed,7,2012-11-22 13:42:55,626.18,1,,,"b""b' oops"," that \\xe2\\x80\\x9ccleanup\\xe2\\x80\\x9d git alias was a bit over-eager'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,887,closed,reopened,2012-11-25 19:54:37,6.07,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,887,closed,closed,2012-11-26 13:16:03,1041.43,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,887,closed,-,-,-,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,opened,2012-12-05 17:09:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,title,2012-12-05 17:09:34,00:00,,1,,"b""b' Wip 2674 \\xe2\\x88\\x9a'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,body,2012-12-05 17:09:34,00:00,,1,,"b""b' This is for 2674 and 2673"," what do you guys think? (not ready for merging in yet)'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,1,2012-12-05 17:09:34,74.05,,1,,"b""b' Started jenkins job akka-pr-validator at url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,2,2012-12-05 17:09:34,2.0,,1,,"b""b' jenkins job akka-pr-validator: Success url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,3,2012-12-05 17:09:34,1422.02,,1,,"b""b' PLS REBUILD ALL'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,4,2012-12-05 17:09:34,61.1,,1,,"b""b' Started jenkins job akka-pr-validator at url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,5,2012-12-05 17:09:34,2.02,,1,,"b""b' jenkins job akka-pr-validator: Success url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,6,2012-12-05 17:09:34,268.72,,1,,"b""b' Is she a keeper?'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,7,2012-12-05 17:09:34,525.47,,1,,"b""b' I think so", the design feels right," i would like to take another look at the details.Migration guide is also needed.'""",,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,8,2012-12-05 17:09:34,288.88,,1,,"b'b"" Yep"," check the details first. I\'ll write migration guide once we agree this is what we wanna do""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,9,2012-12-05 17:09:34,1286.92,,1,,"b""b' Yes", LGTM. We\\xe2\\x80\\x99ll ship it with 2.2-M1, then," including possibly some of the low-hanging fruit I pointed out. Would you please create tickets if you agree?'""",,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,10,2012-12-05 17:09:34,1332.33,,1,,"b""b' LGTM after some additional cleanup'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,11,2012-12-05 17:09:34,273.65,,1,,"b""b' LGTM'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,12,2012-12-05 17:09:34,237.27,,1,,"b""b' Started jenkins job akka-pr-validator at url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,13,2012-12-05 17:09:34,2.0,,1,,"b""b' jenkins job akka-pr-validator: Success url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,14,2012-12-05 17:09:34,1027.67,,1,,"b""b' Alright"," cleanup done. Want me to write the migration docs and then merge?'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,15,2012-12-05 17:09:34,1307.4,,,1,"b""b' yup"," sounds good. '""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,16,2012-12-05 17:09:34,298.35,,1,,"b""b' Migration docs added'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,closed,2012-12-14 17:23:04,13.5,0,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,reopened,2012-12-14 17:25:50,2.77,0,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,closed,2012-12-14 17:26:04,0.23,0,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,17,2012-12-05 17:09:34,293.07,,1,,"b""b' Started jenkins job akka-pr-validator at url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,18,2012-12-05 17:09:34,295.07,,1,,"b""b' jenkins job akka-pr-validator: Success url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,926,closed,-,-,-,0,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,946,closed,opened,2012-12-15 13:43:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,946,closed,title,2012-12-15 13:43:11,00:00,,1,,"b""b' allow cross-versioned akka-kernel deps for dist task to work"," see #2807'""",,,,,,,,,,,,,,,,,,,,,,,,,
akka,946,closed,1,2012-12-15 13:43:11,98.38,,1,,"b""b' Started jenkins job akka-pr-validator at url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,946,closed,2,2012-12-15 13:43:11,1.98,,1,,"b""b' jenkins job akka-pr-validator: Success url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,946,closed,3,2012-12-15 13:43:11,143.55,,1,,"b""b' LGTM'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,946,closed,closed,2012-12-17 10:24:37,1241.43,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,946,closed,reopened,2012-12-17 10:28:53,4.27,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,946,closed,closed,2012-12-17 10:29:11,0.3,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,946,closed,-,-,-,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,947,closed,opened,2012-12-15 13:43:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
