REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,18,2011-01-17 16:06:24,52.7,,1,,"b'b"" Ah", that was easy with jsfiddle ;) url  The problem was that API changed, we don\'t use anymore underscored properties," instead everything is CamelCase. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,19,2011-01-17 16:06:24,88.8,,1,,"b""b' jsfiddle ftw :D'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,20,2011-01-17 16:06:24,248.65,,,1,"b""b' CamelCase was of course a good thing to try", thanks :)PS : the line appears to bug at the edges of the cube," is that supposed to happend ? '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,reopened,2011-03-29 20:53:19,286.92,4,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,21,2011-01-17 16:06:24,15.43,,1,,"b""b' Ah"," I should fix that...'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,22,2011-01-17 16:06:24,159.03,,,1,"b'b"" Just adding my good wishes on this topic. It\'s great to see progress on the line width feature. Your success here will significantly reduce the time I need to complete the demo I\'m working on...""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,23,2011-01-17 16:06:24,100.42,,1,,"b""b' url  Fixed ^^'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,closed,2011-03-30 01:13:13,259.9,4,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,24,2011-01-17 16:06:24,758.85,,,1,"b""b' Perfect"," thanks a lot for the great support :)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,25,2011-01-17 16:06:24,1205.95,,1,,"b""b' I would like to say that the new method would require you to replace this: With this: I discovered this when trying to create something similar.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,26,2011-01-17 16:06:24,350.85,,,1,"b'b\' from r60 to r67 (latest at time of writing) strokes appear again ""per triangle"". I preferred the other way too", waaaaaaaa. Can that be changed again?\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,27,2011-01-17 16:06:24,724.95,,1,,"b""b' Is it mainly for cubes? If so"," you could easily create the cubes [in a different way]url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,-,-,-,4,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,146,closed,opened,2011-03-29 02:27:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,146,closed,title,2011-03-29 02:27:18,00:00,,1,,"b""b' Examples in action are in  and '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,146,closed,1,2011-03-29 02:27:18,7.52,,1,,"b""b' We had alpha value in before"," but we decided to remove it in favour of :S'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,146,closed,2,2011-03-29 02:27:18,3.97,1,,,"b""b' I mainly had it to get that rgbaString (so that I could dynamically build textures from a "," as in url  but I see how having it in both would be confusing.  Maybe just have the rgbaString in that defaults to transparency of 1?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,146,closed,closed,2011-03-29 02:38:47,11.48,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,146,closed,reopened,2011-03-29 02:39:08,0.35,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,146,closed,3,2011-03-29 02:27:18,111.38,1,,,"b'b"" Yeah", it was confusing," I guess you\'ll have to construct the string outside. I can see that it\'s handy on that case though.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,146,closed,4,2011-03-29 02:27:18,924.05,,,1,"b'b"" Cool"," I\'ll do that instead you\'re right that it doesn\'t have enough use cases to make it worthwhile.  How about the  changes?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,146,closed,5,2011-03-29 02:27:18,20.1,,,1,"b""b' These look interesting"," will try to merge :)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,146,closed,6,2011-03-29 02:27:18,996.1,,1,,"b""b' Did this work already? :)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,146,closed,7,2011-03-29 02:27:18,59.57,1,,,"b'b"" Haven\'t had time to look into it properly. I\'ll be a bit busy for the next 2 weeks still :/""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,146,closed,8,2011-03-29 02:27:18,12.6,,,1,"b""b' Ok"," no problem of course :) Good luck with everything!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,146,closed,9,2011-03-29 02:27:18,1402.32,,,1,"b'b"" Thanks for the push providing support for rays intersecting on particles", very cool. It would however be nice to have it detect whether or not the particle makes use of a texture, and if it does set the dist_cutoff based on the scaled size of the image. I\'ve got it working, but I\'m sure there\'s probably a nicer way to see if a particle uses a texture or ," here\'s my change to the intersectParticle function.  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,146,closed,10,2011-03-29 02:27:18,552.22,,,1,"b'b"" Took a while but finally managed to add support to particle intersection. Couldn\'t just reuse your patch"," but used it as base for my implementation. Thanks a bunch! url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,146,closed,closed,2011-05-28 22:37:07,1197.98,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,146,closed,11,2011-03-29 02:27:18,326.9,,,1,"b""b' Woot woot!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,146,closed,-,-,-,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,154,closed,opened,2011-04-03 10:21:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,154,closed,title,2011-04-03 10:21:47,00:00,,1,,"b""b'  transparent texture'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,154,closed,body,2011-04-03 10:21:47,00:00,,1,,"b""b'  have problems whith transparent texture. I think you fixed that in the old  for a while.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,154,closed,1,2011-04-03 10:21:47,6.18,,1,,"b""b' define problems ;)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,154,closed,2,2011-04-03 10:21:47,65.17,,1,,"b""b' My transparent texture ( .png ) shows the background color (black) on the mesh : ('""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,154,closed,3,2011-04-03 10:21:47,242.98,,1,,"b""b' Could you post your model somewhere so we could debug it?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,154,closed,4,2011-04-03 10:21:47,112.68,,1,,"b""b' Click left mouse key to change the view.The pants should have a texture"," but the alpha textures make it buggy afaik.url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,154,closed,5,2011-04-03 10:21:47,78.12,,,1,"b""b' Did exactly the same model looked ok before? Transparency in WebGL is tricky. Basically it only works if you are lucky. Your model looks like something that would make troubles.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,154,closed,6,2011-04-03 10:21:47,10.25,,,1,"b""b' Yes it looks ok in Blender. I hope you could fix this"," it would looks nicer ; )'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,154,closed,7,2011-04-03 10:21:47,28.53,1,,,"b'b"" Not in Blender", that I would expect.  I meant if it did look ok in  with  ? Problem with transparency in WebGL is that you can\'t depth-sort triangles (well, in principle you could, but performance would go down the drain as sorting has to be done in JavaScript and also in each frame WebGL buffers would have to be reset that\'s what we do for particle billboards and they are much slower than opaque particles where you don\'t need to sort because for opaque things z-buffer works).  So if you have a model with transparent triangles that are one in front of each other, then for some camera angles it would look ok," but for many camera angles you will get very weird artefacts (like your model does). Black color what you see is in fact color of the background that shines through transparent pixels in triangles that have been rendered first.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,154,closed,8,2011-04-03 10:21:47,549.57,,1,,"b'b"" So basically"," is a problem of having a an object with different transparent parts that need to be self composed with itself. That\'s something tricky for  to do (in contrast to CanvasRenderer...) So you should split the model in different parts so  can sort independenly these parts and compose them properly. If you want to get a hint of what is going on try this method:  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,154,closed,closed,2011-04-04 04:35:16,1093.48,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,154,closed,9,2011-04-03 10:21:47,519.37,,1,,b'b\' Ok," now I understand the problems and the ""mystery"" artefacts. @mrdoob: CanvasRenderer is to slow for my models and splitting the models is to different for me", because that is to much work for my project. I think at the moment it would the best thing, changing the alpha parts of textures to black. Would you agree ?\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,154,closed,10,2011-04-03 10:21:47,46.33,,1,,"b""b' I guess :)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,154,closed,reopened,2011-04-10 07:41:27,186.18,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,154,closed,11,2011-04-03 10:21:47,1066.78,,1,,"b""b' Sorry for reopening the issue. I tested my models with no-alpha-textures", but this looks really bad. So alteredq wrote that it can implemented, but performance would go down. Could you please implement this as a experiment," so I can test it. This would be great ;)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,154,closed,12,2011-04-03 10:21:47,6.6,,1,,"b'b"" Performance is going to be similar to CanvasRenderer if not worse. I don\'t think it\'s worth to go down this route. You should consider changing the way you\'re doing the models.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,154,closed,closed,2011-04-10 07:54:21,12.9,1,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,154,closed,13,2011-04-03 10:21:47,556.67,,1,,b'b\' I am really new to this 3D techonology.My basic idea is to show a maya object on webpage using webGL (javascript) in .htmlI have .obj(object) file and .mtl(material)file which is using external texture .png file through which I am reading this files under ObjMMTloader which is a  function under webGL,"but that is not loading a image texture.I have tried with JSON loader also by converting object file to .js file and load it but that is also not showing texture at all.is It related to size of .png as well ?? I have referred """"","url "" sites for showing that object in .html.\''
threejs	154	closed	14	WestLangley	2011-04-03 10:21:47	571.97		+1		b""b' @milandabhi As stated in the [guidelines]url  help requests should be directed to [stackoverflow]url  This board is for bugs and feature requests.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,154,closed,-,-,-,1,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,157,closed,opened,2011-04-04 01:10:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,157,closed,title,2011-04-04 01:10:08,00:00,,1,,"b""b' use existing canvas element'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,157,closed,body,2011-04-04 01:10:08,00:00,,1,,"b""b' in webglrenderer constructor parameter'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,157,closed,1,2011-04-04 01:10:08,205.43,,1,,"b""b' wat'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,157,closed,2,2011-04-04 01:10:08,497.08,,1,,"b""b' I think it meant:  for creating WebGL context would it be possible to reuse existing canvas element (passed as constructor parameter) instead of creating canvas element from scratch?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,157,closed,closed,2011-04-10 07:56:21,406.22,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,157,closed,3,2011-04-04 01:10:08,1351.58,,1,,"b'b"" This one shouldn\'t have been closed", imho. It\'s a trivial change and would make the api so much more flexible. This is the first 3d js lib that I have encountered with this limitation. Example use-case: Using  in a jquery-ui widget, where the canvas element is passed in via a sizzle selector, i.e. jQuery(\'#foo-canvas\').bar_widget(). The widget author assumes in this case that the end-user already knows where they want the canvas to be," and that there\'s probably a lot more going on in the page than just the canvas. Am I wrong to think that this sort of thing will be very common?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,157,closed,4,2011-04-04 01:10:08,147.75,,1,,"b""b' I see... I guess it could be helpful. Reopening.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,157,closed,reopened,2011-04-29 13:52:01,355.67,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,157,closed,5,2011-04-04 01:10:08,518.72,,1,,"b""b' url  fixes this issue.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,157,closed,6,2011-04-04 01:10:08,184.45,,1,,"b""b' Fixed :)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,157,closed,closed,2011-05-24 01:35:09,703.13,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,157,closed,-,-,-,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,160,closed,opened,2011-04-05 08:34:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
