REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,102,open,5,2010-09-11 08:13:57,452.43,,1,,"b""b' additional note: my  is modal"," and i am already calling () once the popup is opened.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,102,open,6,2010-09-11 08:13:57,661.35,,1,,"b'b\' Could this be related? You can search for the text ""Object doesn\\\'t support this property or method"" here:url \''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,102,open,7,2010-09-11 08:13:57,911.6,,1,,"b""b' '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,102,open,8,2010-09-11 08:13:57,1290.85,,1,,"b'b\' I am using IIS and .NET and don\\\'t have full control over the configuration. My problem lies between two components lightbox_me (for modal windows) and plupload. I think I will have to use different plugin for modal windows that will not cause the problems with plupload. All errors kick in IE when I start to remove files and add them again I get error ""Unspecified error"" and IE points HTML code for some strange reason.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,102,open,9,2010-09-11 08:13:57,860.2,,1,,"b'b"" we are not using apache so that solution does not help. :( thanks anyway.  i\'ve seen other posts regarding issues with modal and IE"," is there a solution for this yet?url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,102,open,10,2010-09-11 08:13:57,537.87,,1,,b'b\' fyi," using the ""rough cut at a flash extension using swfobject"" fixes my issue:url  any ideas on when this will actually be part of the plupload codeline?\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,102,open,-,-,-,1,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,246,closed,opened,2011-03-21 22:25:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,246,closed,title,2011-03-21 22:25:16,00:00,,1,,"b""b' files with upper case file extensions do not use the correct mime type'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,246,closed,body,2011-03-21 22:25:16,00:00,,1,,"b'b"" files with upper case extensions don\'t get the right mime-type ie:  will use \'-stream\' instead of \'\'""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,246,closed,1,2011-03-21 22:25:16,790.3,,1,,b'b\' I have just come across this issue too, using Plupload with Flash.  I updated the , in my local copy, to use the following," which changes the extention to lower case and fixes the problem. (""UploadFile""", function(up, file) {  var settings = ; getFlashObj().uploadFile(lookup[], , {  name :  || ,  mime : [(/^.+.([^.]+)/, \\\'$1\\\').toLowerCase()] || \\\'-stream\\\',  chunk_size : ,  width : ,  height : ,  quality :  || 90,  multipart : ,  multipart_params :  || {},  file_data_name : ,  format : /.(jpg|jpeg)$/() ? \\\'jpg\\\' : \\\'png\\\',  headers : ,  urlstream_upload : });});\'',,,,,,,,,,,,,,,,,,,,,,,,,
plupload,246,closed,2,2011-03-21 22:25:16,610.87,,1,,"b""b' this really needs to get some attention in an official release'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,246,closed,3,2011-03-21 22:25:16,1397.88,,1,,"b'b"" I have been having additional problems with the flash runtime"," it seems to ignore the  value and always use \'-stream\' according to fiddler""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,246,closed,closed,2011-04-11 21:04:19,1359.05,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,246,closed,reopened,2011-04-11 21:33:49,29.5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,246,closed,closed,2011-04-11 21:41:50,8.02,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,246,closed,-,-,-,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,257,closed,opened,2011-04-06 18:38:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,257,closed,title,2011-04-06 18:38:57,00:00,,1,,"b""b' Error while uploading (larges files ?)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,257,closed,body,2011-04-06 18:38:57,00:00,,1,,"b'b"" I have an error while uploading some files", rather large in size (1600_600, 1200_400...) : Fatal error: Out of memory (allocated 32243712) (tried to allocate 4096 bytes) in /on line 1006 The files are only about 70kb, so I don\'t understand why such a thing can happen. I\'m Wordpress 3.1," using Firefox 4 for uploading.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,257,closed,1,2011-04-06 18:38:57,754.6,,1,,"b""b' Are you talking about WPlupload (WordPress plugin)?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,257,closed,2,2011-04-06 18:38:57,114.53,,1,,"b'b"" Yes", I\'m talking about the Wordpress plugin.The plugin throw me on the Plupload global website," at url  so I figured that this bug depository was for both of them... was I wrong ?...""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,257,closed,3,2011-04-06 18:38:57,3.85,,1,,"b'b\' Ok. You say you ""have an error while uploading some files"," rather large in size"" and then say that they are ""only about 70kb""", so are they large or small? In general it sounds like your server-side runs out of memory.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,257,closed,4,2011-04-06 18:38:57,15.88,1,,,"b""b' Hum sorry", I was misexplaining the problem : I speak about size in pixels. I have no problems with files under 1000 px, but as soon as I try to upload files that are around 1200, or 1400 pixels wide and more, the problem occurs, at the end of the upload.The file is correclty uploaded, as I can go into the Wordpress library and insert it, but the dimensions of the picture are not stored (it say its 0x0 px). Seems strange that my server runs out of memory for such small files ? (sure," 70kb is rather small !)Is there a way to check this ?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,257,closed,5,2011-04-06 18:38:57,2.5,,1,,"b""b' Try to enlarge memory_limit option either in your  or through wordpress and see if it helps. It should be generic error"," you probably will get the same error with standard uploader (try to disable WPlupload and upload again).'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,257,closed,closed,2011-04-11 19:10:37,31.67,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,257,closed,reopened,2011-04-16 01:12:21,361.73,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,257,closed,6,2011-04-06 18:38:57,944.05,,1,,"b'b"" I managed to have the time to try to upload a file without WPUpload", and I have the same mistake.So I has somethig to see with my server configuration, even if the memory_limit is set to 40mb and upload_max_filesize is set to 20mb...I don\'t know where it\'s coming from," but thanks for the help.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,257,closed,closed,2011-04-16 01:14:22,2.02,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,257,closed,-,-,-,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,346,closed,opened,2011-08-22 14:33:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,346,closed,title,2011-08-22 14:33:31,00:00,,1,,"b""b' IE9 loads html4 first. Then", after a while," flash'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,346,closed,body,2011-08-22 14:33:31,00:00,,1,,"b""b' Hi"," using plupload 1.4.3.2 with IE9 i noticed that pluploader first initiates with html4 and only after 2 refreshs with flash.Before the refreshs are finished no uploads are possible. Here is my pluploader configuration:  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,346,closed,1,2011-08-22 14:33:31,28.97,,1,,"b""b' Is it only IE9 affected"," does Chrome for example behave the same. Try to remove html5 from the list of runtime to take a clean test.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,346,closed,2,2011-08-22 14:33:31,1026.57,1,,,"b'b"" I have set my runtimes to  runtimes : \'flash",html4\',In IE9 I wait about 30 seconds," then html4 loads but does not work. After another 30+seconds flash loads and works as expected.Here are my debug messages from the code above: pluploader runtime: html4 pluploader [Refresh] pluploader [Refresh] pluploader runtime: flash pluploader [Refresh] pluploader [Refresh] Google Chromes and Firefox are loading flash instantly.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,346,closed,3,2011-08-22 14:33:31,1217.23,1,,,b'b\' I\\\'ve found that flash does not work properly on IE9.  The custom example stripped down to only import ,"  and only use the flash runtime will not work at all in IE9.  The ""no runtime found"" is displayed and never changes to show flash. However if the Document mode for the page is changed manually to use IE8 or IE7 the custom example will again work as expected.  The flash runtime is found", file selection works, and upload works.  So a very quick and dirty workaround would be to set your page to use IE8 Document mode by adding this tag: to your upload page immediately after the tag.  I\\\'ve tested it and the custom example will work again in IE9 with that tag added.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,346,closed,4,2011-08-22 14:33:31,223.45,,,1,"b""b' Works like a charm. Thanks!!Fck M$ :-)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,346,closed,closed,2011-08-26 08:09:44,1056.22,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,346,closed,5,2011-08-22 14:33:31,336.7,,1,,"b""b' IMHO this is still a bug and should probably be left open?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,346,closed,reopened,2011-08-26 13:47:05,337.35,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,346,closed,6,2011-08-22 14:33:31,618.58,,1,,"b'b"" I\'m guessing this issue is related to: url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,346,closed,7,2011-08-22 14:33:31,1168.67,,1,,"b'b"" Tested with: Windows 7 + IE 9.0.8.x (32-bit) + Flash Player 10.3.xWindows 7 + IE 9.0.8.x (64-bit) + Flash Player 10.3.x Load is almost instantaneous. Can this be an environment? There was a report that Plupload Flash runtime doesn\'t load properly when there is another flash object on the page. Do you got any in your case?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,346,closed,8,2011-08-22 14:33:31,11.2,,1,,"b""b' I have no other flash objects on the page.  In my testing I just used the custom example stripped down to only use the flash runtime"," and only include the core plupload and flash javascript files. I was running: Windows Vista (32-bit)IE 9.0.8.xFlash Player 10.3.x'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,346,closed,9,2011-08-22 14:33:31,696.97,,1,,"b""b' My test was on Windows 7 64Bit", IE 9.0.8x," Flash Player 10.0.45.2'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,346,closed,10,2011-08-22 14:33:31,22.2,,1,,"b""b' Windows 7", 32bit IE 9.0.8x Flash Player 10,3,183,"5'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,346,closed,11,2011-08-22 14:33:31,0.47,,1,,"b""b' Flash 10.3?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,346,closed,12,2011-08-22 14:33:31,1427.13,1,,,"b'b"" Any movement on this? I still can\'t find a workaround :(""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,346,closed,13,2011-08-22 14:33:31,15.15,,1,,"b'b"" I can\'t repeat it.  I\'m thinking to add support for swfobject (kinda when it\'s available use it instead if native method) it is being said to load plupload without a problem","  @fruitbatinshades have you tried? Take a look at this: #323""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,346,closed,closed,2011-09-23 11:32:37,1305.53,3,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,346,closed,-,-,-,3,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,opened,2011-08-24 12:53:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,title,2011-08-24 12:53:40,00:00,,1,,"b""b' 4893d2f9cef0601acc15 broke firefox-3.6 file-upload'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,body,2011-08-24 12:53:40,00:00,,1,,"b'b"" file-upload (using the html5 module) fails on firefox-3.6 on windows XP when using changeset 4893d2f9cef0601acc15.using the previous changeset fixes the problem. there\'s a test-case online here:(good version) url (bad version) url  it\'s a slightly modified version of the plupload-example from the official website. after the upload finishes", i display in a div the response from the server (a simple summary with file-lengths), if the server was able to parse it. if i use the good-version, the server parses it nicely, if the wrong version, the server fails. the problem seems to be that the data are sent in a wrong format.... when it is the \'good\' version, the data is sent ad -data, but with the\'bad\' version it\'s sent as -stream," and it seems to me that plupload simply sends the binary as the post-request-body.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,1,2011-08-24 12:53:40,318.55,,1,,"b'b"" I have tested the latest plupload on Firefox 3.6.20 (on Ubuntu Linux) and have not seen this problem.  But then I\'d imagine our configurations are quite different.  I\'m uploading JPEGs to a Rails server using the html5 runtime and the core plupload only (in other words no queue or ui widgets).  My config is as follows: pluploader = new ({  runtimes : \'html5",flash,html4\',  browse_button : \'selectFiles_id\',  container : \'selectFiles_id\',  max_file_size : \'10mb\',  url : aURL,  resize : {width : 1500, height : 1500, quality : 92},  flash_swf_url : \'/\',  multipart: true,"  urlstream_upload: true}); ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,2,2011-08-24 12:53:40,938.18,,1,,"b'b"" @MCF i\'m also only using the \'core\' API. i updated my bug-report with an online test-case", could you try it out please? the works-with-ff-3.6 version is at url  ," and the fails-with-ff-3.6 version is at url  . the hexa-numbers are simply the changeset id from git for plupload.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,3,2011-08-24 12:53:40,347.42,,,1,"b""b' @gabor I ran a quick test with your two versions on Firefox 3.6.20 and the uploaded file sizes were correct for both versions of your test.  I tried with a single file and multiple files both worked fine for me.  I also cleared the cache between the tests to be sure I had the appropriate plupload components for each test.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,4,2011-08-24 12:53:40,19.75,,,1,"b""b' @MCF interesting... could you somehow try it on windows too? i tried two separate computers with firefox3.6 and windows xp and it happened on both...'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,5,2011-08-24 12:53:40,49.83,1,,,"b'b"" Sorry I don\'t have 3.6 installed on Windows.  Are you using the exact same version of Firefox (3.6.20)?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,6,2011-08-24 12:53:40,842.62,,1,,"b""b' strange... i took an ubuntu-11.04 virtual image", and installed firefox-3.6.20 into it (firefox taken directly form )," and the problem still happens. here are some screenshots: good: url bad: url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,closed,2011-08-26 06:50:01,1076.35,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,reopened,2011-08-26 06:50:09,0.13,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,7,2011-08-24 12:53:40,0.45,1,,,"b""b' (sorry"," clicked the wrong button and closes the issue by mistake)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,8,2011-08-24 12:53:40,14.2,,1,,"b'b"" i also tested on osx", and the problem happens there too.. @MCF could you doublecheck that it\'s firefox 3.6.20 that you are using for the test? also, is that firefox the one from ," or is it a version packaged by ubuntu?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,9,2011-08-24 12:53:40,13.12,,1,,"b'b"" Yes I\'m quite certain I\'m using 3.6.20.  I\'m not suggesting that you are not seeing a problem with that browser and your  of plupload BTW.  plupload tends to be pretty finicky", with many configurations available, different behaviours with different browsers and with different file types," etc. I was uploading text files to your server with your two test cases above.  Depending on your configuration plupload may be doing different things with text files instead of images for example.  What are you trying to upload with your tests?  What is your configuration?  Are you sure your server side processing is doing the right thing with the POST from plupload?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,10,2011-08-24 12:53:40,33.18,1,,,"b'b"" hmm", ok, let\'s make this test as reproducible as possible.i am using this picture: url  .could you try to upload it to the test-webpage? compared to my test-screenshots, what kind of output are you getting? regarding the issue of the server-side processing. i\'m parsing the post-data, and expecting form-data-style data (python does it for me, but i assume it awaits either -data or application/x-www-form-urlencoded. but techincally, i think it does not matter much what i do with it i think," the important thing is that there is a change in the data-sent between those two plupload-changesets... or maybe i misunderstand something?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,11,2011-08-24 12:53:40,353.67,,,1,"b'b\' I\\\'ve tried uploading your sample image to your ""bad"" test app through both Firefox 3.6.20 and Chrome 12.  I get the following error displayed in both: When I tried with my own test image I get different results.  In Firefox 3.6.20: In Chrome 12 my 2.jpg test image uploaded succesfully. Both images upload fine in my own test app", using the latest code from the master branch.  However as I mentioned above I use a different configuration as you do, so plupload will (more than likely) be following a different code path to perform the upload.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,12,2011-08-24 12:53:40,1426.97,,1,,"b""b' @gabor", why would you want to support Firefox 3.6 (not that we are against it, just would like to know your opinion)? I guess it fails for you because you are using your own custom upload handler," which probably has support for multipart only?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,13,2011-08-24 12:53:40,103.43,,1,,"b""b' Try this '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,closed,2011-09-07 09:03:51,133.7,3,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,14,2011-08-24 12:53:40,926.05,1,,,"b""b' yes", works correctly. thanks. (sorry," took some time to get back to this issue. )'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,351,closed,-,-,-,4,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,361,closed,opened,2011-08-31 03:39:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,361,closed,title,2011-08-31 03:39:29,00:00,,1,,"b""b' Not using resize option changes Content-Type"," slashes custom headers. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,361,closed,body,2011-08-31 03:39:29,00:00,1,,,b'b\' The issue is when _not_ using the resize option, the POST request is significantly different, and excludes custom headers that have been set in the \\\'headers\\\' option. This bug appears somewhere in the flash resizing procedure, however, I have not tested this with any other runtimes. Compare the two JavaScript examples," note they are exactly the same except for where the \\\'resize\\\' option is given in the first example. This generates the following HTTP POST when ""Upload"" is pressed. This works perfectly with the [Gallery v3]url  REST API. I used [Wireshark]() to capture these requests (after much head scratching!). In this second example", note that I do not include the \\\'resize\\\' option, however everything else is exactly the same. Results in the following POST This request is very different and importantly has stripped out the custom headers that appear in the first example. These are the changes that I\\\'ve noticed between the two examples:Custom headers are stripped from the requestThe \\\'Filename\\\' multipart parameter is addedThe \\\'Upload\\\' multipart parameter is addedUser-Agent is \\\'Shockwave Flash\\\'Content-Type (in the \\\'file\\\' multipart parameter) is now \\\'-stream\\\' instead of \\\'\\\'\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,361,closed,1,2011-08-31 03:39:29,234.23,,1,,"b'b"" This issue is also present when uploading video (and other non-image filetypes). I guess that\'s because those files do not pass through the resize procedure.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,361,closed,closed,2011-09-06 07:33:44,234.25,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,361,closed,reopened,2011-09-06 07:33:50,0.1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,361,closed,2,2011-08-31 03:39:29,49.32,,,1,"b'b"" When not using resize or chunking Flash runtime falls back to it\'s default () method", which is more convenient way to upload big and huge files (doesn\'t require file to be read in memory). In case you would like to retain consistency across the runtimes, are using custom headers and do not upload huge files, you can force Flash runtime into compatible mode by setting: urlstream_upload option to true. This is not a bug, although I agree, it\'s kinda quirky. Any suggestions on how to improve the situation around this," are welcome.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,361,closed,closed,2011-09-07 08:23:03,49.22,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,361,closed,3,2011-08-31 03:39:29,174.55,,,1,"b""b' Thanks for the tip. As for a suggestion on how to improve the situation", I think that if custom headers are given," then urlstream_upload should default to true.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,361,closed,4,2011-08-31 03:39:29,202.25,,1,,"b""b' Yes", right. We do this for resize and chunking," but custom headers fell out of our view :|'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,361,closed,-,-,-,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,363,closed,opened,2011-09-01 08:08:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
