REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,65,closed,6,2010-08-18 09:25:50,26.32,1,,,"b'b\' url  ""Unverificate""/""deverify"". This happened to a site I had in which I had a Google webmaster tools profile linked to the analytics profile. I think they were linked via GA code", however at some point Google told me the verification was invalid and the solution was to move the code to the head tag as outlined in the asyncTracking best practice. I will attempt to get the message I got again and screen cap it for you if you\\\'d like.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,65,closed,7,2010-08-18 09:25:50,37.32,,,1,"b'b"" .that\'d be great. :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,65,closed,8,2010-08-18 09:25:50,164.28,,,1,"b'b"" They advocate a [Split Snippet]url  in their documentation", in which they simply initialize an array in the head. If doing this is okay, then putting the entire thing at the bottom of the page should be fine as long as the array (with options) is initialized before any of the code. For the record," I\'m in favor of keeping the code where it is for the same reason that @paulirish mentioned [above]url  barring any account verification issues.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,65,closed,9,2010-08-18 09:25:50,1229.33,1,,,"b""b' url  This is the error message received when trying to verify a site using GA in which the async snippet is not in the head. There is of course the work around of using one of the many other verification methods", however I think that the code should be where it google says it should be.. The snippet is async now anyway. At the very least," something added to the documentation about this.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,65,closed,-,-,-,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,opened,2010-11-18 16:26:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,title,2010-11-18 16:26:49,00:00,,1,,"b""b' Replace IDs with classes in '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,body,2010-11-18 16:26:49,00:00,,,1,b'b\' I\\\'m thinking we don\\\'t need IDs in . For writing CSS, IDs should be avoided as they add unnecessary specificity. They\\\'re great for quickly targeting elements we want to manipulate the DOM with Javscript," but its unlikely to be the ""container"" or ""main"" elements. Replacing the IDs with classes would simply discourage people from using them in your CSS later. I can\\\'t find this article now"," but there was a good read from this year on avoiding ""container"" divs altogether", as you can accomplish the same thing by styling the html tag as your background canvas and using the body as your primary container. Of course, I can\\\'t find that article at all right now\\xe2\\x80\\xa6\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,1,2010-11-18 16:26:49,42.98,,,1,b'b\' Interesting," but I\\\'d vote against. IDs for divs like ""wrap"" or ""container"" (irrespective of their need to exist in the first place) make a lot of sense. An ID", as you say, is meant to only appear once in the DOM \\xe2\\x80\\x93\\xc2\\xa0which is exactly what those container divs are meant to do. We may never target them in the CSS, but if we do, IDs perform faster than classes.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,2,2010-11-18 16:26:49,954.12,,1,,"b'b"" nicole sullivan would agree here.. she\'s very anti-ID as it fucks with your selector specificity.personally i dont think specificity will be a problem with the container and main that we have... i also think many people prefer IDs on these... but i\'d love to hear from folks like eric who like the class approach. :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,3,2010-11-18 16:26:49,1125.87,,1,,"b'b\' since I\\\'m a fan of Blueprint. i\\\'ll vote for this. BP use a class for the container element. already change it to class in my fork. 960.gs also use a class for specifying the number of grids from the main container. something like ""container_12"" and ""container_16"".\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,4,2010-11-18 16:26:49,170.6,,,1,"b'b"" So I hear ya\'ll \\xe2\\x80\\x93 just dealing in classes can be a lot easier", but let me give three arguments against: 1) Speed. Jquery can be up to 100x faster using IDs instead of classes. url  2) :target. Jeebus do I love that CSS3 selector. It basically eliminates the need for a lot of $().fadeIn() etc\\xe2\\x80\\xa6 Which means that the browser is using CSS instead of JS which means more speed. 3) These are primary, main, elements, that should never, ever," be replicated again in the DOM. That\'s the definition of an ID.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,5,2010-11-18 16:26:49,400.7,,,1,"b'b"" Both of these are good arguments for IDs... in your own markup. We\'re not really assuming you\'ll be acting on #main or #container"," nor should we be.  Riz brings up a good point about container being a standard class name in two of the most popular CSS frameworks. It\'d be nice to show solidarity :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,6,2010-11-18 16:26:49,576.62,,1,,"b'b"" #3 of joeybaker\'s list makes sense to me. These are primary elements of the template which shouldn\'t be repeated. That said"," you could add a class to those elements for OOCSS. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,7,2010-11-18 16:26:49,952.03,,1,,"b'b"" I agree with nimbupani\'s last comment. In fact", I\'d recommend adding a class to those elements in the  boilerplate," e.g.  . Best of both worlds.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,8,2010-11-18 16:26:49,612.3,1,,,"b'b\' My only concern is if someone uses the class ""container"" for any other element", it would inherit from the same author styles used to define the #container. It is a situation I have fallen into frequently especially when you have multiple widgets in your screen, and they dont use iframes (but use such universal classnames) :/ \'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,9,2010-11-18 16:26:49,762.72,,,1,"b'b"" The OOCSS argument is a good one. I think adding a class to the ID\'d elements is a good compromise. @nimbupani I haven\'t encountered that too much. Most widgets I\'ve used namespace themselves properly. Anyone else? Specific examples? ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,10,2010-11-18 16:26:49,262.98,,1,,"b'b"" There\'s not a lot of persuasive motion here. I\'m going to close it.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,11,2010-11-18 16:26:49,256.7,,,1,b'b\' I know this is a bit late to the game here on a closed issue," but I think the argument that the container is a ""primary"" non-duplicated element is not really a valid one. Yes", it\\\'s true," the container with all of it\\\'s full styles is not going to be duplicated. But that\\\'s not what OOCSS is really about. OOCSS abstracts certain characteristics of elements and reuses them in multiple places. So the container might have something like: &lt;div class=""container-main basic-border shadow rounded""&gt;. So in that example (which is very over-the-top for illustrative purposes)", the class .container-main would have some very rudimentary styles that apply only to the container, then the other class names would represent the reusable elements that might appear elsewhere. Of course," the same thing can be accomplished using: &lt;div id=""container"" class=""basic-border shadow rounded""&gt;. But why would you do that? What would be the point (from a CSS perspective) of using an ID of ""container""", which could cause problems with specificity and the cascade? When you use the class-only method, you avoid any possible specificity issues, and you encourage all developers to recognize the importance of abstracting common styles. And naturally, if someone wants to grab the container with JavaScript, then by all means," they can add id=""container"" any time they want. But that\\\'s optional", so it would seem less practical to include that and not the class, which is _definitely_ going to be used in the CSS.\'',,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,reopened,2011-09-13 16:31:57,5.13,1,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,12,2010-11-18 16:26:49,1089.0,,1,,"b'b"" reopened for louis\'s comment..  i\'m pretty content with dropping #id\'s currently. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,13,2010-11-18 16:26:49,44.65,,,1,"b'b"" While I don\'t feel all that passionate about this", I\'ll argue the counter passionately anyway :) The argument that the container is a primary, non-duplicated element is perfectly valid, you\'ve just proven that there are some advantages to having classes on the container as well \\xe2\\x80\\xa6\\xc2\\xa0which is useful if you follow a particular style of CSS writing. My css for the container is most projects is just  . Even if you\'re a OOCSS fan (I like the concept, but find it frequently doesn\'t work in practice), 1. I can\'t think of a case where @impressivewebs\'s second example of wouldn\'t work since is at the (near) top of the DOM.2. Maybe it\'s just me, but I can\'t remember a time where I\'ve done anything more than the most basic styling to Further, I do sometimes use javascript to get the (jquery\'s for example), why complicate the issue with classes? I\'ll add one more point that I think has been implicit, but hasn\'t been stated: simple is good. Ids are the simplest selector, why complicate matters? IMHO _Edit: I still don\'t feel all that strongly about this, since it\'s an easy thing to change," but meh\\xe2\\x80\\xa6 the argument is half the fun?_""'",,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,14,2010-11-18 16:26:49,25.48,,1,,"b""b' IMO"," we should drop all the placeholder HTML between the tags anyway.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,15,2010-11-18 16:26:49,22.87,,1,,"b""b' @necolas nihilism FTW :)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,16,2010-11-18 16:26:49,2.73,,1,,b'b\' @joeybaker: I agree with one thing: The argument is at least half the fun. :) Regarding the container being non-duplicated: This really has nothing to do with removing the id from the container. I am in 100% agreement that the container is unique. This has to do with best practices in CSS. For example, which of the following two code snippets is more efficient? This one: #container {  margin: auto;  width: 60%;  box-shadow: #000 3px 2px 2px;  border: solid 1px #ccc;  min-height: 60%;}  Or this one: .container {  min-height: 60%;} .center-full {  margin: auto;  width: 60%;} .shadow-border {  box-shadow: #000 3px 2px 2px;  border: solid 1px #ccc;}  The answer is clear: The second one. The reason? Because the non-container styles can now be re-used. This is not to say that they definitely _will_ be reused, but this encourages the possibility of re-use, which is really what best practices are all about. You mentioned that you only do basic styling to the container. Well, that\\\'s why OOCSS should be used! :) Because those \\\'basic styles\\\' can be moved into a reusable module that you can \\\'call\\\' when you need them. Yes, it\\\'s true, the container is quite unique, but it has the potential to have reusable styles (like a  or something else). The point is that, for all practical purposes, .container is exactly the same as #container in your CSS, except for the fact that .container doesn\\\'t have the potential for specificity conflicts that #container does. And yes, you will sometimes need to grab the container using an ID. But that\\\'s not a requirement, so it shouldn\\\'t be there from the start. Especially if it discourages the best practice of abstracting common styles and making the CSS faster and more efficient. Finally," you said ""Ids are the simplest selector"". That\\\'s not really true. Is .container not just as simple? Also", as mentioned, the specificity problems can be troublesome. But again, those specificity problems don\\\'t exist with classes that abstract common styles. Well, this has somewhat turned into a debate on OOCSS, but in my opinion," changing id=""container"" to class=""container"" would go a long way to encouraging the better practice of writing reusable CSS. And hey", maybe the container isn\\\'t the right element to argue for OOCSS, but if .container is no different, then why not do that? What exactly is lost from using the class instead of the id? I think in some sense, many developers are clinging to the tired old habit of putting an ID on everything, but I\\\'m starting to sway in the other direction nowadays.\'',,,,,,,,,,,,,
html5-boilerplate,203,closed,17,2010-11-18 16:26:49,23.15,,1,,b'b\' @impressivewebs: I can\\\'t tell if we\\\'ve wandered down a rat hole or not, but since we both agree the argument is worth having, if not just fun \\xe2\\x80\\xa6 You\\\'re points on OOCSS are of course valid, but you also lead into it\\\'s inherent weakness: classes that _might_ be used again. Classes that are used only once are likely wasteful and lead to code bloat. CSS should be optimized not for the developer who has to maintain the code base, nor the user who just wants a fast experience, but a practical mix of both.  With that in mind, classes like & may be used again, they may not be. If they\\\'re used again, they\\\'re worth abstracting into a class, but until then, your first example is actually more efficient \\xe2\\x80\\x93\\xc2\\xa0both for the dev and the user. That\\\'s the main problem with OOCSS \\xe2\\x80\\x93 this isn\\\'t server-side where additional code just makes the code base more verbose. Every character is a performance hit. Every additional class is a detriment to the user if it\\\'s not needed. Not for nothing," extra class can also really complicate your ""API"" \\xe2\\x80\\x93 I\\\'d have trouble remembering all the different options I\\\'d built for myself and duplicate functionality. Further", in the example you gave, you\\\'re OOCSS wouldn\\\'t be affected by since it\\\'s at the top of the DOM. Don\\\'t get me wrong \\xe2\\x80\\x93\\xc2\\xa0I\\\'m not advocating styling a bunch of Id\\\'s separately each time \\xe2\\x80\\x93 that\\\'s also wasteful. But, in the interest of reducing bloat, I\\\'d say that as a _default_ we can assume that the container will both 1) have unique styling and 2) can safely be an id without messing up the cascade.\'',,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,18,2010-11-18 16:26:49,8.85,,,1,b'b\' @joeybaker Okay, good points. However," what\\\'s the problem with using class=""container"" instead of id=""container"". Even if you are going to clump all your styles into one block", the class is almost exactly the same, except for a very small performance benefit in favour of the id. But it seems that many are arguing that the small performance benefit to using an ID over a class is trumped by the potential problems of using IDs. Anyhow, this is not a huge deal to me, but I just can\\\'t see many reasons for leaving it as an ID, since an identical class would be almost exactly the same and would encourage what I believe is eventually going to be a universal best practice (that is, OOCSS).\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,19,2010-11-18 16:26:49,9.8,,1,,"b""b' What @necolas said. Just drop every placeholder and let people do their things however they want.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,20,2010-11-18 16:26:49,18.4,,1,,"b'b"" Because you can\'t always tell what is going to end up being reused", you should do your best to make reusable components and sub-components from the beginning rather than having an avoidable period of refactoring  bloat at a later date. Some sort of component-based architecture is probably the only practical way to have maintainable front-end code, smaller file sizes, and a product that can be rapidly iterated and modified. As long as the classnames are semantic meaningful in some way rather than inappropriately or confusingly abstracted, obfuscated, or truncated (does mean module or modify?) then even non-front-enders should be able to make use of what you create. However, H5BP doesn\'t seek to impose any form of front-end architecture upon users of the project. Plenty of people don\'t employ component-based architectures. Plenty who do, do so in different ways. So," IMO we\'d be better off stripping out the placeholder HTML altogether.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,21,2010-11-18 16:26:49,8.08,,1,,"b'b\' ""Plenty of people don\\\'t employ component-based architectures."" This.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,22,2010-11-18 16:26:49,11.48,,,1,b'b\' @necolas I disagree," because it\\\'s not true that H5BP doesn\\\'t ""impose"" things on the user. Yes"," maybe (from certain perspectives) it doesn\\\'t impose ""any form of front-end architecture"" (although that\\\'s arguable too). But what about the class-based IE styles? What about the inclusion of Modernizr? What about the inclusion of an HTML tag that prevents passing of validation? I could go on... My point is not to say that I disagree with the inclusion of those things (well", maybe one of them :) . My point is that BP includes those because they\\\'re recognized as current best practices. And, as Paul says," BP is ""delete key friendly"". So", removing the HTML is just going to encourage arguments towards removing other things that are probably only used in half the cases, if not less. I think it\\\'s fine to have an HTML structure in place, and I think it\\\'s much better -and in line with what is recognized as best practices today -to switch the container ID to a class.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,23,2010-11-18 16:26:49,16.97,,,1,"b'b"" Imposing a front-end architecture is WAY beyond the scope and aims of the project", and completely different to: fixing common bugs, accommodating browser peculiarities, and including common libraries.No class-bassed IE styles are included in the CSSFirst, validation is a tool. Second, we recommend removing that code and using the server config version.I don\'t think so. This is quite different to including common libraries or fixing . And if it encourages discussion on the removal of things that should be removed, there\'s nothing wrong with that. I never even use that default HTML, even with a container class," because the structure isn\'t particularly flexible or universal.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,24,2010-11-18 16:26:49,6.5,,1,,b'b\' @necolas Agreed. :) Like I said, I\\\'m not arguing against those things," I\\\'m arguing that it\\\'s okay to include stuff that\\\'s ""delete key friendly""", and I think the HTML structure falls in that category. (Also, I was talking about the conditional comments," but I referred to them as ""styles"" -my bad; I just personally think it\\\'s bad practice to have a conditional comment for IE8", but that\\\'s my view). I think the argument to remove the HTML is a different issue, but I would at least say that if BP is going to include the HTML, then the container should have a class, not an ID.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,25,2010-11-18 16:26:49,30.1,,1,,"b'b"" +1 to nicolas\'s idea of removing anything within body""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,26,2010-11-18 16:26:49,3.4,,1,,"b""b' isnt there ONE snafu with using the body elem as your wrapper.. .something with IE8 i thought.. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,27,2010-11-18 16:26:49,152.1,,1,,"b'b"" Some thoughts:If OO CSS is adding classes like .shadow-border I don\'t like this (and don\'t think it is something that should be encouraged) as if we want to change to a non-shadow border we need to update all the places in the HTML where this class occurs", which is not dissimilar to using inline style tags. url However, I don\'t think OO CSS is supposed to be like this. Looking at Nicole\'s examples on url  there is some abstraction between styles and class names. They are not as semantic as they could be, but for most style changes that I can think of the HTML wouldn\'t need to be modified too much.Although, overall it is a balancing act I guess on what kind of changes are expected as to how  from the underlying styles do you want class names. .shadow-border is great if you expect that (semantically distinct) elements will be changing whether they need shadow borders or not lots, but woeful if whatever .shadow-border is being used to highlight will be changed to different effects.Personally I am currently leaning towards a non-OO CSS style. OO CSS tends towards html bloat, where as non-OO CSS tends towards CSS bloat, however the CSS is going to be cached once off, where as HTML probably won\'t be cached at all (and the bloat comes with every page).Another consideration is that most people using H5BP (in my opinion) are building small to medium scale sites which would probably be suited to a more non-OO CSS style.Also, interestingly on slide 20 url  it states as a pitfall \'Avoid IDs to style inside the main content areas\', which suggests that using IDs on outer container elements is ok?I do like Necolas\' idea of not including anything in the body as I think it is hard to say this is the way to do it. However, I do like including the header and footer elements and the role attribute on the main div," as this will get people thinking about HTML5 markup and accessibility who otherwise may have stuck to a purely HTML4 oldschool style.I would be leaning towards as this gets people thinking about an HTML5 based design without proding them one way or the other in terms of OO CSS.""'",,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,28,2010-11-18 16:26:49,61.83,,1,,"b""b' WFM.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,29,2010-11-18 16:26:49,23.87,,,1,"b'b"" OK"," just caught up. A lot of good arguments. I\'m gonna second Paul\'s WFM.  I like this.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,closed,2011-09-16 00:35:36,483.65,1,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,30,2010-11-18 16:26:49,482.9,,1,,"b""b' This change is barely any better IMO.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,31,2010-11-18 16:26:49,1243.57,,,1,"b""b' cool'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,32,2010-11-18 16:26:49,866.22,,1,,"b""b' No.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,33,2010-11-18 16:26:49,921.13,,1,,"b'b"" This is nothing to do with using the as a wrapper. That\'s perfectly fine if the intended presentation lends itself to that approach. But the new HTML is no more useful a default than what came before. We\'re presuming on the without any knowledge of the content or structure that someone will  we haven\'t included any ARIA roles on the and  . It could also encourage people to place ads and sidebar content into that central  ", thereby ignoring the point of ARIA roles. What is the purpose of having _any_ arbitrary HTML including by default? If the aim to get people thinking about using HTML5 elements and ARIA roles, then IMO it would probably be better served by including a comment with a link to a wiki page with a proper overview, links to good articles already covering this stuff," etc. We already do it for the appcache and the head tips.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,34,2010-11-18 16:26:49,50.72,,,1,"b'b"" @necolas A comment and link would serve the same purpose in some cases"," but I think many people wouldn\'t follow the link and just use what works for them. If all you know is table based layouts seeing a concrete example of a different way of doing things is a good way to prompt people to investigate more modern techniques. I would like to have them both really. A comment stating that this is just an example of what you might include and a link to more information with the example HTML below.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,203,closed,-,-,-,1,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,342,closed,opened,2011-02-24 21:59:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,342,closed,title,2011-02-24 21:59:24,00:00,,1,,"b""b' Removing ie6 support; Adding non-blocking script loading'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,342,closed,body,2011-02-24 21:59:24,00:00,,1,,"b""b' What do you think?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,342,closed,1,2011-02-24 21:59:24,178.85,,,1,"b'b"" We\'re going to keep supporting IE6 for a while.  I\'m surprised you removed the conditional comments.. a lot of people seem to like them (see a recent webdesignerwall post) LAB is good", but I want a lighter weight script loader..  Regardless," modernizr cannot be lazyloaded like this. You\'ll break HTML5 in IE.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,342,closed,2,2011-02-24 21:59:24,116.08,,,1,"b'b"" That\'s cool. I have a large car manufacturer as a client that is moving away from ie6 and that tells me it\'s time. I suppose HEADjs is too large as well"," huh? I\'d definitely consider adding some non-blocking script loader. Thanks!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,342,closed,3,2011-02-24 21:59:24,103.6,,,1,b'b\' Hey, would you consider: url  ? :) A question would be," should people who love the ""grab and go"" characteristic of HTML5Boilerplate start investing more thought into asynchronous script loaders? It\\\'s a super hot topic right now for application developers but for designers", it becomes a bit more arcane.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,342,closed,4,2011-02-24 21:59:24,543.85,,,1,"b'b"" Anything that improves performance is good. That\'s why I dropped ie6", the lack of support frees up space," so to speak. I\'m making a streamlined boilerplate here: url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,342,closed,reopened,2011-03-30 17:46:18,1186.9,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,342,closed,5,2011-02-24 21:59:24,245.55,,,1,b'b\' Wow, looks like you added the same technique I used for dropping ie6 in the new release. Glad to see that," just wish I got a little credit. ""oldIE""\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,342,closed,closed,2011-03-30 17:47:20,1.03,0,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,342,closed,6,2011-02-24 21:59:24,3.08,,,1,"b'b"" we\'re pretty liberal with credit. did we miss you with something in particular? was coined by a friend in the #html5 irc channel and the technique for using that for grouping together a few in the cond comments was .. used by me at least 5 months ago but i\'m sure it had simultaneous inventors.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,342,closed,7,2011-02-24 21:59:24,48.27,,1,,b'b\' No worries," just seemed odd that you told me you were keeping ie6 support and then I forked and created the ""lite"" version that targets only old ie versions and out pops an official release with the ability to remove lots of stuff", including that.  As an aside, I think it\\\'s time to do more than accomodate ie6 or offer support. We actually charge clients extra to support ie6!  J. On Mar 30,2011, at 1:50 PM, paulirish wrote:\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,342,closed,-,-,-,0,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,378,closed,opened,2011-03-14 17:12:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,378,closed,title,2011-03-14 17:12:13,00:00,,1,,"b""b' IE conditional comments around html tag adds Compat View icon to address bar'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,378,closed,body,2011-03-14 17:12:13,00:00,1,,,b'b\' Even though the doctype is HTML5 recommended and the X-UA-Compatible meta tag is present, by putting the HTML tag in a series of IE conditional comments," IE refuses to believe that the website is indeed ""modern"" and puts the dreaded ""Compatibility View"" button in the address bar. The way I get around this is by using JavaScript to add the ie6/7/whatever classes. Example: I\\\'m sure there are better ways to handle this", but this works as expected.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,378,closed,1,2011-03-14 17:12:13,14.78,,,1,"b'b"" hmmm", i can\'t replicate the issue," would you mind provide a test case?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,378,closed,2,2011-03-14 17:12:13,45.2,,,1,"b'b"" Thanks for the quick update. Here are a couple pages that isolate the problem: [Using comments (has compatibility view button)]url  [Not using comments (no compatibility view button)]url  Themble is an example of a complete site with the problem: [Themble]url  I noticed that the html5-boilerplate site doesn\'t have the problem. It could also be htaccess related.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
