REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,13,2012-01-13 19:57:26,564.63,,1,,b'b\' 1. Perhaps  could provide such a service, based on (a fork of) Travis CI?2. Installing from source requires extra one-time effort from the user. But installing Rtools is very simple, and so I assume is installing xcode on OS X. (Isn\\\'t it even required for  ?) Also," both platforms allow for ""binary"" packages. (There\\\'s nothing like WinBuilder on OS X", is it?) To sum up the discussion:is not the right place to implement roxygenize-before-buildA CI service would be better for that, but currently there\\\'s nothing that would be easy to useRoxygenizing via could work but requires further investigation and an installation of  on  X How to proceed from here to be able to keep the redundant files out of the Git tree one day?\'',,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,14,2012-01-13 19:57:26,837.12,1,,,"b""b' Although I do not want to mention the possible hack", I think you have a good point there, which is also what I wanted a few years ago (in my early days of using roxygen, I hated the bogus changes in GIT very much). What you can do is to hack the field in DESCRIPTION, which will be parsed and evaluated during  : Then roxygenization is done automatically, and you do not need to put in your GIT repository. No need to use Makefile, so no RTools. No CI. No devtools support. It is a pure R solution, but it is just a hack. The more reasonable support should come from R core by allowing some code to be executed before  . There has been a discussion in r-help url  where Henrik really had a good point," but Duncan did not seem to get it. Sigh.'""",,,,,,,,,,,,,,,,,,,
devtools,43,closed,15,2012-01-13 19:57:26,1178.18,1,,,"b'b\' @yihui: This is really evil. And beautiful. What do you mean by ""no devtools support"" -no devtools support needed? This won\\\'t appear in the installed file", right? Were you able to place such a package on CRAN?\'',,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,16,2012-01-13 19:57:26,445.47,,,1,"b'b"" To confess", I used this trick once to hack r-forge.rbecause nobody answered me when I requested installing some dependencies. I don\'t dare using it on CRAN. Crandalf will not be happy seeing this, I guess. I mean no need to request devtools support. Wherever you can call R CMD build," you can use this trick. ""'",,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,17,2012-01-13 19:57:26,1340.23,,1,,"b'b"" @hadley: Technically it\'s possible to keep files out of a Git repository", only that doesn\'t work anymore. Would you review a pull request that allows pre-build actions to be executed by  ? Perhaps configurable with a field in  . Once implemented in  ," these could be adopted later by if they turn out to be useful.""'",,,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,18,2012-01-13 19:57:26,1397.67,,1,,"b""b' @krlmlr Can you please start a new issue? I think the important things to discuss are how to record build time dependencies (version BuildDepends field) and what operations should be baked in.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,-,-,-,5,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,141,closed,opened,2012-08-14 21:10:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,141,closed,title,2012-08-14 21:10:46,00:00,,1,,"b""b' Warnings when reloading packages with S4 classes'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,141,closed,body,2012-08-14 21:10:46,00:00,,1,,"b'b"" I get these warnings error when loading lubridate.  I think there are two issues.One is in  One is in  ", but I\'m not yet sure where. The first type of of warning only happens the _second_ time a package is loaded with  . The second type of warning seems to happen every time except the first. The package seems to work," though -it passes all tests.""'",,,,,,,,,,,,,,,,,,,,,,,,,
devtools,141,closed,1,2012-08-14 21:10:46,255.55,,1,,"b'b"" Fixed and merged in 9330614511f733c49231618da68c7b1a64b2c312. A second part needed fixing", at f57967aed8a3d0d21e87f7b05e1020e73680192b. I changed it use importing code from  . This also made it import packages and objects list in the NAMESPACE file, in the same way that they are loaded when using  . Now the DESCRIPTION file isn\'t used to actually import packages," although it is still used to check version numbers.""'",,,,,,,,,,,,,,,,,,,,,,,,
devtools,141,closed,closed,2012-08-16 01:26:19,255.55,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,141,closed,2,2012-08-14 21:10:46,1065.35,,,1,"b'b"" Winston",  What was up here? I\'m getting some of the behavior you describe above: It\'s spooky that a date is involved, but I\'m guessing that it\'s not a lubridate thing. Also, the warning message does not always appear," and it sometimes appears for -even though the package loads fine.""'",,,,,,,,,,,,,,,,,,,,,,,
devtools,141,closed,3,2012-08-14 21:10:46,142.07,1,,,"b'b"" Oh yeah"," I\'ve seen this again recently. The date isn\'t a lubridate thing I believe it has something to do with R\'s handing of  . Sorry I don\'t have more insight on it right now!""'",,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,141,closed,4,2012-08-14 21:10:46,6.45,,,1,"b""b' Garrett which package are you using when you see this? With Shiny", this warning comes up now when you reload a package. It was introduced in @8d8ea53804251a24d9f38368b8ed0a9cf0133be5, The problem is in NAMESPACE. When that line is removed," reloading works fine.'""",,,,,,,,,,,,,,,,,,,,,,,,
devtools,141,closed,5,2012-08-14 21:10:46,3.17,1,,,"b'b"" One more thing I just remembered: John Chambers suggests putting methods into the Depends field instead of importing it. It\'s the third message in this thread:url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,141,closed,6,2012-08-14 21:10:46,66.13,,,1,"b'b"" Winston",  I was using lubridate, of course :) It\'s good to know that we can trace the problem to  . Lubridate already lists methods in the dependency field. However," I add to pass R CMD check (it fails on a warning otherwise). Is there an alternative way to use methods and pass CRAN\'s check?""'",,,,,,,,,,,,,,,,,,,,,,,,
devtools,141,closed,reopened,2013-12-18 22:49:36,1283.28,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,141,closed,7,2012-08-14 21:10:46,123.25,,1,,"b'b"" I\'m thinking now that you can leave the issue is with devtools. There\'s something different about how S4 classes are created when using  "," as compared to loading a built package with  . Hopefully I\'ll be able to get to behave more like  .""'",,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,141,closed,8,2012-08-14 21:10:46,910.55,,1,,"b""b' Does this still happen? Or is it fixed in recent R?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,141,closed,9,2012-08-14 21:10:46,22.52,1,,,"b'b\' The ""Created package name"" warning seems to be gone on R 3.0.3", and R-devel (from about two weeks ago). @garrettgman A heads up: on R-devel, I see these messages after the tests (but not on R 3.0.3):  \'',,,,,,,,,,,,,,,,,,,,,,,,,
devtools,141,closed,closed,2014-03-18 16:33:42,1064.1,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,141,closed,-,-,-,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,174,closed,opened,2012-10-18 23:45:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,174,closed,title,2012-10-18 23:45:56,00:00,,1,,"b'b"" run_examples can\'t find exported s4 method""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,174,closed,body,2012-10-18 23:45:56,00:00,,1,,"b'b"" Hi guys Loving the packages and updates. doesn\'t seem to be picking up exported S4 generic functions (and their methods). It returns However"," I get no such problems when I run  . I\'ve got in  .""'",,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,174,closed,1,2012-10-18 23:45:56,369.48,,,1,"b'b"" Interestingly"," I don\'t experience any errors or warnings when running which I believe checks the examples as one of the last steps.""'",,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,174,closed,2,2012-10-18 23:45:56,966.57,,,1,"b""b' I think this is a issue. When I add to  "," the examples run fine.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,174,closed,closed,2012-10-23 22:01:59,1336.05,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,174,closed,3,2012-10-18 23:45:56,272.77,,1,,"b'b"" I don\'t think this is a roxygen thing after all. It shouldn\'t need to  . It should just need the directive. See [Writing R extensions]url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,174,closed,reopened,2012-10-26 02:34:45,272.77,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,174,closed,4,2012-10-18 23:45:56,1073.2,,1,,"b'b"" I\'m trying to reproduce this issue so I can fix it. Could you provide a package that exhibits this problem?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,174,closed,5,2012-10-18 23:45:56,99.67,,1,,"b'b"" You do and so I don\'t think this is a bug in devtools.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,174,closed,closed,2013-01-03 22:08:37,1173.87,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,174,closed,6,2012-10-18 23:45:56,1137.83,,1,,"b'b"" I am also hitting this issue on a package that I am working on. I get no errors when I run check() but when I use run_examples() my generic functions can\'t be found.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,174,closed,-,-,-,0,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,179,closed,opened,2012-10-29 19:43:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,179,closed,title,2012-10-29 19:43:31,00:00,,1,,"b""b' load_all and '""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,179,closed,body,2012-10-29 19:43:31,00:00,,,1,"b""b' I am having this problem with a package that I am developing. I use to refer to external assets in the package directory. When I dont use things work fine. But", when I use  , is no longer able to detect package assets and as a result the code crashes. I can provide a reproducible example," but it will involve downloading and installing a package under development. Let me know.'""",,,,,,,,,,,,,,,,,,,,,,,,
devtools,179,closed,1,2012-10-29 19:43:31,511.47,,1,,"b""b' See the function from staticdocs for a workaround:url  The root of the problem is that the directory structure of an installed package is different from a development package.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,179,closed,2,2012-10-29 19:43:31,809.22,,,1,"b""b' Thanks. I will check that.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,179,closed,closed,2012-11-01 17:44:12,1320.68,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,179,closed,3,2012-10-29 19:43:31,529.3,1,,,"b'b"" sorry to be a bonehead", but I\'m _just_ getting started with devtools so may be a little obtuse.  I am having this precise problem.  I can follow the link to the function," but I\'m not sure how I can use to it to work around the problem ... hints?  Seems related to url ""'",,,,,,,,,,,,,,,,,,,,,,,,,
devtools,179,closed,reopened,2012-11-07 19:44:55,120.72,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,179,closed,4,2012-10-29 19:43:31,583.15,,1,,"b""b' @wch I think we need an environment of functions that need to be patched for devtools loaded packages these would always be copied into the package namespace"," and would include to start with.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,179,closed,5,2012-10-29 19:43:31,410.18,,1,,b'b\' OK," this could be tricky... I don\\\'t think it\\\'s possible to make a 100% compatible version of  . Here\\\'s one possible way to do it: Suppose that the name of the development package is ""newpackage""", and the path is  .If called with  , where is any package other than  , just pass through to  .If called with have some customized behavior:  If the path requested is  , return  .  If the path requested is  ,  , or  , return  , where is the file.  If the path is  , then return  If the path is anything else, return the path under Limitations:Any calls to from other packages or from the R console will get  , not the modified version.If users manually get a subdir based off the top level of newpackage, it\\\'ll probably be wrong. For example, will return  , instead of  , which is what they probably want.If functions like and are used, they still won\\\'t quite work right (this is almost the same as previous). For example, if someone does something like  , it\\\'ll return  , instead of  , which is what they probably want.Tangential: other functions that use or won\\\'t work correctly, and I don\\\'t think it\\\'s possible to make them work correctly. For example, see #191. So, overall, it might be possible to make a version of that sort of works, but there will be a lot exceptions to the behavior, which is why I\\\'m kind of lukewarm on it. The fundamental problem is that the directory structure of an installed package is different from the directory structure of an in-development package.\''
devtools,179,closed,6,2012-10-29 19:43:31,184.72,,1,,b'b\' Since only returns a path if the file exists," I think you can make the algorithm a little simpler.  Just look in look in ""/inst/x"" and if it\\\'s not in there look in ""/x"". Your other objections:I don\\\'t care about or is the most commonly usedIt only matters for functions in the development package", otherwise should point to the installed locatioWe haven\\\'t encountered problems with /  yet, so let\\\'s not worry about them ;)\'',,,,,,,,,,,,,,,,,,,,,,,,
devtools,179,closed,closed,2012-12-14 16:28:32,1243.62,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,179,closed,-,-,-,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,216,closed,opened,2012-12-15 23:48:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,216,closed,title,2012-12-15 23:48:25,00:00,,1,,"b'b"" build: if pdflatex not present"," don\'t build vignettes. Fixes #173""'",,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,216,closed,body,2012-12-15 23:48:25,00:00,,1,,"b'b"" Fixes #173. If isn\'t present"," then won\'t try to build the vignettes.""'",,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,216,closed,1,2012-12-15 23:48:25,12.27,,1,,"b""b' Can we do this for too?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,216,closed,2,2012-12-15 23:48:25,4.67,,1,,"b""b' Sure. But should something be done to ensure that a full check is done before a release?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,216,closed,3,2012-12-15 23:48:25,50.92,,1,,"b'b"" Just a strongly worded warning should be sufficient. It\'ll be helpful for classes. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,216,closed,closed,2012-12-16 00:56:16,67.85,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,216,closed,reopened,2012-12-16 00:56:22,0.1,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,216,closed,4,2012-12-15 23:48:25,5.25,,1,,"b'b"" OK", I\'ve made the wording a bit stronger, rebased," and added a NEWS item.""'",,,,,,,,,,,,,,,,,,,,,,,,
devtools,216,closed,closed,2012-12-16 01:20:03,23.68,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,216,closed,-,-,-,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,262,closed,opened,2013-02-21 22:00:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,262,closed,title,2013-02-21 22:00:55,00:00,,1,,"b""b' Incorrect warning: Rtools has been deleted'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,262,closed,body,2013-02-21 22:00:55,00:00,1,,,"b""b' Using Rtools version 3.0.0.1927 for Windows. Installed in C:\\\\dev\\\\Rtools.Using devtools 1.1. I try to load devtools"," and I get the following warning: I have not deleted Rtools. It still exists in my installation directory. I believe something is wrong with the Rtools detection. The identical error message occurs when I run find_rtools().'""",,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,262,closed,1,2013-02-21 22:00:55,12.0,,,1,"b""b' Could you please run and include the output? Thanks!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,262,closed,2,2013-02-21 22:00:55,1.22,,1,,"b""b' Please download and install Rtools 3.0 from url  and then run find_rtools().'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,262,closed,3,2013-02-21 22:00:55,31.65,,1,,"b""b' I think I found the bug in my regexp can you please try installing the (hopefully) fixed version at url  and let me know if it works?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,262,closed,closed,2013-02-21 22:45:47,44.87,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,262,closed,reopened,2013-02-21 22:45:49,0.03,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,262,closed,4,2013-02-21 22:00:55,57.92,,,1,"b'b"" Yes", that fixed the issue. Thanks! There were no errors when loading the devtools package. Also," the find_rtools() function seemed to work fine. I\'ve included the output below.  ""'",,,,,,,,,,,,,,,,,,,,,,,,,
devtools,262,closed,closed,2013-02-22 15:07:59,982.17,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,262,closed,5,2013-02-21 22:00:55,1239.3,,1,,b'b\' Hi,  I am having the same problem as jimmarq had. And when I run find_rtools(TRUE)," I get: ""Scanning path...Scanning registry...Found c:/Rtools for 3.0  Rtools version 3.0.0.1927 WARNING: Rtools is required to build R packages"," but the version of Rtools previously installed in c:/Rtools has been deleted. Please download and install Rtools 3.0 from url  and then run find_rtools()."" I am new to devtools", but can\\\'t get past this problem.\'',,,,,,,,,,,,,,,,,,,,,,,
devtools,262,closed,6,2013-02-21 22:00:55,925.43,,1,,"b""b' @Brent-Dickinson can you please try installing url  ?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,262,closed,7,2013-02-21 22:00:55,945.08,,,1,"b""b' Thanks very much"," that seems to have taken care of the problem!'""",,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,262,closed,8,2013-02-21 22:00:55,629.23,1,,,"b'b"" I had the same problems as described above. After installing url  I\'m now seeing the following error message (with R 3.0.0):  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,262,closed,9,2013-02-21 22:00:55,1046.85,,1,,"b'b"" Try url  and I\'m working on submitting it to cran later today.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,262,closed,10,2013-02-21 22:00:55,1301.27,1,,,"b""b' I updated the devtools package to the one from CRAN"," but I still get the message that Rtools could not be foundPlease download and install Rtools 3.0 from url  and then run find_rtools()..'""",,,,,,,,,,,,,,,,,,,,,,,,,,
