REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,1,2011-04-07 17:36:22,1063.08,,,1,"b""b' I found the problem: git_ uses 2 different algos to sort the entries: entry_search_cmp and entry_sort_cmpentry_search_cmp makes an alphabetic sort", but entry_sort_cmp is more sophisticated (directories and files are not sorted the same way). So i see 3 solutions:1We need to sort the list alphabetically before make the search (problem: git_vector_bsearch2 makes a sort)2We split entry_search_cmp into 2 functions: entry_search_file_cmp and entry_search_dir_cmp, we use gitfo_cmp_path and we search for a file and after for a directory.3Maybe we can always (everywhere) use an alphabetic sort???4An other better solution," ... I made this patch: url  to test the solution and it works fine with git_tree_entry_byname. But it is not very clean (i change a private member (_cmp)) and incomplete (we must find a solution for all bsearch2 in the code). '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,2,2011-04-07 17:36:22,399.42,,,1,"b'b"" also i encounterd this problem. i\'","m looking forward to fix that :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,3,2011-04-07 17:36:22,257.53,,1,,"b""b' I stumbled onto this also. I created a test case for this before kind souls pointed me towards this issue. Is anybody working on this? The fix in @8ee19a25ab4b54ff583bb46093610db0f53d2ab5 corrects my test case @8af9b61663dbee227620f02a53260524c24de779. That also fixes my original failing case in haskell.  There is still one case using insert"," remove and entry_byname which fails even with versmisses commit -or then it is the late hour... if it turns out to be a real failure I turn it in to a test case for libgit2 '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,4,2011-04-07 17:36:22,1204.93,,1,,"b""b' yes the other test failure I got is a result of the same problem but now with git_treebuilder_remove (test @30c1d261272700481af8be466a7151906b05c6a6).'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,5,2011-04-07 17:36:22,1165.38,,1,,"b""b' I had totally missed this. Fixing asap.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,6,2011-04-07 17:36:22,118.77,,1,,"b'b"" What\'s the status of this?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,7,2011-04-07 17:36:22,26.58,1,,,"b""b' Last I heard about this was that tanoku was going to fix this asap. Idid not start work on it due to this. But maybe I should have as Iseem to recall that the problem is still present in 0.13 release andit really bothers me. Sakari On Tue", Jul 12, 2011 at 6:45 PM," carlosmnreply@wrote:'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,8,2011-04-07 17:36:22,487.12,,1,,"b""b' Working on this now.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,closed,2011-07-13 01:37:59,481.62,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,9,2011-04-07 17:36:22,80.35,,,1,"b""b' Paging everyone: does this fix make sense at all? I think I have trascended reality and the bytes no longer make sense to me. 761aa2aa35d5427b8b22d342ef2116bc22252648'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,10,2011-04-07 17:36:22,880.4,,1,,"b""b' Not yet fixed. A user has found a broken case with the Linux kernel Git repo"," see url  I have translated it to C. Here is the test program:  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,11,2011-04-07 17:36:22,106.58,,1,,b'b\' I had a little time this weekend to look for the cause of the bug. It seems to be because the assumption in 761aa2a, that the path we\\\'re searching for is of the same kind () as the tree entry we\\\'re comparing with," will cause different orderings when searching vs. when sorting. For example when comparing the directory ""i2c"" with the file ""i2c.h"" in the sort phase"," git_futils_cmp_path will know the first is a directory and treat it as if it was named ""i2c/"" and so produce this ordering:but when comparing the name we\\\'re searching for",i2c," with the file ""i2c.h"" in the search phase"," it will assume ""i2c"" is _not_ a directory and so order it as:so the binary search will fail. I guess that when sorting the tree for the purpose of doing a bsearch", it should always be sorted in plain alphabetic order, but the special treatment for directories seems to be required in other cases to follow the behaviour of Git exactly (see 35786cb). \'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,12,2011-04-07 17:36:22,1032.18,1,,,"b'b"" I\'m sorry but this is not yet fixed and must be reopened"," right?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,reopened,2011-09-06 11:36:45,598.77,2,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,13,2011-04-07 17:36:22,18.27,1,,,"b""b' Apologies"," I missed this. Looking into it (again)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,14,2011-04-07 17:36:22,0.37,,1,,"b'b"" If the bug still exists", then yes," it should be reopened. Is there any reason why we can\'t use \'s sorting function everywhere?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,15,2011-04-07 17:36:22,114.87,,1,,"b""b' I think there are only 2 solutions1. On every search we must know what we are searching for a blob", or a tree (also a commit can be in tree in case of submodules)2. We always performing 2 searches for tree and for blob. Also," we can optimize it like one search with some split on the end. An assumption  to use entry->attr in comparison in entry_search_cmp is wrong'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,16,2011-04-07 17:36:22,1039.48,,1,,"b'b"" Any progress on this? I\'m kindof blocked on this issue.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,17,2011-04-07 17:36:22,269.23,,1,,"b'b"" I\'ll jump into this this afternoon again.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,18,2011-04-07 17:36:22,79.08,,1,,"b""b' How was the jump? :-)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,19,2011-04-07 17:36:22,663.07,,1,,"b'b"" Alright", after some more thought, I decided to go with @itroot\'s first solution: letting the library know what kind of object we\'re looking for. Instead of adding a explicit argument to the API, I\'ve changed the search callback internally: if you\'re looking for an entry called  , and that entry is a folder, then just call  . That should cut it. I\'m looking for some feedback, i.e. cases where you don\'t know beforehand if the entry you\'re looking for is a folder or a normal file. I think this would be extremely rare, and the only way to handle this would be the two binary searches, or probably a single linear search," which at first strikes me as more optimal on 90% of the cases...""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,20,2011-04-07 17:36:22,68.87,,1,,"b'b"" I don\'t think that\'s so rare. I have that scenario right now and my workaround for this bug does a linear search when git_tree_entry_byname() doesn\'t find anything.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,21,2011-04-07 17:36:22,0.85,,1,,"b""b' Can you give me some background on what are you trying to accomplish?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,22,2011-04-07 17:36:22,3.27,,1,,"b'b"" I\'m writing an scm-independent library that uses libgit and the path strings are provided by the caller. My api does not require the user to supply an entity type.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,23,2011-04-07 17:36:22,488.55,,1,,"b'b"" Use case", Git: That\'s the input provided by the user, an it must work whether is a directory or a file. The question is whether libgi2 should provide a function for this or whether it should be implemented at a higher level. In my opinion it\'s be better if there is a libgit2 function, otherwise we will find an implementation in every binding (rugged, pygit2, etc.) Regarding implementation, I prefer two binary searches over a linear search, because it scales. Then it is about testing, you could for instance check the length of the tree object and choose one strategy or the other based on that. What about something like this : So if the caller knows you get the best performance. If the caller does not know," it still works.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,24,2011-04-07 17:36:22,61.47,,1,,"b'b"" Just would like to add. A linear search would be enough for me today"," like @erikvanzijst that\'s my current workaround. The important thing is that it works.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,25,2011-04-07 17:36:22,663.43,,,1,b'b\' Often, the caller can\\\'t _know_ that a particular path refers to a file. Not even if they look at the working tree. They can have a good idea," but not know. If the user says they\\\'re interested in ""foobar/""", you know they\\\'re only interested in a directory called foobar, so it won\\\'t match if it\\\'s a file," but the user only types ""foobar""", it needs to match whether it\\\'s a file for a directory. I believe the best solution is to use two linear searches like this:use the path as-is; return if foundif the path has a trailing slash  return failureOtherwise  try to find a directory with that name.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,26,2011-04-07 17:36:22,218.32,,,1,"b""b' url  ![Check it out yo]url  Check out this fix yo. Two-pass binary-linear hybrid. Nebody finding any issues?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,27,2011-04-07 17:36:22,503.32,,,1,"b""b' @tanoku Works very nicely from a binding angle!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,28,2011-04-07 17:36:22,70.07,,,1,"b""b' The test programs work"," bravo!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,29,2011-04-07 17:36:22,389.75,,,1,"b""b' Most riveting! Looks like we can close this for good then... Until it breaks again. :)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,closed,2011-10-20 16:50:57,314.2,3,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,-,-,-,3,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,144,closed,opened,2011-04-24 14:51:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,144,closed,title,2011-04-24 14:51:18,00:00,,1,,"b""b' Fix fake wstream write'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,144,closed,body,2011-04-24 14:51:18,00:00,,1,,"b""b' Fix writing uninitialized data after fake_wstream__write() fails.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,144,closed,closed,2011-05-01 21:55:51,424.55,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,144,closed,1,2011-04-24 14:51:18,424.9,,,1,"b""b' Thanks!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,144,closed,2,2011-04-24 14:51:18,905.17,,1,,"b""b' Hi"," it seems you forgot to merge this changes.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,144,closed,reopened,2011-06-02 22:11:59,16.13,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,144,closed,3,2011-04-24 14:51:18,551.07,,,1,"b""b' Duh! Forgot to click the button. Cheers for reminding me. :)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,144,closed,closed,2011-06-02 22:12:38,0.65,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,144,closed,-,-,-,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,221,closed,opened,2011-05-31 12:51:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,221,closed,title,2011-05-31 12:51:12,00:00,,1,,"b""b' [idea] References backend concept'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,221,closed,body,2011-05-31 12:51:12,00:00,,,1,"b""b' Hello", at libgit2 we have odb backend concept we can decouple and store git object not on filesytem, but in any entity, that correctly support odb backend interface.I think, that the same concept maybe will be useful for references then we can store references as we want, providing not filesystem, but a references backend. If one of authors of project will found this idea worthy of attention, then I can implement this concept and contibute code. Thank you," waiting for you response!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,221,closed,1,2011-05-31 12:51:12,42.3,,,1,"b'b"" Hm. This sounds like an interesting idea", but I can\'t really come up with any situations where it might be worthwhile to store references in a custom format other than Git\'s default one," specially since references need to be queried by the Git network protocol. What use cases do you have in mind?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,221,closed,2,2011-05-31 12:51:12,20.27,,,1,"b'b"" For example", someone can use git object model as a base of versioned hierarchical key-value storage. And reference storage that tightly connected to disk i/o is not appropriate each reference is a file, that takes a lot of space in perspective of 1M databases per physical machine. So, object storage decoupling was made perfect, we can use any backend as we want, but references are still on disk.  Of couse, in that case we just can impement our own references and do not use a git one\'s, but I think that custom backend for references will be quite useful maybe libgit2 will provide later some merge functions," and so on it is always better use native library structures then reinventing the wheel.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,221,closed,3,2011-05-31 12:51:12,1145.95,,1,,"b""b' Up?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,221,closed,closed,2011-07-25 08:59:43,1208.52,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,221,closed,reopened,2011-07-25 08:59:55,0.2,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,221,closed,4,2011-05-31 12:51:12,161.13,,1,,"b'b"" If you feel like working on it"," it\'s probably the best to just come up with some code for further discussion.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,221,closed,5,2011-05-31 12:51:12,283.58,,1,,"b'b"" As the reference handling needs a big overhaul", we might as well do it through back-ends. We can\'t have a non-git default reference storage," because we need to be compatible with the command-line client. A big site _cough_ github _cough_ might find it worthwhile to store the references in a database instead of on disk. Maybe.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,221,closed,6,2011-05-31 12:51:12,535.27,,1,,"b""b' This recently landed in the library as  .'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,221,closed,closed,2013-03-08 01:19:42,979.78,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,221,closed,-,-,-,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,257,closed,opened,2011-06-14 13:38:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,257,closed,title,2011-06-14 13:38:13,00:00,,1,,"b""b' Port MSVC specific Waf compilation flags to CMake and remove dynamic dependency to msvcr100.dll on Windows'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,257,closed,body,2011-06-14 13:38:13,00:00,,,1,"b'b"" Port MSVC specific Waf compilation flags to CMake and remove dynamic dependence to msvcr100.dll on Windows The \'/MT\' and \'/MTd\' flags replace the dynamic link to \'msvcr100.dll\' with a static link to \'\'. This has the nice effect to ease the deployment of libgit2 by removing the dependence on \'msvcr100.dll\' which is not deployed by default on Windows. This should fix #255 as well.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,257,closed,closed,2011-06-14 13:52:34,14.35,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,257,closed,reopened,2011-06-14 14:06:25,13.85,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,257,closed,1,2011-06-14 13:38:13,30.17,,1,,"b""b' Everything works as expected. No dependency to msvcr100.dll in depends22_x86 ()C tests passLibGit2Sharp tests pass'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,257,closed,2,2011-06-14 13:38:13,91.15,,1,,"b""b' Very handy for dropping Waf support. Merged. :)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,257,closed,closed,2011-06-14 15:39:37,93.2,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,257,closed,-,-,-,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,289,closed,opened,2011-06-30 17:17:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,289,closed,title,2011-06-30 17:17:44,00:00,,1,,"b""b' libgit2 cmake build fails on Solaris'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,289,closed,body,2011-06-30 17:17:44,00:00,,1,,"b'b\' When I follow the standard build instructions (""mkdir build; cd build; cmake ..; gmake"") on Solaris 10 the build fails. Looks like pretty simple stuff. I have a change that fixes it though it may not be the right fix", and will try to attach the build log and patch if I can figure out how to attach files to bug reports here on GitHub.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,289,closed,1,2011-06-30 17:17:44,6.92,1,,,"b'b\' Apparently attachments are not possible. Here\\\'s a sample of the build problems; some of these messages are repeated for each source file. /:7:1: warning: ""_FILE_OFFSET_BITS"" redefinedIn file included from /:18",       from /:29,       from /:4,       from /:11,       from /:34,       from /:22,       from /:16,       from /:37:/-pc-solaris2.10/4.3.3/include-:197:1: warning: this is the location of the previous definitionIn file included from /:119:/:100: warning: visibility attribute not supported in this configuration; ignored/:116: warning: visibility attribute not supported in this configuration; ignored/:410: warning: visibility attribute not supported in this configuration; ignored/:883: warning: visibility attribute not supported in this configuration; ignored/:919: warning: visibility attribute not supported in this configuration; ignored/:1020: warning: visibility attribute not supported in this configuration; ignored/:1071: warning: visibility attribute not supported in this configuration; ignored[ 40%] Building C object In file included from /:11,       from /:34,       from /:22,"       from /:8:/:7:1: warning: ""_FILE_OFFSET_BITS"" redefinedIn file included from /:18",       from /:29,       from /:4,       from /:11,       from /:34,       from /:22,       from /:8:/-pc-solaris2.10/4.3.3/include-:197:1: warning: this is the location of the previous definitionLinking C shared library libgit2.sold: fatal: relocation error: R_386_GOTOFF: file : symbol zcalloc: relocation must bind locally:1022: recipe for target  \\\' failedmake[1]: **\\\\* [] Error 2Makefile:123: recipe for target \'',,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,289,closed,2,2011-06-30 17:17:44,0.82,,,1,b'b\' And here\\\'s the workaround: diff git  index 258fa88..e04ffb8 100644+++ @@ -13,11 +13,"14 @@ #ifndef ZUTIL_H #define ZUTIL_H +#if 0 #if ((**GNUC**-0) \\\\* 10 + **GNUC_MINOR**-0 >= 33) && !defined(NO_VIZ) #  define ZLIB_INTERNAL **attribute**((visibility (""hidden""))) #else #  define ZLIB_INTERNAL #endif+#endif+#  define ZLIB_INTERNAL  #include ""zlib.h"" diff git  index b6a6b4 100644+++ @@ -4",7 +4,"13 @@ #include ""git2/common.h""  /*\\\\* Force 64 bit off_t size on POSIX. */-#define _FILE_OFFSET_BITS 64+//#define _FILE_OFFSET_BITS 64+#ifndef _LARGEFILE64_SOURCE+#define _LARGEFILE64_SOURCE+#endif+#ifndef _LARGEFILE_SOURCE+#define _LARGEFILE_SOURCE+#endif  #include ""git2/thread-utils.h"" #include ""cc-compat.h""\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,289,closed,closed,2011-06-30 17:26:08,8.4,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,289,closed,reopened,2011-06-30 17:26:45,0.62,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,289,closed,3,2011-06-30 17:17:44,1.8,1,,,"b""b' Closed by mistake"," sorry. First time through this UI.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,289,closed,4,2011-06-30 17:17:44,189.33,,,1,"b'b"" Hey boyski", thanks for the heads up. There\'s two issues I can see here:1. is being redefined. I fixed this by adding the define as a compile-time flag, instead of having it on the header itself. Note that defining only silents the warning, but doesn\'t build libgit2 with 64-bit file support (which it requires to run properly): the LG64 extension enables an alternate 64 bit API, but this API wouldn\'t be used on the library. The offset bits define, on the other hand, replaces the default API with the 64-bit one, so it\'s used by default.2. The second issue with visibility: I\'ve declared on the file to disable the visibility declarations on POSIX systems; it\'s not a widespread enough feature to use it everywhere, and it only works on GCC anyway. Hopefully this will fix compilation on Solaris without any further issues. Please shout if you find any issues. PS: In the future, submitting changes through GitHub is easier if you fork the libgit2 repository, work your changes in," and then submit a pull request so we can review and discuss it. Cheers!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,289,closed,closed,2011-06-30 20:36:36,189.85,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,289,closed,5,2011-06-30 17:17:44,348.92,,1,,"b'b"" Thanks for the fast response. This fixes the _FILE_OFFSET_BITS warnings but unfortunately the visibility problem remains. It looks like there are some files which open zutil.h before (or without) reading zconf.h", so the NO_VIZ is not seen. BTW I am using gcc (4.3.3) here," not the Sun compiler. Below is a summary of the remaining problem: In file included from /:119:/:100: warning: visibility attribute not supported in this configuration; ignored/:116: warning: visibility attribute not supported in this configuration; ignored/:410: warning: visibility attribute not supported in this configuration; ignored/:883: warning: visibility attribute not supported in this configuration; ignored/:919: warning: visibility attribute not supported in this configuration; ignored/:1020: warning: visibility attribute not supported in this configuration; ignored/:1071: warning: visibility attribute not supported in this configuration; ignored[ 35%] Building C object /:324: warning: visibility attribute not supported in this configuration; ignored[ 36%] Building C object /:330: warning: visibility attribute not supported in this configuration; ignored[ 37%] Building C object /:1834: warning: visibility attribute not supported in this configuration; ignored/:1834: warning: visibility attribute not supported in this configuration; ignored/:1834: warning: visibility attribute not supported in this configuration; ignored/:1834: warning: visibility attribute not supported in this configuration; ignored/:1834: warning: visibility attribute not supported in this configuration; ignored/:1834: warning: visibility attribute not supported in this configuration; ignored/:1834: warning: visibility attribute not supported in this configuration; ignored/:1834: warning: visibility attribute not supported in this configuration; ignored[ 38%] Building C object /:1480: warning: visibility attribute not supported in this configuration; ignored/:1480: warning: visibility attribute not supported in this configuration; ignored/:1480: warning: visibility attribute not supported in this configuration; ignored/:1480: warning: visibility attribute not supported in this configuration; ignored[ 39%] Building C object /:308: warning: visibility attribute not supported in this configuration; ignored/:316: warning: visibility attribute not supported in this configuration; ignored[ 40%] Building C object Linking C shared library libgit2.sold: fatal: relocation error: R_386_GOTOFF: file : symbol _length_code: relocation must bind locally:1022: recipe for target  \' failedmake[1]: **\\\\* [] Error 2Makefile:123: recipe for target ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,289,closed,6,2011-06-30 17:17:44,350.72,,1,,"b""b' BTW"," a little off topic but can I ask cmake to build a static library instead?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,289,closed,7,2011-06-30 17:17:44,711.65,,1,,"b'b"" @boyski You\'d have to pass -DBUILD_SHARED_LIBS=NO to CMake when configuring your build.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,289,closed,8,2011-06-30 17:17:44,1162.72,,,1,"b'b"" Yes", as Romain says, you should disable  , either through the commandline or through the configuration wizard  . Regarding the NO_VIZ issue, I fixed it by moving those defines to the build system too. Also, I\'ve just merged a patch that will let you use your system\'s ZLib at build time," if CMake can find it. Hopefully that\'ll fix all the issues you\'ve been encountering. Cheers!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
