REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,5,2011-03-18 09:16:28,708.15,,1,,"b'b"" I\'m running into this same issue", and I believe it only happens when your source file is HTML. I just tested it, and with the permalink: pretty setting," Jekyll turned  into _ and  into _ Hope that helps.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,6,2011-03-18 09:16:28,73.68,,1,,"b""b' I can seem to reproduce this with Markdown source files and Jekyll 0.11.2. If I set (which is the same as pretty according to the wiki) it produces different output i.e. my posts end up in directories with  but pages do not and remain as $.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,7,2011-03-18 09:16:28,1130.45,,,1,"b'b"" I\'m having this issue with .md files", also with Jekyll 0.11.12 Everything worked fine for pages with  , but stopped working when I specified a custom format. I\'m currently working around that by specifying specific permalinks  ( e.g.  ) in the yaml front matter for my pages," but that\'s going to get old if I end up with more than a handful. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,8,2011-03-18 09:16:28,1234.97,,1,,"b'b"" This should be fixed. There were a lot of fixes shipped in 0.12.0"," so if it\'s still there let\'s re-open this issue.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,closed,2013-03-17 16:22:19,425.85,0,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,9,2011-03-18 09:16:28,1092.38,,1,,"b""b' I am having the same problem in Jekyll 0.12.1 If I am not mistaken It should be named  "," but it is named  .'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,reopened,2013-03-18 16:45:29,23.17,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,10,2011-03-18 09:16:28,371.43,,1,,"b""b' Can you please install 1.0.0.beta1 and try that for me?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,11,2011-03-18 09:16:28,118.72,,1,,"b'b"" It doesn\'t work on 1.0.0.beta1 I have also tried with  ",  ," and  . BTW the new CLI rocks ^^""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,12,2011-03-18 09:16:28,82.97,,1,,"b'b"" I\'m surprised doesn\'t work [#L139]url  would seem to indicate that it\'s thrown into if it has a trailing slash.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,13,2011-03-18 09:16:28,84.75,1,,,"b""b' Really really sorry :astonished: You are right"," is working in 1.0.0.beta1. I got into a muddle with the tests and versions.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,14,2011-03-18 09:16:28,90.17,,,1,"b""b' No problemo! Glad it has been fixed :-)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,closed,2013-03-18 23:02:44,377.25,1,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,15,2011-03-18 09:16:28,1210.62,,1,,"b'b"" Referring back to @mikemcquaid\'s [observation]url  it looks like there\'s still some ambiguity in permalink behavior for Pages with regards to **pretty**. For example", if I set  , Jekyll behaves differently than if I set  . However, the [documentation for permalinks]url  leads me to believe that these two permalink settings would yield identical results. (note: different from the original issue, as of 1.5.1, there doesn\'t seem to be any difference in this behavior between .html and .md files) The use case where this gives me an issue is this:I want my Posts and Pages to have urls like  If I set  , this works for my Pages, but not for my PostsIf I set  , this works for my Posts, but not my Pages I know there are some simple alternatives to resolve this for my particular case (nest my Page files in named folders, add custom permalinks in the frontmatter for each Page or Post), but it seems like this special behavior for could confuse some users. Before considering a change to []url  I was curious, is there existing discussion about this and the reason that it is implemented this way," or a better place to post this Issue? Or perhaps the upcoming [Collections]url  will make this a non-issue ;)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,16,2011-03-18 09:16:28,683.07,,1,,"b'b"" I addressed this issue in the PR #1569 a while ago", but it was discarded (didn\'t really understand the reason). It could be adapted to the current code, of course," if it has more success.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,17,2011-03-18 09:16:28,1127.87,1,,,"b'b"" Sorry to dredge this up", but I\'m confused about the permalink behavior for  s vs.  s. I want  s to have the permalink style and  s to have the style  . E.g., for a post, for a page. If I set in (instead of  , which includes the category, which I don\'t want),"  s then lose their pretty URLs. What is the best way to get pretty URLs back for  s? Is this fixed in the changes by @willnorris referenced in url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,18,2011-03-18 09:16:28,109.87,1,,,"b'b"" @matthewmcvickar Sadly it\'s only in 3.0 beta", not in 2.5 or 2.4, so if you want @willnorris\'s fixes," you\'ll have to use the beta.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,19,2011-03-18 09:16:28,136.18,,,1,"b""b' @parkr Understood. Thank you!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,20,2011-03-18 09:16:28,1225.38,,,1,"b'b"" I couldn\'t figure out how to implement the configuration discussed at #2691. However", this took me all day to figure out and just wanted to share here: This results in:This illustrates that it IS possible to have separate default permalink structures for posts, pages, and collections! I confirm this works on 3.0.0 and 2.5.3," so no need to upgrade.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,21,2011-03-18 09:16:28,167.73,,1,,"b""b' Does anybody here know the exact list of working Jekyll permalinks in GitHub Pages?url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,-,-,-,3,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,324,closed,opened,2011-05-05 20:34:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,324,closed,title,2011-05-05 20:34:07,00:00,,1,,"b""b' Jekyll ignores filenames with _*'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,324,closed,body,2011-05-05 20:34:07,00:00,,1,,"b""b' I have uploaded api documentation created by phpdocumentor to my github page. However"," it seems that jekyll ignores all filenames starting with _. Is that expected behavior?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,324,closed,1,2011-05-05 20:34:07,479.88,,1,,"b""b' Yes"," that is the correct behavior. You can completely opt-out of Jekyll processing by creating a file named .nojekyll in the root of your pages repo and pushing that to GitHub.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,324,closed,closed,2011-05-11 04:34:00,479.88,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,324,closed,reopened,2011-05-11 10:46:26,372.43,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,324,closed,2,2011-05-05 20:34:07,372.47,,1,,"b""b' What if I want jekyll on some folders"," but not on others?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,324,closed,3,2011-05-05 20:34:07,259.02,1,,,"b""b' You cannot do that"," sorry.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,324,closed,4,2011-05-05 20:34:07,168.38,,1,,"b'b"" That\'s correct", though a few people have asked for what you want," and it may be time to think about whitelisting the special Jekyll directories so that underscore dirs from other things can be copied over properly.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,324,closed,5,2011-05-05 20:34:07,1186.17,,1,,"b""b' I were thinking of creating a folder called  ", where I would put my header, footer, etc. This could maybe be a feature for Jekyll. Where you add an include folder," and you just use a tag to include the wanted bit.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,324,closed,6,2011-05-05 20:34:07,1004.87,,1,,"b""b' How about using an key inside  "," just like you use to force files not to be copied?  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,324,closed,7,2011-05-05 20:34:07,361.93,,1,,"b""b' connected with #152"," #198'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,324,closed,8,2011-05-05 20:34:07,571.6,,1,,"b'b"" Seems this was added in commit 89180169a433d0565bdd95537b8632924f4ddfe9 (the above-mentioned addition of an field to  ). Though", it\'s currently only available on the master branch," and is not yet available as gem nor does github pages yet use this version.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,324,closed,9,2011-05-05 20:34:07,226.9,,,1,"b""b' Sounds like this is fixed! Please  if not.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,324,closed,closed,2013-01-02 01:45:20,898.9,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,324,closed,-,-,-,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,338,closed,opened,2011-05-23 15:20:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,338,closed,title,2011-05-23 15:20:59,00:00,,1,,"b""b' Broken html resulting from highlight'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,338,closed,body,2011-05-23 15:20:59,00:00,,,1,"b'b"" I\'m trying to highlight the following code url  .  The resulting html markup\'s div is spilling out and containing other content too inside itself url  I haven\'t been able to find similar issues with someone else so far. I\'m using textile formatting", ruby 1.8.7, jekyll 0.10.0, Pygments 1.4 Let me know if there\'s a fix," or if I need to provide any more info. Thx!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,338,closed,1,2011-05-23 15:20:59,12.6,,1,,"b""b' Found a hackish way url  ) with no explanation", I contained the highlight block as a list item. But when I bring a highlight block out of the list," it spills out again.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,338,closed,2,2011-05-23 15:20:59,426.02,,1,,"b'b"" I\'m not able to duplicate this locally. Is the repo to which this belongs public so I can take a look at it?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,338,closed,3,2011-05-23 15:20:59,454.78,,1,,"b'b"" I\'m working on a fork of url  "," with almost no modifications apart from ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,338,closed,closed,2011-07-13 18:08:17,167.3,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,338,closed,reopened,2011-07-13 18:08:19,0.03,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,338,closed,4,2011-05-23 15:20:59,1433.18,,,1,b'b\' Hi, I\\\'m having the exact same issue trying to highlight different code snippets, apparently mostly on snippets containing HTML tags (maybe it\\\'s the  characters). For example, trying to highlight: I either get: or Same thing with a snippet like: Usually, the very first time I run jekyll (empty output folder), it will work fine. Any subsequent runs after that will generate the escaped version. I then need to delete the output folder and run Jekyll again, which gives me the good version.  Do you have any idea what can cause Pygments to escape the span tags," and why a doing a ""clean"" makes a difference?\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,338,closed,5,2011-05-23 15:20:59,1359.02,,,1,b'b\' Just a quick update I created a new Liquid::Block plugin to run CodeRay instead, and I get similar issues. This time," it\\\'s on different code samples and 100% reproducible (nothing changes between clean and dirty runs). This one generates escaped HTML entities. If we add a space before ""@tag"" then the resulting HTML is fine"," but the ""%"" symbol is missing. Another similar one is the following"," where the ""@"" characters are always missing. These work fine when calling CodeRay from the command line", and Jekyll seems to pass the correct value to the Liquid::Block. Could it be doing some extra unwanted processing on the output then?\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,338,closed,6,2011-05-23 15:20:59,981.38,,1,,"b'b"" This issue is pretty stale. Closing. Re-open if it\'s still an issue.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,338,closed,closed,2013-02-23 21:07:58,179.65,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,338,closed,-,-,-,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,362,closed,opened,2011-07-13 04:15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,362,closed,title,2011-07-13 04:15:01,00:00,,1,,"b""b' Links Broken'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,362,closed,body,2011-07-13 04:15:01,00:00,,,1,"b""b' When on the  page", the post can be read but when I click the link to the post, it cant find the file. When i change the link to the file from /2011/07/12/filename to 2011/07/12/filename (eg no slash at the start) it works fine," but i done want to do this every time I publish my jekyll site. Any suggestions?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,362,closed,1,2011-07-13 04:15:01,182.27,,1,,"b'b"" Show us your HTML and jekyll code because you\'re doing it wrong?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,362,closed,closed,2011-07-13 14:48:33,633.53,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,362,closed,reopened,2011-07-13 14:48:45,0.2,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,362,closed,2,2011-07-13 04:15:01,451.87,,1,,"b'b"" url Here\'s my folder with all jekyll stuff", hope it helps find the problem,"Ev""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,362,closed,3,2011-07-13 04:15:01,6.52,,1,,"b'b"" Where\'s  ?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,362,closed,4,2011-07-13 04:15:01,2.98,,1,,"b""b' decided to leave all of those options as default. it defaults anyways if it cant find a  file.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,362,closed,5,2011-07-13 04:15:01,4.77,,,1,"b""b' This is the On Wed", Jul 13, 2011 at 4:58 PM, evmunroreply@wrote:##  Cheers,"\\xe2\\x80\\x94 Kwpolska url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,362,closed,6,2011-07-13 04:15:01,4.47,,,1,"b'b\' one question-what do u use to edit a ?? and would I type ""base-url [/blog]""? thanks for the help\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,362,closed,7,2011-07-13 04:15:01,8.03,,1,,"b'b"" Use any text editor to edit your file. You\'d type:  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,362,closed,8,2011-07-13 04:15:01,266.02,,1,,"b'b"" It\'s actually in _ (and in your site templates", if you use it)," even though the command-line option is  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,362,closed,9,2011-07-13 04:15:01,5.08,,1,,"b""b' Whoops! Sorry a typo. I mixed them up. Thanks!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,362,closed,10,2011-07-13 04:15:01,890.97,,1,,"b""b' Seems not to work.Baseurl entry in _ Link without baseurl config: url Link with baseurl config:  url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,362,closed,11,2011-07-13 04:15:01,1288.87,,1,,"b'b\' Are you using {{}} in your templates? It won\\\'t do anything automagically; the only advantage of using ""baseurl"" over any other config variable is that you can override it with  .\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,362,closed,12,2011-07-13 04:15:01,861.08,,,1,"b""b' Uhm. Thanks for this information. I should have looked at the source code. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,362,closed,closed,2013-02-23 21:59:02,430.28,0,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,362,closed,13,2011-07-13 04:15:01,1411.52,,1,,"b""b' Stale. Closing.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,362,closed,-,-,-,0,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,380,closed,opened,2011-08-07 15:23:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,380,closed,title,2011-08-07 15:23:54,00:00,,1,,"b""b' Incremental regeneration'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,380,closed,body,2011-08-07 15:23:54,00:00,,,1,"b""b' Can some form of incremental regeneration (ala url  be added to the core of Jekyll? This would greatly enhance the tool for those sites (like mine) that have nearly 1800 entries and counting"," and which take upwards of 5 minutes to generate.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,380,closed,1,2011-08-07 15:23:54,255.78,,1,,"b'b"" I have a different implementation at url  too. It\'s helped plenty.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,380,closed,2,2011-08-07 15:23:54,1126.35,,1,,"b""b' :+1: This would be immensely useful. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,380,closed,3,2011-08-07 15:23:54,1298.13,,1,,"b""b' connected #118'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,380,closed,4,2011-08-07 15:23:54,335.45,1,,,"b'b"" Any reason why this can\'t be merged? Would be rather useful.. stuck with the same wait loop here.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,380,closed,5,2011-08-07 15:23:54,916.53,,,1,"b'b"" I would love it to be merged", too! My machine is not as high-end as yours, and with +350 posts it takes up to 4 minutes right now.  Don\'t know if it is a plugin or jekyll itself," but every user would benefit if there is a performance-improvement!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,380,closed,6,2011-08-07 15:23:54,5.08,,,1,"b'b"" We\'re working on a fix for this. Soon :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,380,closed,7,2011-08-07 15:23:54,463.18,,1,,"b'b"" As @tombell would point out", we need to regenerate the entire site every time anything changes \\xe2\\x80\\x93 we just can\'t know how pages depend upon each other. I\'ll wait to close this until I hear from @mojombo," though.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,380,closed,8,2011-08-07 15:23:54,302.82,,,1,"b'b\' Talked to @mojombo \\xe2\\x80\\x93 we\\\'re going to work on a solution for this that regenerates changed files and all the files that ""depend"" on that file. Not until after 1.0 though!\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,380,closed,9,2011-08-07 15:23:54,1184.57,,,1,"b""b' @parkr any news on this? I would love this feature as well.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
