REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,opened,2011-05-10 13:37:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,title,2011-05-10 13:37:13,00:00,,1,,"b""b' Ticket 105 Problem with saving habtm between different db-schemas '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,body,2011-05-10 13:37:13,00:00,,1,,b'b\' Hi," Please consider merging this branch.  It fixes the problem logged in [lighthouse ticket #105]url  The second commit is required to avoid the ""Unknown table \\\'foo\\\' in MULTI DELETE"" error as discussed in [this blog post]url \''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,1,2011-05-10 13:37:13,3.13,,1,,"b'b"" Forgot to mention that \'with\' key is required in the relationship declaration.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,2,2011-05-10 13:37:13,114.37,,1,,"b""b' Tests? Also I would not assume that both tables can be accessed using the same connection. So you should call the insert on the datasource fro the other model.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,3,2011-05-10 13:37:13,643.43,,1,,"b'b"" Since the HABTM has defined \'with\' key", it would use the value from the join model. eg: For tests," i\'ll try to update existing and write new ones up. This broke a lot of tests since it compares: against  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,4,2011-05-10 13:37:13,143.8,,1,,"b'b"" Let me try to rework this.  I\'m closing this pull request for now.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,closed,2011-05-11 04:41:57,904.73,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,reopened,2011-05-12 06:41:41,119.73,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,5,2011-05-10 13:37:13,129.97,,1,,"b'b"" @lorenzo", Can you comment on the additional commit @4f12dde53d5a2c8095c42984188081d663a2231d ? The deletions and insertions are now using the otherdb datasource. @211976fb3f29323a90fa8d698cd78076bcc3a700 introduces another parameter to fullTableName which may have bigger effect on the framework. I have adjusted test cases. At this point, all existing model and behavior tests passes. If you think this approach is sound, I\'ll add more tests for this use-case," rework the patch properly and remove the clumsy \'if\' conditions wherever possible.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,97,closed,title,2011-05-27 18:04:07,00:00,,1,,"b""b' Fix for MediaView in CakePHP 1.3'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,97,closed,body,2011-05-27 18:04:07,00:00,,1,,"b""b' MediaView fixed to work correctly with file names when file extesion is UPPERCASE'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,97,closed,1,2011-05-27 18:04:07,59.83,,1,,"b""b' Sure"," pull updated.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,97,closed,closed,2011-05-27 19:03:57,59.83,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,97,closed,reopened,2011-05-27 19:04:06,0.15,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,97,closed,2,2011-05-27 18:04:07,1244.35,,,1,"b""b' Thanks for the patch"," test cases landed in [5fd19266ba22ad0b171ab95da415baaa5eb4edd8]'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,97,closed,closed,2011-05-28 15:48:18,1244.2,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,97,closed,-,-,-,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,106,closed,opened,2011-05-30 10:15:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,106,closed,title,2011-05-30 10:15:28,00:00,,1,,"b""b' Fixed small typo in comment.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,106,closed,body,2011-05-30 10:15:28,00:00,,1,,"b""b' Fixed small typo in comment.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,106,closed,1,2011-05-30 10:15:28,29.03,,1,,"b""b' Could you update your pull request to go into the 1.3 branch"," please?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,106,closed,closed,2011-05-30 10:46:15,30.78,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,106,closed,reopened,2011-05-30 10:47:36,1.35,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,106,closed,2,2011-05-30 10:15:28,219.52,,1,,"b'b\' Hmm still looks like it wants to merge into master instead of 1.3 branch. ""StevenAFC wants someone to merge 1 commit into cakephp:master from StevenAFC:patch-1""\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,106,closed,3,2011-05-30 10:15:28,1048.62,,1,,"b""b' I am not quite sure how you change it"," I made the change using the GitHub interface rather than a local git repository I have clicked almost everything and have been unable to change the destination branch.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,106,closed,4,2011-05-30 10:15:28,30.42,,1,,"b""b' Well i am going to just close this request. Please send a new pull request with commit done on the 1.3 branch.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,106,closed,closed,2011-05-31 08:23:03,1295.45,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,106,closed,-,-,-,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,131,closed,opened,2011-06-25 06:33:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,131,closed,title,2011-06-25 06:33:35,00:00,,1,,"b""b' renamed chmod to mode in the comments for function copy. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,131,closed,1,2011-06-25 06:33:35,1.58,,1,,"b""b' The API caused me problems when i thought it was chmod instead of mode. So i have renamed the comment. Hope the team accepts it. No tangible code change at all.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,131,closed,closed,2011-06-25 06:35:10,1.58,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,131,closed,2,2011-06-25 06:33:35,470.37,,1,,"b""b' You may want to reopen the pull request"," since you closed it when commenting.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,131,closed,reopened,2011-06-25 16:05:00,569.83,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,131,closed,3,2011-06-25 06:33:35,99.68,1,,,"b""b' sorry abt that. first time doing this.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,131,closed,4,2011-06-25 06:33:35,233.4,,1,,"b""b' Merged to 1.3 branch.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,131,closed,closed,2011-06-25 19:58:37,233.62,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,131,closed,-,-,-,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,182,closed,opened,2011-08-26 21:23:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,182,closed,title,2011-08-26 21:23:10,00:00,,1,,"b""b' Patch for ticket #1938 toRSS() generates the wrong timezone when using userOffset'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,182,closed,body,2011-08-26 21:23:10,00:00,,1,,"b""b' Fixing issue where the time helper sets the wrong timezone part in RSS dates Tests for this only works for php 5.2 and up. Not sure if i needed to make it work for php 4 too. Was checking out the other userOffset test code and that is requiring the DateTimeZone class too. Test case tests all the edge cases too"," like UTC+4.45.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,182,closed,1,2011-08-26 21:23:10,6.22,1,,,"b""b' Since 1.3 supports php 4 your patch is unacceptable.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,182,closed,closed,2011-08-26 21:29:24,6.23,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,182,closed,reopened,2011-08-26 21:30:37,1.22,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,182,closed,2,2011-08-26 21:23:10,1.78,,1,,"b""b' We have a few tests like these using classes from 5.2... the question is"," is there a way to not use this class for the test case?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,182,closed,closed,2011-09-04 14:40:10,1029.55,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,182,closed,-,-,-,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,201,closed,opened,2011-09-15 18:57:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,201,closed,title,2011-09-15 18:57:32,00:00,,1,,"b""b' 2.0 Add validation guess for Postgress inet field'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,201,closed,body,2011-09-15 18:57:32,00:00,,1,,"b'b\' Postgres has a field ""inet"" accepting IP addresses.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,201,closed,closed,2011-09-15 18:59:18,1.77,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,201,closed,reopened,2011-09-15 19:03:41,4.38,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,201,closed,1,2011-09-15 18:57:32,1242.18,,1,,"b'b"" This seems like a reasonable change"," I\'ll get it merged in.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,201,closed,closed,2011-09-20 17:37:50,1354.15,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,201,closed,2,2011-09-15 18:57:32,119.22,1,,,"b""b' I think I screwed up my tree :('""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,201,closed,-,-,-,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,208,closed,opened,2011-09-21 20:52:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,208,closed,title,2011-09-21 20:52:59,00:00,,1,,"b'b"" added an additional check in TextHelper\'s autoLinkUrls()""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,208,closed,body,2011-09-21 20:52:59,00:00,,1,,"b'b"" will keep it from linking things with \'src=\' in front of it.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,208,closed,1,2011-09-21 20:52:59,9.7,,1,,"b""b' Is this to prevent img tags in text?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,208,closed,2,2011-09-21 20:52:59,11.2,,1,,"b'b\' If you use autoLink (or autoLinkUrls) on ""text"" that has any image tags", iframes, , it will attempt to turn the src url into an anchor tag," so you end up with something like: &lt;iframe src=""&lt;a /&gt;""/&gt; The addition to it makes sureit doesn\\\'t convert urls that come after src=""  (it\\\'s already checking that the url doesn\\\'t come after href="")\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,208,closed,3,2011-09-21 20:52:59,132.03,,1,,"b""b' I usually just make sure there is a whitespace or linebreak before the http://'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,208,closed,4,2011-09-21 20:52:59,36.13,,1,,"b'b\' milesj:  add whitespace or linebreak after src=""  ??  \''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,208,closed,5,2011-09-21 20:52:59,38.53,,1,,"b""b' Maybe I did something wrong again?  I only wanted to make one tiny change to the TextHelper"," and it says I want to commit 10 changes.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,208,closed,6,2011-09-21 20:52:59,16.73,,1,,"b""b' Its because the pull request is targeting the tag instead of the 2.0 branch.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,208,closed,7,2011-09-21 20:52:59,479.03,,,1,"b""b' Is there any way to edit the pull request to target the 2.0 branch?If not"," can you create another pull? Closing this one for now.Thanks so far.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,208,closed,closed,2011-09-26 08:56:21,723.37,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,208,closed,reopened,2011-10-10 19:28:31,632.17,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,208,closed,8,2011-09-21 20:52:59,632.22,,1,,"b""b' Since this is a simple change"," I can cherry-pick the single commit onto 2.0 and add a test.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,208,closed,9,2011-09-21 20:52:59,411.13,,1,,"b""b' Merged in [commit db51c0539af5a9d2c386b0c7a5738022a4f0bb30]'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,208,closed,closed,2011-10-11 02:19:42,411.18,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,208,closed,-,-,-,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,opened,2011-10-12 16:50:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,title,2011-10-12 16:50:26,00:00,,1,,"b""b' Make CakePHP default project like skel template for new projects.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,body,2011-10-12 16:50:26,00:00,,1,,"b""b' Moved AppController", PagesController," AppModel and AppHelper into default app directory to reflect the structure used by the project skel for bake. Fixes #2094 .'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,1,2011-10-12 16:50:26,91.93,1,,,"b""b' Sorry"," but this pull request is causing conflicts. Can you send it again?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,closed,2011-10-12 18:22:22,91.93,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,2,2011-10-12 16:50:26,1.18,,1,,"b'b"" Also", I could see this causing problems in current cake 2.0 apps, so It\'ll have to wait," I think.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,3,2011-10-12 16:50:26,32.52,,1,,"b'b"" @lorenzo: Well", dunno, I branched that from , so there shouldn\'t be any conflicts. And of course there would be conflicts with overwriting the given files. But I think that this can a) be communicated to the people using a RC version of cakephp," and b) is at least to me the only logical way to do this. Empty classes don\'t have anything to do with the core and should be in the app folder IMO.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,4,2011-10-12 16:50:26,336.02,,1,,"b'b"" Maybe rebase the commits?  I\'d like to one day remove the app dir entirely"," but I think that day is far away.  Github\'s zip files still don\'t pull in submodules.  Keeping app and the skel directory in sync is always painful.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,reopened,2011-10-13 04:44:43,622.35,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,5,2011-10-12 16:50:26,264.82,,1,,"b""b' @tPl0ch Get your local 2.0 branch up to date with  and then rebase your 2.0-appdir onto it as Mark suggested.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,6,2011-10-12 16:50:26,54.65,,1,,"b""b' @ADmad: I rebased those commits on top of the 2.0 branch now.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,7,2011-10-12 16:50:26,548.9,1,,,"b'b\' I don\\\'t know that removing the app/ directory is a great idea. Of the the benefits of cake is the ""ready to fly"" nature of it. Simply download zip", extract and BAM, good to go. It\\\'ll be a sad day when we require people to use bake. The default app structure is great for simple download + dev users.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,8,2011-10-12 16:50:26,12.1,1,,,"b'b\' I see no problem about removing the app directory as ""ready to fly""", mentioned by Predominant, is only for new users.Although those new users should be using stable version we can upload our own  files to github every new release, not much trouble. Another solution is splitting the main repository into others url  however it does not solve the problem about having to sync the app and skel directories every time.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,9,2011-10-12 16:50:26,45.17,1,,,"b""b' Well"," there are 2 possibilities: a) Keep the app dir in the repository and keep app and skel directory up to date by hand which is a pain in the arse.b) Split the app dir off the git repository and just include a baked app in the tarball at given releases (or add another app repository that you could pull in as a submodule). I would vote clearly for b)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,10,2011-10-12 16:50:26,12.68,1,,,"b""b' Maintaining that tarball is THE pain in the arse 2011/10/14 Thomas Ploch <reply@'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,11,2011-10-12 16:50:26,2.28,,1,,"b'b"" Hmm... there doesn\'t seem to be an obvious solution. How about in the meantime create some sort of tool to compare app/ and skel/ in jenkins to enforce the dirs to be in sync?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,12,2011-10-12 16:50:26,285.53,,1,,"b""b' So"," apparently this will have to wait as I said. The internal core tests rely on those files being there.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,13,2011-10-12 16:50:26,74.95,,1,,"b""b' Not really", we already have a release script, just need to include a new task.One task to clone," generate the files and send to github as their API support it:url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,14,2011-10-12 16:50:26,133.02,1,,,"b'b"" I think this will wait a while too.  Removing app/ still makes a new user\'s experience pretty poor.  Requiring the use of bake considerably raises the difficulty in getting started.  I don\'t want that at all.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,15,2011-10-12 16:50:26,1221.55,,1,,"b""b' I have moved the App\\\\* and PagesController from core to app in 2.1 so closing this request.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,closed,2011-11-13 20:47:45,963.03,6,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,246,closed,-,-,-,6,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,252,closed,opened,2011-10-17 15:05:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,252,closed,title,2011-10-17 15:05:53,00:00,,1,,"b""b' Enable Asset timestamp for image submit buttons ...'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,252,closed,body,2011-10-17 15:05:53,00:00,,1,,"b""b' I was asking", why there is no asset timestamping applied," if you use the built in image submit functionality. would be very easy to implement?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,252,closed,1,2011-10-17 15:05:53,37.88,,,1,"b'b"" Hello"," can you target this pull request to 1.3 branch instead?We\'ve just released 2.0 and master is now the new 2.0 stable. Thank you in advance!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,252,closed,closed,2011-10-17 15:43:47,37.9,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,252,closed,2,2011-10-17 15:05:53,94.43,,1,,"b""b' People still use image submit buttons? o.O'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,252,closed,3,2011-10-17 15:05:53,33.47,,1,,"b""b' what would be your solution for design-heavy apps? are you concerned about UX?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,252,closed,4,2011-10-17 15:05:53,135.08,,1,,"b'b\' Assumed that was outdated functionality and no one actually used it. I usually do a button with a type submit and a ""button"" class. Pretty similar to how Github does it.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,252,closed,reopened,2011-10-18 00:40:39,536.87,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,252,closed,5,2011-10-17 15:05:53,274.12,,1,,"b""b' I can take care of getting this on 1.3 and 2.0 branches.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,252,closed,6,2011-10-17 15:05:53,487.42,,,1,"b'b"" thx mark! @milesj: If I develop a form for my needs", I would never use an image submit ... but sometimes designers use al," that can\'t be translated to css. (the IE world is not ready for real css3).""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,252,closed,7,2011-10-17 15:05:53,11.3,,1,,"b'b"" I\'m with milesj on this. Using a class on the button and controlling with css is how I manage styling my ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,252,closed,8,2011-10-17 15:05:53,91.47,,,1,"b'b"" the pull request was only a hint", that the asset timestamp isn\'t included in the current implementation. if cakePHP provides a way to implement an image button (if it makes sense or not)," then it should be properly implemented right? ;)  anyways: thanks for the tips about  coding :) ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,252,closed,9,2011-10-17 15:05:53,149.87,,1,,"b'b"" I don\'t really care for image submits personally. But its inconsistent behavior between other places images are used and here.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,252,closed,10,2011-10-17 15:05:53,767.48,,1,,"b""b' Merged in [76e6452bc3a6f7337c351830773582af0d37bf44]'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,252,closed,closed,2011-10-20 01:48:24,67.75,0,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
