REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,18,closed,2,2011-04-11 12:22:26,9.48,,1,,"b'b"" Gzip\'d data is supported and seamlessly decompressed by the underlying urllib2 library.  Its possible the server isn\'t sending the gzipped data over:  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,18,closed,3,2011-04-11 12:22:26,1.82,,,1,"b""b' Thanks"," you are correct.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,18,closed,4,2011-04-11 12:22:26,7.17,,1,,"b""b' Actually", is set to and is unset. Afaik, the two headers have independent meanings," so urllib2 _should_ decompress the response. References: url  and url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,18,closed,reopened,2011-04-11 12:51:04,18.65,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,18,closed,5,2011-04-11 12:22:26,1.28,,1,,"b'b"" Ah"," hmm... Well if I can make it function better than urllib2 I\'m all for it.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,18,closed,6,2011-04-11 12:22:26,1.12,1,,,"b'b"" Tonight I\'ll file a bug in urllib2. Let me see if I can fix this... Edit: Sorry"," I keep closing this by accident. I\'m not used to the way GitHub orders the buttons.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,18,closed,closed,2011-04-11 12:53:17,2.22,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,18,closed,reopened,2011-04-11 12:53:25,0.13,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,18,closed,7,2011-04-11 12:22:26,51.62,,1,,"b""b' Moving to #19'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,18,closed,closed,2011-04-11 13:44:54,51.48,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,18,closed,8,2011-04-11 12:22:26,474.42,,1,,"b""b' Update: v0.3.2 was just released which includes automatic gzip encoded content decompression.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,18,closed,-,-,-,1,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,59,closed,opened,2011-06-10 03:56:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,59,closed,title,2011-06-10 03:56:02,00:00,,1,,"b""b' Header capitalization'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,59,closed,body,2011-06-10 03:56:02,00:00,,1,,"b'b\'  Fixed bug where not capitalizing a header properly caused that header to not be set. I noticed when doing a post to a service that expected a json request body that my typo ""content-type"" rather than ""Content-type"" in my headers dictionary caused the Content-type to default to ""application/x-www-urlencoded"" rather than """". I added a pair of tests that illustrate the problem with posts to postbin.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,59,closed,1,2011-06-10 03:56:02,1211.4,1,,,"b""b' HTTP header names are case-insensitive"," per spec: url  Perhaps the website on the other side is not following the spec on this?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,59,closed,2,2011-06-10 03:56:02,25.5,,1,,"b'b"" There was an issue in an early release where the wrong casing for would fail to override  s default Request header", but it was fixed. It\'s possible when I implemented for  ," that something changed there. I\'ll take a look this evening.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,59,closed,3,2011-06-10 03:56:02,811.35,,,1,"b""b' Thanks for taking a look.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,59,closed,closed,2011-06-13 14:04:17,608.25,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,59,closed,reopened,2011-06-13 14:22:58,18.68,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,59,closed,4,2011-06-10 03:56:02,700.73,,1,,"b""b' This was an error with your server.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,59,closed,closed,2011-07-24 01:45:01,682.05,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,59,closed,-,-,-,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,62,closed,opened,2011-06-16 07:11:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,62,closed,title,2011-06-16 07:11:17,00:00,,1,,"b""b' cookie test with httpbin'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,62,closed,body,2011-06-16 07:11:17,00:00,,1,,"b""b' Ok"," looks like it works now. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,62,closed,1,2011-06-16 07:11:17,1.17,1,,,"b""b' Oh my god"," its full of merges :) Sorry about that.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,62,closed,closed,2011-06-16 07:12:27,1.17,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,62,closed,reopened,2011-06-16 07:13:04,0.62,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,62,closed,2,2011-06-16 07:11:17,1.25,,,1,"b'b"" Haha", no worries \\xe2\\x80\\x94 Thanks!  Not sure why it didn\'t work before.. Obviously," I don\'t use cookiejar often :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,62,closed,3,2011-06-16 07:11:17,0.13,,1,,"b""b' I need more coffee to actually read github button captions...'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,62,closed,closed,2011-06-16 07:13:58,0.9,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,62,closed,-,-,-,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,65,closed,opened,2011-06-17 13:29:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,65,closed,title,2011-06-17 13:29:09,00:00,,1,,"b""b' OAuth Support'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,65,closed,body,2011-06-17 13:29:09,00:00,,1,,"b""b' Somehow.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,65,closed,1,2011-06-17 13:29:09,7.58,,,1,b'b\' Hi Kenneth, First, thanks for this wonderful library," you\\\'ve seen me saying ""this is best thing since beer"" in Twitter", but I want to emphasize that your work is amazing!  I was yesterday night," going to work on a small twitter thing. I\\\'m always looking for excuses to use Python Requests :) and I came across it doesn\\\'t have Oauth support and I thought ""Damn! I\\\'m not using httplib2"" (which is the one supported by python-oauth2). So I decided to add it", well at least try it, thus I tweeted this. I\\\'m not an Oauth expert and this is the first time I dive in Python Requests and python-oauth2 code, I\\\'m aware my results are very hacky and need a lot of work. But before progressing any farther, I would like to know your opinions.  I\\\'ve used part of python-oauth2 code adapted, I\\\'ve put a use example in the commit message: This is the file I\\\'ve based my code on url  python-oauth2 subclass needs that the request object passed has three things:  was the only one already there. I\\\'ve added the other two. Options are we create our own subclass based in this one, so were are not forced to do have such an strict layout and do hacky things. This is just a fast hack, done in a couple hours. I can work on it, detach the methods into functions in an  file or whatever you think better fits the project architecture, just let me know. Cheers,Miguel\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,65,closed,2,2011-06-17 13:29:09,21.15,,,1,"b'b"" Thanks for all the kind words", and (more importantly) thanks for this awesome contribution. I haven\'t looked at the actual code yet, but my initial thoughts are: I think adding a new OAuth object, or similar would be best (in place of taking over the tuple that gets converted into basicauth)I\'m not a fan of adding the new method, but I can see why it\'s neccesary. I\'ve been planning on extracting out some of the internal processing into externally-available functions, so you would have something along the lines of: or something similar. Random thoughts:I\'ve been considering adding a pre-request and post-request processing layer to requests, mostly for internal use. This way the Authentication providers could simply add the headers they need to the requests that are being made," rather than have to deal w/ urllib2\'s messy auth stuff.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,65,closed,3,2011-06-17 13:29:09,29.33,,,1,"b'b"" Thank you",I first thought about putting everything in an OAuth class, but I\'m not sure it could be an as it is designed for a  authentication.Me neither. If you add those external functions, probably some of this code could be refactored into something cleaner.  About your thoughts:pre-request should be fired right before so that the request object is already built and can be tampered without side effects. I think that could work and could be a very clean way of attaching auth providers.  One more thing, my code is not working with POST requests that have params, I rather reorganize everything before adding more complexity to the code.  I\'m not an expert in all these requests libraries: httplib, urllib2... so when you review the code," be gentle :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,65,closed,closed,2011-08-10 14:30:07,60.97,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,65,closed,reopened,2011-08-10 14:35:27,5.33,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,65,closed,4,2011-06-17 13:29:09,1264.58,,,1,"b'b"" Just wanted to let you know", that I made some fixes in my code that make OAuth through GET work like it should. I\'m using my version in a twitter script I\'ve just built and it works like a charm.url  I\'m just missing to add some stuff for POST requests," but let me know first how do you want to lay out all this :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,65,closed,5,2011-06-17 13:29:09,1035.08,,1,,"b""b' Hooks just landed into develop. Going to try to push a release tonight.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,65,closed,6,2011-06-17 13:29:09,633.8,,,1,b'b\' Well done man! If you keep this development pace," I will have to add you to my ""robots camouflaged as devs"" mental list", in which you will be next to jezdez. Anyway, I reviewed your new shinny hooks API and there is only one thing that calls my attention. If you call hooks in then I guess is meant to be private, so people won\\\'t be able to create Requests objects, instead they are forced to use the api. In that case I would rename to so that it follows your coding convention. **Good news!** I\\\'ve moved all the code I had monkey-patched into your project onto a separate hook, which I\\\'m not sure what to name. For now I\\\'ve originally named it  . It\\\'s working perfectly, though it needs some refactor and POST support (tiny fixes).First, how do you want to proceed with hooks? Will you have them as separate files in a directory or do you want me to create a github repository with my hook so I mantain it and you lighten Requests core. Maybe you could have a list of hooks in your docs, as if they were sort of plugins.Second, will you support hook parameters besides the ones request pass. If not, I will probably have to move my hook, which is a function, into a class method, so that you can import the class and  parameters, see what I mean?Third, right now every time I call requests I have to add a hooks dictionary parameter as you know. I\\\'m coding two python APIs with OAuth support and Python Requests at the moment and it feels weird to add this parameter every time. So I\\\'m thinking you might want to add a way to attach hooks to requests, when loaded, so that they work all the time. It looks DRYer.When you let me know how do you want to go with hooks, I will upload my work. There are several functions that can probably be shortened if you extend a little bit you Request methods, things like :) Damn! I\\\'m so excited with this :D \'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
