REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,
phpunit,74,closed,10,2010-11-16 17:35:23,654.23,1,,,"b""b' This is actually expected behavior if you understand how process isolation works.  During process isolation you have one main PHPUnit process that is collecting tests and then a separate PHPUnit process for each test that the main process collects.  When one of the separate test processes finishes", it serializes the results and sends them back to the main process. The problem with your code is that the separate test process is including a file which defines a new exception class that the main process knows nothing about.  So when your test throws this new exception, it gets serialized as part of the result object and sent back to the main process.  When the main process tries to unserialize the result object," PHP gives a object for all classes which are not yet defined in the main process (your new exception object).  The unfortunate side effect of this is that fails a type check which causes the error you are reporting. The remedy for this is pretty simple: be cognizant of how process isolation works and make sure that you are not hiding classes from the main process.  The simplest way to do this is to move your file include outside of the class definition.  A better way is to use an autoloader.'""",,,,,,,,,,,,,,,,
phpunit,74,closed,11,2010-11-16 17:35:23,276.0,,,1,"b""b' My main concern with this is that a test that fails and unexpectedly throws an unknown exception crashes the PHPUnit main process!why not fix it this way:the child process knows how to handle that exception. extract all the information the parent process needs in the child process and avoid any such problem. fixing this in my code is easy"," but if it fails it destroys the complete test run. and fixing such a problem in a third party library may not be easy / wanted.'""",,,,,,,,,,,,,,,,,,
phpunit,74,closed,12,2010-11-16 17:35:23,19.37,,1,,"b'b"" I think it\'s definitely possible for PHPUnit to handle this more gracefully (and @sebastianbergmann may have some desire to do so)", but ultimately the problem is that you\'re structuring your test in a way that is not compatible with process isolation.  If you structure your tests properly," you won\'t ever encounter this and it won\'t matter how PHPUnit handles it.""'",,,,,,,,,,,,,,,,,
phpunit,74,closed,13,2010-11-16 17:35:23,654.82,1,,,b'b\' Hmm i do something and as a result PHPUnit crashes," oh of course i must beholding it wrong... do you work for apple? /rant I still think it\\\'s a bug and should be fixed.Am 20.05.2011 08:10 schrieb ""whatthejeff"" <reply@>:\''",,,,,,,,,,,,,,,,,,
phpunit,74,closed,14,2010-11-16 17:35:23,32.68,,1,,"b'b"" I\'ve acknowledged that PHPUnit could handle this situation more gracefully\\xe2\\x80\\x93I was actually planning on looking into this later tonight. I just wanted to help you understand what\'s going on and how to avoid this situation as it can take a while before patches make it into an official release of PHPUnit and there\'s no guarantee that Sebastian will accept a patch for this.""'",,,,,,,,,,,,,,,,,,,
phpunit,74,closed,15,2010-11-16 17:35:23,99.87,,,1,"b'b"" That would be great!Since i do use code coverage and have code running directly on inclusion ofthe class in question. I\'m sadly depending on process isolation", it makestests run slower too," but this bug was the most annoying part of it.Many thanks!""'",,,,,,,,,,,,,,,,,
phpunit,74,closed,closed,2011-05-23 06:08:04,871.87,3,10,4,,,,,,,,,,,,,,,,,,,,
phpunit,74,closed,16,2010-11-16 17:35:23,686.78,,1,,"b""b' What is the status of this issue? Is it fixed or left as it is? If fixed in which release will it be shipped?'""",,,,,,,,,,,,,,,,,,,
phpunit,74,closed,-,-,-,3,11,4,,,,,,,,,,,,,,,,,,,,
phpunit,137,closed,opened,2011-01-26 09:49:49,,,,,,,,,,,,,,,,,,,,,,,,
phpunit,137,closed,title,2011-01-26 09:49:49,00:00,,1,,"b""b' Different number of test per line'""",,,,,,,,,,,,,,,,,,,
phpunit,137,closed,body,2011-01-26 09:49:49,00:00,,1,,"b'b"" Hi"," don\'t know if it is a bug or a feature but after upgrading from 3.5.6 to 3.5.10 the number of tests shown per line differs from one test suite to the other. Examples: or here:  ""'",,,,,,,,,,,,,,,,,,
phpunit,137,closed,1,2011-01-26 09:49:49,39.55,,1,,"b""b' Not a bug. The number of tests shown per line depends on the length of the string that represents the total number of tests: is less than  "," so there are more tests per line in the former than in the latter case.'""",,,,,,,,,,,,,,,,,,
phpunit,137,closed,2,2011-01-26 09:49:49,706.78,,1,,"b'b"" Is there a command line flag or other  that can be supplied to set the desired line width in newer versions of the package? I don\'t find one documented anywhere.""'",,,,,,,,,,,,,,,,,,,
phpunit,137,closed,3,2011-01-26 09:49:49,926.07,,1,,"b'b"" @mrmarkfrench The output is designed to fit into a terminal. The width is hardcoded in :545 function startTestSuite I don\'t really see why it would be useful to make it configurable but then again as long as it is xml configuration only (no new cli switches) It might not hurt ether. ""'",,,,,,,,,,,,,,,,,,,
phpunit,137,closed,4,2011-01-26 09:49:49,44.65,,,1,"b'b"" @edorian Yeah", I found the line of code. I was just hoping that there was a solution I could handle in my configs, rather than needing to modify that line of code each time I upgrade to a new version of the package. I understand that it is set to fit on an 80-column terminal, but this is no longer 1978, and I don\'t code on a VT100, so some flexibility to allow me to use more columns (and as a result fewer lines) would be helpful in my development environment. I grant you that lots of people still use 80-column terminals, so I think that\'s a great default," but the option to change it with a config would be a nice piece of flexibility.""'",,,,,,,,,,,,
phpunit,137,closed,5,2011-01-26 09:49:49,1347.1,,1,,"b""b' phpunit could use environment variable when it is available. It is automatically populated by zsh and bash. in cases when it is not set"," sticking to 80 is a sane fallback'""",,,,,,,,,,,,,,,,,,
phpunit,137,closed,reopened,2012-07-27 13:29:23,219.57,0,6,1,,,,,,,,,,,,,,,,,,,,
phpunit,137,closed,6,2011-01-26 09:49:49,36.17,,,1,"b'b"" I like the suggestion of using the COLUMNS variable. I\'d implement it like that if @sebastianbergmann also likes it :)""'",,,,,,,,,,,,,,,,,,,
phpunit,137,closed,7,2011-01-26 09:49:49,101.05,,,1,"b""b' Fine by me. Thanks!'""",,,,,,,,,,,,,,,,,,,
phpunit,137,closed,8,2011-01-26 09:49:49,1280.2,,1,,"b'b"" The LINES and COLUMNS variables are not  to php and are not available via getenv or $_ENV by default.  The usable workarounds\\\\* seems to ether rely on seldomly installed extensions or on exec calls both of which don\'t make much sense to me for that usecase. It\'s a shame. I\'d like to have the feature even so to me", to be honest," it doesn\'t look all that great on a 180 col layout having only 8 very long lines for ~2k tests. But thats presumably just me being used to that. If someone knows a way to access this vars without using exec I\'d like to hear it. For now the only thing I could see us doing is to allow for a setting for the xml config. (For all the other output we don\'t insert linebreaks do having a setting might be misleading?)  *url url ""'",,,,,,,,,,,,,,,,,
phpunit,137,closed,9,2011-01-26 09:49:49,329.75,,1,,"b""b' In bash", one should explicitly in .bashrc In zsh it is exported by default," I think. But I might be wrong'""",,,,,,,,,,,,,,,,,
phpunit,137,closed,10,2011-01-26 09:49:49,444.97,,1,,"b'b"" I run functional tests (selenium with real browsers) using phpunit and it takes some time to finish.The ant task only outputs the line when it\'s terminated with end line character"," so I have to wait until the whole line of dots is filled and it may take minutes for that. If it was parameterized I would just set the width to something between and get the information faster""'",,,,,,,,,,,,,,,,,,
phpunit,137,closed,11,2011-01-26 09:49:49,1084.13,1,,,"b""b' How zf2 handles this (via @chasepeeler): url '""",,,,,,,,,,,,,,,,,,,
phpunit,137,closed,12,2011-01-26 09:49:49,1123.12,,,1,"b""b' Hello. I would like to change the number of columns that phpunit is using to output test results to 140 columns. I am using Linux and phpunut 4.2.2. built in Codeception. Is there any easy way to do this ? Thanks'""",,,,,,,,,,,,,,,,,,,
phpunit,137,closed,closed,2014-10-22 06:43:02,1033.65,1,9,4,,,,,,,,,,,,,,,,,,,,
phpunit,137,closed,-,-,-,1,9,4,,,,,,,,,,,,,,,,,,,,
phpunit,199,closed,opened,2011-03-15 13:13:13,,,,,,,,,,,,,,,,,,,,,,,,
phpunit,199,closed,title,2011-03-15 13:13:13,00:00,,1,,"b""b' 3.5.13 fix private test case vars'""",,,,,,,,,,,,,,,,,,,
phpunit,199,closed,body,2011-03-15 13:13:13,00:00,,1,,"b""b' This reverts the change in PHPUnit_Framework_TestCase which made most member variables private instead of let them protected. This change made it impossible to derive a custom TestCase class and modify the behaviour.But I got a use case where I needed it (Process Isolation", Autoloading, Very large Objects to pass between the processes," ...).I am sure that I am not the only one who needs the members variables to be readand writable.So please either accept this pull request or provide at least raw getter and setter methods for each private member variable'""",,,,,,,,,,,,,,,,
phpunit,199,closed,1,2011-03-15 13:13:13,31.3,,1,,"b'b"" Private members are painful. I don\'t see any reason to use them unless (protected) accessors are provided.""'",,,,,,,,,,,,,,,,,,,
phpunit,199,closed,2,2011-03-15 13:13:13,171.45,,1,,"b""b' Accepting this PR would fix issue #210 as well. One could pass in MockObjects from a derived class using the variable $mockObjects which is private currently. Setters and Getters would do the trick"," too.'""",,,,,,,,,,,,,,,,,,
phpunit,199,closed,3,2011-03-15 13:13:13,951.98,,1,,"b""b' There is a reason why all attributes in should be private: to remove the risk of breaking PHPUnit by  any of these attributes in a test case class. This happened in the past where users", for instance," created objects in and stored them in an attribute whose name conflicted with one internal to PHPUnit.'""",,,,,,,,,,,,,,,,,
phpunit,199,closed,closed,2011-05-06 08:27:57,1154.73,0,5,0,,,,,,,,,,,,,,,,,,,,
phpunit,199,closed,reopened,2011-05-06 10:59:24,151.45,0,5,0,,,,,,,,,,,,,,,,,,,,
phpunit,199,closed,4,2011-03-15 13:13:13,151.58,,1,,"b""b' Could it be an solution to provide protected  with _raw access_ the variables?'""",,,,,,,,,,,,,,,,,,,
phpunit,199,closed,5,2011-03-15 13:13:13,43.93,,1,,"b'b"" I second Branleb\'s request for accessors.""'",,,,,,,,,,,,,,,,,,,
phpunit,199,closed,6,2011-03-15 13:13:13,18.1,,1,,"b""b'  this for 3.7'""",,,,,,,,,,,,,,,,,,,
phpunit,199,closed,closed,2012-08-31 08:53:43,1314.32,0,8,0,,,,,,,,,,,,,,,,,,,,
phpunit,199,closed,-,-,-,0,8,0,,,,,,,,,,,,,,,,,,,,
phpunit,244,closed,opened,2011-05-08 01:36:50,,,,,,,,,,,,,,,,,,,,,,,,
phpunit,244,closed,title,2011-05-08 01:36:50,00:00,,1,,"b""b' Expected Exception should support string codes'""",,,,,,,,,,,,,,,,,,,
phpunit,244,closed,body,2011-05-08 01:36:50,00:00,,1,,"b""b' Exceptions can return any type from [getCode()]url  specifically [PDOException::getCode()]url  returns a string. PHPUnit_Framework_TestCase should not restrict exception codes to integers.'""",,,,,,,,,,,,,,,,,,,
phpunit,244,closed,1,2011-05-08 01:36:50,912.42,,1,,"b'b"" This works with PHP 3.6.2 so i consider the issue solved. Let me know if it doesn\'t work out for you  ""'",,,,,,,,,,,,,,,,,,,
phpunit,244,closed,closed,2011-11-10 16:49:15,912.42,0,3,0,,,,,,,,,,,,,,,,,,,,
phpunit,244,closed,2,2011-05-08 01:36:50,73.78,,1,,"b""b' No"," exception codes are still cast to int: url '""",,,,,,,,,,,,,,,,,,
phpunit,244,closed,reopened,2011-11-10 18:09:34,80.32,0,4,0,,,,,,,,,,,,,,,,,,,,
phpunit,244,closed,3,2011-05-08 01:36:50,6.55,,1,,"b'b"" The assertion is only made if it is an integer. Ok. I should have also tried to produce a failure. Point taken. I\'ll solve this later""'",,,,,,,,,,,,,,,,,,,
phpunit,244,closed,4,2011-05-08 01:36:50,10.03,,1,,"b""b' It may also be worthwhile testing codes prefixed with numerals", such as  ," since the class handles them differently than non-numeric strings. url '""",,,,,,,,,,,,,,,,,
phpunit,244,closed,closed,2011-11-10 18:58:26,48.87,0,6,0,,,,,,,,,,,,,,,,,,,,
phpunit,244,closed,-,-,-,0,6,0,,,,,,,,,,,,,,,,,,,,
phpunit,249,closed,opened,2011-05-12 09:52:09,,,,,,,,,,,,,,,,,,,,,,,,
phpunit,249,closed,title,2011-05-12 09:52:09,00:00,,1,,"b'b"" assertType() reports float scalar type as \'double\'""'",,,,,,,,,,,,,,,,,,,
phpunit,249,closed,body,2011-05-12 09:52:09,00:00,,,1,b'b\' I had a test with PHPUnit reported: So I changed it to Which resulted in Of course," the right type is ""float"""," not ""double""", so this works just fine: \'',,,,,,,,,,,,,,,,
phpunit,249,closed,1,2011-05-12 09:52:09,25.58,,1,,"b""b' Try to use as is removed from version 3.6.'""",,,,,,,,,,,,,,,,,,,
phpunit,249,closed,2,2011-05-12 09:52:09,4.87,,1,,"b""b'   has exactly the same behavior: it reports a as  '""",,,,,,,,,,,,,,,,,,,
phpunit,249,closed,closed,2011-05-12 10:22:36,30.45,0,3,1,,,,,,,,,,,,,,,,,,,,
phpunit,249,closed,reopened,2011-05-12 10:22:56,0.33,0,3,1,,,,,,,,,,,,,,,,,,,,
phpunit,249,closed,3,2011-05-12 09:52:09,1286.05,,1,,"b'b"" I just saw the Zend Studio debugger report a float as  ", so I checked the PHP manual. It turns out that [is_double()]url  is an alias of  , but isn\'t listed as a [scalar type]url  I guess PHP is inconsistent internally," so this probably isn\'t really PHPUnit\'s fault at all.""'",,,,,,,,,,,,,,,,
phpunit,249,closed,closed,2011-05-13 15:21:27,298.52,0,4,1,,,,,,,,,,,,,,,,,,,,
phpunit,249,closed,-,-,-,0,4,1,,,,,,,,,,,,,,,,,,,,
phpunit,277,closed,opened,2011-06-20 12:32:53,,,,,,,,,,,,,,,,,,,,,,,,
phpunit,277,closed,title,2011-06-20 12:32:53,00:00,,1,,"b""b' bootstrap does not contain env options defined in '""",,,,,,,,,,,,,,,,,,,
phpunit,277,closed,body,2011-06-20 12:32:53,00:00,,,1,"b'b"" I tried to define option in the  file: And found out that this option wouldn\'t avaliable in  : but but perfectly exist in the test.  can you comment on this behavior because for me it seems right to have those options in  ""'",,,,,,,,,,,,,,,,,,,
phpunit,277,closed,1,2011-06-20 12:32:53,192.07,,1,,"b'b"" This works (for me at least) with PHPUnit 3.6.2 so I\'ll just to ahead and close this. Dumping $_ENV shows me all the env options defined for me CLI envinroment and also that I\'ve added to the xml config. If that doesn\'t still work out for you feel free to reopen and maybe add a small reproduce if you can.""'",,,,,,,,,,,,,,,,,,,
phpunit,277,closed,closed,2011-11-10 15:44:57,192.07,0,2,1,,,,,,,,,,,,,,,,,,,,
phpunit,277,closed,2,2011-06-20 12:32:53,1078.18,,1,,"b""b' Actually I am experiencing this as well with PHPUnit 3.7.20 running on php 5.3.10-1ubuntu3.6. I do not experience that with php running on OS X. I guess this might be platform-specific. In : In :  '""",,,,,,,,,,,,,,,,,,,
phpunit,277,closed,reopened,2013-05-17 03:10:53,685.93,0,3,1,,,,,,,,,,,,,,,,,,,,
phpunit,277,closed,3,2011-06-20 12:32:53,1054.77,,1,,"b'b"" The problem occurs when [auto-globals-jit]url  is enabled because [the implementation of this feature]url  make use of variable variables. I\'ll provide a fix for this shortly.""'",,,,,,,,,,,,,,,,,,,
phpunit,277,closed,closed,2013-05-17 03:50:22,39.48,0,4,1,,,,,,,,,,,,,,,,,,,,
phpunit,277,closed,4,2011-06-20 12:32:53,489.1,,1,,"b'b"" I\'m experiencing this issue in PHPUnit 4.5.0""'",,,,,,,,,,,,,,,,,,,
phpunit,277,closed,5,2011-06-20 12:32:53,840.4,,,1,"b'b\' I\\\'m having this issue with PHPunit 5.2.11 installed via composer. Funny enough if i use a PHPunit 4.5 runtime (left over in /) it will run saying ""5.2.11"" but will load vars.\''",,,,,,,,,,,,,,,,,,,
phpunit,277,closed,6,2011-06-20 12:32:53,842.08,,,1,"b""b' @rdohms Please open a new ticket that contains a minimal", self-contained," reproducing test case. Thanks!'""",,,,,,,,,,,,,,,,,
phpunit,277,closed,7,2011-06-20 12:32:53,846.75,,1,,"b""b' ok"," let me give it a try'""",,,,,,,,,,,,,,,,,,
phpunit,277,closed,-,-,-,0,6,3,,,,,,,,,,,,,,,,,,,,
phpunit,292,closed,opened,2011-07-08 01:08:02,,,,,,,,,,,,,,,,,,,,,,,,
phpunit,292,closed,title,2011-07-08 01:08:02,00:00,,1,,"b""b' CodeCoverage with Selenium not setting PHPUNIT_SELENIUM_TEST_ID Session Variable'""",,,,,,,,,,,,,,,,,,,
phpunit,292,closed,body,2011-07-08 01:08:02,00:00,,1,,"b'b"" I have a PHP web application that I am trying to get code coverage using PHPUnit.  I\'ve defined in my test class and included per the docs: protected $coverageScriptUrl = \'url  and set up phpunit_", , . As it turns out," $_COOKIE[\'PHPUNIT_SELENIUM_TEST_ID\']) is never set hence xdebug_start_code_coverage is never called. This is on CentOS 64-bit with PHP 5.3.5 and PHPUnit 3.5""'",,,,,,,,,,,,,,,,
phpunit,292,closed,1,2011-07-08 01:08:02,83.58,,1,,"b'b"" In debugging the code further"," I do see createCookie being called on line 675 of  but the cookie isn\'t set when  php files are reached. I\'m using Firefox 3.6.13 64-bit.""'",,,,,,,,,,,,,,,,,,
phpunit,292,closed,closed,2011-07-08 02:31:37,83.58,0,3,0,,,,,,,,,,,,,,,,,,,,
phpunit,292,closed,reopened,2011-07-08 04:16:37,105.0,0,3,0,,,,,,,,,,,,,,,,,,,,
phpunit,292,closed,2,2011-07-08 01:08:02,1358.93,,1,,"b""b' This was an issue with the httpd config ServerName being 127.0.0.1.  changing it to locahost fixed the issue.'""",,,,,,,,,,,,,,,,,,,
phpunit,292,closed,closed,2011-07-13 01:10:33,1253.93,0,4,0,,,,,,,,,,,,,,,,,,,,
phpunit,292,closed,-,-,-,0,4,0,,,,,,,,,,,,,,,,,,,,
phpunit,322,closed,opened,2011-08-18 10:26:48,,,,,,,,,,,,,,,,,,,,,,,,
phpunit,322,closed,title,2011-08-18 10:26:48,00:00,,1,,"b""b' group commandline option should override  setting in '""",,,,,,,,,,,,,,,,,,,
phpunit,322,closed,body,2011-08-18 10:26:48,00:00,,1,,"b""b' The commandline option does not seem to overide the setting. IMHO it should. Use case: I have a few very slow tests that I put into a single group ( ). Normally I do not want to run them", so I put them in the tag in to ignore them. Sometimes I do want to run them, so I type this on the commandline: I expect PHPUnit to run all the tests in the group because commanline options override  options. But in reality, no tests are run. Furthermore," there seems to be no other way to un-exclude a group on the commandline that has been exlcuded in the xml file.'""",,,,,,,,,,,,,,,
phpunit,322,closed,1,2011-08-18 10:26:48,423.13,,1,,"b""b' This is exactly how PHPUnit behaves:  '""",,,,,,,,,,,,,,,,,,,
phpunit,322,closed,closed,2011-08-25 17:29:56,423.13,0,3,0,,,,,,,,,,,,,,,,,,,,
phpunit,322,closed,2,2011-08-18 10:26:48,884.03,,1,,"b""b' The problem is not with the but with  . See this (nearly identical) example: On that second command"," I expect that testOne is run.'""",,,,,,,,,,,,,,,,,,
phpunit,322,closed,reopened,2011-08-26 08:19:00,889.07,0,4,0,,,,,,,,,,,,,,,,,,,,
phpunit,322,closed,3,2011-08-18 10:26:48,369.67,,1,,"b""b' Closing as duplicate of #320'""",,,,,,,,,,,,,,,,,,,
phpunit,322,closed,closed,2011-11-10 14:23:38,364.63,0,5,0,,,,,,,,,,,,,,,,,,,,
phpunit,322,closed,4,2011-08-18 10:26:48,292.43,,1,,"b'b"" I\'ve added a workaround on #320""'",,,,,,,,,,,,,,,,,,,
phpunit,322,closed,5,2011-08-18 10:26:48,286.3,,1,,"b""b' Reopening here as the issue seems the same: Running a test that contains only tests:  '""",,,,,,,,,,,,,,,,,,,
phpunit,322,closed,-,-,-,0,7,0,,,,,,,,,,,,,,,,,,,,
phpunit,325,closed,opened,2011-08-19 23:14:17,,,,,,,,,,,,,,,,,,,,,,,,
phpunit,325,closed,title,2011-08-19 23:14:17,00:00,,1,,"b""b' Problem with global variables on bootstrap file'""",,,,,,,,,,,,,,,,,,,
phpunit,325,closed,body,2011-08-19 23:14:17,00:00,1,,,b'b\' Hello," I\\\'m trying to create some tests to a legacy system and it use some global variables that are used throughout the system. I see that the code in bootstrap can\\\'t access its own global variables. I did some tests and I see that it doesnt work: $test = ""ok"";function foo() {  global $test;  echo $test;}foo(); .. but if I use global keyword on global scope it works: global $test;$test = ""ok"";function foo() {  global $test;  echo $test;}foo(); I\\\'m using PHPUnit 3.4.13 and running this simple code as:phpunit  (the last code shows ""ok"" before give error Class teste could not be found)... orphpunit bootstrap  verbose no-globals-backup no-configuration  myclassdirectory Its a PHPUnit problem? Sorry for my bad english. Ty\''",,,,,,,,,,,,,,,,,,
phpunit,325,closed,1,2011-08-19 23:14:17,1087.28,,,1,"b""b' Can you please check whether your problem is still present in the latest version of PHPUnit? PHPUnit 3.4 has not been supported for about a year now. Thanks!'""",,,,,,,,,,,,,,,,,,,
phpunit,325,closed,2,2011-08-19 23:14:17,148.73,,1,,"b'b"" Sebastian"," Now I\'m using PHPUnit 3.5.15 and the problem still happens.""'",,,,,,,,,,,,,,,,,,
phpunit,325,closed,closed,2011-09-01 19:50:18,1236.02,1,2,1,,,,,,,,,,,,,,,,,,,,
phpunit,325,closed,reopened,2011-09-01 19:50:27,0.15,1,2,1,,,,,,,,,,,,,,,,,,,,
phpunit,325,closed,3,2011-08-19 23:14:17,1091.8,,,1,"b'b"" I can confirm this problem in PHPUnit 3.5.15. I imagine this happens because of the way variable scoping works in PHP. To expand on espiao\'s code example above: would work fine in normal PHP", but if you were to run the same code in the context of another function: $test would be null inside the nested function," despite being globalled. It only works if you global the variable before it is used: No idea how you would work around this in PHPUnit though.""'",,,,,,,,,,,,,,,,,
phpunit,325,closed,4,2011-08-19 23:14:17,238.23,,1,,b'b\' I believe that PHPUnit include files inside a function scope to run his tests. Then, from [PHP documentation]url  A solution I use now is create a bootstrap test that calls my system bootstrap. On bootstrap test I declare my known globals. The problem with this approach is that you have to know all globals to set on bootstrap test. In a big not well-written legacy system this can be a big problem to start using PHPUnit. I\\\'ll try to found any better solution, but for a while maybe is better include this subject on documentation to any other users who is in this situation. Runing with    globals $my, $system, $globals," $here;  require_once(""/"");\''",,,,,,,,,,,,,,
phpunit,325,closed,5,2011-08-19 23:14:17,21.65,,1,,"b""b' PHPUnit includes the bootstrap file using  . That method propagates variables that are global in the bootstrap script to the actual global scope.'""",,,,,,,,,,,,,,,,,,,
phpunit,325,closed,6,2011-08-19 23:14:17,49.37,,,1,b'b\' But in the case that you have files in bootstrap system that defines global variables and other who consume this global variables, we have a problem. Run the following code and you\\\'ll see what happens: system-exampleAs you can see I\\\'m setting and trying to use it. In you load the file and takes his scope variables (system globals is local variables until you finish the load method). Then," if I run I can\\\'t see my string ""test"" test-bootstrap-withoutBut If I run I have no problems. test-bootstrap-withI know its not a good practice", but I\\\'m working in a legacy system and when I call my system bootstrap he sets my table names, connection credentials etc in some global variables, then he connects in my DB and do some operations to registrer who\\\'s online and other things. Since it does all this operations on bootstrap, your load don\\\'t have a chance to make my global (now local) variables really globals. I believe I\\\'m not the unique person with this problem and since we can\\\'t move the project to trash and start a new from scratch, we can work on some refactorings but have to write some tests don\\\'t break any system part we\\\'re working. \'',,,,,,,,,,,,
phpunit,325,closed,7,2011-08-19 23:14:17,1243.13,,1,,"b'b"" espiao", I have the same problem \\xe2\\x80\\x93 working on a legacy project, relying on some implicitly assigned globals. I don\'t see how PHPUnit could solve our problem. Loading the file at the top level would be too big of a hassle for PHPUnit. At many places," I have just explicitly made variables global  instead of just: This change is always harmless.""'",,,,,,,,,,,,,,,,
phpunit,325,closed,8,2011-08-19 23:14:17,1255.95,1,,,"b'b"" I sadly don\'t see a way for PHPUnit to help you with that and can\'t tell you more than @nb already did and what worked for you. If you have an concrete idea what would be done in PHPUnit to help you feel free to reopen this ""'",,,,,,,,,,,,,,,,,,,
phpunit,325,closed,closed,2011-11-10 12:50:26,1019.98,2,5,3,,,,,,,,,,,,,,,,,,,,
phpunit,325,closed,9,2011-08-19 23:14:17,114.78,,1,,"b""b' @edorian my last comment was a solution. My sugestion was to document the solution.'""",,,,,,,,,,,,,,,,,,,
phpunit,325,closed,10,2011-08-19 23:14:17,122.48,,1,,"b'b"" The documentation doesn\'t have any bigger section on legacy issues but I\'ll keep it in mind""'",,,,,,,,,,,,,,,,,,,
phpunit,325,closed,11,2011-08-19 23:14:17,1297.98,,,1,"b'b"" @onlab your suggestion does not work for me.in  i have something like:$global a;$a = \'val\';include(\'\');  has: class Foo{ static function method()  {  $global a;  echo $a; }} Foo:a(); the global variable a is null.  I am running phpunit with a configuration file which configures a bootstrap file.  thanks for any help""'",,,,,,,,,,,,,,,,,,,
phpunit,325,closed,12,2011-08-19 23:14:17,316.55,,1,,"b""b' @afayes you have some failures on your sample code:$global a instead of global $aFoo:a() instead of Foo::a()"," calling a function a() instead of a Foo method a()static function method() instead static function a() But I tested this behavior again using the version 3.6.10 and is the same as I mentioned before. Fixing your sample I could test:    Command to run this test: Generated output:  '""",,,,,,,,,,,,,,,,,,
phpunit,325,closed,13,2011-08-19 23:14:17,1317.27,,1,,"b""b' this issue still occurs if global variable $a is a reference variable  '""",,,,,,,,,,,,,,,,,,,
phpunit,325,closed,-,-,-,2,9,4,,,,,,,,,,,,,,,,,,,,
